Feature,ZMYND8_1,ZMYND8_2,ZMYND8_3,ZMYND8_4,AAVS1_0,AAVS1_1,AAVS1_2,AAVS1_3
NUTM2G,20,18,13,17,7,18,5,12
COL4A5,0,0,0,0,0,0,0,0
AGRN,2408,1637,2173,1931,2088,1590,2498,1583
NHS,7,7,2,2,1,6,5,2
OTOG,0,0,0,0,0,0,0,0
FAM166A,1,2,1,1,3,0,2,4
TMPPE,95,87,94,84,109,87,128,137
ZNF626,3,3,4,6,1,4,3,5
HEPACAM2,2,0,0,0,2,0,0,0
SMTNL2,5,3,7,4,3,6,12,5
ZC3H6,325,254,311,301,203,317,232,387
LINC00265,67,44,48,57,51,41,63,33
LAMTOR4,1152,907,1076,1255,1011,615,993,536
PRKAR1B,440,359,411,407,461,365,505,342
NUTM2B,17,14,24,18,28,10,8,5
NCR3LG1,883,524,701,606,969,801,1225,1169
DCUN1D3,333,263,291,261,191,236,277,299
POTEE,2,2,0,2,0,2,1,2
ZNF793,10,5,5,0,2,13,3,14
TUBB4B,12660,8742,10117,10455,8706,8088,11044,8315
AGAP4,113,74,94,88,41,57,87,54
COMMD6,1068,832,988,995,676,966,896,1091
PLA2G2A,0,0,0,0,0,0,0,0
IL17REL,0,0,0,0,0,0,0,0
HYKK,1,0,0,1,0,0,0,1
OR7A5,0,0,0,0,0,0,0,0
C15orf62,48,23,25,28,37,19,33,34
FAM230G,0,3,0,2,0,2,0,0
RUFY4,7,9,11,6,4,4,1,7
ZNF383,406,355,422,348,226,340,330,410
HES4,0,0,1,1,0,0,3,1
ZNF669,247,176,221,204,159,175,238,227
PEAK3,152,97,148,168,90,85,102,81
LRRIQ4,0,0,2,1,3,0,3,2
CENPP,672,561,564,592,441,559,575,597
PLSCR1,548,341,453,430,216,334,403,352
C3orf62,467,345,402,405,279,433,370,399
ENO4,0,1,0,1,0,1,0,0
ZNF559,481,382,395,379,275,397,411,479
SBK1,5,4,4,7,2,1,6,8
SLC38A3,0,0,0,0,0,0,0,0
OR6N2,0,0,0,0,0,0,0,0
GTF2F2,1282,881,974,890,662,976,1155,1194
FAM92A,930,603,689,619,449,766,786,986
FOCAD,1422,933,1028,941,785,866,1218,968
PRR19,15,12,4,9,8,23,18,11
ZP3,15,11,5,2,12,5,1,1
C10orf99,0,0,0,0,0,2,0,0
H3-5,4,2,3,2,2,0,0,2
IFNA2,0,0,0,0,0,0,0,0
GPAT2P2,0,0,0,0,0,0,0,0
JAKMIP3,0,1,3,2,0,0,5,1
PPP3R2,1,0,0,0,0,0,0,0
GOLGA6L3,0,0,1,0,0,0,0,0
PDCD1,0,0,0,0,5,0,0,0
CLEC2A,0,0,0,0,0,0,0,2
GPR21,0,0,4,0,0,0,0,0
TCTEX1D4,0,0,2,0,4,0,0,0
SELL,20,8,21,10,14,11,9,17
CHM,320,204,238,253,222,294,342,410
BLOC1S5,484,356,361,393,261,363,373,494
SRP72P2,0,0,1,0,3,0,7,0
CERKL,2140,1643,1887,1828,1170,2195,1963,2710
WASF4P,4,4,4,2,1,1,3,1
ACTBP11,0,0,0,0,0,0,0,0
SLC24A5,0,1,10,7,0,0,1,0
IER5L,55,32,35,46,58,26,45,27
H2AX,4723,3838,4243,4061,3347,2895,4170,2717
INSC,0,1,0,0,0,0,0,0
C19orf54,934,642,791,808,615,559,679,553
LCTL,6,2,7,6,0,0,3,8
NCCRP1,0,0,0,0,0,0,2,0
C22orf34,1,0,2,0,0,0,0,3
COL25A1,0,0,0,0,0,0,0,1
FAM83G,383,225,300,331,405,385,469,365
