Feature,ZMYND8_1,ZMYND8_2,ZMYND8_3,ZMYND8_4,AAVS1_0,AAVS1_1,AAVS1_2,AAVS1_3
TTC9,0,0,0,0,0,0,0,0
MED6,1102,725,778,920,557,679,925,831
EIF2S1,4321,2926,2991,3202,2832,3627,4040,4109
ADAM20,0,1,0,0,0,0,0,0
LOXL2,13,17,13,17,3,8,8,7
ELP3,2436,1572,1801,1871,1465,1694,2085,2025
PEBP4,0,2,1,0,2,0,2,0
ADAMDEC1,5,1,0,2,0,1,1,1
CTIF,196,127,154,162,256,151,249,204
MRO,0,4,1,0,0,0,2,0
MBD2,2164,1589,1764,1604,1255,1915,1878,2047
IER3IP1,1099,850,976,846,710,1128,1094,1303
MRPS36,624,421,490,529,327,400,499,430
CCNB1,4530,3171,3721,3385,2846,3183,4387,3645
CDK7,767,514,577,565,459,654,633,687
CD180,4932,3284,3726,3510,3101,3398,4224,4158
IRAK2,16,17,24,16,20,16,21,18
CAMK1,298,186,221,183,133,126,161,112
THUMPD3,2091,1392,1558,1693,1136,1569,1920,1887
VHL,1723,1114,1223,1162,1008,1438,1476,1785
BHLHE40,1067,637,804,753,638,774,966,1001
ARL8B,4474,3183,3547,3227,2401,4699,4083,5724
EDEM1,4741,2748,3299,3373,2832,3454,4364,4212
CNTN6,0,0,0,0,0,0,0,0
CHL1,0,0,0,0,0,0,0,0
MEIS2,330,233,236,322,140,243,304,276
DPH6,185,120,159,156,103,167,203,192
KATNBL1,446,291,383,311,253,451,522,642
EMC7,1678,1173,1241,1257,962,1136,1381,1168
TRPM1,0,0,3,0,0,1,0,2
GNAT2,3,1,0,0,2,0,1,0
GSTM1,0,0,0,0,0,0,0,0
PRPF38B,2682,2282,2340,2462,1591,2994,2257,3205
REG4,4,4,0,4,1,0,1,2
TSPAN2,10,6,4,0,1,12,3,13
GSTM5,0,0,0,0,0,0,0,0
GSTM3,8,0,4,4,0,3,4,1
SYT6,0,0,0,1,2,0,1,0
VAV3,846,570,749,643,458,640,799,788
CHIA,0,0,0,0,1,0,0,0
PSRC1,272,238,262,273,126,147,132,151
HMGCS2,0,0,0,0,0,0,0,0
PTPN22,381,288,318,317,247,432,386,502
SORT1,80,42,68,57,27,30,58,34
WNT2B,9,24,18,10,10,9,6,14
PTGFRN,716,468,562,548,642,647,835,859
LAMTOR5,1203,962,1079,1179,835,812,1132,809
ADAM30,0,0,0,0,0,0,0,0
NOTCH2,3274,2047,2496,2179,2240,2650,3555,3453
TRIM45,39,17,35,12,23,22,11,24
CEPT1,769,599,652,668,457,779,791,1007
CD101,675,446,365,425,281,236,339,270
VTCN1,0,0,0,0,0,0,0,0
AP4B1,623,459,470,452,294,320,462,385
NAPG,733,453,501,577,359,518,569,658
SPIRE1,106,70,121,87,67,113,156,119
PPHLN1,2624,1827,1943,1925,1631,2025,2617,2483
FKBP11,232,172,267,212,132,168,156,135
ARF3,13002,8949,10380,10422,9374,9614,11704,10410
TMEM106C,1519,925,970,1051,886,717,1188,884
SLC38A2,3276,2171,2620,2700,1910,3792,3501,4839
PLEKHA8P1,101,77,107,70,58,71,87,96
YWHAQ,6620,4740,5156,4938,4263,6340,6629,7655
KIDINS220,1993,1256,1433,1283,1090,1442,1757,1674
GRHL1,8,9,14,11,3,12,5,11
ROCK2,1139,781,885,886,673,1013,1083,1485
RSAD2,84,62,75,69,33,42,91,99
MYCN,0,0,0,0,0,0,0,0
LPIN1,396,329,314,378,214,242,340,322
CMPK2,198,136,142,160,113,141,142,170
IAH1,764,507,613,602,343,412,497,446
LDHA,34077,24675,27569,31354,25382,28627,35660,33986
SAA2,0,0,0,1,0,2,2,0
ANO3,0,0,0,0,0,0,0,0
IL6ST,185,118,146,139,79,192,166,209
FST,1,0,0,0,2,0,1,1
CFHR4,0,0,0,0,0,0,0,0
NAV1,109,46,75,77,43,54,44,53
CDC73,1403,896,986,948,704,1093,1211,1639
TIMM17A,1885,1336,1490,1651,1270,1381,1867,1722
CRB1,0,0,0,0,0,0,0,0
ERN2,0,0,0,0,0,0,0,0
RPS15A,24019,18485,18565,21855,16204,15398,22109,15497
NARS1,5379,3615,4021,3813,3125,4002,5095,5141
RELCH,587,371,563,433,301,398,418,489
FBH1,1500,1069,1178,1174,1102,1011,1489,1186
RBM17,2838,1985,2306,2529,2139,2651,2817,2889
IL2RA,178,91,113,152,117,110,178,166
ANKRD16,171,125,193,168,220,177,164,152
ECHDC3,0,1,1,0,0,1,1,0
IL15RA,52,48,30,44,36,38,51,47
CCNH,1061,790,844,836,590,752,964,1072
HRH4,22,15,10,12,3,7,12,11
TMEM241,166,94,119,115,132,125,137,134
KCTD1,42,25,44,46,45,30,53,42
CABLES1,1221,855,844,883,805,726,913,799
DOCK2,7598,4458,5441,5218,4748,4637,6946,5597
EMP1,207,102,115,78,134,301,291,383
SOX5,19,10,9,10,1,0,10,4
RERG,0,0,0,0,0,0,0,0
KLRD1,0,0,0,0,0,0,0,0
KLRC1,0,0,0,0,0,0,0,0
SPX,3,5,1,0,0,0,0,0
PRH2,1,0,0,0,0,0,0,0
LRP4,0,0,0,0,0,0,0,0
MYBPC3,6,3,0,2,2,4,1,5
DDB2,1782,1238,1348,1388,1454,1438,1902,1564
ACP2,389,301,370,387,221,177,288,166
USP26,0,0,0,0,0,0,0,0
RTL8C,212,142,225,207,119,112,199,123
RAB33A,335,274,263,346,180,190,275,206
SOX3,0,0,0,0,0,0,0,0
RBMX2,869,734,702,712,561,661,752,741
STK26,3023,1764,2239,2036,1581,2474,2971,3254
PIWIL4,4687,3136,3480,3442,1662,1976,2487,2466
MTNR1B,0,0,0,0,0,0,0,0
PUM1,2207,1434,1553,1516,1209,1666,2081,2090
SPOCD1,1,2,0,0,0,0,0,0
YARS1,6239,4511,5179,4977,4046,4262,5706,4699
PHC2,1435,1107,1105,1316,1151,801,1320,895
CDCA8,2161,1460,1604,1656,1194,1131,1642,1311
GNL2,4579,3427,3533,3467,2908,3463,4221,3984
AGO4,1529,1064,1268,1195,732,993,1271,1396
HOOK1,0,3,0,0,0,4,1,0
CYP2J2,0,0,0,0,0,0,0,0
BTF3L4,2238,1578,1931,1778,1342,2106,2034,2631
TUT4,335,233,293,222,235,325,387,539
PRPF38A,3668,2633,2591,2947,2036,2952,3311,3560
DSC2,28,20,13,10,9,20,20,16
DSG3,0,0,0,0,0,0,0,1
RNF138,2282,1515,1777,1548,1213,2240,2544,3335
ELP2,2020,1406,1612,1453,1352,1488,2247,1817
DSG1,0,0,0,0,0,0,0,0
DSC3,0,0,0,0,0,0,0,0
DSC1,0,0,0,0,0,0,0,0
DTNA,605,434,536,555,384,495,575,524
FHOD3,1,0,1,0,0,0,0,0
TPGS2,2263,1648,1825,1769,1451,1717,2024,1850
DAGLA,118,67,96,139,113,76,143,106
SLC43A3,6724,4499,5317,5083,5307,5053,6824,6058
TIMM10,1491,1231,1325,1582,1220,1087,1309,907
CBLIF,0,0,0,0,0,0,0,0
DHX34,831,502,720,662,813,637,985,736
APLNR,0,0,0,2,0,0,0,0
FADS2,5921,3325,4617,5479,4681,3417,5444,4118
TMEM258,1498,1166,1308,1522,1214,918,1381,758
TCN1,1,2,0,5,0,0,0,6
C5AR2,7,16,11,21,7,9,5,7
TMEM165,1095,841,939,824,722,850,1123,1148
CLOCK,480,335,404,404,281,468,482,652
PDGFRA,1,3,0,7,0,0,0,1
GGACT,200,121,129,136,109,126,179,141
COL4A2,156,142,117,156,38,25,31,21
CLDN10,0,0,0,0,0,0,0,0
DZIP1,0,0,0,0,0,0,0,0
UBAC2,1879,1401,1524,1575,1344,1304,1714,1531
ARGLU1,1756,1402,1690,1620,1108,1675,1752,1904
BIVM,216,168,150,154,128,253,286,278
ERCC5,2471,1662,1870,1860,1613,1874,2206,2280
TPP2,3456,2231,2523,2458,1906,2897,3094,3629
POGLUT2,46,30,21,28,48,46,54,37
CARS2,1615,1154,1433,1395,1157,1143,1579,1313
ARHGAP32,247,163,226,233,268,263,287,334
STT3A,8135,5462,6167,5909,5178,6028,7759,7264
ADAMTS8,0,5,0,0,0,4,4,7
ACRV1,1,2,6,15,0,5,6,5
ETS1,147,86,100,110,68,105,120,132
SLC37A2,407,252,330,350,241,166,268,235
KLB,14,3,2,4,3,3,13,6
TMED7,1001,675,859,580,563,1011,1124,1529
APC,601,423,484,478,363,521,582,765
NREP,2836,1951,2316,2185,1730,2723,2904,3572
WDR36,1293,907,968,965,812,1175,1387,1467
OSTF1,2937,1960,2016,2060,1468,1823,2105,2094
RFK,375,246,277,266,269,420,481,558
UBQLN1,3990,2606,2941,2857,2383,3290,3743,4145
NAA35,699,456,599,527,443,583,646,786
C9orf40,645,412,450,483,454,482,613,467
ANXA1,2135,1385,1654,1618,1472,2035,2406,2509
CTSL,1,0,1,1,3,13,7,3
CEMIP2,152,82,105,105,72,93,120,124
AGTPBP1,760,508,665,619,469,739,770,945
GOLM1,278,194,248,190,143,231,269,356
FAM189A2,0,0,0,0,2,0,0,0
PSAT1,2305,1569,1639,1679,1723,2127,2821,2451
ISCA1,980,760,747,795,649,985,1145,1168
ADAM19,0,0,0,0,0,0,0,0
HAVCR2,36,38,21,29,27,26,33,22
CCNJL,0,0,2,0,0,0,0,0
TAOK3,8013,5815,6273,6039,4529,7156,6367,8342
USP30,206,153,183,209,98,174,185,166
SDS,0,0,1,0,1,3,1,0
MSI1,0,0,0,0,1,0,0,0
HNF1A,0,0,1,0,0,0,0,0
FBXO21,30,14,21,32,26,57,62,48
TBX3,102,63,49,79,43,77,65,92
OASL,27,14,28,25,28,8,15,18
HRK,1,0,1,0,0,0,0,0
RNFT2,16,12,16,23,23,7,10,13
P2RX4,486,338,350,449,299,280,362,325
BICDL1,962,717,825,851,687,562,818,605
DTX1,0,0,0,0,0,0,0,0
TRAFD1,1170,901,972,1072,764,661,1059,845
DMTF1,875,695,772,693,476,687,720,803
OCM2,0,0,0,0,0,0,0,0
TMEM243,114,78,85,92,84,148,149,126
CCDC146,202,201,206,206,133,173,156,195
TMEM60,380,303,323,362,200,256,308,327
CD36,818,601,680,553,512,829,843,1052
UGT2B28,0,0,0,0,0,0,0,0
PNPLA8,623,412,534,491,347,571,580,663
HILPDA,564,388,381,366,376,296,464,349
FAM71F1,1,0,1,0,0,0,0,0
RINT1,600,353,433,452,380,547,610,686
SRPK2,972,682,762,562,540,788,904,1029
KCP,12,19,20,8,23,12,8,6
TES,0,0,0,0,0,1,6,0
MDFIC,516,364,401,365,382,539,549,666
MTO1,2453,1727,1875,1786,1731,1988,2613,2408
ADGRB3,1,0,2,0,0,0,0,0
ANKRD6,2,7,6,0,3,8,0,7
KHDC1,14,27,36,25,18,17,19,13
CEP162,236,146,210,195,111,215,217,310
SYNCRIP,13605,9347,10382,9866,8798,15836,14391,19137
SNX14,1822,1221,1459,1378,909,1830,1830,2414
NT5E,4,2,6,3,8,3,5,2
MRAP2,0,0,0,0,0,0,0,0
EPHA7,0,0,0,0,0,0,0,0
AKIRIN2,1035,805,797,874,672,862,886,948
ORC3,394,278,325,323,232,383,499,475
LCA5,8,15,5,7,2,11,10,17
MAP3K7,1848,1285,1381,1407,1124,1601,1689,2034
GJA10,0,0,0,0,0,0,0,0
PRR5L,192,92,115,154,37,43,76,58
LMO2,7387,5588,6022,6856,5032,5135,6243,5306
PHF21A,949,664,856,810,628,810,983,983
NAT10,3548,2354,2694,2566,2602,2488,3533,2864
EHF,0,0,0,0,0,0,0,0
ELF5,0,0,0,1,0,0,0,0
PRRG4,987,761,893,848,545,710,788,960
CAPRIN1,13433,8579,10091,9085,8463,12739,14102,16021
ATP5MC2,6284,4758,5697,6537,5077,3988,5540,3477
DNAJC14,1725,1063,1322,1469,1124,1066,1485,1117
CD63,7232,5510,5896,6166,4335,4397,5108,4488
PRPH,1,0,0,0,0,0,0,0
AVIL,12,10,11,10,3,5,5,6
AMHR2,0,0,0,2,0,0,0,0
LACRT,0,0,0,0,0,0,0,0
GDF11,1419,950,1071,1091,1240,1208,1454,1445
GLS2,0,0,0,3,4,1,0,1
ITGA7,775,456,619,651,604,447,722,441
TESPA1,24,31,31,20,23,29,43,37
FAM186B,4,5,2,6,0,1,3,3
RDH5,16,8,26,7,7,6,7,9
AGAP2,832,561,696,630,672,573,826,603
BLOC1S1,1305,994,1067,1187,957,690,1024,604
KRT85,0,0,0,0,0,0,0,0
CDK4,5506,4301,4639,5028,4304,3542,5583,3705
PPP1R1A,1,1,3,1,0,1,0,1
TROAP,809,556,776,716,539,444,617,488
TSPAN31,805,659,763,718,533,490,696,652
B4GALNT1,2,0,2,0,0,0,0,3
TFCP2,2274,1574,1676,1695,1409,1810,2061,2150
COQ10A,122,77,161,116,108,94,109,110
PAN2,534,322,407,375,370,353,485,464
ESPL1,1034,662,861,791,735,619,1025,757
KRT87P,0,0,0,0,0,0,0,0
KRT7,0,0,2,0,1,0,0,0
ZC3H10,360,201,272,263,170,183,214,215
HNRNPA1,101640,73982,79533,84730,68526,83420,94828,89852
SLC26A10,0,0,0,0,0,0,0,0
ACVR1B,464,296,341,377,284,300,382,331
OS9,8791,5974,6970,7097,5897,5691,7162,6066
MIP,6,12,1,3,3,0,9,2
KCNH3,0,0,1,2,0,0,2,0
LTV1,2441,1593,1794,1823,1400,2323,2346,2426
MAP7,15,11,18,8,5,8,13,21
CD164,2329,1428,1732,1663,1239,2408,2512,3295
AFG1L,342,255,276,256,201,236,282,278
NHSL1,51,36,25,45,38,45,62,74
AHI1,199,153,146,164,119,183,160,227
HEY2,0,0,0,0,0,1,0,0
PKIB,1716,1314,1487,1455,938,1369,1385,1754
NMBR,0,0,0,0,0,0,0,0
SMPD2,242,165,206,195,172,167,220,174
MICAL1,3604,2524,3155,3082,2863,2578,3375,2587
REPS1,1588,1057,1247,1144,980,1361,1571,1432
STX11,118,87,93,99,116,99,145,159
TEC,897,596,590,678,462,595,629,774
PRADC1,514,310,432,442,347,249,444,245
SEMA4F,7,1,4,1,9,6,11,8
CCT7,13706,9470,10393,10473,10174,9988,13038,10972
EGR4,5,1,7,1,2,4,5,4
RAB11FIP5,2,1,4,4,3,11,9,6
SMYD5,760,484,619,608,646,483,774,521
DYSF,6,1,1,5,8,5,4,1
CCDC142,100,99,126,124,69,55,103,60
EMX1,0,0,0,0,0,0,0,0
KCNMB4,0,1,0,0,1,0,0,0
USP15,2488,1560,2003,1942,1407,2461,2473,3188
GNS,2877,1928,2124,2026,1834,1897,2609,2633
CPM,1475,1103,1231,1079,874,1151,1320,1390
MDM2,3758,2435,2798,2514,2600,4678,4341,5926
KLHL36,772,521,631,686,515,443,594,526
BCO1,0,0,0,0,0,0,0,0
MPHOSPH6,967,679,750,715,530,829,855,997
CHST5,0,0,1,0,0,0,0,0
KIAA0513,39,21,32,36,28,21,39,41
DYNC1LI2,1500,1092,1327,1255,836,1144,1132,1287
FBXL8,56,44,44,50,48,11,44,12
FHOD1,1062,774,857,991,785,729,1094,768
CCDC102A,103,76,62,91,51,62,104,85
SLC9A5,11,18,11,9,6,9,20,6
AGT,885,514,661,656,238,220,328,198
ZNF670-ZNF695,1,0,1,0,2,2,0,1
PCNX2,133,98,109,96,50,62,103,95
URB2,827,625,680,635,621,687,798,768
EGLN1,904,599,733,672,643,846,952,1102
CAPN9,0,0,0,0,0,2,5,0
COG2,1056,865,855,880,608,780,1040,817
ABCB10,5109,2993,3766,2866,3785,4622,6357,6542
NTPCR,1792,1408,1265,1467,1030,1171,1656,1311
TAF5L,1167,794,874,868,840,1025,1211,1224
GLUL,19879,14891,15985,16997,11624,13071,16210,15301
STX6,1017,621,704,810,666,747,864,970
RGS8,14,4,3,6,4,2,1,2
RNASEL,621,380,540,447,339,390,439,461
DHX9,11731,7609,8635,8188,7901,9039,11952,10918
KIAA1614,129,92,119,111,70,55,82,81
CEP350,1971,1190,1580,1333,1184,2200,2216,2662
NPL,191,151,163,118,117,108,182,164
NIBAN1,225,156,132,161,144,108,148,196
PIGC,954,667,740,821,556,551,792,645
LAMC1,498,294,348,310,358,409,544,502
RC3H1,1579,1158,1387,1154,783,1795,1549,2463
GPR55,29,20,26,21,12,11,13,12
SP110,478,423,363,380,275,326,447,412
MRPL44,2484,1903,1959,2120,1811,2052,2449,2388
CHRND,0,0,1,0,0,0,0,3
PAX3,0,0,0,0,0,0,0,0
DOCK10,3016,2014,2344,2272,1563,2053,2734,2618
TTLL4,808,502,519,596,478,534,700,493
USP37,456,313,288,322,319,392,476,532
HTR2B,6,2,2,8,9,8,13,8
ITM2C,5028,3728,4311,4338,4479,3447,5049,3708
SERPINE2,25,12,4,16,15,22,20,27
DNAJB2,196,148,175,188,102,90,105,84
WNT10A,0,0,1,0,2,1,0,2
TMBIM1,972,568,780,742,571,464,814,598
CYP27A1,9,0,4,0,0,0,3,5
EIF4E2,3866,2850,2938,3263,2574,2539,3317,2747
ARMC9,112,55,84,91,86,105,126,120
CAB39,3949,2714,2983,2801,2129,3503,3542,4501
COX5B,2521,2099,2285,2794,1988,1431,2314,1272
REV1,1050,669,802,752,623,774,912,905
TSGA10,75,45,47,59,41,57,67,59
MFSD9,173,116,144,127,126,113,169,163
TMEM127,2796,1901,2179,2115,1737,1672,2039,1861
EDAR,0,1,0,0,0,0,4,1
TGFBRAP1,1133,832,935,891,802,934,1210,1172
GCC2,592,490,522,428,354,727,610,872
MRPS9,966,736,844,902,701,935,951,1129
GPR45,0,0,0,0,0,0,0,0
C2orf49,386,311,324,314,298,319,377,420
ANKRD36,345,319,315,320,241,397,288,388
EPC2,831,560,580,609,454,645,744,904
ARHGEF4,0,0,3,0,0,0,0,1
ISCU,1019,781,845,910,700,848,873,768
ALDH1L2,209,170,198,163,132,234,260,303
STAB2,0,0,0,2,3,0,0,0
USP44,5,1,4,6,2,4,5,12
SCYL2,1400,914,1043,981,711,1238,1333,1734
CKAP4,50,62,75,97,59,70,73,63
PLXNC1,398,248,311,308,292,371,489,526
APPL2,271,164,205,200,153,182,268,213
PWP1,1924,1414,1513,1578,1408,1735,2141,1951
DRAM1,222,151,172,221,131,125,169,222
WASHC4,980,591,815,731,632,863,1097,1478
SLC41A2,3,2,0,0,0,5,8,14
VILL,295,220,251,305,176,119,212,150
FLNB,4335,2943,3420,3486,3120,2722,3740,3228
NEK3,283,176,239,211,145,152,176,192
PCDH8,0,0,0,0,0,0,0,0
VPS36,1303,891,994,976,670,1002,1142,1326
RNASEH2B,3295,2714,3050,2855,1874,3024,3063,3489
CKAP2,2454,1622,1926,1541,1278,2062,2261,2994
CNMD,0,0,0,0,0,0,0,0
TBC1D4,11,20,17,17,22,22,30,31
THSD1,22,10,14,7,5,10,6,8
BORA,792,660,804,719,536,748,841,926
LRCH1,817,533,622,685,567,655,827,862
SUCLA2,1277,819,984,909,701,893,1155,1150
RCBTB1,242,147,218,188,151,237,265,323
MED4,1472,1080,1242,1251,819,1418,1257,1599
PHF11,379,285,298,321,202,387,352,442
RPL13AP25,42,30,38,26,19,26,28,28
COG3,731,570,615,582,338,558,655,654
LMO7,355,242,246,267,193,310,353,355
ITM2B,3681,2641,3325,2843,2078,3628,3527,4831
SPRY2,82,52,43,74,65,50,86,58
NUDT15,1078,791,800,753,771,1138,1077,1263
EDNRB,0,0,0,0,0,0,0,0
RCBTB2,276,200,235,201,118,166,194,185
LCP1,43586,29399,32465,32758,27477,30035,39299,36424
SETDB2,1623,1130,1364,1269,883,1453,1438,1832
SCRN1,0,0,1,1,1,0,2,0
C7orf25,61,16,57,39,18,68,54,94
TNS3,1772,1150,1392,1349,1271,1120,1661,1377
SPDYE1,1,15,12,9,9,13,4,6
CHST12,62,40,39,57,53,26,44,17
IGF2BP3,0,0,3,2,0,1,0,1
GPNMB,3,4,5,2,4,0,4,2
RAPGEF5,0,0,0,0,0,0,0,0
RAC1,9317,6935,7143,7092,5700,6505,7584,7450
KDELR2,2892,2067,2428,2570,1950,2237,2706,2740
NUP42,541,293,390,441,386,396,550,497
IL6,0,0,0,0,0,0,0,0
ZDHHC4,853,646,780,768,626,476,762,543
AOAH,136,85,127,131,78,76,101,86
BZW2,4725,3389,3872,3716,3167,3665,4790,4028
DGKB,0,0,0,0,0,0,0,0
TBRG4,2114,1510,1785,1725,1671,1280,2095,1286
DDX56,1973,1337,1585,1579,1389,1219,1803,1271
HUS1,479,360,358,433,321,256,392,388
NACAD,0,0,0,0,1,0,0,0
DBNL,4586,3380,4100,4110,3421,2860,4027,2893
CCM2,1403,1073,1180,1164,1031,681,1115,770
MYO1G,8885,6025,7606,7321,6828,5435,8035,5724
TTYH3,4648,2988,3838,3687,3805,3278,4422,3270
MMD2,0,0,0,0,0,0,0,0
CIDEB,1505,1149,1216,1249,1015,1024,1213,1034
TTC5,448,318,299,323,299,335,447,430
NKX2-1,0,0,0,0,0,0,0,0
ZFHX2,45,53,44,61,57,55,73,96
MTHFS,139,95,134,169,100,106,116,111
ADAMTS7,3,1,1,0,0,0,1,0
ABHD17C,61,42,87,94,29,100,94,94
IREB2,3056,1922,2380,2149,1794,2803,3154,3891
ALPK3,8,7,10,1,0,4,5,3
TM6SF1,0,0,0,1,0,0,0,0
CIB2,36,40,21,23,28,7,52,32
CALCOCO2,5381,3980,4254,4178,3504,4563,5362,5267
RSAD1,627,474,465,602,506,447,672,461
NMT1,4364,2960,3244,3434,2770,2477,3360,2908
MYCBPAP,4,4,3,2,5,8,7,4
SRSF1,12857,8777,9457,9491,8186,11445,12435,13619
VEZF1,1599,988,1203,1069,896,1237,1256,1490
CHAD,0,0,1,0,1,1,0,0
TACO1,710,642,637,600,470,398,637,425
TEX2,2208,1457,1553,1553,1447,1627,2099,1981
DCAF7,9128,6536,7251,6869,6403,6852,8351,7991
CSH1,0,0,0,0,0,0,0,0
LIMD2,2067,1585,1727,1853,1783,1231,2013,1167
BRIP1,523,315,414,366,276,399,456,591
KAT7,2443,1835,1995,1906,1404,1832,2212,2209
RTP4,124,90,121,114,77,56,85,71
ACTL6A,3619,2673,2738,2655,2078,2501,3273,2756
NDUFB5,2664,1845,2143,2351,1516,1831,2126,2148
MRPL47,1596,1331,1331,1489,1063,1293,1436,1451
TRA2B,8058,5866,6633,6667,5214,7796,8046,9162
SCN2A,0,0,0,0,0,0,0,0
TBR1,0,0,0,0,0,3,0,1
MARCHF7,5065,3556,4201,3954,3096,5612,5649,7332
ERMN,20,26,29,25,2,25,15,17
GALNT5,0,0,0,0,0,0,0,0
SCN7A,0,0,0,1,0,1,1,4
TANK,766,610,684,629,416,629,597,784
BLK,36,25,34,45,2,7,22,19
GATA4,0,0,0,0,0,0,0,0
SKIL,363,201,231,206,128,309,329,395
EPRS1,7967,5427,5810,5586,5762,6382,8855,8221
HLX,1769,1277,1420,1634,1500,1584,1869,1514
VPS45,632,461,471,433,328,383,491,477
IL10,0,0,0,0,0,0,0,0
KCTD3,1698,1266,1343,1236,939,1263,1476,1657
RPS6KC1,266,213,224,254,217,298,316,399
CBWD2,1957,1307,1691,1601,1035,1470,1607,1709
IL36G,0,0,0,0,0,0,0,0
IL1RN,360,254,307,295,189,211,284,211
IL36A,0,0,0,0,0,0,0,0
SMPD4,3207,2176,2474,2478,2664,2180,3184,2411
WDR33,3111,1879,2349,2444,2171,2194,2752,2426
CCDC115,1006,815,784,842,548,570,791,665
SAP130,1078,621,772,741,859,871,1040,928
BIN1,12,6,15,7,17,5,22,3
IMP4,2370,1797,1971,2036,1786,1821,2310,1898
HS6ST1,811,628,739,757,919,662,1006,646
UGGT1,4314,2675,3272,2995,3106,3531,4096,4250
GYPC,172,145,146,183,156,94,149,138
STAM,466,342,324,304,281,371,373,469
ABI1,1597,1030,1119,1179,947,1440,1505,1649
YME1L1,6200,4316,4943,5049,3990,5256,5791,6295
DNAJC1,217,193,187,220,176,214,189,229
NIPSNAP3A,1436,1020,1224,1086,843,957,1456,1195
LRRC8A,426,319,343,341,468,434,575,459
CDK9,1744,1222,1385,1403,1165,1133,1424,1220
TXN,4703,3812,3981,4363,2985,3303,4288,3484
ODF2,3168,2236,2501,2533,2097,2616,2930,2592
ECPAS,3742,2360,2693,2604,2540,2907,3654,3595
TOR1B,583,435,543,542,380,433,531,534
C9orf78,3812,2954,2979,3163,2581,3180,3361,3182
SMC2,3368,2214,2364,2303,1994,3162,3375,4069
KLF4,305,130,210,170,294,348,464,424
TOR1A,1973,1424,1440,1444,1144,1125,1609,1295
RALGPS1,62,29,26,39,15,27,47,41
NIBAN2,487,323,424,511,575,362,524,390
OR1J1,0,0,0,0,0,0,0,0
ST6GALNAC4,277,231,279,246,300,206,343,218
TMOD1,352,211,249,259,159,201,253,260
DAB2IP,0,0,0,4,5,3,0,0
STXBP1,397,271,353,327,262,268,309,315
SLC2A8,0,0,0,0,0,0,0,0
ANGPTL2,0,5,0,0,2,2,6,6
CDK5RAP2,2654,1615,2038,1871,1604,1880,2348,2085
ZFP37,17,8,10,7,18,18,21,24
SLC31A2,193,121,161,119,112,97,208,152
SLC31A1,1108,700,868,788,833,986,1276,1222
TLR4,925,547,671,571,363,649,677,832
ZNF189,868,627,602,650,465,570,661,771
ALDOB,3,1,3,1,2,5,0,0
STX17,180,129,143,119,83,161,219,170
PRPF4,2334,1645,1700,1754,1528,1591,2179,1872
FPGS,1611,1265,1562,1550,1485,1027,1703,1020
USP20,1088,728,1007,947,853,731,1072,770
BAAT,1,2,2,1,4,5,2,1
KIF12,0,1,0,0,0,0,0,0
ATP6V1G1,1806,1333,1439,1374,1203,1213,1486,1416
TEX10,1279,834,1057,959,911,1191,1380,1537
GARNL3,29,21,22,39,36,26,41,26
MRPL50,1036,819,845,847,669,838,1032,949
DPM2,1074,827,945,891,751,683,969,741
WDR38,0,0,0,0,0,0,0,0
TSTD2,382,270,322,287,246,239,344,294
GABBR2,2,0,0,3,3,0,1,5
HEMGN,0,0,0,0,0,0,0,0
PSMB7,2974,2327,2500,2722,2239,2039,2811,2055
NR5A1,0,0,2,3,0,0,0,0
TRMO,438,313,304,341,220,274,374,234
RABEPK,612,449,483,482,428,387,619,422
GOLGA1,318,192,218,258,171,204,215,279
XPA,287,196,208,268,173,270,269,291
NCBP1,3679,2449,2990,2674,2299,2916,3632,3667
ANP32B,15663,12331,13083,13258,9905,14136,12729,14204
OR1L4,0,0,0,0,0,0,0,0
PDCL,623,413,540,471,381,360,522,557
RPL35,14840,12180,13117,15863,11696,10810,13647,9037
CTSV,16,3,12,4,16,19,14,15
LMX1B,0,0,0,0,0,0,0,0
ARPC5L,1354,1062,1182,1345,999,1095,1285,1234
ENPP2,636,419,514,455,449,645,694,708
DSCC1,734,484,555,456,449,674,859,880
DERL1,4133,2845,3333,3334,2424,3088,3727,3440
MYC,7065,4950,5691,5953,5262,4992,6681,5522
CCN3,33,16,20,27,85,140,147,137
IL33,0,0,0,0,3,0,0,1
DMAC1,933,707,801,704,640,544,895,634
RANBP6,557,459,525,394,338,648,643,764
POLR1E,1055,779,825,780,833,784,1098,864
PLAA,1720,1204,1416,1288,1278,1855,2020,2245
IL11RA,26,22,24,29,32,17,32,13
UBAP2,1757,1246,1429,1397,1489,1561,1838,1839
APTX,1066,746,828,848,702,801,1007,942
RNF38,1064,846,899,798,707,860,1038,1288
TLN1,10607,6772,8570,7938,8808,7187,10973,8332
CCL21,0,0,0,0,0,0,0,0
SIT1,17,3,9,8,5,2,4,5
IFNA21,0,0,0,0,0,0,0,0
DMRT1,1,4,4,7,3,1,1,2
DNAJB5,154,126,152,102,131,163,199,210
SPAG8,36,20,33,39,35,19,22,13
DCTN3,1241,934,1064,1083,748,744,938,734
CD72,138,131,167,151,112,69,102,90
TMEM8B,82,40,56,55,78,53,83,50
GRHPR,1952,1427,1664,1534,1481,1268,1669,1193
ALDH1B1,2565,1838,2048,2024,1621,1666,2291,1944
HINT2,442,320,335,483,233,215,358,212
