GENE,MV411-RUNX1-dTAG-DMSO_1h,MV411-RUNX1-dTAG-VHL_1h,MV411-RUNX2-dTAG-DMSO_1h,MV411-RUNX2-dTAG-VHL_1h,MV411-SPI1-dTAG-DMSO_1h,MV411-SPI1-dTAG-VHL_1h,MV411-GFI1-dTAG-DMSO_2h,MV411-GFI1-dTAG-VHL_2h
GIPC1,2.5,5.0,8.5,18.0,3.0,4.0,11.0,5.5
TRAF3IP2,6.0,5.0,3.5,6.0,6.0,11.0,2.0,4.5
NUP50,328.5,308.5,222.0,326.5,309.0,257.0,254.0,335.5
KDM5B,178.5,126.5,90.0,139.0,68.0,69.0,52.0,70.5
TOB2,133.0,149.0,135.5,301.0,135.0,105.0,172.0,160.0
HBS1L,16.0,15.0,17.0,15.5,37.0,33.0,15.0,15.5
AHCYL1,56.5,53.5,47.0,84.5,93.0,100.0,65.0,87.0
PLK2,28.5,29.0,5.5,15.0,15.0,13.0,9.0,7.5
ZMYND11,56.5,58.0,50.0,68.5,57.0,47.0,65.0,68.0
SRSF10,614.5,486.5,399.5,540.0,555.0,525.0,400.0,537.5
ZBTB6,109.0,92.5,64.0,66.5,89.0,84.0,75.0,92.0
POP4,49.0,49.5,56.0,87.5,40.0,39.0,66.0,70.0
ARPP19,300.5,240.0,246.5,310.5,263.0,251.0,208.0,257.0
ZNF271P,63.5,69.0,61.5,88.0,64.0,47.0,73.0,91.5
ZNF234,17.0,17.5,11.5,14.5,10.0,10.0,8.0,6.5
ZNF266,47.0,45.0,29.5,51.0,41.0,48.0,34.0,41.5
ZNF274,43.0,53.5,60.0,78.0,35.0,33.0,28.0,35.5
NEK6,153.0,119.0,207.5,332.5,95.0,75.0,174.0,199.0
WDR4,27.0,34.5,44.5,95.0,40.0,40.0,52.0,64.0
IQGAP2,16.0,23.0,7.5,7.0,23.0,22.0,6.0,10.0
VAMP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF273,12.5,15.5,7.5,12.0,23.0,23.0,7.0,10.0
ZNF460,23.5,22.0,18.0,30.0,19.0,10.0,19.0,27.5
ZNF268,151.0,185.0,163.5,252.5,163.0,142.0,165.0,189.5
MTHFD2,104.5,99.0,132.0,197.0,141.0,126.0,212.0,200.0
RPP40,0.0,1.0,0.0,3.5,2.0,2.0,2.0,0.5
CYSLTR1,13.5,18.5,17.0,19.5,3.0,3.0,13.0,22.0
SEPTIN9,35.0,23.0,58.5,105.5,27.0,29.0,57.0,39.0
SEC24A,66.5,51.5,38.0,44.5,38.0,25.0,35.0,40.5
CCR9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDCCAG8,2.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0
ENTR1,40.5,46.5,53.5,99.5,29.0,25.0,74.0,82.5
HSPH1,21.5,25.5,60.5,78.0,38.0,32.0,33.0,58.0
STARD10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WASF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOXA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTP14A,12.0,13.5,14.0,20.5,8.0,11.0,19.0,12.0
CPLX1,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0
FRS3,1.5,5.0,2.0,4.0,4.0,4.0,2.0,2.0
FRS2,119.5,106.5,93.5,87.5,98.0,93.0,92.0,96.0
10824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEU3,19.0,26.5,11.0,26.0,19.0,6.0,12.0,11.5
FAXDC2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
FAM114A2,8.0,12.5,8.0,7.5,6.0,8.0,6.0,5.5
ZNF275,90.5,102.0,99.5,195.0,76.0,50.0,116.0,133.0
FTCD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUBGCP2,34.0,36.5,43.5,78.0,28.0,21.0,51.0,47.0
CLPX,129.5,103.5,113.0,181.0,105.0,81.0,107.0,140.5
SRCAP,15.5,18.0,20.5,32.0,22.0,14.0,23.0,20.0
PPP1R13L,1.0,0.5,2.0,3.5,0.0,0.0,0.0,1.0
POLR1G,65.0,66.0,61.0,173.0,56.0,38.0,102.0,93.5
CCL27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPSE,1.0,2.0,3.0,4.0,3.0,3.0,2.0,1.5
RUVBL2,2.0,5.0,6.5,9.0,3.0,2.0,4.0,3.5
PGRMC1,33.5,44.5,33.0,47.5,36.0,41.0,31.0,38.0
LILRB1,2.0,5.0,8.5,12.5,0.0,0.0,6.0,9.0
SLC26A1,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0
ADAM28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARID5A,11.5,12.0,10.5,24.0,9.0,7.0,16.0,14.5
