GENE,MV411-RUNX1-dTAG-DMSO_1h,MV411-RUNX1-dTAG-VHL_1h,MV411-RUNX2-dTAG-DMSO_1h,MV411-RUNX2-dTAG-VHL_1h,MV411-SPI1-dTAG-DMSO_1h,MV411-SPI1-dTAG-VHL_1h,MV411-GFI1-dTAG-DMSO_2h,MV411-GFI1-dTAG-VHL_2h
TMEM14EP,45.0,31.0,25.0,34.5,24.0,34.0,39.0,50.5
ADORA2A-AS1,15.0,7.5,11.0,7.5,44.0,50.0,18.0,20.0
RAET1K,0.0,1.0,0.0,0.5,1.0,2.0,0.0,0.5
646074,43.5,38.0,31.5,45.5,35.0,35.0,36.0,27.0
CHEK2P2,4.0,6.5,1.5,0.5,3.0,6.0,1.0,1.0
LRRC77P,0.0,0.0,8.5,9.0,5.0,5.0,4.0,2.5
646214,865.5,721.5,745.5,791.0,752.0,759.0,924.0,946.5
646243,0.5,1.5,2.5,2.0,0.0,0.0,0.0,0.0
LINC00607,3.0,5.0,0.5,2.0,0.0,0.0,3.0,2.5
646405,6.0,7.5,9.5,10.5,2.0,2.0,3.0,1.5
646450,8.0,10.0,7.0,9.0,6.0,8.0,7.0,8.5
646471,236.0,161.5,123.0,158.0,163.0,160.0,165.0,175.5
URAD,2.5,2.5,3.0,3.5,4.0,5.0,5.0,4.5
NIPBL-DT,806.5,607.5,730.5,818.5,2825.0,2664.0,770.0,898.0
646762,165.5,132.5,400.5,519.0,391.0,374.0,70.0,46.0
ZAR1L,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0
SETSIP,52.0,47.5,55.5,65.5,48.0,40.0,47.0,48.5
FAM227A,61.0,55.5,14.0,13.0,24.0,28.0,27.0,29.5
C6orf132,5.0,6.0,5.0,7.0,5.0,2.0,5.0,6.5
647033,12823.0,11392.5,11878.0,13938.5,13561.0,13800.0,14727.0,13745.0
GOLGA6L10,6.5,6.0,6.0,7.0,5.0,2.0,6.0,4.5
STMP1,2012.0,1690.5,1414.0,1816.0,2156.0,2283.0,2373.0,2359.0
LINC01192,0.0,0.5,1.0,2.5,0.0,0.0,0.0,0.0
