ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 8_Out_Channel Alignment_P2-6.czi",3,6,79369.848974903,366.93209876543,236.94444444444,52, , ,"Aqua", , ,22131,329,1203,14690.432098765,61.913580246914,614.07407407407,8117,0,0,81,81,81,14014,329,1203,3838.619432616,96.860363091781,259.66886498856,1189925,5015,49740,18659312347,1061051,35938278
"Image 8_Out_Channel Alignment_P2-6.czi",7,8,53893.107328638,254.97272727273,138.19090909091,52, , ,"White", , ,6661,6065,10456,3236.2181818182,4037.2727272727,5370.8909090909,1161,2079,3376,55,55,55,5500,3986,7080,1395.1522642364,1093.8421826474,1809.2369239926,177992,222050,295399,681129238,961086908,1763316069
"Image 8_Out_Channel Alignment_P2-6.czi",7,9,44094.360541613,315.67777777778,180.9,52, , ,"White", , ,2070,4452,4092,674.06666666667,3165.4,1101.3333333333,0,1912,0,45,45,45,2070,2540,4092,670.77256679417,683.39494770261,1342.4920856378,30333,142443,49560,40243641,471438333,133882620
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57324628.453454,318.22200950395,236.07314279854,53,31.30295,31.30295,"Yellow",3,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,25476.741646265,250.03846153846,194.38461538462,53, , ,"Aqua", , ,15961,3893,369,12724.615384615,1741.1923076923,21.384615384615,8817,13,0,26,26,26,7144,3880,369,1975.896598042,1185.1249392104,77.413216919633,330840,45271,556,4307415938,113938545,161710
"Image 8_Out_Channel Alignment_P2-6.czi",3,5,37235.237790695,263.21052631579,216.5,53, , ,"Aqua", , ,18736,3207,5939,13669,1618.8947368421,2187.3157894737,9607,892,10,38,38,38,9129,2315,5929,2634.0944082078,559.66774841883,1814.5190428985,519422,61518,83118,7356702092,111180602,303627050
"Image 8_Out_Channel Alignment_P2-6.czi",3,6,89168.595761928,366.87362637363,236.53296703297,53, , ,"Aqua", , ,24097,325,1333,14974.604395604,61.593406593407,656.10989010989,7857,0,0,91,91,91,16240,325,1333,4513.1466575849,96.828138474766,307.42502068886,1362689,5605,59706,22238893037,1189043,47679610
"Image 8_Out_Channel Alignment_P2-6.czi",7,8,44094.360541613,255.45555555556,137.76666666667,53, , ,"White", , ,6998,6301,10546,3798.0222222222,4356.5111111111,4954.9333333333,1852,2345,3045,45,45,45,5146,3956,7501,1357.9334146363,1070.1542926611,1956.2802875959,170911,196043,222972,730259035,904453637,1273200828
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,56912101.21372,317.8680893924,235.7468104888,54,31.30295,31.30295,"Yellow",2,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,30376.115039778,262.95161290323,216.79032258065,54, , ,"Aqua", , ,18332,2836,4392,13947.806451613,1551.2258064516,1723.5806451613,9931,895,0,31,31,31,8401,1941,4392,2373.8514193796,493.09280463062,1412.4588908282,432382,48088,53431,6199835566,81889562,151943841
