,K562_DMSO_rep1,K562_DMSO_rep2,K562_DMSO_rep3,K562_JQ1_rep1,K562_JQ1_rep2,K562_JQ1_rep3,MV4.11_DMSO_rep.1,MV4.11_DMSO_rep.2,MV4.11_DMSO_rep.3,MV4.11_JQ1_rep.1,MV4.11_JQ1_rep.2,MV4.11_JQ1_rep.3,genes
5793,144,154,97,123,102,102,144,125,199,97,170,128,RBM34
5794,38,34,29,39,32,21,66,57,90,40,74,69,KDM4B
5795,13,5,7,8,4,11,37,34,53,23,19,40,MAST3
5796,50,38,40,45,42,32,68,44,86,35,90,42,USP33
5797,4,4,4,10,3,4,6,7,8,4,8,6,DOP1A
5798,22,39,34,30,15,22,0,0,0,0,0,0,SAMD4A
5799,41,41,21,40,33,16,7,8,19,14,21,12,PHLPP2
5800,66,56,51,74,51,25,124,90,162,106,143,133,ZNF292
5801,3,4,0,4,2,1,9,3,9,6,2,4,WDTC1
5802,118,148,97,101,93,69,102,113,167,94,142,134,XPO7
5803,9,12,10,13,14,5,16,14,34,13,17,20,MON2
5804,43,40,22,36,40,31,79,79,92,69,86,63,PDXDC1
5805,6,6,12,12,15,18,0,0,0,0,0,0,TNIK
5806,13,20,25,14,9,6,41,32,63,17,45,17,KIF21B
5807,42,41,44,42,42,20,111,81,133,61,119,98,PDS5B
5808,11,4,3,6,2,3,116,117,174,100,151,115,FNBP1
5809,93,69,62,87,54,47,80,101,166,62,137,110,SMG1
5810,22,31,33,33,24,21,43,42,67,32,77,52,ZHX3
5811,32,18,21,20,26,20,23,24,18,19,58,20,ENDOD1
5812,22,15,14,21,10,6,10,2,12,4,10,7,ZSWIM8
5813,140,91,95,89,96,66,112,80,166,82,131,87,NCOA6
5814,0,0,0,0,0,0,0,0,2,0,0,0,NMNAT2
5815,20,13,3,14,9,3,29,34,42,28,42,29,CLUAP1
5816,38,70,34,55,46,32,16,11,13,18,30,21,ZNF609
5817,20,20,19,22,12,7,63,55,84,33,55,44,TBC1D9B
5818,98,51,44,64,62,32,126,91,149,57,82,80,GGA2
5819,76,103,76,84,90,79,182,215,353,201,342,213,WAPL
5820,94,86,99,104,78,51,160,152,212,115,149,146,SETX
5821,48,36,35,66,31,22,31,29,50,24,41,31,EMC1
5822,21,24,24,23,20,17,0,2,1,0,0,0,CAND2
5823,268,279,260,238,194,157,709,609,1061,503,894,607,SETD1B
5824,27,24,10,25,31,7,9,1,6,5,1,3,CMTR1
5825,52,36,44,30,25,34,80,90,124,54,127,87,ERP44
5826,0,0,0,0,0,0,0,2,0,2,0,1,HECW1
5827,11,22,10,7,17,10,19,24,22,19,30,24,UHRF1BP1L
5828,4,9,4,6,1,1,20,11,27,18,35,15,SWAP70
5829,112,143,93,152,107,85,122,120,156,117,188,106,RRP1B
5830,45,37,32,36,35,37,124,106,189,119,183,167,MYCBP2
5831,24,34,20,33,21,17,19,16,31,17,18,24,VWA8
5832,72,79,60,94,101,62,145,130,237,143,266,138,AVL9
5833,17,17,21,23,12,9,26,33,46,31,46,28,KDM4C
5834,173,138,104,131,111,85,140,106,200,68,122,105,PPRC1
5835,19,17,14,27,30,19,62,52,87,55,110,75,ERC1
5836,53,43,47,27,36,12,0,0,0,2,5,0,EXPH5
5837,56,41,55,73,42,46,134,142,210,138,191,146,TRIM35
5838,0,0,0,0,0,1,0,0,0,0,0,0,PEG10
5839,2,0,2,1,2,0,3,5,6,3,2,6,ZC3H13
5840,0,2,1,2,2,1,55,48,91,78,127,62,ARHGAP26
5841,2,3,1,8,5,5,9,11,13,18,18,5,TTLL5
5842,9,7,6,7,5,2,31,28,28,30,24,23,SIPA1L3
5843,35,26,40,31,30,27,10,6,10,9,9,3,KIF1B
5844,16,16,12,6,15,4,2,2,1,7,3,0,IQSEC2
5845,8,16,8,11,12,3,74,66,99,64,100,73,CDK19
5846,1,0,0,0,0,0,2,0,0,0,0,2,SARM1
5847,399,385,357,453,378,269,302,265,476,301,511,314,ZBTB43
5848,15,5,7,9,3,8,36,37,81,32,56,27,TBC1D2B
5849,159,166,159,184,164,125,153,184,276,151,219,153,MRPS27
5850,0,0,0,0,2,0,14,13,26,19,26,31,RAP1GAP2
5851,1,2,1,9,1,1,7,3,9,4,3,1,DDN
5852,67,53,59,38,36,32,224,187,328,136,210,137,SPART
5853,124,71,103,121,116,94,323,247,393,282,464,348,TNRC6B
5854,1,2,0,2,0,0,0,1,2,1,0,2,CUL9
5855,1,0,0,0,0,0,0,0,0,0,0,0,NFASC
5856,10,18,10,13,13,6,17,8,22,27,26,15,TOGARAM1
5857,1,0,0,0,0,0,0,0,1,0,0,0,NPIPB3
5858,243,271,244,214,213,159,271,231,419,202,369,218,TAB2
5859,1758,1766,1601,1765,1587,1177,322,273,481,296,495,331,HIC2
5860,64,74,43,91,64,42,83,60,127,88,119,68,CLASP2
5861,5,4,3,5,10,8,20,10,18,6,9,13,CAMTA2
5862,84,90,89,103,89,54,140,121,210,110,146,113,POGZ
5863,42,53,38,23,25,16,7,11,17,9,5,11,COLGALT2
5864,6,0,0,2,4,1,18,16,13,5,3,10,PLXND1
5865,24,27,14,41,36,16,18,16,22,15,25,21,ATG2A
5866,84,68,59,72,53,57,113,101,166,98,190,119,GPATCH8
5867,37,33,23,32,32,9,42,50,80,51,65,51,RAD54L2
5868,25,46,19,28,22,13,20,25,33,21,25,25,PHF8
5869,9,18,19,7,1,3,66,45,84,42,42,36,KDM6B
5870,1,9,6,7,13,9,22,41,47,16,20,19,EPB41L3
5871,48,61,38,39,47,49,104,100,107,87,149,96,SMC5
5872,6,13,5,5,10,2,0,0,0,0,0,0,N4BP3
5873,42,12,17,33,38,16,17,5,12,6,13,17,MAST2
5874,26,35,22,45,31,20,66,53,116,47,79,66,ZZEF1
5875,58,93,54,84,69,38,133,110,189,109,126,113,ANKLE2
5876,42,42,34,51,26,30,41,46,43,36,37,43,DCUN1D4
5877,43,54,19,40,31,21,107,85,160,60,119,110,LRCH1
5878,8,9,11,8,2,3,20,9,20,9,11,8,ZC3H3
5879,6,9,4,13,2,2,40,15,28,21,5,12,FCHO1
5880,0,0,0,0,0,0,12,13,9,10,6,11,FRMD4B
5881,10,13,6,12,7,2,106,90,108,56,83,49,GRAMD4
5882,33,21,25,40,33,23,54,38,72,32,30,38,CIC
5883,15,20,13,18,12,10,7,8,18,12,11,15,NCDN
5884,52,50,25,47,36,24,8,2,13,14,11,10,CLCC1
5885,21,11,18,29,24,4,51,70,105,51,56,62,SEPTIN6
5886,477,461,398,385,341,262,365,321,499,235,374,286,WDR43
5887,41,38,28,30,31,23,53,44,53,30,72,39,SNX13
5888,14,10,6,8,12,6,17,7,15,10,11,10,MAPK8IP3
5889,41,49,33,73,57,31,58,61,80,54,57,41,GGA3
5890,11,15,11,20,29,7,30,45,80,35,39,42,MPRIP
5891,249,246,203,256,237,139,85,103,156,73,84,63,NUP205
5892,68,52,45,63,49,25,145,105,222,134,192,143,EFR3A
5893,97,107,96,124,76,92,120,100,176,121,191,142,RTF1
5894,52,51,75,70,60,25,62,37,88,41,39,36,SLC35D1
5895,30,50,36,42,43,23,66,43,97,43,46,55,TTLL12
5896,16,16,11,10,7,5,38,32,48,26,50,35,GPD1L
5897,67,71,63,71,60,39,156,151,279,148,187,167,ABRAXAS2
5898,157,103,110,118,72,68,142,115,180,135,172,150,METAP1
5899,49,32,48,52,46,38,134,78,125,105,193,137,ZCCHC14
5900,119,97,81,110,87,53,64,49,66,55,67,59,LPIN1
5901,40,34,23,40,19,15,20,24,32,10,5,14,SEPTIN8
5902,31,37,18,39,36,35,62,48,68,51,70,55,CEP68
5903,6,6,2,5,1,4,22,13,41,12,26,13,PASK
5904,1,0,1,0,0,0,38,55,72,18,24,28,RGL1
5905,0,0,0,0,0,0,63,48,97,50,104,70,RFTN1
5906,22,18,11,10,12,7,20,24,33,19,29,26,DIP2A
5907,140,159,163,168,180,139,114,119,180,138,227,145,MESD
5908,105,102,73,117,67,45,188,172,333,187,280,180,LARP4B
5909,62,95,79,91,85,47,194,136,257,196,260,171,RCOR1
5910,5,7,9,6,5,6,4,0,2,2,0,0,PHLDB1
5911,1,1,3,2,2,4,28,32,73,17,29,16,KANK1
5912,55,64,44,56,61,42,67,59,86,61,114,62,UBXN4
5913,25,23,13,20,18,19,9,14,12,15,8,11,CYFIP1
5914,31,26,14,24,15,16,33,22,45,33,35,32,ATG4B
5915,143,86,77,104,90,69,128,110,145,93,156,102,GANAB
5916,57,50,56,92,66,53,74,67,112,59,53,66,MDN1
5917,395,404,353,378,349,247,500,406,636,362,536,414,FAM120A
5918,141,151,147,164,150,116,178,147,277,143,263,198,FAF2
5919,109,81,99,60,86,53,75,52,98,58,88,67,PSME4
5920,348,316,307,260,196,185,298,196,323,136,249,160,GSE1
5921,81,95,57,94,63,68,64,73,85,58,89,56,ATP11B
5922,11,9,7,3,9,1,11,15,33,13,7,11,FAM168A
5923,20,22,13,30,19,10,20,10,21,8,12,7,PMPCA
5924,400,457,384,690,622,468,710,690,1246,858,1187,962,ARL6IP1
5925,23,15,28,27,11,10,26,15,36,26,21,30,PLEKHM2
5926,0,0,0,0,0,0,7,5,3,4,6,1,SYT11
5927,0,2,0,0,0,1,78,55,130,58,71,52,MLC1
5928,149,137,133,119,121,91,81,84,139,48,106,76,JMJD6
5929,176,254,174,190,171,148,462,348,639,320,425,351,ZC3H4
5930,349,285,265,183,194,150,496,366,476,271,423,330,RRS1
5931,127,117,73,108,108,79,111,83,132,71,92,97,XPO6
5932,170,167,140,166,148,114,166,151,235,104,182,150,PRRC2C
5933,16,17,16,23,14,15,53,49,94,36,77,46,TBC1D1
5934,15,6,5,23,9,3,25,10,28,3,3,4,NBEAL2
5935,263,280,251,299,316,198,161,155,226,166,202,172,FBXO28
5936,0,0,1,0,0,0,258,198,371,61,124,76,DTX4
5937,4,8,5,3,3,12,67,35,66,57,90,70,RHOBTB2
5938,32,33,37,48,35,15,76,45,75,32,55,48,RRP12
5939,71,58,42,68,50,44,93,72,129,64,92,67,NUP210
5940,35,16,34,25,16,10,1,4,2,2,1,3,PLCL2
5941,0,0,0,0,0,0,22,10,17,11,25,12,ARHGEF9
5942,24,21,18,17,27,9,33,20,44,24,25,27,VPS13A
5943,19,18,21,20,9,28,4,10,19,16,20,13,SEL1L3
5944,22,14,21,14,20,13,21,16,44,10,25,14,TBC1D12
5945,2,4,3,4,4,2,3,0,5,5,2,3,EXOC6B
5946,609,598,493,700,620,425,358,262,455,255,354,326,DNAJC9
5947,37,30,33,28,30,17,39,27,53,29,42,32,SIK2
5948,1,0,0,0,0,0,0,0,0,1,0,0,PLCB1
5949,0,0,1,4,2,2,0,0,1,0,0,0,ARC
5950,29,33,22,42,23,21,243,188,331,203,294,229,PHLPP1
5951,102,82,74,52,83,45,112,92,132,86,171,63,TMEM131L
5952,1,1,0,2,0,0,2,2,3,4,6,2,PACS2
5953,8,9,2,20,11,7,0,0,0,0,0,0,COBL
5954,78,77,68,67,72,62,120,115,177,63,103,83,ANKRD28
5955,141,171,151,176,152,110,206,194,290,153,277,185,PDS5A
5956,4,9,5,10,6,7,20,15,24,10,15,26,BOP1
5957,10,4,3,7,9,2,6,11,21,3,15,11,KIAA0556
5958,295,303,258,231,191,155,228,198,364,184,250,202,RPRD2
5959,49,40,29,31,33,14,101,57,84,61,119,81,ATP11A
5960,3,1,0,0,2,2,5,3,7,13,4,8,MINAR1
5961,61,49,60,76,58,32,37,54,76,52,51,60,OTUD3
5962,88,81,42,92,71,60,114,88,120,76,142,105,ANKRD12
5963,64,48,50,29,56,30,48,40,82,29,70,41,KAZN
5964,7,3,6,8,5,2,0,0,0,0,0,1,MTCL1
5965,57,39,50,42,25,34,42,45,52,46,79,54,SCFD1
5966,35,42,42,36,36,28,29,24,50,22,27,6,DENND5A
5967,28,33,23,28,23,22,27,21,29,28,37,15,DDHD2
5968,52,51,35,36,53,37,159,139,197,126,184,145,CAMTA1
5969,41,36,38,23,18,19,40,37,62,36,55,37,PPIP5K2
5970,64,68,31,68,52,32,126,72,111,71,120,66,ZC3H7B
5971,20,11,12,19,11,2,10,18,21,9,7,12,EXOC7
5972,0,0,3,0,0,0,3,5,2,4,3,0,ADGRL2
5973,20,15,22,19,20,13,41,22,35,29,34,30,DNMBP
5974,47,40,36,37,40,21,49,40,65,26,51,30,MGA
5975,66,67,42,43,50,31,43,24,39,23,28,16,TSPYL4
5976,9,5,4,14,4,6,9,7,12,2,2,5,CAMSAP2
5977,34,45,33,43,42,23,164,163,227,114,164,131,TASOR
5978,19,13,13,18,10,3,28,20,36,22,35,33,CLEC16A
5979,17,23,9,29,15,7,34,26,45,31,24,23,POFUT2
5980,69,69,65,65,66,32,43,46,77,58,47,54,KLHL18
5981,57,43,47,42,47,33,93,75,152,75,78,93,CLUH
5982,105,109,99,104,96,63,178,122,225,122,189,131,NUP160
5983,250,210,203,212,168,177,272,263,384,248,390,218,CSTF2T
5984,0,0,0,0,0,0,31,7,19,31,27,23,ADGRL3
5985,0,0,0,1,0,0,3,0,4,2,0,1,KIAA1107
5986,0,0,0,0,0,0,12,23,26,25,33,7,WWC1
5987,9,5,5,6,6,7,12,17,18,24,21,18,AGTPBP1
5988,3,5,6,9,13,5,11,7,14,12,11,7,IQCE
5989,58,33,53,49,40,31,76,60,105,56,103,84,FBXW11
5990,11,7,12,17,10,7,22,15,30,25,36,24,SMG6
5991,32,23,24,34,35,18,37,54,59,38,60,57,ANKS1A
5992,6,16,10,22,15,5,96,96,107,50,80,60,MGRN1
5993,104,79,76,88,78,68,162,118,259,135,199,119,BICD2
5994,208,194,176,206,188,160,112,86,177,109,222,148,ATMIN
5995,36,36,43,53,40,40,62,35,86,48,79,63,EHBP1
5996,0,0,0,0,0,0,0,2,4,1,10,1,WSCD1
5997,10,10,18,21,12,12,15,9,35,17,14,17,KIF13B
5998,42,34,35,48,42,19,37,37,73,27,61,30,UBR2
5999,3,1,0,0,2,0,0,0,0,0,0,0,ACSL6
6000,65,70,70,88,80,50,67,62,87,61,88,60,NEMP1
6001,11,15,16,17,13,12,30,33,35,20,30,27,FKBP15
6002,0,0,1,0,0,0,23,16,48,17,22,16,ICOSLG
6003,33,12,20,20,9,13,92,62,118,50,41,33,SIN3B
6004,64,61,56,60,43,36,49,50,58,47,68,53,NCAPD3
6005,43,38,18,19,34,17,60,38,53,35,51,36,DMXL2
6006,7,3,7,8,6,1,608,456,769,333,477,392,KIAA0930
6007,145,115,93,139,105,113,232,220,324,197,277,227,SATB2
6008,26,17,20,17,18,10,29,27,35,21,37,36,SLC9A8
6009,0,0,0,0,0,0,2,0,0,0,1,0,CUX2
6010,12,16,15,17,13,14,26,18,39,23,28,27,DNAJC13
6011,17,37,15,30,28,36,20,14,20,21,27,15,TUT4
6012,0,3,0,3,0,1,0,0,0,0,2,0,TRIM2
6013,1,1,0,3,2,0,0,3,8,1,3,3,RPGRIP1L
6014,8,8,4,8,2,1,15,14,25,18,11,6,MAN2B2
6015,19,29,21,25,18,21,50,54,75,51,77,55,WASHC4
6016,292,290,236,272,225,188,575,441,747,438,716,434,USP22
6017,26,42,27,56,28,24,0,1,0,0,0,1,NEDD4L
6018,1,0,0,2,2,0,338,281,463,203,313,237,SASH1
6019,0,1,0,0,0,1,6,5,2,2,3,2,TBC1D30
6020,18,11,9,11,13,7,64,76,139,108,140,103,TTC28
6021,89,86,66,79,72,53,104,95,138,76,130,88,CLASP1
6022,14,17,22,26,16,9,11,7,9,13,15,5,DPY19L1
6023,11,9,5,10,6,9,5,6,16,11,12,5,SZT2
6024,18,14,16,14,10,10,23,17,39,17,42,21,WDR7
6025,29,29,24,25,16,8,39,38,63,20,25,26,JADE2
6026,15,12,16,23,10,9,16,10,28,26,24,23,VPS39
6027,135,115,87,143,137,90,66,66,121,87,100,97,DNAJC16
6028,48,46,41,74,78,39,50,44,77,49,54,48,ESYT1
6029,0,0,0,0,0,0,2,3,6,7,13,7,SYNE1
6030,150,151,123,159,161,130,220,176,359,226,327,206,SMCHD1
6031,38,35,32,58,26,24,0,1,0,0,0,3,DOCK9
6032,218,232,188,203,162,131,141,122,182,119,205,129,U2SURP
6033,23,37,24,49,30,23,154,113,223,104,148,123,KHNYN
6034,62,50,44,65,58,24,45,45,80,41,40,49,UBR4
6035,54,40,33,55,45,20,14,19,18,14,21,18,SUN1
6036,16,12,3,14,6,3,5,9,13,10,13,7,HAUS5
6037,13,19,8,20,25,14,19,20,23,15,22,22,VPS8
6038,8,5,8,8,7,10,11,8,20,18,10,4,ANGEL1
6039,104,80,92,73,67,33,74,61,99,42,87,53,USP24
6040,68,74,60,57,56,46,156,113,205,129,137,111,FNBP4
6041,72,59,69,80,50,63,118,113,162,93,135,102,ZNF629
6042,0,0,0,0,0,0,1,1,5,1,4,5,PSD3
6043,4,6,4,10,5,0,4,6,5,9,3,3,OBSL1
6044,85,71,61,69,63,42,11,10,17,18,21,16,ARHGEF12
6045,0,0,1,1,0,3,0,0,0,0,0,0,KIAA0895
6046,576,579,474,543,467,382,596,603,883,447,744,526,LARP1
6047,0,0,0,0,0,1,0,0,1,0,0,2,PPP1R13B
6048,188,170,181,203,168,114,256,274,428,230,400,289,PUM2
6049,23,28,26,43,19,8,194,209,367,212,262,249,ARHGEF18
6050,2,0,0,1,0,1,0,0,1,0,0,0,TNS2
6051,3,1,0,0,0,0,13,10,10,6,11,5,CRTC1
6052,45,55,32,54,45,39,67,51,69,70,106,76,UFL1
6053,81,92,57,74,70,47,50,41,82,50,43,56,RRP8
6054,81,94,64,117,72,48,101,55,107,77,90,80,ICE1
6055,40,42,34,41,40,16,113,91,159,82,152,116,SRGAP2
6056,18,21,16,21,15,7,11,20,29,13,21,11,SMG5
6057,4,8,9,5,12,4,6,3,12,4,7,6,AHCYL2
6058,61,48,59,85,52,33,200,166,240,144,205,181,MAU2
6059,54,55,35,50,27,27,107,99,143,97,155,104,SPECC1L
6060,49,62,41,55,51,40,60,68,82,37,55,55,NCSTN
6061,20,21,13,24,23,10,21,16,25,21,30,26,NUDCD3
6062,56,41,64,73,74,45,47,34,60,38,66,42,SIK3
6063,120,145,116,165,135,117,375,367,562,337,511,428,MED13L
6064,49,45,27,37,33,22,53,19,49,24,40,27,ZDHHC17
6065,102,67,55,44,48,27,59,38,74,21,45,20,ECPAS
6066,368,398,302,337,318,221,472,462,748,316,557,401,ADNP
6067,31,27,25,43,41,27,22,18,42,25,34,26,LARS2
6068,13,0,4,4,5,7,13,14,19,15,10,13,PIP5K1C
6069,104,115,78,111,92,54,110,71,137,90,149,104,NCAPH
6070,26,27,21,22,6,16,19,10,19,16,16,8,PPWD1
6071,89,90,64,105,79,45,193,145,276,165,183,179,CTDNEP1
6072,8,2,1,2,1,0,1,0,0,1,2,3,ATP13A2
6073,144,157,131,140,116,90,484,392,700,388,708,436,FRAT2
6074,102,104,99,115,122,85,264,182,281,212,375,245,FBXO46
6075,53,60,58,46,55,27,43,36,67,20,32,46,EXOSC2
6076,51,32,33,35,27,17,109,110,166,88,131,101,DICER1
6077,40,54,50,73,66,51,217,158,254,182,257,219,COTL1
6078,7,14,11,17,14,11,9,7,20,7,10,6,SIRT5
6079,2,1,3,1,6,2,2,2,6,7,10,7,SIRT4
6080,11,5,9,13,13,5,15,4,13,5,20,19,SIRT3
6081,206,281,182,335,298,199,181,155,269,193,323,240,SIRT1
6082,54,51,42,62,41,39,50,57,79,51,91,78,COMMD3
6083,11,16,6,10,6,9,28,30,38,10,14,12,NCS1
6084,121,129,113,148,179,114,0,0,0,0,0,0,ZFPM2
6085,0,2,0,0,0,0,0,0,1,0,0,0,KCNH4
6086,17,4,6,34,17,17,49,39,58,39,44,43,MLYCD
6087,15,15,16,17,16,3,9,10,17,3,30,15,ITGB3BP
6088,71,63,55,46,58,35,105,91,154,63,117,81,TMED3
6089,9,7,3,1,4,6,27,28,29,11,10,11,TDRD7
6090,0,0,0,0,0,0,196,166,299,43,126,95,GRIP1
6091,57,33,30,16,6,5,0,0,0,0,0,0,SLC7A8
6092,218,264,259,307,274,192,663,528,844,606,923,595,RYBP
6093,39,49,34,26,26,31,53,41,79,65,73,49,AP4E1
6094,3,5,1,3,1,1,1,0,0,0,2,1,GPR161
6095,73,57,67,71,49,41,59,55,100,33,59,61,RHOQ
6096,314,286,242,290,210,122,406,352,515,297,401,281,TARDBP
6097,61,39,38,51,36,22,53,52,90,36,52,65,HARS2
6098,20,9,26,18,6,9,37,11,40,12,35,19,SLC35A3
6099,5,11,2,3,6,5,841,716,1088,476,826,548,SLC44A1
6100,265,244,186,257,225,178,213,172,274,159,234,180,SF3B3
6101,157,159,135,178,170,90,267,259,463,249,460,305,SF3B1
6102,108,126,108,135,112,74,302,236,427,203,277,239,ABCB10
6103,9,3,4,6,9,0,0,1,5,2,9,1,ABCB9
6104,1,0,0,0,0,0,0,2,0,0,0,0,ABCA6
6105,0,0,0,0,1,0,1,0,0,0,2,0,ABCA5
6106,46,33,25,16,22,5,1,0,0,0,0,0,HEY1
6107,229,209,199,254,177,163,154,138,213,108,231,164,ICMT
6108,7,4,12,7,5,3,8,7,6,3,2,6,GCAT
6109,263,263,181,210,173,121,695,635,940,491,706,546,CBX6
6110,9,6,5,11,8,10,3,0,2,0,7,0,NPTXR
6111,66,81,54,66,54,28,221,173,303,221,278,197,CBX5
6112,199,167,122,153,110,83,101,99,189,81,130,90,PHF3
6113,130,99,94,119,84,60,105,102,185,104,157,125,TRAM1
6114,50,41,48,87,42,51,39,34,46,28,56,47,CAPN7
6115,6,1,2,2,1,4,12,16,39,25,21,31,ETHE1
6116,28,37,20,26,28,25,5,5,18,12,11,11,QPRT
6117,92,93,75,96,79,64,130,109,166,95,144,102,BRD4
6118,204,211,168,190,180,138,157,128,201,131,204,179,SEC11A
6119,200,154,145,147,173,116,99,96,124,105,140,105,ISCU
6120,57,61,70,76,36,40,99,73,165,90,160,106,SEC61G
6121,33,24,22,26,20,17,45,40,60,25,39,22,PES1
6122,68,66,60,43,50,33,72,63,71,42,92,47,TGDS
6123,122,86,62,75,78,64,226,162,286,163,231,176,LEPROTL1
6124,1,0,0,0,1,0,0,0,0,1,0,0,CES3
6125,2,7,8,5,1,2,7,7,8,1,1,6,CBX7
6126,5,1,1,9,5,0,0,0,0,0,1,0,HEY2
6127,0,0,0,0,0,0,1,0,0,0,0,1,HAAO
6128,106,84,109,89,44,68,156,107,182,108,130,133,MACF1
6129,16,12,5,14,18,7,23,7,11,5,11,7,ZFYVE26
6130,29,35,26,54,33,18,54,48,77,39,103,66,TMEM131
6131,82,85,110,103,71,63,84,68,80,64,83,49,BICRAL
6132,146,134,142,98,104,64,90,77,102,63,101,76,LRRC8B
6133,91,90,90,104,103,73,116,97,167,93,144,129,POFUT1
6134,139,122,104,125,103,79,102,55,115,88,120,86,KCTD2
6135,67,57,62,74,66,45,43,36,49,39,48,38,NUP188
6136,387,326,294,302,314,209,582,483,819,436,692,470,SUZ12
6137,25,13,12,23,16,8,28,22,26,12,9,13,SCRIB
6138,3,7,9,13,8,7,34,24,28,14,35,35,SPIDR
6139,121,101,96,116,138,97,127,94,144,112,252,128,MORC3
6140,135,118,98,97,81,65,157,171,271,120,233,165,SLC39A14
6141,79,89,75,81,50,33,66,59,105,42,70,47,MTREX
6142,45,54,45,61,43,31,67,62,108,62,91,85,R3HDM1
6143,0,1,1,1,0,0,0,1,0,0,2,1,ANP32D
6144,1332,1111,1020,1031,1010,762,1495,1290,2256,1215,1817,1513,RPL13A
6145,38,41,40,49,34,29,79,61,129,91,91,80,KAT6B
6146,8,9,10,4,11,5,24,17,27,17,8,21,CABIN1
6147,256,167,154,183,184,96,221,168,315,160,224,195,SRRM2
6148,1,4,8,9,2,2,112,107,147,67,88,68,ARHGAP45
6149,52,50,59,53,47,45,106,77,154,75,151,107,ACAP2
6150,1042,1084,952,1131,936,715,472,377,623,367,487,453,ZNF281
6151,17,11,24,16,12,3,12,7,4,2,6,0,CLCF1
6152,37,26,28,26,17,23,113,68,128,51,102,70,NNT
6153,31,33,29,34,42,23,92,74,140,59,114,77,MMD
6154,2341,1638,1542,1492,1306,1024,1,3,2,0,0,0,PRAME
6155,0,0,0,0,0,0,283,191,339,159,260,168,PIK3R5
6156,212,148,154,177,150,95,192,126,230,112,214,151,TNPO3
6157,9,9,5,6,5,3,19,5,13,8,15,7,ADAT1
6158,0,0,0,0,0,1,0,0,0,0,0,0,SEC14L2
6159,33,22,13,17,26,12,0,2,5,1,0,0,RBFOX2
6160,31,31,21,55,38,19,41,46,68,30,52,47,ATP6V0A2
6161,0,0,0,0,0,0,3,0,2,0,0,1,LILRA4
6162,41,42,25,23,30,11,18,18,41,23,27,22,TTC33
6163,13,32,16,41,25,12,50,60,94,49,79,70,DNPEP
6164,1,4,4,1,1,2,15,23,23,15,12,17,PSD4
6165,0,0,0,0,0,0,14,20,25,12,10,8,CDK20
6166,1,0,3,1,0,1,0,0,0,0,0,0,TSPAN12
6167,0,0,0,0,0,0,2,0,2,0,0,0,TSPAN15
6168,7,6,2,10,4,5,7,9,28,9,23,9,PIGN
6169,52,55,42,64,44,37,50,61,82,55,79,71,SNAPIN
6170,46,42,25,47,21,28,59,66,74,55,61,58,WBP2
6171,7,10,0,13,3,5,10,8,12,9,15,6,WBP1
6172,317,387,294,321,277,196,268,344,490,256,394,290,GTPBP4
6173,7,15,9,20,10,7,12,14,15,6,18,11,DDAH2
6174,34,36,24,36,24,18,21,24,42,32,32,31,ZNF346
6175,78,92,83,71,78,53,89,78,126,67,113,102,ARL2BP
6176,33,24,30,35,30,11,23,21,31,20,26,21,CDC42EP4
6177,34,58,40,65,36,36,60,42,77,42,66,54,CCNDBP1
6178,26,25,9,49,20,15,13,20,34,17,33,35,SMUG1
6179,123,112,94,89,121,84,147,100,205,120,216,151,TMEM50A
6180,0,0,0,0,1,0,5,5,17,1,1,5,DDX58
6181,46,45,28,38,43,21,59,35,60,33,48,36,ELP5
6182,37,35,15,15,38,24,62,61,95,51,111,64,KLHDC2
6183,74,83,54,81,99,52,79,50,104,66,104,84,CARHSP1
6184,92,111,91,90,80,50,78,90,152,74,150,138,PDSS1
6185,58,52,73,77,63,60,86,70,88,64,130,80,LEMD3
6186,50,54,42,33,36,14,54,52,86,35,42,49,HEBP2
6187,168,195,168,189,151,122,222,188,337,248,328,176,ORC6
6188,14,11,15,14,7,5,8,10,9,3,10,6,ORC3
6189,21,14,25,34,20,11,317,284,520,255,349,306,OPN3
6190,5,6,3,4,9,3,0,0,1,0,2,5,ACOT9
6191,51,60,36,62,52,44,484,348,630,294,424,383,PATZ1
6192,8,17,11,17,20,7,30,21,40,30,46,40,AMACR
6193,118,116,101,104,87,75,38,49,54,39,63,37,CORO1C
6194,1,1,0,1,0,0,0,0,0,0,0,0,DAPK2
6195,283,261,230,218,193,145,30,29,50,34,59,30,CD2AP
6196,402,503,332,537,415,281,152,131,201,129,145,126,MKRN1
6197,132,93,124,168,112,87,98,96,126,66,126,103,MKRN2
6198,0,0,0,0,0,0,50,57,93,64,75,57,PHLDA3
6199,944,791,735,728,742,545,348,315,413,220,413,207,ZMYND8
6200,10,16,11,11,14,8,44,34,62,27,28,35,SH3BP1
6201,0,0,0,0,0,0,3,8,2,2,6,3,BACE1
6202,33,22,29,33,25,16,20,29,32,24,18,30,RUSC1
6203,16,15,19,32,24,14,46,29,54,40,61,37,FAM89B
6204,0,0,0,0,0,0,462,430,744,311,388,373,KCNE5
6205,157,160,158,186,192,105,206,147,279,166,200,172,KPNA6
6206,32,31,35,45,44,24,14,9,21,13,17,10,SSBP2
6207,664,656,574,609,499,395,1096,912,1513,853,1208,1001,NUP62
6208,29,44,42,58,38,36,29,34,58,50,55,41,RABGAP1
6209,0,0,0,0,0,0,0,0,0,2,3,1,LRRC6
