,K562_DMSO_rep1,K562_DMSO_rep2,K562_DMSO_rep3,K562_JQ1_rep1,K562_JQ1_rep2,K562_JQ1_rep3,MV4.11_DMSO_rep.1,MV4.11_DMSO_rep.2,MV4.11_DMSO_rep.3,MV4.11_JQ1_rep.1,MV4.11_JQ1_rep.2,MV4.11_JQ1_rep.3,genes
80,30,25,23,61,32,19,77,48,93,49,113,60,AP1B1
81,32,17,20,15,26,21,8,5,10,7,7,9,AP2B1
82,182,150,144,153,118,97,183,134,226,136,241,148,AP1G1
83,74,58,55,62,40,22,23,13,25,8,14,4,TLE5
84,101,40,53,75,71,42,60,66,81,67,80,44,AFG3L1P
85,2,1,2,0,0,0,0,0,0,0,0,0,AFP
86,9,19,15,23,18,7,38,23,33,24,35,31,AGA
87,4,4,1,8,2,0,9,4,6,1,0,1,AGER
88,31,35,29,35,30,20,19,13,28,15,13,18,AGL
89,0,0,1,0,0,1,10,9,25,6,2,1,JAG1
90,0,0,0,0,0,0,24,9,23,3,10,4,AGT
91,2,1,0,1,0,0,0,0,0,0,0,0,APLNR
92,61,57,55,60,44,26,50,33,67,39,57,43,AHCY
93,0,0,0,0,0,0,121,112,169,73,136,65,AHR
94,0,0,0,0,0,0,139,72,153,27,54,25,AIF1
95,1,0,4,0,0,0,39,38,57,16,22,19,CRYBG1
96,3,9,2,5,8,3,0,1,3,0,0,0,AK1
97,123,130,92,116,101,63,118,133,254,131,171,166,AK2
98,169,198,185,110,102,89,3,4,6,2,9,1,AK4
99,18,21,21,18,7,10,39,36,58,48,37,27,AKT1
100,61,44,34,43,35,24,83,52,94,54,47,48,AKT2
101,10,4,4,10,7,12,26,13,18,12,16,21,ALAD
102,55,50,43,57,29,33,120,126,162,101,170,133,ALAS1
103,28,15,19,5,10,3,0,0,0,0,0,0,ALAS2
104,0,0,0,0,0,0,35,28,61,23,27,33,ALCAM
105,0,0,0,0,0,0,1,1,2,0,2,0,ABCD1
106,11,5,6,2,1,1,0,0,0,0,0,0,ALDH1A1
107,12,7,8,11,10,12,6,4,8,0,10,4,ALDH2
108,146,138,136,92,104,66,70,59,97,62,103,59,ALDH1B1
109,0,0,0,0,0,0,9,3,9,0,6,6,ALDH1A3
110,0,0,0,0,1,0,22,19,39,13,13,21,ALDH3B1
111,127,115,114,130,155,124,173,162,296,193,228,253,ALDH9A1
112,0,0,0,1,0,0,15,22,23,16,25,29,ALDH3A2
113,0,0,0,0,0,0,1,2,8,6,9,7,ABCD2
114,189,143,187,262,204,151,179,141,275,137,237,209,ALDOA
115,8,5,6,13,7,7,5,3,7,3,7,2,ALDOC
116,0,8,1,2,3,0,14,26,42,13,27,16,AKR1B1
117,0,2,0,0,0,0,2,1,5,0,0,0,ALOX12
118,1,1,0,0,0,0,0,0,0,0,0,0,ALOX5
119,0,0,0,0,0,0,74,67,112,26,48,46,ALOX5AP
120,0,0,0,0,0,0,0,1,1,0,0,0,ALOX15
121,737,769,676,771,730,599,871,716,1259,776,1158,890,AMD1
122,70,87,65,49,71,36,25,31,38,28,46,39,AMFR
123,4,7,7,11,2,0,0,0,0,0,2,1,AMH
