,K562_DMSO_rep1,K562_DMSO_rep2,K562_DMSO_rep3,K562_JQ1_rep1,K562_JQ1_rep2,K562_JQ1_rep3,MV4-11_DMSO_rep-1,MV4-11_DMSO_rep-2,MV4-11_DMSO_rep-3,MV4-11_JQ1_rep-1,MV4-11_JQ1_rep-2,MV4-11_JQ1_rep-3,genes
12260,911,1035,1034,1073,949,769,731,488,868,524,877,608,GPATCH11
12261,52,39,37,36,35,27,18,13,28,8,14,17,ZNF620
12262,0,0,0,0,0,0,20,14,22,12,27,11,ANKRD18A
12263,493,536,492,586,516,338,312,250,347,248,470,298,MMS22L
12264,7,6,4,4,4,8,9,4,11,4,6,9,TTC41P
12265,277,202,184,225,248,167,362,291,555,296,582,310,WASHC2C
12266,1,1,0,0,0,1,296,232,382,233,446,261,EBF3
12267,28,23,23,24,26,14,55,64,82,52,66,53,WDR27
12268,884,963,915,1323,1140,872,3412,2758,4728,3103,6133,3600,CERS6
12269,728,938,745,1002,852,680,2116,1732,3382,1856,3205,2289,ZDHHC20
12270,2365,2788,2359,3013,2867,2225,3655,2973,5305,3096,6413,3628,YTHDF3
12271,206,178,171,173,194,169,154,119,165,105,240,125,RALGAPA1
12272,161,159,156,174,165,112,155,115,168,168,249,142,KCTD13
12273,4,0,1,0,2,1,214,156,193,138,225,157,ASPHD1
12274,31,41,31,37,30,29,32,24,32,25,25,16,ETFBKMT
12275,516,463,435,537,473,391,260,216,308,195,357,227,METAP1D
12276,1254,1345,1236,1493,1380,1071,603,559,924,569,885,715,UBN2
12277,360,342,298,363,336,242,448,382,535,379,719,402,BRWD3
12278,13,25,11,14,12,15,10,20,15,10,10,12,ZNRD2-AS1
12279,687,607,646,755,664,507,801,592,914,597,747,633,EHBP1L1
12280,381,401,369,446,472,330,258,199,320,220,293,204,NIFK-AS1
12281,460,427,441,498,535,434,1126,876,1525,1086,1906,1202,FBXO33
12282,710,586,649,628,646,421,818,701,1261,682,1101,788,RNF169
12283,302,381,307,402,324,271,364,307,503,291,535,369,LCORL
12284,11,6,7,12,7,6,72,54,83,40,66,51,CNIH2
12285,205,224,190,272,253,172,418,283,505,296,453,400,ZDHHC24
12286,290,378,327,314,283,225,193,150,196,155,314,154,MCM9
12287,922,1074,918,1017,969,712,390,346,511,364,473,383,PROSER2
12288,614,605,670,663,635,494,113,85,134,81,137,71,SLC41A1
12289,3607,4116,3500,4587,4242,3338,403,383,587,319,464,423,MEIOB
12290,21,48,53,68,40,6,21,8,5,8,13,4,LPCAT4
12291,178,189,194,186,201,149,473,308,585,384,475,440,NUDT8
12292,2,0,0,1,0,2,31,37,44,22,23,16,MIR9-3HG
12293,1182,1304,1062,1507,1393,970,2613,2138,3863,2503,3022,3259,TMEM256
12294,14,9,8,12,7,13,57,57,92,66,114,63,ZDHHC23
12295,1,0,5,5,1,1,6,10,14,5,10,2,254896
12296,1,2,0,3,1,2,102,107,163,91,146,119,MPV17L
12297,112,120,123,197,149,110,298,252,397,233,350,269,TMEM86B
12298,14,17,10,6,10,9,4,5,3,2,4,5,CASC2
12299,2,3,6,4,2,1,157,128,227,150,177,136,TMCO4
12300,2,3,0,1,0,0,384,252,433,229,557,309,MCOLN2
12301,356,419,413,407,382,288,182,149,223,147,270,181,LRRC57
12302,66,43,43,64,55,30,45,37,43,34,51,37,MBLAC1
12303,26,24,21,24,27,19,139,108,157,96,146,111,ZNF718
12304,0,1,0,0,2,2,37,24,34,8,57,32,RNF144B
12305,15,13,8,13,15,14,31,22,47,27,37,25,TOLLIP-AS1
12306,835,746,658,841,793,586,752,535,894,572,1081,676,ELMOD2
12307,6,4,1,8,8,0,287,252,429,264,438,319,COL24A1
12308,79,94,76,116,100,85,0,1,0,0,0,0,PCSK9
12309,878,832,835,903,892,742,315,240,472,271,451,315,TCTEX1D2
12310,340,344,338,459,391,314,623,400,693,490,629,560,INAFM1
12311,0,0,2,2,0,2,31,27,73,25,25,27,C19orf38
12312,41,43,44,56,43,33,13,17,25,16,12,20,SDHAP1
12313,278,206,180,172,172,133,7,6,11,5,4,1,BCL6B
12314,139,163,151,151,159,101,152,145,206,114,259,134,CNEP1R1
12315,708,767,621,843,750,545,2507,2314,3646,2294,4016,2569,PAN3
12316,7,3,15,4,9,6,249,180,275,153,297,193,ZNF549
12317,119,90,101,106,108,77,0,0,0,0,0,0,COL6A5
12318,10,7,10,12,10,13,45,47,77,39,54,55,SYCE2
12319,0,0,0,0,0,1,74,40,93,64,68,50,CDRT15L2
