,mr359-MV411-MYB-dTAG-DMSO_1h-r1_tcount,mr360-MV411-MYB-dTAG-DMSO_1h-r2_tcount,mr361-MV411-MYB-dTAG-DMSO_1h-r3_tcount,mr362-MV411-MYB-dTAG-DMSO_1h-r4_tcount,mr363-MV411-MYB-dTAG-DMSO_1h-r5_tcount,mr364-MV411-MYB-dTAG-DMSO_1h-r6_tcount,mr365-MV411-MYB-dTAG-VHL_1h-r1_tcount,mr366-MV411-MYB-dTAG-VHL_1h-r2_tcount,mr367-MV411-MYB-dTAG-VHL_1h-r3_tcount,mr368-MV411-MYB-dTAG-VHL_1h-r4_tcount,mr369-MV411-MYB-dTAG-VHL_1h-r5_tcount,mr370-MV411-MYB-dTAG-VHL_1h-r6_tcount
AFG3L1P,0.07042253521126761,0.07081545064377683,0.1023454157782516,0.0920353982300885,0.06132075471698113,0.1223021582733813,0.1111111111111111,0.13296903460837886,0.0963855421686747,0.11157894736842106,0.03761755485893417,0.11666666666666667
AGA,0.00628140703517588,0.002717391304347826,0.004329004329004329,0.0125,0.004901960784313725,0.018604651162790697,0.0031545741324921135,0.003821656050955414,0.013289036544850499,0.006702412868632708,0.0032520325203252032,0.005509641873278237
AGL,0.007194244604316547,0.0070921985815602835,0.036231884057971016,0.0,0.043010752688172046,0.0380952380952381,0.02097902097902098,0.017045454545454544,0.0,0.008333333333333333,0.022727272727272728,0.01020408163265306
JAG1,0.14814814814814814,0.0,0.17647058823529413,0.13636363636363635,0.07692307692307693,0.10256410256410256,0.07692307692307693,0.1111111111111111,0.2413793103448276,0.11764705882352941,0.043478260869565216,0.04878048780487805
AGT,0.0,0.0,0.0,0.006666666666666667,0.0,0.02666666666666667,0.00909090909090909,0.006756756756756757,0.007692307692307693,0.0,0.010526315789473684,0.02459016393442623
AHCY,0.006129184347006129,0.010662177328843996,0.014388489208633094,0.012939001848428836,0.014124293785310734,0.031078610603290677,0.018633540372670808,0.02350536535513541,0.010437051532941943,0.009630818619582664,0.004953560371517028,0.013970983342289092
AHR,0.06925207756232687,0.07479224376731301,0.06446991404011461,0.0910209102091021,0.07051282051282051,0.13957597173144876,0.09591836734693877,0.07845934379457917,0.044989775051124746,0.06,0.03271028037383177,0.05090909090909091
CRYBG1,0.0392156862745098,0.026785714285714284,0.029288702928870293,0.05363984674329502,0.036585365853658534,0.035211267605633804,0.010362694300518135,0.013157894736842105,0.004807692307692308,0.0043859649122807015,0.00684931506849315,0.00423728813559322
AK1,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.019230769230769232,0.0,0.0136986301369863
AK2,0.013651521467278032,0.013499149659863945,0.02004387714399681,0.02114372379338032,0.015929503473987458,0.0314599377355399,0.01786343871195205,0.021043771043771045,0.015555555555555555,0.014923770667811895,0.005340288127173373,0.01325583766697257
AK4,0.012048192771084338,0.0,0.0,0.024691358024691357,0.025,0.0,0.039473684210526314,0.0,0.0,0.0,0.0,0.013888888888888888
AKT1,0.014318010550113038,0.012510425354462052,0.018843404808317088,0.018822100789313904,0.01430615164520744,0.01918158567774936,0.025869037995149554,0.022048364153627313,0.02054794520547945,0.01717408274785324,0.005341880341880342,0.022561863173216887
AKT2,0.01904761904761905,0.02180376610505451,0.022744503411675512,0.028005464480874317,0.02268760907504363,0.030882352941176472,0.022900763358778626,0.03228410008071025,0.019427402862985686,0.024861878453038673,0.005509641873278237,0.02383053839364519
ALAD,0.01642512077294686,0.008902077151335312,0.011695906432748537,0.018754688672168042,0.015126050420168067,0.023183925811437404,0.01939655172413793,0.027545909849749584,0.017382413087934562,0.008687258687258687,0.005813953488372093,0.01282051282051282
ALAS1,0.11764705882352941,0.2608695652173913,0.0,0.0625,0.0,0.2222222222222222,0.22727272727272727,0.18421052631578946,0.14814814814814814,0.125,0.05,0.10714285714285714
