,CEBPA_filtered,HOXA9_filtered,PLAGL2,MEIS1_filtered,ETV6_filtered,HEX,FLAG_GFI1,RUNX1_filtered,FOSL2_filtered,FLI1_filtered,GATA2_filtered,SP1_filtered,E2F3_filtered,ZNF281_filtered,SREBF1_filtered,LMO2,STAT5B_filtered,ZMYND8,FLAG_MEF2C,LYL1_filtered,MYC_filtered,TFAP4_filtered,RUNX2_filtered,MAX_filtered,IRF8_filtered,MYB_filtered,ZEB2_filtered,RXRA_filtered,FLAG_MEF2D,activation,repression,ELF2_filtered,JUND_filtered,FLAG_SPI1,FLAG_IRF2BP2,SMC1,LDB1,H3K79me2,WDR5,H3K27ac,H3K27me3,MYBL2,CDK9,H3K4me3,FOXP1_filtered,MLL_KTM2A,RARA_filtered,IKZF1_filtered,AFF4,CTCF_filtered,BRD4,CEBPB_filtered,H3K36me2,PSER2,H3K36me3,H3K9ac,CDK13,H3K4me1,POLII,MED1,ATAC,promoters,super_enhancer,regular_enhancer
GATA2_filtered,0.05968330824186492,0.2400860714083775,-0.03333594678723404,0.005444779719536125,-0.052205008001584244,0.6050256505890524,0.05633947476885138,0.06805865729557647,-0.05379827828858812,0.04088821940334433,1.0,-0.0445962166626223,0.035955917952326125,-0.018131544986996973,-0.03321261375675783,-0.005146010007970752,-0.0017822324876932045,0.026063576446203798,0.03587264122358086,0.1831041168214485,0.04435761105482057,-0.03664907654664086,0.0886447381497904,-0.016652775841469118,0.081792240840975,0.04764298754001372,-0.02152009490070667,0.03321950955681296,0.05749093715239254,-0.023064280825979694,-0.028455939772504595,-0.019848917703196776,-0.05786644210100866,0.07446624248095726,0.061921887232537866,-0.004153279459904289,0.6022067208901783,-0.040916099124546725,-0.1581042604263855,-0.0076952905826503555,-0.07484471028673347,-0.23666373563789875,-0.008218551024233809,-0.03893354886654806,0.008950829900966682,-0.00336592075059689,-0.0038911227799861593,-0.019466744496613873,-0.01870484383209065,0.10280809803543768,0.03803737422916094,-0.05364061303044585,-0.02037799005972846,0.012686516281410043,0.04097028137154699,-0.03538150883296529,0.6588454000489321,0.018095531105819854,-0.04215035430245078,-0.011815174547008174,0.04159602327554847,0.00245413141261447,0.03853285522836686,0.0011087400762254459
SP1_filtered,-0.09332840933053282,-0.013774066266439714,0.017237239158298563,-0.05591362389412474,-0.04239502923554607,-0.006498863562750033,-0.0238145663417657,0.12064626678069269,-0.11933390911065037,0.026404172670709096,-0.044596216662622284,1.0,0.12427690578648465,-0.0053749511342280785,0.004830739500941591,0.003385676250751777,-0.020973271864860376,0.1142644627426129,0.0018817881660448863,-0.05358973984884374,0.11517661335231273,0.016511187313903268,0.09184817660078803,0.21304616143583532,-0.1259368678019247,0.04134322628376481,-0.010303782430559598,-0.007806899005948911,-0.015091468284522727,0.15277765119139536,-0.00965138518962068,0.11567643527224265,-0.028338609233399106,-0.09892978414489975,-0.027090293923188263,-0.03986546096570429,-0.014167615107131768,-0.0012500009382918791,-0.04224950274996157,0.05423792948766571,-0.07291487679448436,-0.025917962117553203,-0.02299798552746857,0.1032706853087844,0.17628093211331058,-0.07373658430932449,-0.05419980497419302,0.03741120666637254,-0.0642533840229007,-0.07541797518131559,-0.06819329904587158,-0.07061541878279862,0.005241286773292308,-0.04230791104450602,0.03762454015820099,0.1264277599690773,-0.24823429971294386,-0.09642107209079484,0.010614909871811644,0.030735179249428594,0.1318025747787024,0.015344935946139676,-0.03755007964235959,0.001317737894546964
E2F3_filtered,-0.13438546357117845,-0.0801394299564476,0.01948236926541636,-0.05221331910958054,-0.03480388877250057,-0.049883457674813114,-0.027586389812800198,-0.01935124684851735,-0.009324381118026942,-3.557850348540357e-05,0.03595591795232609,0.12427690578648465,1.0,0.03312988852327574,0.7571945543443758,0.05740579390665355,0.01630234805111282,0.09008655406459633,-0.017023556119544654,-0.06915257272408615,0.14424213301239996,0.06127365590554718,0.047754840548687894,0.21704258364574358,-0.06606715270997539,0.04326162580941006,-0.0007368360328011682,0.0794082844633967,0.035429706929449266,0.12510298310363788,0.006549016143961021,0.02467708898918595,-0.10293073313985752,-0.051344870266040864,0.008176978676997576,-0.018481439203600392,-0.222022401521913,0.09979526853726897,-0.0284226196415746,0.15664801191470937,-0.05285390789438181,0.10264564836908346,0.03931875585956388,0.08668456306100936,0.041323893115666685,-0.07158285971506806,-0.06049482759086426,0.06772174452987059,-0.055701849906158465,-0.043972667822347704,0.017835464539146206,-0.04260607195097723,0.012433665085337406,0.019026536268889355,0.04655913721838741,0.13726859262735153,-0.12239076397465896,-0.08199496431098936,0.06908830146827245,0.10961675784660126,0.09179467225714354,0.011268520946240137,0.029440906984140154,0.0013536050250622287
ZNF281_filtered,-0.06537300355933004,0.01964752261878119,0.09133509112289438,-0.00428214760022953,0.021420701969203974,1.0,0.08970694628917936,0.0032991555910344885,0.16893113081504166,-0.0017722199212284928,-0.018131544986996966,-0.005374951134228071,0.033129888523275745,1.0,0.14263027492770464,0.06589844132730448,0.008268094477979373,-0.016291319929188405,0.10838052238966119,-0.00632562721285462,0.00869474854073759,0.033217691463746785,-0.01717996742302031,0.019382695684601815,-0.008211823046763978,0.006454680497761592,-0.001627274527790869,0.00012642285479378423,0.31544076939837773,-0.024422891275630815,-0.024187351768013007,-0.02155327661101145,0.13336017596874897,-0.023824347689042565,0.23437655242364908,-0.007962461845856998,0.6282336735376952,0.02409646661346352,-0.038255196275036124,0.013749276877370003,-0.02797770910108541,0.17986168904466263,-0.009037510795134438,-0.04458350195909599,-0.01251827263853254,0.027632067280411943,0.0007463373046255845,-0.016109225247635348,0.009941807580151653,-0.023660490355551383,0.010851598076421708,-0.03434822671386083,-0.03771703960308181,0.012864585655715133,-0.04858259023488999,-0.031721971190694524,0.2372977982927115,-0.007341660102444683,0.0004242169212853763,-0.0032549788008382446,-0.02407771504242863,0.004341946169163833,0.10949983844318935,0.00041758110734130396
SREBF1_filtered,-0.07374996724477548,-0.12872194835951334,0.019599749292385896,-0.02903490939948344,-0.04178916458970561,-0.009962054793212343,0.055942362414116646,-0.007010137285619234,-0.04137941901819013,-0.041492057946587176,-0.033212613756757825,0.004653798375375968,0.7571676987285901,0.14263027492770464,1.0,0.008861595567326378,-0.027912320760668696,-0.015127265235495634,0.8207256202087363,-0.037561168691239204,-0.00850251893542785,0.13975580015908318,0.019532470958902037,0.05955368165814361,-0.0430319866322133,-0.03024441132254673,-0.0025000407192533624,0.16066488750925154,0.005130494716774681,0.007855686631583286,0.029299024880065874,-0.0272385586429806,-0.016241145541472306,-0.024573857558449996,0.019586067750372273,0.002835773574260262,0.9999999999999999,-0.027591904806842617,0.05469894675341564,0.0018967261426328385,0.05898447237263582,0.03205696899602435,0.0321743288434511,0.00646569862033368,0.03929644391904381,-0.05977993631940702,0.33450331464694333,-0.11177871615545444,0.023916535882732574,0.04924015418556334,0.04057027857518215,0.009322122121818599,0.029597292725442283,0.04974596654544311,0.01640241889044063,0.022536704624082707,0.642218533867295,-0.05199867058338027,0.03510141882690168,0.04425965414444094,-0.04711447611199951,0.0023487843352418647,-0.022490982951156032,0.0005676912854296116
LMO2,-0.031632665324649575,0.006120848346617189,0.069070627738176,-0.027051209313530562,0.04080694965344951,0.9994966248647564,-0.03190469484580697,0.04040432009448783,-0.041180183913414374,0.14903107801879728,-0.005146010007970753,0.003385676250751777,0.05740579390665356,0.06589844132730448,0.007942731586248142,1.0,0.006180894461102233,0.10326691435130814,-0.06788473016845852,0.5932051418191537,0.18831021153818606,0.004078825971909782,0.091364275101439,0.14710577023026924,-0.030132119476085142,0.06045389486192627,0.021494278611443964,-0.004466287985037227,0.1133240304911186,0.30160512523520083,-0.020778266816412323,0.09592627998319855,0.02258803254437501,-0.04224675154447727,0.09401456695585579,0.011050551299676225,0.17404828728892444,0.19469465850852127,0.1722007342740374,0.5541307072049224,0.16451460286979508,-0.004180105801034081,0.14174688723550494,0.251127186624777,0.08183371114630368,-0.015014776947187893,0.024817280120392724,0.03150474126098636,0.08838787773329361,-0.010400075336964675,0.13667446398289215,-0.0272406627981074,-0.022653408640797172,0.006263372393091946,0.030609348586558192,0.2937574787571141,0.14392553280669385,-0.008309284647726853,0.19900453767949974,0.38960195814728255,0.08373533311329179,0.009898046708602375,0.2186241452761786,0.0023247939600259315
STAT5B_filtered,0.02950246318760862,-0.030895675008158797,0.05117410732833084,0.004869543336141894,0.006403948923061378,0.937815176544489,0.029871601769282358,0.06703181542134075,0.028151768187398764,0.009315505226535008,-0.0017822324876931943,-0.020973271864860355,0.01630234805111283,0.008268094477979417,-0.027912320760668703,0.006180894461102237,1.0,0.04024381247050513,0.027560605643418917,-0.023736568690353982,-0.030017758213498363,0.02794978374142483,0.07176324813246973,0.006114245668300641,0.10723403481763565,0.026989961421031484,-0.015252885939857989,0.01170354953105629,0.03835571161425831,-0.08511071864046175,-0.011354185970937675,-0.013889779405742295,0.025761577600587653,0.04159208657904015,0.11283079328284384,0.003328874865646255,-0.26888299413365935,-0.04950153110861393,-0.0662859645142563,-0.04031126493328218,-0.04093043450887719,0.10062690224539769,0.044077735802378705,-0.0823621090466821,0.03278188674436755,-0.013946076149572082,-0.03198869691525655,0.027495398089621287,-0.03847257180997305,-0.013553660154380316,0.04859140303090361,0.05161400947115653,-0.007986180154282345,-0.026824178893260716,-0.050161816991474,-0.08104792653332746,0.2051757307223751,0.005796815317124624,-0.01592134231451934,0.016351044048871194,0.011639354923900638,0.003214971701284052,0.047629191384281476,0.0011060116204425236
ZMYND8,0.08975498066805211,-0.0004768368485640761,0.035743962183655435,0.05578727117693257,0.2835505559798756,0.6068257879753683,0.0354815154604676,0.3640957446249592,-0.03606938802944575,0.24527613676034288,0.02606357644620379,0.1142644627426129,0.09008655406459636,-0.016291319929188423,-0.01509822517053526,0.1032669143513081,0.040243812470505076,1.0,0.005100161348011194,0.1011873438268425,0.1839765147090897,0.05139663009736162,0.4193219990604099,0.29150305533923315,0.06151305796497052,0.07384785078029654,0.04861728232138188,0.01848846273147811,0.1387529359539079,0.15492713765222096,-0.00579796968206407,0.17196515514865301,0.12209723299849004,0.07820491716508163,0.28049465280704755,0.0631094612140463,-0.034308680505577685,0.09314343317644913,0.08414212740550024,0.15336425654569152,0.08828381259381701,0.03896651324979843,0.14547210114004053,0.11857812881073444,0.23834014420036076,0.014562936673671239,-0.02864187080224331,0.0979344751854197,-0.0709993678325429,-0.004640861466739901,0.0980990624826492,0.06054385201280959,-0.008591723743967779,-0.026244268154872727,0.06937273428469433,0.13496952347790267,0.11751464255384177,0.05417527446125949,0.06821192348446664,0.176934621317833,0.17521743244931606,0.024801255516973535,0.00400063838626498,0.003228648185105216
FLAG_MEF2C,0.21040220682255467,-0.0796317230072754,0.061035733188507295,0.10084336663658312,0.041629177250684005,0.8651798711934415,0.8180467551611679,0.09666728510439426,0.20709617591064797,0.0338521206234467,0.03587264122358091,0.0018817881660448891,-0.017023556119544647,0.10838052238966141,0.8207256202087355,-0.06788473016845856,0.027560605643418903,0.005100161348011207,1.0,0.13850454743261,0.053585636356064587,0.12009439457161143,0.03343557910934998,0.02241351891853369,0.03668356579961182,0.03369477758699291,-0.07631610507693815,0.5153444027910921,0.2346502361335298,-0.10047375168536235,0.03501955396906225,-0.04880508096359353,0.14132947147518135,0.012479409671188199,0.1272467114845714,-0.04642654132959848,0.2174872787132365,-0.024933991204045654,0.09194554467308359,-0.07039347795459228,0.02535008008144973,0.6375091990695758,0.14497262886013226,-0.1191903415051784,0.00876189198651985,0.10043134092295068,0.40820642763149556,-0.018658365928985975,0.20218167501389653,-0.08105047540906322,0.1508626849098573,-0.03467787709080769,0.04291748596505059,-0.06304530210436032,0.04875443624770473,-0.09156423048994197,0.37828171739965344,0.16661655456637364,0.1967164533194125,0.6796247799218479,0.05545824844715259,0.0037598537947965607,-0.11708462312710205,0.038672156475212674
LYL1_filtered,0.06288805511330467,0.05994435558055851,-0.024650322605846646,0.12721049427104156,0.046260202681788765,0.4516709489650071,0.0676554518480249,0.19665907460959592,-0.03161896905763025,0.3456669172097336,0.18310411682144848,-0.05358973984884375,-0.06915257272408615,-0.006325627212854621,-0.037561168691239204,0.5932051418191537,-0.023736568690353968,0.1011873438268425,0.13850454743260998,1.0,0.03484385472816462,0.15014477571148213,0.19920901651032086,0.03178803666028445,0.08042435650898089,0.1465338298641727,-0.0014206813909679824,0.03026746530058189,0.03171912508912489,-0.04347696510085992,0.010410368109887878,-0.014376458665502112,0.01955900875698672,0.06249550257708067,0.10661367514884607,-0.004972900669024088,0.222572530474438,-0.00790600011594571,0.011781927456951608,-0.004723983226827536,-0.1080493602244735,0.39757741746172764,0.10412228714143903,-0.0779416820622829,0.07376961452047881,0.012979349158626984,0.03771019690517621,0.08958971220852104,-0.03561646141452794,-0.05991205862254981,0.08371193352705278,0.05682458711524683,0.011739824962928698,-0.00982331327623672,0.0017985906780115183,-0.06368951502685831,1.0,0.08573918766254893,-0.017455533080003225,0.020880051644413075,0.10182108659893087,0.0027371124031956673,-0.00018843053725722358,0.0013712959899693528
MYC_filtered,0.06508462092939961,0.10235505843040808,0.01618441516034388,-0.06658193154502957,0.05721279487089805,-0.01497144136344292,-0.06788300089284295,0.1215495538684519,-0.08319900076083128,0.14932691618761418,0.044357611054820556,0.11517661335231273,0.14424213301239996,0.008694748540737582,-0.007586212622002145,0.18831021153818603,-0.030017758213498343,0.18397651470908977,0.05358563635606459,0.03484385472816461,1.0,0.02835597959446468,0.18118713937131917,0.6890628482041015,-0.027099080099275794,0.0691828592388533,-0.06582509751422766,0.027709442479714182,0.10023434001851508,0.434938671934276,0.0010705702190554284,0.22909307803993662,0.04337075447137369,-0.02129088566919494,0.0684713875397514,-0.007997907578480916,0.3985174055662965,0.1063342528273577,0.26714054538156823,0.45987891024245625,-0.03919466326644068,-0.07967516319845945,0.19026974932348065,0.27563057217585324,0.14996802927612965,-0.017777891687253883,-0.025174714566220467,0.04301205797848159,-0.08623505921208986,-0.09360174265790018,0.20940707232581524,0.05751613513663414,0.005268520359485196,0.005435918433209574,0.10662639553166549,0.34971490722125775,-0.3105958943454532,0.0028067102550259804,0.22486840280873327,0.2727791649463903,0.21423475860084198,0.010439787673454584,0.1612931172795152,0.002388406381749395
