	DMSOshBRD4_1	DMSOshBRD4_2	DMSOshBRD4_3	DMSOshSCRAM1	DMSOshSCRAM2	DMSOshSCRAM3	SGCshBRD4_1	SGCshBRD4_2	SGCshBRD4_3	SGCshSCRAM1	SGCshSCRAM2	SGCshSCRAM3
ENSG00000004838	3.484402535	3.202978	2.959643727	2.356109467	3.034639366	3.092449694	2.051346524	3.817636911	3.188168327	1.934688779	2.840042443	3.162242937
ENSG00000004846	1.186179586	1.724680462	1.679797791	1.134423077	1.137989762	1.202619325	1.262367092	1.122834385	1.088642843	0.703523192	0.710010611	1.216247284
ENSG00000004864	33.95439066	31.12637595	28.95651431	39.53028106	27.02725685	28.26155415	35.26738063	34.88272157	31.41512205	36.583206	34.99338011	29.43318426
ENSG00000004866	8.229120881	8.048508821	7.519094875	11.16970414	11.85406002	9.10554632	11.59799766	8.533541329	9.253464167	14.15840424	11.1573096	10.05431088
ENSG00000004897	112.5387883	111.0365707	108.226972	117.98	114.3679711	128.0789581	100.2792859	105.3218654	102.3324273	105.8802404	100.010066	95.19162073
ENSG00000004961	26.17008713	26.03446221	24.39706316	31.50205621	24.75127733	28.77696243	27.92987191	25.60062399	24.96102519	26.11829851	25.66181208	22.54111632
ENSG00000004975	42.99901001	45.00594728	43.27479072	41.7118639	40.58830151	40.37364878	44.8929297	45.81164293	45.17867799	45.2013651	48.17929145	48.56880819
ENSG00000005007	348.9592071	322.6795016	330.7601841	297.742426	294.6445159	247.9972852	341.3125024	331.9098443	337.0904804	307.1758138	316.157582	333.7382546
ENSG00000005020	78.8809425	74.73615334	72.15131465	104.890503	107.1607026	123.526185	67.06325175	66.995785	67.34033587	91.80977659	87.43273522	82.21831637
ENSG00000005022	269.4851748	252.3782409	241.4109397	426.8921301	344.5264005	348.5019002	283.8747998	255.3325393	255.8310682	389.2242061	330.5606544	332.359841
ENSG00000005059	1.556860707	2.217446308	1.439826678	1.658002958	0.18966496	0.859013804	2.840325956	2.170813145	2.177285686	2.374390774	2.130031833	1.378413588
ENSG00000005073	21.64777745	18.47871923	18.79773719	18.23803254	16.12152163	16.14945951	13.17595652	10.25522072	13.21923452	7.035231922	7.607256545	6.486652179
ENSG00000005075	35.95606871	29.97658898	27.75665874	40.66470414	31.67404838	27.05893482	33.92611559	28.81941589	28.84903534	29.89973567	30.63188635	28.54126959
ENSG00000005100	47.22477479	51.32977564	49.51403966	62.82958579	62.77910187	63.13751458	60.27802863	61.98045808	61.97488186	77.21167035	84.69412287	84.81297724
ENSG00000005108	8.970483123	6.816594205	6.799181536	19.80877219	16.02668915	14.34553052	19.56668992	21.5584202	21.53957625	37.11084839	32.05190758	29.51426742
ENSG00000005156	47.52131968	43.69190503	43.91471369	65.18569526	52.91652394	56.78081243	47.65435771	44.46424166	46.88940246	61.99798132	55.38082765	56.10954135
ENSG00000005175	43.96278092	42.21360749	43.43477146	47.12218935	35.75184503	42.77888743	39.44897162	41.02088288	40.51306581	41.06816635	40.97775526	34.94683862
ENSG00000005187	9.044619347	9.116168154	9.51885415	7.766434911	6.733106092	8.590138038	14.0438339	13.77343513	14.85219879	15.30162943	13.99735204	13.78413588
ENSG00000005189	24.39081775	23.73488826	23.43717871	40.4029142	41.6314588	45.87133712	23.19599531	21.5584202	20.99525483	35.17615961	26.77754304	29.43318426
ENSG00000005194	56.86248393	50.67275452	50.63390485	56.19757396	40.39863655	40.37364878	65.09080317	57.93825429	59.01999414	60.23917334	52.5407852	55.29870983
ENSG00000005206	207.2848827	191.5216589	192.7767941	215.7149112	192.4151023	154.7942874	191.8009	184.9682511	190.1236965	201.1196926	186.1242101	202.6267974
ENSG00000005238	33.36130087	22.91361185	29.5164469	21.8158284	24.27711492	21.21764095	23.66938297	22.08240958	21.07301504	17.58807981	13.59163169	14.83821686
