,JQ1,MYBi_30m,MYBi_6h,PBS_6h,MS2_JQ1,DMSO,PBS_30m,MS2
JAG1,2.5,27.0,0.5,1.0,3.0,0.0,19.5,5.5
AGT,0.5,0.0,0.0,0.0,1.0,3.0,0.5,1.5
AHCY,38.5,15.0,1.5,16.0,33.0,61.0,23.0,41.0
AHR,57.0,167.0,24.5,11.0,53.0,66.0,69.0,107.5
CRYBG1,3.0,1.0,1.5,2.0,3.0,4.0,2.0,4.5
AK1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
AK2,165.0,84.0,7.5,49.0,130.0,177.0,162.5,192.0
AK4,3.0,2.0,0.5,0.0,2.0,7.0,2.0,4.5
AKT1,25.0,7.5,2.0,10.0,26.0,30.0,11.5,26.5
AKT2,28.5,16.0,1.0,10.0,20.0,32.0,17.5,30.0
ALAD,25.5,2.0,0.5,8.0,28.0,34.0,3.5,28.5
ALAS1,5.0,1.5,3.5,3.0,6.0,6.0,2.5,7.0
ALCAM,14.5,3.5,2.5,4.0,9.0,24.0,5.5,21.5
ABCD1,12.5,1.5,0.0,6.0,9.0,13.0,3.5,8.5
ALDH1A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALDH1B1,101.5,29.0,10.5,35.0,80.0,118.0,48.5,96.5
ALDH1A3,95.5,18.0,2.0,15.0,62.0,97.0,16.0,106.5
ALDH3B1,4.0,0.5,0.0,3.0,4.0,3.0,1.5,4.0
ALDH9A1,26.5,8.0,4.5,9.0,38.0,30.0,22.0,43.5
ALDH3A2,9.5,0.5,1.5,7.0,11.0,9.0,7.0,15.5
ABCD2,6.5,1.5,0.0,0.0,7.0,5.0,1.0,13.5
ALDOA,88.0,42.0,12.0,33.0,77.0,99.0,44.5,76.0
ALDOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDOC,3.5,0.0,0.0,0.0,4.0,2.0,0.0,4.0
AKR1B1,2.5,0.5,1.0,1.0,1.0,2.0,1.5,2.0
ALOX12,2.0,13.5,2.5,4.0,2.0,1.0,9.5,2.0
ALOX5AP,7.5,3.5,1.5,2.0,7.0,11.0,13.5,22.5
ALOX12B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALOX15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMD1,248.5,158.5,16.0,38.0,218.0,254.0,149.5,353.0
AMFR,19.5,6.5,3.0,4.0,29.0,14.0,14.0,26.5
AMH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMPD2,18.5,18.0,0.0,11.0,11.0,16.0,15.5,21.5
AMPD3,0.5,0.0,0.5,0.0,2.0,1.0,0.0,2.5
BIN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMT,2.5,0.0,0.0,1.0,4.0,2.0,1.0,3.0
ANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANK2,0.0,2.5,0.0,0.0,1.0,0.0,5.5,1.5
ANPEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
SLC25A5,37.5,34.0,3.5,6.0,29.0,51.0,26.5,46.0
SLC25A6,285.0,129.0,15.0,100.0,214.0,319.0,132.0,232.5
ANXA1,2.5,17.0,1.0,0.0,1.0,1.0,4.0,1.5
ANXA2,11.5,8.5,1.5,3.0,9.0,12.0,10.5,9.5
ANXA2P1,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0
ANXA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA4,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.5
ANXA5,5.0,9.0,1.0,0.0,10.0,3.0,6.0,8.0
ANXA6,4.5,1.0,0.0,3.0,4.0,2.0,1.0,2.5
ANXA7,7.5,1.0,0.5,0.0,10.0,6.0,3.5,9.0
ANXA11,13.5,2.5,0.5,3.0,17.0,15.0,4.5,16.0
AOAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOC2,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0
APAF1,17.0,4.5,4.0,6.0,17.0,13.0,4.5,22.5
NUDT2,4.0,0.5,0.0,0.0,7.0,2.0,1.5,7.0
APBA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APBB1,9.0,0.0,1.0,5.0,8.0,11.0,5.5,9.0
APBB2,2.0,4.0,0.0,0.0,8.0,4.0,4.0,9.0
APC,10.0,5.5,1.5,1.0,13.0,11.0,4.5,19.0
APEH,5.5,1.5,0.0,5.0,2.0,5.0,3.5,4.5
APEX1,29.5,13.5,1.5,17.0,28.0,68.0,23.0,46.5
BIRC2,3.5,2.0,2.0,0.0,1.0,8.0,2.0,4.0
BIRC3,0.0,1.5,2.5,0.0,0.0,0.0,0.5,1.0
XIAP,38.5,27.5,5.5,16.0,40.0,54.0,45.5,75.0
BIRC5,123.0,7.5,8.5,22.0,121.0,117.0,20.0,130.0
APLP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
APLP2,55.0,27.5,2.5,19.0,61.0,52.0,34.5,66.5
APOA1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
APOC1,1.5,1.5,0.0,1.0,0.0,2.0,1.5,0.5
APOC2,24.0,8.0,2.0,10.0,20.0,31.0,16.0,25.0
APOC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APP,7.5,8.0,1.5,2.0,7.0,8.0,6.0,10.5
APRT,29.0,4.0,0.0,6.0,25.0,29.0,6.0,29.5
FAS,0.0,0.5,0.0,0.0,0.0,2.0,0.5,0.5
AQP1,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
AQP3,2.0,2.5,0.0,0.0,2.0,3.0,1.5,0.5
AQP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,1.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0
ARAF,28.5,6.5,1.5,4.0,26.0,16.0,13.0,22.0
ARCN1,169.0,92.5,19.5,31.0,170.0,160.0,139.0,209.0
TRIM23,7.5,1.0,2.0,4.0,7.0,11.0,3.5,14.5
ARF1,332.5,198.5,28.0,70.0,312.0,271.0,190.0,347.5
ARF3,75.5,53.5,2.0,14.0,73.0,87.0,47.0,81.0
ARF4,32.0,64.0,7.5,9.0,35.0,39.0,47.0,53.5
ARL4D,2.0,0.5,0.0,0.0,1.0,4.0,1.0,1.0
ARF5,5.0,3.0,0.5,2.0,6.0,5.0,4.5,5.5
ARF6,284.5,191.0,55.5,80.0,298.0,242.0,238.5,342.5
ARG2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
RHOA,315.0,265.0,25.0,47.0,316.0,264.0,268.5,354.5
RHOB,104.0,198.5,18.5,16.0,112.0,67.0,119.0,66.0
RHOC,1.0,1.0,0.0,0.0,1.0,2.0,2.5,0.5
RND3,1.0,17.0,0.5,0.0,1.0,2.0,7.5,1.5
RHOG,164.5,20.5,10.5,47.0,175.0,123.0,95.5,175.0
ARHGAP1,83.5,8.0,3.5,31.0,73.0,72.0,40.0,76.0
ARHGAP4,4.0,0.0,0.0,4.0,3.0,5.0,1.0,5.0
ARHGAP5,1.0,2.0,0.0,0.0,2.0,0.0,0.5,1.0
ARHGAP6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
ARHGDIA,445.0,114.0,15.5,121.0,402.0,501.0,169.5,426.5
ARHGDIB,390.0,49.0,59.5,178.0,350.0,449.0,125.0,365.0
RHOH,15.0,11.0,3.5,4.0,16.0,8.0,13.0,17.0
ARL1,32.0,7.5,1.0,7.0,34.0,41.0,13.0,38.0
PHOX2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARL2,3.5,0.0,0.0,3.0,3.0,4.0,0.5,3.0
ARL3,3.0,1.0,0.0,1.0,3.0,2.0,3.0,3.5
ARNT,23.0,4.5,4.5,5.0,25.0,16.0,10.5,36.0
ARNTL,2.0,1.0,0.0,0.0,4.0,1.0,1.0,4.5
ARRB1,79.0,20.5,6.5,33.0,53.0,113.0,26.0,55.0
ARRB2,24.0,8.5,0.5,5.0,20.0,13.0,19.5,19.0
ARSA,3.0,0.0,0.0,2.0,3.0,5.0,1.0,4.0
ARSB,27.0,7.0,5.0,5.0,31.0,37.0,8.0,31.5
STS,4.0,0.5,0.0,1.0,1.0,4.0,0.5,4.5
ARSD,9.0,1.5,0.5,5.0,9.0,9.0,2.0,9.0
ARVCF,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ASAH1,7.0,1.5,0.0,1.0,7.0,9.0,5.0,10.0
ASCL2,5.0,1.5,1.0,4.0,5.0,5.0,5.5,5.0
ASGR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASL,0.5,0.0,0.5,1.0,1.0,3.0,0.0,0.5
GET3,6.0,0.5,0.0,1.0,6.0,3.0,0.5,6.0
ASNS,1.0,0.5,0.0,1.0,2.0,0.0,1.0,3.5
ASPH,33.5,10.0,2.0,5.0,34.0,29.0,15.0,39.5
ASS1,1.0,1.0,0.0,1.0,2.0,0.0,0.5,5.0
ZFHX3,0.0,1.5,3.0,0.0,0.0,0.0,0.5,0.0
ATF1,11.5,12.5,1.0,3.0,13.0,12.0,5.0,19.0
ATF3,114.0,355.0,9.0,11.0,165.0,56.0,167.5,152.0
ATF4,60.5,31.5,4.5,17.0,50.0,36.0,22.5,54.0
ATIC,2.0,0.5,0.0,0.0,3.0,3.0,3.0,2.5
ATM,23.0,9.5,1.0,8.0,33.0,33.0,12.5,45.5
RERE,20.5,8.5,1.5,5.0,27.0,26.0,14.0,37.5
ATOX1,4.5,1.0,0.0,1.0,2.0,6.0,1.0,3.0
ATP1A1,20.0,15.5,1.0,6.0,22.0,18.0,15.0,20.5
ATP1A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1A3,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.5
ATP12A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1B1,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.5
ATP1B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1B3,22.0,21.0,2.0,8.0,23.0,35.0,20.0,23.5
ATP2A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP2A2,150.0,119.5,8.5,22.0,114.0,162.0,118.0,158.0
ATP2A3,26.0,9.5,1.0,13.0,27.0,22.0,27.5,29.0
ATP2B1,36.5,76.0,14.5,7.0,31.0,27.0,53.5,47.0
ATP2B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
ATP2B3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP2B4,23.0,15.0,3.5,8.0,24.0,27.0,19.5,40.5
ATP5F1A,7.0,3.5,1.0,1.0,7.0,11.0,5.0,9.5
ATP5F1B,28.0,10.5,1.5,5.0,21.0,17.0,11.0,22.5
ATP5F1C,1.5,0.0,0.0,0.0,3.0,1.0,1.5,3.0
ATP5F1D,9.0,3.0,0.0,4.0,7.0,15.0,2.0,10.5
ATP5F1E,12.5,5.0,2.0,3.0,9.0,8.0,11.0,11.5
ATP5PB,15.5,5.5,3.5,2.0,16.0,19.0,6.0,20.0
ATP5MC1,2.5,0.5,0.5,1.0,1.0,2.0,1.0,1.0
ATP5MC2,14.5,1.5,0.0,6.0,17.0,13.0,8.5,16.5
ATP5MC3,36.0,32.0,11.5,8.0,22.0,48.0,27.5,45.0
ATP5ME,10.0,1.0,0.5,5.0,7.0,11.0,3.0,7.0
ATP5PF,2.0,0.0,0.0,1.0,2.0,1.0,0.5,2.0
ATP6V1A,21.5,6.5,6.5,5.0,25.0,23.0,9.5,39.5
ATP6V1B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP6V1B2,106.5,104.5,29.5,18.0,111.0,83.0,74.0,152.5
ATP6V0C,111.0,40.5,6.0,29.0,92.0,76.0,32.5,89.0
ATP6V1C1,33.5,2.5,4.0,12.0,36.0,37.0,9.5,51.0
ATP6V1E1,46.5,9.5,4.0,13.0,53.0,31.0,26.5,51.0
ATP6V0B,49.0,35.5,7.5,10.0,48.0,33.0,37.5,50.5
ATP6V0A1,13.5,3.0,1.0,2.0,19.0,8.0,4.0,17.5
ATP6AP1,9.0,4.0,1.5,3.0,10.0,6.0,5.5,12.5
ATP7A,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.5
ATP5PO,3.5,0.0,0.0,0.0,3.0,4.0,1.5,4.0
ATP7B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATR,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0
ATRX,13.5,13.5,3.0,6.0,14.0,16.0,11.5,18.5
AUH,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
AUP1,278.5,86.5,13.5,64.0,260.0,246.0,118.5,264.5
AVPR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXL,0.0,1.5,0.5,1.0,0.0,0.0,2.0,0.5
B2M,24.5,25.0,4.5,6.0,25.0,38.0,24.5,29.5
BACH1,113.0,110.5,15.5,14.0,121.0,107.0,100.5,167.0
BAD,2.5,0.0,0.0,2.0,2.0,4.0,0.0,2.5
BAG1,44.5,37.5,3.5,18.0,28.0,64.0,42.5,40.0
ADGRB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAK1,32.0,6.0,2.5,9.0,31.0,34.0,11.0,33.5
NKX3-2,0.5,1.0,0.0,1.0,1.0,0.0,1.5,1.5
BARD1,46.5,19.0,3.5,17.0,48.0,75.0,29.5,65.5
BAX,11.0,1.0,1.0,2.0,10.0,12.0,4.5,9.0
BBS1,3.5,1.5,0.0,1.0,3.0,2.0,1.0,2.5
BBS2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
BBS4,5.0,1.0,0.5,2.0,11.0,6.0,0.5,10.5
BCAT1,32.0,30.5,2.5,5.0,50.0,28.0,38.0,78.5
BCAT2,9.0,0.0,0.0,4.0,5.0,10.0,1.5,8.0
BCKDHA,9.5,2.5,0.5,4.0,4.0,11.0,3.5,8.0
BCKDHB,3.0,1.0,0.0,0.0,4.0,4.0,0.5,5.5
CCND1,17.5,11.0,1.5,12.0,12.0,28.0,19.0,27.5
BCL2,210.5,42.0,11.0,110.0,203.0,277.0,110.0,293.0
BCL2A1,2.0,7.5,0.5,1.0,2.0,0.0,2.5,2.0
BCL2L1,51.5,9.5,3.5,15.0,51.0,56.0,33.0,56.0
BCL2L2,30.5,4.5,3.0,12.0,27.0,41.0,19.5,31.5
BCL3,21.0,16.0,11.0,8.0,22.0,18.0,29.5,30.0
BCL6,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0
BCL7A,119.5,29.0,5.5,33.0,115.0,140.0,72.0,119.5
BCL9,1.0,0.5,0.0,0.0,1.0,0.0,0.5,1.0
HCN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPN1SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCR,8.0,2.0,0.5,1.0,9.0,4.0,2.5,8.0
BCS1L,2.0,0.0,0.0,0.0,2.0,2.0,0.5,1.0
BDH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDNF,1.0,1.0,0.5,0.0,1.0,2.0,2.0,1.5
BFSP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
BGLAP,0.5,0.0,0.0,0.0,1.0,0.0,0.5,1.0
CEACAM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BICD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,46.0,14.5,8.0,17.0,47.0,54.0,26.5,48.0
BIK,1.5,0.0,0.0,2.0,1.0,2.0,2.5,0.5
PRDM1,16.0,14.0,13.5,4.0,16.0,18.0,28.0,33.5
BLM,1.0,0.0,0.5,0.0,1.0,2.0,0.0,1.0
BLMH,20.5,5.5,3.0,5.0,27.0,21.0,12.5,26.5
CXCR5,0.0,1.5,0.0,0.0,0.0,0.0,2.0,0.0
BLVRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLVRB,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0
BMI1,14.0,7.5,1.0,1.0,17.0,15.0,18.0,25.5
BMP1,6.0,2.5,1.5,2.0,4.0,4.0,4.0,4.0
BMP2,0.0,1.5,0.0,1.0,0.0,1.0,3.0,0.5
BMP6,1.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0
BMP8B,4.0,1.0,0.0,1.0,3.0,5.0,3.0,5.0
BMPR1A,3.5,3.0,0.5,2.0,1.0,5.0,4.0,5.5
BMPR2,3.0,3.0,0.5,0.0,5.0,4.0,3.0,6.5
POLR3D,30.5,16.0,1.5,10.0,28.0,46.0,17.0,30.5
BNIP1,15.0,7.5,1.0,4.0,17.0,21.0,8.0,21.0
BNIP2,67.5,55.0,9.5,19.0,67.0,100.0,72.5,117.5
BNIP3,1.5,1.5,0.0,0.0,2.0,1.0,0.0,2.0
BNIP3L,14.5,7.5,1.0,4.0,21.0,16.0,13.5,32.0
BOK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DST,0.5,0.5,0.0,0.0,0.0,1.0,0.0,2.0
BPGM,7.5,1.0,0.0,2.0,17.0,11.0,2.0,15.5
BPHL,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5
BPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRCA1,43.0,5.0,2.0,22.0,42.0,58.0,13.5,49.5
BRAF,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
BRCA2,16.5,16.0,2.0,4.0,18.0,22.0,12.5,28.5
ZFP36L1,20.5,472.5,22.0,8.0,16.0,11.0,88.5,27.0
ZFP36L2,1398.0,305.5,99.5,379.0,1399.0,1253.0,920.5,1829.0
BSG,96.0,32.5,7.5,27.0,96.0,82.0,42.5,96.0
BST1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
BST2,1.5,5.5,0.0,2.0,3.0,3.0,5.5,2.5
BTD,1.0,0.5,0.0,1.0,2.0,1.0,0.0,2.5
KLF9,67.0,120.0,3.5,3.0,79.0,50.0,67.5,87.0
KLF5,4.5,16.0,0.5,0.0,4.0,4.0,5.5,4.0
BTF3,27.5,32.5,4.5,7.0,29.0,32.0,22.5,32.5
BTG1,73.0,103.5,16.5,10.0,80.0,61.0,49.0,92.5
BTK,9.5,3.0,1.0,4.0,11.0,13.0,4.0,11.0
BUB1,2.5,1.0,0.0,0.0,2.0,3.0,0.0,3.0
BUB1B,6.0,1.5,2.5,2.0,7.0,12.0,3.5,9.0
BYSL,61.0,19.0,3.5,18.0,51.0,58.0,36.0,51.0
TSPO,2.0,0.5,0.0,1.0,1.0,3.0,1.0,2.0
C1QBP,39.0,18.0,4.5,9.0,43.0,47.0,24.0,40.5
C1QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3AR1,4.0,58.0,10.0,3.0,3.0,5.0,18.0,4.0
CAPN5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.5
C5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
C5AR1,0.5,0.5,0.0,0.0,1.0,0.0,1.5,1.0
C8G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSGIN2,24.0,50.5,11.0,6.0,35.0,32.0,27.5,46.0
VPS51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
MRPL49,99.0,17.5,4.0,25.0,113.0,82.0,40.5,105.5
ZNHIT2,4.5,1.5,0.0,3.0,4.0,4.0,2.5,4.0
MYRF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM258,1.5,1.5,0.0,1.0,1.0,2.0,1.5,4.0
DAGLA,3.0,0.5,0.0,2.0,3.0,1.0,0.0,3.0
GAS8-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FMNL1,9.0,2.5,0.5,7.0,10.0,8.0,6.0,9.5
LDLRAD4,10.0,4.5,0.5,4.0,11.0,9.0,8.5,11.5
