,VHL_2h,DMSO_24h,DMSO_2h,MYBi_24h,PBS_24h,VHL_24h
SOD1,2377.5,3256.5,3056.0,630.0,1025.0,2758.5
SOD2,2418.5,3543.0,3685.0,907.0,1051.5,1713.5
CAPN15,1849.5,1668.0,1796.0,1202.0,1194.5,1442.0
SON,3554.5,5533.5,5879.5,2386.0,2508.5,3135.5
SORD,1317.5,1359.5,1413.0,251.0,486.0,1222.0
SORL1,423.0,687.5,544.5,338.0,291.5,429.0
SOS1,236.0,761.5,405.0,333.0,280.0,322.5
SOS2,165.5,557.5,409.0,208.0,170.5,212.0
SOX2,0.0,0.0,0.0,0.0,0.0,0.0
SOX4,1264.0,1910.5,2575.5,2559.0,1070.0,739.0
SOX5,0.0,2.0,0.0,0.0,0.0,0.0
SOX10,2.0,1.0,0.0,2.0,0.0,0.0
SOX11,0.5,0.0,0.0,1.0,0.0,0.0
SOX15,25.0,29.0,34.5,5.0,13.0,23.5
SOX12,1939.0,1910.0,1872.5,836.0,1061.5,1583.5
SP1,4218.0,6093.0,5335.0,2199.0,2318.0,3450.0
SP2,647.0,638.5,733.5,381.0,363.5,473.5
SP3,655.0,2442.5,2211.5,443.0,567.5,610.5
SP4,97.0,497.0,280.0,58.0,84.5,113.5
SP100,518.5,993.0,727.0,847.0,479.5,538.0
SPAG1,60.0,147.5,206.5,23.0,21.5,36.5
UAP1,493.5,871.0,916.5,211.0,328.0,349.5
SPAG4,7.0,13.5,6.0,6.0,6.0,10.0
SPARC,21.0,5.5,13.0,0.0,3.5,5.5
SPAST,463.0,1216.0,1082.5,373.0,392.5,431.0
SPG7,696.5,714.5,659.0,520.0,544.0,780.0
SPI1,3140.5,2397.5,2997.0,2584.0,1749.0,2138.0
SPIB,31.5,20.0,34.0,57.0,62.0,17.5
SPINT1,178.5,169.0,161.0,177.0,181.0,172.5
SPN,32913.5,33558.5,35156.0,17464.0,16907.0,25298.0
SPOCK1,300.5,401.0,439.5,411.0,195.5,199.0
SPP1,7.5,34.0,16.0,0.0,11.5,2.5
SPR,839.0,979.5,846.0,441.0,585.0,1030.0
SPTAN1,290.0,271.5,307.5,136.0,114.0,276.5
SPTB,133.0,182.5,130.0,26.0,36.0,154.5
SPTBN1,21.5,33.0,29.0,19.0,43.0,16.0
SQLE,301.5,1428.5,1102.5,75.0,413.0,323.0
SRC,796.0,759.5,788.0,797.0,250.5,642.5
SRD5A1,36.5,63.5,59.0,42.0,23.5,34.0
SRD5A2,0.5,0.0,0.0,6.0,0.0,0.0
SRI,262.0,546.0,532.0,129.0,148.5,219.0
SREBF1,875.0,905.5,910.0,299.0,970.5,896.5
SREBF2,5361.0,4883.0,5562.5,2773.0,4890.5,4176.5
SRF,5167.0,4482.5,5879.0,1510.0,1443.5,3435.5
SRM,2117.5,1566.0,2024.5,1730.0,1343.5,1639.5
SRP9,2627.5,9079.0,8688.5,747.0,1431.0,1923.0
SRP14,1534.5,2567.0,2584.0,1590.0,1212.5,1393.5
SRP19,1580.5,2284.5,2610.0,1801.0,908.0,1323.5
SRP54,171.5,281.0,287.0,146.0,204.0,139.0
SRP68,5058.0,5913.0,5648.0,2142.0,2696.5,5070.5
SRP72,2579.5,5274.0,5301.0,878.0,1410.0,2076.0
SRPK1,10872.5,16171.0,13143.5,1712.0,2591.5,9464.0
SRPK2,388.5,1160.5,876.5,239.0,258.0,392.5
SRPRA,5718.5,4749.0,5852.0,2560.0,2670.0,4298.5
