,JQ1,MYBi_30m,MYBi_6h,PBS_6h,MS2_JQ1,DMSO,PBS_30m,MS2
UST-AS1,3.5,1.0,1.5,0.0,4.0,1.0,1.5,3.5
TMPO-AS1,2820.5,546.5,211.5,912.0,2818.0,2493.0,1038.5,2795.5
DNM1P35,177.5,97.0,10.0,87.0,174.0,115.0,121.0,179.5
100128288,38.5,13.5,6.0,21.0,47.0,21.0,23.0,45.5
LINC00696,3.0,1.5,0.0,1.0,3.0,4.0,1.5,3.5
FAM225B,6.5,1.0,3.0,4.0,9.0,5.0,2.5,10.5
100128386,4.0,1.5,0.0,1.0,4.0,1.0,0.0,4.5
100128494,3272.5,710.5,293.5,467.0,3875.0,2325.0,1184.0,3770.5
KIAA1671-AS1,5.5,0.0,0.0,0.0,9.0,2.0,0.0,4.5
MIR29B2CHG,4.0,2.0,0.5,1.0,4.0,2.0,2.0,3.5
100128568,27.0,15.0,4.5,4.0,19.0,22.0,19.0,20.0
C19orf71,38.5,9.0,1.0,3.0,35.0,27.0,16.0,31.0
100128573,3.5,3.0,2.0,3.0,7.0,0.0,2.0,3.0
SLC8A1-AS1,1.0,6.0,1.5,3.0,1.0,3.0,4.5,1.5
ACVR2B-AS1,17.0,11.0,2.0,11.0,15.0,12.0,14.0,18.5
OST4,3676.5,1096.5,1477.5,1940.0,3904.0,2433.0,1601.0,3873.0
100128770,14.5,15.0,2.0,10.0,17.0,13.0,17.5,17.5
LINC00476,456.0,123.5,43.5,156.0,531.0,317.0,215.0,504.5
SRRM2-AS1,42.5,15.5,3.5,16.0,44.0,31.0,29.5,46.5
LINC01003,407.5,139.0,29.5,150.0,425.0,255.0,215.5,439.0
VPS9D1-AS1,1213.5,430.5,150.5,572.0,1064.0,1145.0,655.5,1154.5
FAM66B,3.0,1.0,0.0,2.0,5.0,6.0,3.5,3.5
ZBTB42,119.0,59.0,21.5,74.0,97.0,83.0,101.5,96.0
100129027,2.0,2.5,5.0,1.0,3.0,1.0,2.5,3.0
PKP4-AS1,146.5,44.5,11.0,40.0,159.0,103.0,76.0,145.5
SEMA3F-AS1,412.0,234.5,210.5,130.0,577.0,296.0,320.0,497.0
100129066,0.0,0.0,3.5,0.0,0.0,0.0,2.0,0.5
KTN1-AS1,72.5,30.0,7.0,35.0,73.0,70.0,49.0,90.0
100129083,70.0,39.0,3.5,17.0,78.0,72.0,67.0,77.5
100129138,63.0,13.5,19.0,26.0,66.0,49.0,18.5,62.0
100129148,1793.5,507.5,373.0,614.0,1812.0,2002.0,834.0,1839.5
ZSCAN16-AS1,536.5,126.5,100.0,182.0,612.0,371.0,167.0,579.5
MATN1-AS1,123.0,50.5,6.0,22.0,153.0,74.0,67.0,160.0
DEFB131B,4.5,2.5,0.5,2.0,10.0,5.0,5.5,12.0
SMIM27,216.5,72.0,27.5,58.0,232.0,154.0,97.5,219.5
LINC01160,14.0,3.0,5.0,4.0,23.0,14.0,8.5,17.0
SMIM10L1,568.5,174.5,195.5,224.0,615.0,617.0,330.5,648.5
RPL19P12,14.0,8.5,7.0,10.0,15.0,6.0,10.5,15.0
DPY19L1P1,184.5,85.0,43.0,56.0,204.0,188.0,129.0,212.5
LYRM4-AS1,90.0,38.0,9.0,45.0,83.0,81.0,56.0,88.0
ZNF37BP,764.0,391.5,101.0,456.0,999.0,836.0,709.5,1173.5
SOD2-OT1,81.5,38.0,12.0,33.0,102.0,41.0,45.5,80.0
100129534,50.0,29.0,4.0,25.0,66.0,29.0,45.5,65.0
LINC02035,99.5,61.0,18.0,66.0,123.0,71.0,77.5,114.0
100129697,8.5,1.5,4.0,0.0,6.0,14.0,2.5,9.5
STPG3-AS1,9.0,0.5,1.0,9.0,19.0,6.0,1.0,17.0
CCDC152,3.5,9.0,1.0,0.0,8.0,6.0,5.5,5.0
PCOLCE-AS1,21.5,11.0,4.5,9.0,34.0,16.0,13.5,29.0
SCOC-AS1,108.5,30.5,12.5,37.0,117.0,72.0,44.0,113.5
100129917,124.5,37.0,11.5,42.0,144.0,111.0,40.0,167.5
100129931,2282.0,721.0,340.5,925.0,2458.0,1825.0,1175.5,2465.5
CCNT2-AS1,78.5,11.5,6.0,25.0,80.0,81.0,25.5,83.5
URAHP,107.5,33.5,26.5,39.0,130.0,55.0,44.5,119.0
100130172,43.5,13.5,3.5,5.0,65.0,21.0,17.0,54.0
EFCAB14-AS1,172.5,49.0,16.0,24.0,192.0,135.0,81.0,196.5
LINC00861,8.5,4.0,2.5,0.0,12.0,11.0,6.5,19.0
C17orf107,34.5,23.5,1.5,5.0,60.0,16.0,38.5,61.0
100130331,92.0,28.5,25.0,40.0,115.0,37.0,28.5,83.5
TMEM262,11.5,6.5,0.5,3.0,13.0,7.0,6.0,11.5
100130357,48.5,16.5,16.0,25.0,59.0,51.0,21.0,58.0
LINC02593,30.0,18.0,3.5,38.0,28.0,31.0,36.5,34.5
CECR7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
100130449,1.0,1.5,0.0,0.0,1.0,3.0,1.0,1.0
WAKMAR2,12.0,12.0,9.0,14.0,10.0,13.0,10.5,14.5
TMEM221,10.0,4.0,3.0,6.0,11.0,6.0,11.0,10.5
PARD6G-AS1,9.5,1.0,0.0,2.0,14.0,9.0,1.5,14.0
100130548,6.5,4.5,0.5,2.0,9.0,7.0,4.5,11.5
NFYC-AS1,150.0,52.5,28.5,31.0,182.0,111.0,76.0,173.0
LINC00910,92.0,46.5,5.0,24.0,117.0,45.0,75.5,97.5
PRR32,6.0,5.0,1.5,5.0,3.0,6.0,8.5,3.5
