,VHL_2h,DMSO_24h,DMSO_2h,MYBi_24h,PBS_24h,VHL_24h
MED24,17.0,9.25,17.75,2.3333333333333335,6.5,6.75
MAGI2,10.75,5.0,13.25,1.6666666666666667,1.25,4.0
TRIM66,19.0,7.5,15.75,0.0,6.25,4.25
PJA2,29.75,24.75,48.5,2.0,28.25,8.5
TOMM70,79.5,40.25,139.25,5.666666666666667,25.25,20.25
SETDB1,8.75,4.25,8.5,0.3333333333333333,3.75,2.0
AREL1,36.0,16.5,39.75,2.6666666666666665,11.0,13.75
SEC24D,7.25,4.5,8.0,0.0,2.0,1.25
FCHSD2,51.5,30.0,49.0,2.3333333333333335,29.25,17.5
TLK1,21.0,7.5,26.5,0.0,8.5,5.0
URB1,30.5,20.0,35.0,2.6666666666666665,10.0,12.25
ZC3H11A,43.5,29.75,60.25,5.333333333333333,35.0,14.5
TOX4,35.25,17.75,44.25,0.6666666666666666,7.25,13.25
DDX46,15.75,8.25,21.25,1.0,4.5,3.25
ZBTB39,127.25,42.75,185.0,3.3333333333333335,30.25,28.5
TRANK1,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D4,0.0,1.0,0.5,1.3333333333333333,0.0,0.0
POM121,35.5,21.75,40.5,4.333333333333333,13.0,13.0
OSBPL2,15.75,5.5,15.5,2.0,9.75,4.0
RHOBTB1,0.25,1.75,2.0,0.0,0.0,1.25
SMG7,78.0,34.75,87.25,4.666666666666667,26.75,19.75
ZBED4,67.5,28.25,106.25,3.6666666666666665,22.0,20.5
NUAK1,1.75,1.5,2.75,0.0,1.5,0.5
TELO2,8.25,6.25,8.75,2.6666666666666665,3.25,5.0
TECPR2,8.25,5.0,9.5,0.0,4.0,6.0
FIG4,0.25,0.0,0.0,0.0,1.25,0.5
WASHC5,3.75,2.25,3.25,0.0,1.0,0.25
UBAP2L,27.5,15.0,30.5,2.6666666666666665,13.5,9.5
SV2B,1.5,1.5,2.0,0.0,0.5,1.5
SV2A,0.5,0.25,1.0,0.6666666666666666,1.25,1.25
SRGAP3,3.75,13.5,6.0,0.3333333333333333,1.75,8.75
MRC2,46.25,29.0,47.5,2.6666666666666665,17.25,19.5
KLHL21,277.5,191.0,315.75,11.0,64.25,148.25
RBM19,10.75,8.75,10.25,1.0,9.0,5.75
SGSM2,4.25,6.0,5.25,0.0,4.25,3.0
SLC35E2A,28.5,8.25,25.25,1.0,9.5,8.0
AP5Z1,13.0,9.5,12.0,1.6666666666666667,15.25,5.25
G3BP2,96.5,67.0,173.5,4.0,43.0,35.5
DENND4B,19.75,14.5,15.75,6.0,28.25,8.25
RABGAP1L,2.5,1.5,3.75,5.0,7.25,1.5
TMCC2,1.75,0.75,0.25,0.0,0.0,0.5
ARHGAP44,1.75,0.25,2.0,2.6666666666666665,24.25,1.25
SUPT7L,17.75,6.75,22.25,0.0,5.75,2.75
ATP2C2,0.0,0.0,0.0,0.0,0.0,0.0
FAM20B,81.0,18.75,98.5,3.6666666666666665,22.5,16.5
NCAPD2,27.25,11.5,23.0,1.0,5.75,8.75
SEC16A,74.5,38.0,64.75,5.333333333333333,42.25,27.0
KBTBD11,0.5,2.25,4.5,0.0,0.25,3.5
RNF10,12.5,6.0,12.25,1.3333333333333333,2.75,2.75
IQSEC1,11.25,9.25,11.0,3.3333333333333335,10.75,2.75
ZBTB40,45.25,34.5,36.25,3.6666666666666665,19.75,26.0
PAN2,2.5,1.75,1.75,0.0,0.5,0.75
ZBTB5,67.5,22.5,84.0,2.3333333333333335,21.5,19.25
LPGAT1,6.25,3.25,6.75,0.0,1.5,0.75
MFN2,55.75,29.5,67.25,3.0,20.0,18.25
KIF14,18.75,8.5,27.0,1.6666666666666667,4.25,7.0
JOSD1,61.5,44.25,83.5,2.3333333333333335,36.25,34.0
HELZ,28.5,24.5,48.75,7.0,19.25,12.0
PUM3,10.0,6.5,16.25,0.6666666666666666,3.25,3.0
P2RY14,0.0,0.0,0.0,0.0,0.0,0.0
MAFB,20.25,4.75,23.25,0.0,0.0,2.75
CD302,7.25,5.75,9.25,1.0,4.0,1.0
DCLRE1A,3.25,3.25,6.75,0.0,2.5,0.75
ARHGAP25,6.0,7.5,5.75,1.0,7.25,3.0
RBM8A,30.25,19.5,48.5,2.0,13.75,14.0
DLEC1,0.0,0.0,0.0,0.0,0.0,0.0
EXOG,11.5,4.25,10.25,0.3333333333333333,1.75,2.75
XYLB,2.75,2.25,2.25,0.0,1.0,2.0
OXSR1,52.5,41.5,70.75,5.333333333333333,38.0,24.75
CRYZL1,0.5,2.25,4.0,0.0,1.25,0.5
WDR1,76.25,104.75,112.25,7.666666666666667,42.0,72.25
AMMECR1,23.0,11.25,30.25,0.6666666666666666,7.75,5.5
GOLGA5,12.5,6.0,15.25,0.0,2.75,3.25
HS3ST4,0.0,0.0,0.0,0.0,0.0,0.0
HS3ST3B1,25.5,11.25,40.5,1.3333333333333333,17.25,8.0
USP15,21.25,18.75,41.75,3.3333333333333335,16.25,8.0
USP3,46.25,20.0,65.0,8.333333333333334,25.25,13.75
MVP,0.0,0.0,0.0,0.0,0.0,0.0
SLC23A2,51.0,34.5,70.5,9.333333333333334,48.5,25.5
SLC23A1,0.0,0.0,0.0,0.0,0.0,0.0
TNFSF15,0.25,0.25,0.25,0.0,0.25,0.75
THRAP3,72.5,37.25,86.0,2.6666666666666665,24.75,27.0
MED12,0.75,0.5,1.0,0.0,0.25,0.0
MED13,73.5,34.0,111.25,5.333333333333333,18.75,18.25
NR1I3,0.0,0.0,0.0,0.0,0.0,0.0
NUP153,96.75,28.25,125.0,6.333333333333333,18.25,13.75
CCS,0.5,0.75,0.25,0.3333333333333333,0.0,0.25
NR1D2,10.75,3.0,13.0,1.6666666666666667,6.75,2.5
RBX1,5.0,1.25,1.75,0.0,1.25,1.5
DOP1B,3.5,2.5,6.75,0.3333333333333333,2.5,1.0
THOC1,2.25,1.25,2.5,0.0,0.5,0.5
REC8,0.0,0.5,0.5,0.0,0.75,0.75
RCE1,12.5,11.75,16.25,0.0,5.25,6.0
HNRNPDL,373.25,420.5,522.5,28.666666666666668,182.5,225.5
DMTF1,39.0,21.25,45.5,1.6666666666666667,20.25,16.0
PPP4R1,64.75,21.25,72.0,4.333333333333333,25.0,14.25
SLC12A6,11.5,2.5,15.25,1.3333333333333333,15.5,1.75
PTBP3,85.25,40.75,130.5,13.0,75.5,25.75
KCNE2,0.0,0.0,0.0,0.0,0.0,0.0
DGCR2,74.5,80.75,97.0,3.3333333333333335,34.5,54.5
CASP8AP2,7.75,3.0,8.0,0.0,2.25,1.0
SCO2,3.25,2.5,2.75,0.0,0.0,3.25
AKT3,0.0,0.0,0.25,0.0,0.25,0.0
MED6,19.75,14.0,21.5,3.0,6.75,13.75
NR2E3,0.0,0.0,0.0,0.0,0.0,0.0
NAALAD2,0.0,0.25,0.25,0.0,0.0,0.0
NAALADL1,0.0,0.0,0.0,0.0,0.0,0.0
ACOT8,0.75,0.0,0.75,0.0,0.5,0.5
ABI1,9.25,2.0,12.25,2.3333333333333335,6.0,1.0
GNPDA1,17.5,5.5,25.75,0.6666666666666666,6.75,4.0
KCNE3,36.5,5.5,46.0,1.6666666666666667,6.5,7.25
ZBTB33,195.5,164.0,398.25,14.666666666666666,122.75,83.5
TANK,1.5,1.5,3.25,1.0,2.25,0.25
SRA1,40.0,52.25,52.0,0.0,21.25,37.5
HDAC6,3.75,4.25,5.25,0.0,2.5,2.5
HDAC5,0.5,3.5,3.0,0.6666666666666666,5.0,0.75
PDCD6IP,35.25,13.25,33.75,3.0,6.5,11.25
PDCD6,24.0,11.5,22.25,2.0,9.5,5.5
BCL2L10,0.0,0.0,0.0,1.3333333333333333,6.5,0.0
BCL2L11,274.0,82.25,370.0,8.666666666666666,49.5,62.5
SH2B3,387.0,146.0,567.25,13.333333333333334,130.5,92.0
GNE,35.5,23.75,50.0,3.0,17.75,16.0
FRAT1,41.5,71.0,64.25,14.666666666666666,48.5,49.25
TROAP,7.25,3.0,7.75,0.0,1.25,2.25
MED16,0.25,2.75,0.0,0.0,0.0,0.5
PIGK,4.75,3.0,9.0,0.3333333333333333,2.25,1.5
CHAF1A,34.25,14.5,31.5,0.6666666666666666,4.25,8.75
PARP2,0.75,0.25,1.0,0.0,0.0,0.75
PARP3,0.25,0.0,0.0,0.0,0.0,0.0
TOM1L1,0.0,0.0,0.0,0.0,0.5,0.0
HMGXB4,101.75,31.25,131.5,6.0,27.5,16.25
TOM1,8.0,2.75,2.5,0.6666666666666666,2.0,3.75
SH2D3C,1.75,3.5,3.25,0.3333333333333333,10.75,2.0
SH2D3A,0.25,0.5,0.0,0.0,0.0,0.5
MAMLD1,0.0,0.25,0.25,0.0,0.0,0.0
RANBP9,33.0,16.5,53.5,6.666666666666667,24.75,9.5
DNAJB6,22.25,13.0,35.0,3.0,11.5,9.75
SLC17A4,0.0,0.0,0.0,0.0,0.0,0.0
SMC4,264.25,118.75,410.0,12.0,47.25,58.25
GJC1,0.25,0.0,0.25,0.0,0.25,0.0
AP1M2,0.0,0.0,0.0,0.0,0.0,0.0
UBA2,37.75,19.5,55.75,3.0,14.5,8.75
SAE1,90.25,38.0,104.5,10.333333333333334,48.5,26.5
FARSB,31.75,7.5,35.5,1.3333333333333333,7.0,9.25
ABCC5,14.25,10.25,17.0,0.0,3.0,6.75
ABCB6,0.25,0.5,0.0,0.0,0.0,0.0
DNM1L,28.5,13.0,37.0,0.6666666666666666,10.25,9.25
ABCF2,48.0,18.25,43.0,0.6666666666666666,5.75,13.75
NR1H3,0.5,1.0,0.25,0.0,0.75,0.25
COX17,2.75,1.25,3.75,0.0,1.5,1.75
SCAMP2,39.75,18.25,34.25,3.6666666666666665,21.5,15.75
SCAMP3,0.0,0.25,0.5,0.0,0.0,0.0
IL18BP,8.25,4.75,4.75,0.0,3.0,3.0
RWDD2B,12.5,4.75,19.25,0.0,4.25,2.75
MUC12,0.25,0.25,0.0,0.0,0.0,0.25
DPP3,8.25,5.75,8.0,0.6666666666666666,4.0,4.0
SNUPN,6.0,4.0,7.5,0.6666666666666666,0.75,4.5
HUWE1,23.75,12.75,31.5,3.0,10.25,11.0
PTPRU,0.0,0.25,0.75,0.0,0.0,0.0
TSPAN32,1.5,1.0,0.75,0.0,0.75,1.0
TSSC4,7.75,4.75,8.75,0.0,1.25,7.0
ATP9A,0.0,0.0,0.0,0.0,0.0,0.0
PDCD7,88.75,25.0,95.25,4.0,17.5,9.75
PQBP1,0.75,0.25,0.25,0.0,0.25,0.25
CERT1,23.25,12.0,38.75,0.6666666666666666,10.5,6.5
KCNK7,0.0,0.75,0.25,0.0,0.0,0.25
UST,1.5,0.25,2.25,0.0,0.0,0.5
