,MS2,JQ1,MYBi_30m,PBS_30m,MYBi_6h,MS2_JQ1,DMSO,PBS_6h
ACYP2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
ADA,12.5,15.0,1.5,5.0,1.5,10.0,15.0,6.0
ADAM8,3.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0
ADAM10,62.5,37.5,20.5,30.0,9.5,45.0,52.0,13.0
ADAR,119.0,95.0,137.0,143.5,12.5,77.0,153.0,34.0
ADARB1,12.5,9.0,2.0,6.0,0.5,13.0,9.0,6.0
ADCY1,7.5,7.5,3.5,3.5,1.5,5.0,18.0,9.0
ADCY3,13.5,11.5,3.5,5.5,0.5,11.0,21.0,6.0
ADCY5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ADCY7,90.5,65.5,9.5,30.0,4.5,61.0,96.0,18.0
ADCY9,51.5,47.5,19.0,28.0,3.5,39.0,42.0,18.0
ADCYAP1R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD1,43.5,37.5,8.5,12.5,2.5,36.0,41.0,18.0
ADD2,49.5,42.5,9.0,18.0,0.0,39.0,60.0,15.0
ADD3,5.0,3.0,0.5,0.5,1.0,5.0,2.0,1.0
PLIN2,44.0,45.0,29.5,41.0,11.0,41.0,55.0,11.0
ADH5,13.5,9.5,2.5,6.5,0.0,10.0,11.0,4.0
ADH6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADK,10.5,8.0,5.0,4.0,0.0,10.0,4.0,3.0
ADM,1.0,2.0,4.5,0.0,0.0,1.0,0.0,0.0
ADORA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADORA2A,6.0,8.0,12.0,14.5,2.0,5.0,5.0,2.0
ADORA2B,20.5,15.0,13.0,19.5,5.5,14.0,26.0,8.0
ADORA3,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ADPRH,13.0,11.5,9.0,15.5,2.0,11.0,11.0,4.0
PARP1,23.5,20.5,6.0,12.5,0.5,24.0,19.0,6.0
PARP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA1D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA2C,1.5,2.5,0.0,0.0,0.0,0.0,2.0,2.0
ADRB1,6.0,4.0,1.5,5.5,0.0,3.0,3.0,2.0
ADRB2,9.0,7.5,3.0,2.5,1.0,7.0,6.0,4.0
GRK2,63.0,71.5,10.5,31.0,3.0,47.0,89.0,27.0
GRK3,24.0,22.5,5.5,8.0,2.0,23.0,24.0,11.0
ADSL,3.0,3.0,3.0,2.5,0.0,6.0,1.0,1.0
ADSS2,9.5,7.5,7.0,11.0,2.0,5.0,8.0,5.0
AP2A1,5.5,3.5,0.5,3.0,0.0,5.0,8.0,3.0
AP2A2,2.5,2.5,1.0,0.0,0.0,2.0,3.0,1.0
AP1B1,20.0,16.0,3.5,4.5,2.0,15.0,13.0,7.0
AP2B1,80.0,61.5,28.0,46.5,6.5,64.0,70.0,14.0
AP1G1,154.0,102.0,88.0,91.0,8.5,115.0,119.0,32.0
AEBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLE5,7.0,7.0,1.5,8.5,1.0,7.0,20.0,10.0
AFG3L1P,38.5,32.0,7.5,22.0,3.0,32.0,32.0,16.0
AGA,12.5,6.5,1.0,2.0,0.0,9.0,3.0,2.0
AGL,5.5,2.0,1.5,0.5,1.0,3.0,7.0,0.0
AGRP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAG1,5.5,2.5,27.0,19.5,0.5,3.0,0.0,1.0
AGT,1.5,0.5,0.0,0.5,0.0,1.0,3.0,0.0
AHCY,41.0,38.5,15.0,23.0,1.5,33.0,61.0,16.0
AHR,107.5,57.0,167.0,69.0,24.5,53.0,66.0,11.0
AIF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRYBG1,4.5,3.0,1.0,2.0,1.5,3.0,4.0,2.0
AK1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
AK2,192.0,165.0,84.0,162.5,7.5,130.0,177.0,49.0
AK4,4.5,3.0,2.0,2.0,0.5,2.0,7.0,0.0
AKT1,26.5,25.0,7.5,11.5,2.0,26.0,30.0,10.0
AKT2,30.0,28.5,16.0,17.5,1.0,20.0,32.0,10.0
ALAD,28.5,25.5,2.0,3.5,0.5,28.0,34.0,8.0
ALAS1,7.0,5.0,1.5,2.5,3.5,6.0,6.0,3.0
ALCAM,21.5,14.5,3.5,5.5,2.5,9.0,24.0,4.0
ABCD1,8.5,12.5,1.5,3.5,0.0,9.0,13.0,6.0
ALDH1A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALDH1B1,96.5,101.5,29.0,48.5,10.5,80.0,118.0,35.0
ALDH1A3,106.5,95.5,18.0,16.0,2.0,62.0,97.0,15.0
ALDH3B1,4.0,4.0,0.5,1.5,0.0,4.0,3.0,3.0
ALDH9A1,43.5,26.5,8.0,22.0,4.5,38.0,30.0,9.0
ALDH3A2,15.5,9.5,0.5,7.0,1.5,11.0,9.0,7.0
ABCD2,13.5,6.5,1.5,1.0,0.0,7.0,5.0,0.0
ALDOA,76.0,88.0,42.0,44.5,12.0,77.0,99.0,33.0
ALDOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDOC,4.0,3.5,0.0,0.0,0.0,4.0,2.0,0.0
AKR1B1,2.0,2.5,0.5,1.5,1.0,1.0,2.0,1.0
ALOX12,2.0,2.0,13.5,9.5,2.5,2.0,1.0,4.0
ALOX5AP,22.5,7.5,3.5,13.5,1.5,7.0,11.0,2.0
ALOX12B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALOX15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALOX15B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMD1,353.0,248.5,158.5,149.5,16.0,218.0,254.0,38.0
AMFR,26.5,19.5,6.5,14.0,3.0,29.0,14.0,4.0
AMH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMPD2,21.5,18.5,18.0,15.5,0.0,11.0,16.0,11.0
AMPD3,2.5,0.5,0.0,0.0,0.5,2.0,1.0,0.0
BIN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMT,3.0,2.5,0.0,1.0,0.0,4.0,2.0,1.0
ANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANK2,1.5,0.0,2.5,5.5,0.0,1.0,0.0,0.0
ANK3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANPEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A4,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
SLC25A5,46.0,37.5,34.0,26.5,3.5,29.0,51.0,6.0
SLC25A6,232.5,285.0,129.0,132.0,15.0,214.0,319.0,100.0
ANXA1,1.5,2.5,17.0,4.0,1.0,1.0,1.0,0.0
ANXA2,9.5,11.5,8.5,10.5,1.5,9.0,12.0,3.0
ANXA2P1,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0
ANXA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA4,1.5,1.0,1.0,0.0,0.0,2.0,2.0,0.0
ANXA5,8.0,5.0,9.0,6.0,1.0,10.0,3.0,0.0
ANXA6,2.5,4.5,1.0,1.0,0.0,4.0,2.0,3.0
ANXA7,9.0,7.5,1.0,3.5,0.5,10.0,6.0,0.0
ANXA11,16.0,13.5,2.5,4.5,0.5,17.0,15.0,3.0
AOAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOC2,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0
AOX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APAF1,22.5,17.0,4.5,4.5,4.0,17.0,13.0,6.0
NUDT2,7.0,4.0,0.5,1.5,0.0,7.0,2.0,0.0
APBA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APBB1,9.0,9.0,0.0,5.5,1.0,8.0,11.0,5.0
APBB2,9.0,2.0,4.0,4.0,0.0,8.0,4.0,0.0
APC,19.0,10.0,5.5,4.5,1.5,13.0,11.0,1.0
APEH,4.5,5.5,1.5,3.5,0.0,2.0,5.0,5.0
APEX1,46.5,29.5,13.5,23.0,1.5,28.0,68.0,17.0
BIRC2,4.0,3.5,2.0,2.0,2.0,1.0,8.0,0.0
BIRC3,1.0,0.0,1.5,0.5,2.5,0.0,0.0,0.0
XIAP,75.0,38.5,27.5,45.5,5.5,40.0,54.0,16.0
BIRC5,130.0,123.0,7.5,20.0,8.5,121.0,117.0,22.0
APLP1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APLP2,66.5,55.0,27.5,34.5,2.5,61.0,52.0,19.0
APOA1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
APOC1,0.5,1.5,1.5,1.5,0.0,0.0,2.0,1.0
AQP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOC2,25.0,24.0,8.0,16.0,2.0,20.0,31.0,10.0
APOC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APP,10.5,7.5,8.0,6.0,1.5,7.0,8.0,2.0
APRT,29.5,29.0,4.0,6.0,0.0,25.0,29.0,6.0
FAS,0.5,0.0,0.5,0.5,0.0,0.0,2.0,0.0
SHROOM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQP1,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0
AQP3,0.5,2.0,2.5,1.5,0.0,2.0,3.0,0.0
AQP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,1.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0
ARAF,22.0,28.5,6.5,13.0,1.5,26.0,16.0,4.0
ARCN1,209.0,169.0,92.5,139.0,19.5,170.0,160.0,31.0
TRIM23,14.5,7.5,1.0,3.5,2.0,7.0,11.0,4.0
ARF1,347.5,332.5,198.5,190.0,28.0,312.0,271.0,70.0
ARF3,81.0,75.5,53.5,47.0,2.0,73.0,87.0,14.0
ARF4,53.5,32.0,64.0,47.0,7.5,35.0,39.0,9.0
ARL4D,1.0,2.0,0.5,1.0,0.0,1.0,4.0,0.0
ARF5,5.5,5.0,3.0,4.5,0.5,6.0,5.0,2.0
ARF6,342.5,284.5,191.0,238.5,55.5,298.0,242.0,80.0
ARG2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
RHOA,354.5,315.0,265.0,268.5,25.0,316.0,264.0,47.0
RHOB,66.0,104.0,198.5,119.0,18.5,112.0,67.0,16.0
RHOC,0.5,1.0,1.0,2.5,0.0,1.0,2.0,0.0
RND3,1.5,1.0,17.0,7.5,0.5,1.0,2.0,0.0
RHOG,175.0,164.5,20.5,95.5,10.5,175.0,123.0,47.0
ARHGAP1,76.0,83.5,8.0,40.0,3.5,73.0,72.0,31.0
ARHGAP4,5.0,4.0,0.0,1.0,0.0,3.0,5.0,4.0
ARHGAP5,1.0,1.0,2.0,0.5,0.0,2.0,0.0,0.0
ARHGAP6,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
ARHGDIA,426.5,445.0,114.0,169.5,15.5,402.0,501.0,121.0
ARHGDIB,365.0,390.0,49.0,125.0,59.5,350.0,449.0,178.0
RHOH,17.0,15.0,11.0,13.0,3.5,16.0,8.0,4.0
ARL1,38.0,32.0,7.5,13.0,1.0,34.0,41.0,7.0
PHOX2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARL2,3.0,3.5,0.0,0.5,0.0,3.0,4.0,3.0
ARL3,3.5,3.0,1.0,3.0,0.0,3.0,2.0,1.0
ARNT,36.0,23.0,4.5,10.5,4.5,25.0,16.0,5.0
ARNTL,4.5,2.0,1.0,1.0,0.0,4.0,1.0,0.0
ARRB1,55.0,79.0,20.5,26.0,6.5,53.0,113.0,33.0
ARRB2,19.0,24.0,8.5,19.5,0.5,20.0,13.0,5.0
ARSA,4.0,3.0,0.0,1.0,0.0,3.0,5.0,2.0
ARSB,31.5,27.0,7.0,8.0,5.0,31.0,37.0,5.0
STS,4.5,4.0,0.5,0.5,0.0,1.0,4.0,1.0
ARSD,9.0,9.0,1.5,2.0,0.5,9.0,9.0,5.0
ARSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARSF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARVCF,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ASAH1,10.0,7.0,1.5,5.0,0.0,7.0,9.0,1.0
ASCL2,5.0,5.0,1.5,5.5,1.0,5.0,5.0,4.0
ASGR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASGR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASL,0.5,0.5,0.0,0.0,0.5,1.0,3.0,1.0
GET3,6.0,6.0,0.5,0.5,0.0,6.0,3.0,1.0
ASNS,3.5,1.0,0.5,1.0,0.0,2.0,0.0,1.0
ASPH,39.5,33.5,10.0,15.0,2.0,34.0,29.0,5.0
ASS1,5.0,1.0,1.0,0.5,0.0,2.0,0.0,1.0
ZFHX3,0.0,0.0,1.5,0.5,3.0,0.0,0.0,0.0
ATF1,19.0,11.5,12.5,5.0,1.0,13.0,12.0,3.0
ATF3,152.0,114.0,355.0,167.5,9.0,165.0,56.0,11.0
ATF4,54.0,60.5,31.5,22.5,4.5,50.0,36.0,17.0
ATIC,2.5,2.0,0.5,3.0,0.0,3.0,3.0,0.0
ATM,45.5,23.0,9.5,12.5,1.0,33.0,33.0,8.0
RERE,37.5,20.5,8.5,14.0,1.5,27.0,26.0,5.0
ATOX1,3.0,4.5,1.0,1.0,0.0,2.0,6.0,1.0
ATP1A1,20.5,20.0,15.5,15.0,1.0,22.0,18.0,6.0
ATP1A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1A3,0.5,1.0,0.0,1.0,0.0,0.0,1.0,2.0
ATP12A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1B1,0.5,0.0,1.0,1.0,0.0,1.0,2.0,0.0
ATP1B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1B3,23.5,22.0,21.0,20.0,2.0,23.0,35.0,8.0
FXYD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP2A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP2A2,158.0,150.0,119.5,118.0,8.5,114.0,162.0,22.0
ATP2A3,29.0,26.0,9.5,27.5,1.0,27.0,22.0,13.0
ATP2B1,47.0,36.5,76.0,53.5,14.5,31.0,27.0,7.0
ATP2B2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP2B3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP2B4,40.5,23.0,15.0,19.5,3.5,24.0,27.0,8.0
ATP5F1A,9.5,7.0,3.5,5.0,1.0,7.0,11.0,1.0
ATP5F1B,22.5,28.0,10.5,11.0,1.5,21.0,17.0,5.0
ATP5F1C,3.0,1.5,0.0,1.5,0.0,3.0,1.0,0.0
ATP5F1D,10.5,9.0,3.0,2.0,0.0,7.0,15.0,4.0
ATP5F1E,11.5,12.5,5.0,11.0,2.0,9.0,8.0,3.0
ATP5PB,20.0,15.5,5.5,6.0,3.5,16.0,19.0,2.0
ATP5MC1,1.0,2.5,0.5,1.0,0.5,1.0,2.0,1.0
ATP5MC2,16.5,14.5,1.5,8.5,0.0,17.0,13.0,6.0
ATP5MC3,45.0,36.0,32.0,27.5,11.5,22.0,48.0,8.0
ATP5ME,7.0,10.0,1.0,3.0,0.5,7.0,11.0,5.0
ATP5PF,2.0,2.0,0.0,0.5,0.0,2.0,1.0,1.0
ATP6V1A,39.5,21.5,6.5,9.5,6.5,25.0,23.0,5.0
ATP6V1B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP6V1B2,152.5,106.5,104.5,74.0,29.5,111.0,83.0,18.0
ATP6V0C,89.0,111.0,40.5,32.5,6.0,92.0,76.0,29.0
ATP6V1C1,51.0,33.5,2.5,9.5,4.0,36.0,37.0,12.0
ATP6V1E1,51.0,46.5,9.5,26.5,4.0,53.0,31.0,13.0
ATP6V0B,50.5,49.0,35.5,37.5,7.5,48.0,33.0,10.0
ATP6V0A1,17.5,13.5,3.0,4.0,1.0,19.0,8.0,2.0
ATP6AP1,12.5,9.0,4.0,5.5,1.5,10.0,6.0,3.0
ATP7A,2.5,1.0,0.0,0.0,0.0,1.0,2.0,0.0
ATP5PO,4.0,3.5,0.0,1.5,0.0,3.0,4.0,0.0
ATP7B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATR,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0
ATRX,18.5,13.5,13.5,11.5,3.0,14.0,16.0,6.0
KIF1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUH,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
AUP1,264.5,278.5,86.5,118.5,13.5,260.0,246.0,64.0
AVPR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXL,0.5,0.0,1.5,2.0,0.5,0.0,0.0,1.0
AZU1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2M,29.5,24.5,25.0,24.5,4.5,25.0,38.0,6.0
BACH1,167.0,113.0,110.5,100.5,15.5,121.0,107.0,14.0
BAD,2.5,2.5,0.0,0.0,0.0,2.0,4.0,2.0
BAG1,40.0,44.5,37.5,42.5,3.5,28.0,64.0,18.0
ADGRB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAK1,33.5,32.0,6.0,11.0,2.5,31.0,34.0,9.0
NKX3-2,1.5,0.5,1.0,1.5,0.0,1.0,0.0,1.0
BARD1,65.5,46.5,19.0,29.5,3.5,48.0,75.0,17.0
BAX,9.0,11.0,1.0,4.5,1.0,10.0,12.0,2.0
BBS1,2.5,3.5,1.5,1.0,0.0,3.0,2.0,1.0
BBS2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BBS4,10.5,5.0,1.0,0.5,0.5,11.0,6.0,2.0
BCAT1,78.5,32.0,30.5,38.0,2.5,50.0,28.0,5.0
BCAT2,8.0,9.0,0.0,1.5,0.0,5.0,10.0,4.0
BCKDHA,8.0,9.5,2.5,3.5,0.5,4.0,11.0,4.0
BCKDHB,5.5,3.0,1.0,0.5,0.0,4.0,4.0,0.0
CCND1,27.5,17.5,11.0,19.0,1.5,12.0,28.0,12.0
BCL2,293.0,210.5,42.0,110.0,11.0,203.0,277.0,110.0
BCL2A1,2.0,2.0,7.5,2.5,0.5,2.0,0.0,1.0
BCL2L1,56.0,51.5,9.5,33.0,3.5,51.0,56.0,15.0
BCL2L2,31.5,30.5,4.5,19.5,3.0,27.0,41.0,12.0
BCL3,30.0,21.0,16.0,29.5,11.0,22.0,18.0,8.0
BCL6,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0
BCL7A,119.5,119.5,29.0,72.0,5.5,115.0,140.0,33.0
BCL9,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0
HCN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPN1SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCR,8.0,8.0,2.0,2.5,0.5,9.0,4.0,1.0
BCS1L,1.0,2.0,0.0,0.5,0.0,2.0,2.0,0.0
BDH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDKRB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDNF,1.5,1.0,1.0,2.0,0.5,1.0,2.0,0.0
BFSP1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGLAP,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0
CEACAM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BICD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,48.0,46.0,14.5,26.5,8.0,47.0,54.0,17.0
BIK,0.5,1.5,0.0,2.5,0.0,1.0,2.0,2.0
PRDM1,33.5,16.0,14.0,28.0,13.5,16.0,18.0,4.0
BLK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLM,1.0,1.0,0.0,0.0,0.5,1.0,2.0,0.0
BLMH,26.5,20.5,5.5,12.5,3.0,27.0,21.0,5.0
CXCR5,0.0,0.0,1.5,2.0,0.0,0.0,0.0,0.0
BLVRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLVRB,0.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0
BMI1,25.5,14.0,7.5,18.0,1.0,17.0,15.0,1.0
BMP1,4.0,6.0,2.5,4.0,1.5,4.0,4.0,2.0
BMP2,0.5,0.0,1.5,3.0,0.0,0.0,1.0,1.0
BMP6,1.0,1.5,0.0,1.0,0.0,1.0,1.0,0.0
BMP8B,5.0,4.0,1.0,3.0,0.0,3.0,5.0,1.0
BMPR1A,5.5,3.5,3.0,4.0,0.5,1.0,5.0,2.0
BMPR1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMPR2,6.5,3.0,3.0,3.0,0.5,5.0,4.0,0.0
POLR3D,30.5,30.5,16.0,17.0,1.5,28.0,46.0,10.0
BNIP1,21.0,15.0,7.5,8.0,1.0,17.0,21.0,4.0
BNIP2,117.5,67.5,55.0,72.5,9.5,67.0,100.0,19.0
BNIP3,2.0,1.5,1.5,0.0,0.0,2.0,1.0,0.0
BNIP3L,32.0,14.5,7.5,13.5,1.0,21.0,16.0,4.0
BOK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DST,2.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0
FOXL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPGM,15.5,7.5,1.0,2.0,0.0,17.0,11.0,2.0
BPHL,0.5,1.0,1.0,0.5,0.0,1.0,1.0,0.0
BPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRCA1,49.5,43.0,5.0,13.5,2.0,42.0,58.0,22.0
BRAF,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
BRCA2,28.5,16.5,16.0,12.5,2.0,18.0,22.0,4.0
ZFP36L1,27.0,20.5,472.5,88.5,22.0,16.0,11.0,8.0
ZFP36L2,1829.0,1398.0,305.5,920.5,99.5,1399.0,1253.0,379.0
BSG,96.0,96.0,32.5,42.5,7.5,96.0,82.0,27.0
BST1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
BST2,2.5,1.5,5.5,5.5,0.0,3.0,3.0,2.0
BTD,2.5,1.0,0.5,0.0,0.0,2.0,1.0,1.0
KLF9,87.0,67.0,120.0,67.5,3.5,79.0,50.0,3.0
KLF5,4.0,4.5,16.0,5.5,0.5,4.0,4.0,0.0
BTF3,32.5,27.5,32.5,22.5,4.5,29.0,32.0,7.0
BTG1,92.5,73.0,103.5,49.0,16.5,80.0,61.0,10.0
BTK,11.0,9.5,3.0,4.0,1.0,11.0,13.0,4.0
BUB1,3.0,2.5,1.0,0.0,0.0,2.0,3.0,0.0
BUB1B,9.0,6.0,1.5,3.5,2.5,7.0,12.0,2.0
