,FLAG_GFI1_wmot,CEBPA_wmot,HOXA9_wmot,PLAGL2,MEIS1_wmot,ETV6_wmot,RUNX1_wmot,FOSL2_wmot,FLI1_wmot,GATA2_wmot,SP1_wmot,E2F3_wmot,ZNF281_wmot,SREBF1_wmot,LMO2,STAT5B_wmot,ZMYND8,LYL1_wmot,MYC_wmot,TFAP4_wmot,RUNX2_wmot,MAX_wmot,IRF8_wmot,MYB_wmot,ZEB2_wmot,RXRA_wmot,SPI1_wmot,MEF2C_wmot,FLAG_MEF2D_wmot,ELF2_wmot,JUND_wmot,SMC1,LDB1,H3K79me2,WDR5,H3K27ac,H3K27me3,MYBL2,CDK9,H3K4me3,FOXP1_wmot,MLL_KTM2A,RARA_wmot,IKZF1_wmot,AFF4,CTCF_wmot,BRD4,CEBPB_wmot,H3K36me2,PSER2,H3K36me3,H3K9ac,CDK13,H3K4me1,POLII,MED1,promoters,enhancer,super_enhancer,MYC-rmIRF8,MED1-rmIRF8,MYC-rmMEF2D,MEF2C-rmMEF2D,MEF2C-rmIRF8,IRF8-rmMEF2D,POLII_total-rmMEF2D,MED1-rmMEF2D,POLII_total-rmIRF8
SP1_wmot,0.005592654587637874,0.005075504854192886,0.002152089605660826,0.0026693678587408993,0.010229703534592065,0.004829353259160333,-0.010503300995757175,0.002850795820071238,0.012175941684518122,0.0031491071081741553,1.0,0.016298084485709602,0.01621237451837097,0.005683687045301153,0.01588190183051883,0.007520575119584992,0.01895208625724622,0.004178534180611405,0.01118316241304552,-0.006750854099703272,-0.0044397678378246186,0.01326536097359064,0.006209183625758898,0.008221134367287776,0.00682123233890854,0.012563076713346921,0.00678299313999201,0.001991150601802935,0.006521811592987312,0.014055953130464604,0.002517466430304883,0.017607061921513,0.000542039724487345,0.014254705859349891,0.002230724448252019,0.031975558526251245,0.004811982144677106,0.0016540107077423231,-0.0022623117679823625,0.019425051249046373,0.007477958452991881,0.006594429035099632,0.006372135089704873,0.006700147425431142,0.006515399256407446,0.009617531444952714,0.030731137215840868,0.004851416065681269,0.015399319376245179,0.009645691258059655,0.004766832798905476,0.013092675264201499,0.0006373837775693001,0.007007823864067017,0.01603737614091032,0.027274952526488646,0.021676579385718164,0.008559272045368068,0.0037575630073476123,0.006808931314712712,0.025544301355196933,0.01046372332356672,0.007505088174097823,0.005440954563110402,0.010704480983482341,0.021791319018759848,0.01610486222757019,0.022012445544897632
E2F3_wmot,0.007561454333898231,0.006491545751590851,0.0023726057613470707,0.006548143557088097,0.013988111531988876,0.007259386733681307,0.013025640180329074,0.004320789116590276,0.01730796775119451,0.004392379667462656,0.03534934785605332,1.0,0.021482539059943764,0.008116229806599777,0.02284493150918842,0.01047842409386128,0.027451091792104615,0.006154179040626604,0.01466469080535082,0.015751342588914,-0.003543321369125272,0.017268822249126372,0.008687492969572884,0.011455759850302885,0.009169746630299146,0.018196132435246825,0.009350491066661243,0.00289300228973888,0.008846425410476814,0.019007632349958347,0.00376117071695877,0.022748039831820294,0.0006798906956445813,0.0196321929869329,0.003059402917197193,0.04536379286709556,0.005013647530505285,0.0023619033554469525,-0.017847086548697173,0.04022124094627692,0.010256819687112293,0.009239899279836417,0.009317383198758765,0.009195642426301696,0.009292925715155899,0.011885084440589383,0.048054377644901614,0.006177052037714865,0.018450248426695,0.012108359203547742,0.005900903777129747,0.044768765528788584,0.0009508787712478002,0.009717259228158337,0.020014225825157186,0.04014394619737538,0.02809154869030697,0.010576147963424966,0.004785391056858363,0.042865667070067566,0.03701625584282844,0.0348492501559966,0.009453089371618364,0.00725221873669322,-0.0029106983594321223,0.02855771989702406,0.023161519519151155,0.029000563768564077
ZNF281_wmot,0.0061649039967141776,0.005970744513502149,0.0021844257939389526,0.0050447772159233914,0.011606682990193313,0.005652050828287927,0.011215249645140918,0.003790526750355068,0.013947779834905576,0.003986638514832741,0.022792807652952617,0.015826185098637036,1.0,0.006309623558981405,0.015585978136266724,0.008495904212726453,0.006754800871390976,0.005772499861676146,0.011865794934557581,0.012959148609890756,0.014847434291507085,0.01359225905490786,-0.018719039264100314,0.009057176727204151,0.007286669468815285,0.014391516150376527,0.008670934717316493,0.0025444752284467125,0.006778393106505661,0.014185104134547754,0.003224111082788842,0.017548627092210424,0.000428814801906003,0.014278910045945467,0.0021233507502994775,0.030227606273255,0.004722425521982842,0.0016711897247980838,0.0032617211959680994,0.02304892909467906,0.008260693618728925,-0.006428482026730671,0.007334702526512324,0.007368519020041622,0.0069534040435546805,0.009787764962773619,0.03085933792858605,0.005395659051482311,0.017902124669153117,0.010210472887312617,0.005781286149303829,0.027373791987061705,0.0006654121938835329,0.011246826819675915,0.014408577815158993,0.026335673529296246,0.017744073156077577,0.011090362031727294,0.005185074618581571,0.027558247269822464,0.024249984777406326,0.024936988779548284,0.0069197412187833336,0.006037546312455869,-0.018217001139004138,0.01926283968463783,0.01563394687237502,0.01913862092710678
SREBF1_wmot,0.0192441341000349,0.017336058356138127,0.004560671544533936,0.029938793918114028,0.03911696888366197,0.02052435502614954,0.03314887040388242,0.013685058800145188,0.04176185059057744,0.01201021033433732,0.02406995999013006,0.010714230987715914,0.054175177672587636,1.0,-0.08641819875629744,0.027213050888191627,0.0024911699243398812,0.017455561336634486,-0.01310634431751397,0.04061190583541472,-0.00119780599460347,-0.005896835907919982,0.02159615743975167,-0.017942464020229722,0.024600773201423315,0.011577388841511636,0.02272682129085838,0.008808314989885914,0.022568028942526335,0.04515207553715369,0.012650519869376018,0.0002565799183869443,0.0013017265027666601,0.015511817866922002,0.006867392796958357,-0.04630033668074951,0.00672342875081991,0.006751306838813643,-0.03389837511178851,0.009845790922820653,0.026104121093004883,0.024631964789951128,0.02955010932907215,0.02463663117021388,-0.03239833593189419,-0.029191299529420383,-0.034151787200819336,0.016364513857986072,0.03951918186939614,0.014456317107863706,0.014677335728229551,-0.01632019456763734,0.0025075879836418805,0.02568216866930168,-0.004483419881365548,-0.01917620642614762,0.05911042651994958,-0.13218767643878157,0.012892459217422107,0.0021250875363949496,0.016620181911958236,-0.0050011805149427655,0.005422434915089025,0.021686330184426922,0.007494120989324363,-0.00980235231164872,0.007610290578487536,-0.010153276571757292
LMO2,0.026924377499562453,-0.02762875131951599,-0.0016305473884955675,0.0693469605855962,0.03555876391256775,0.04260896981405033,-8.301414300791392e-05,-0.02186256711511532,0.05787715907046566,-0.006965799209768254,0.1991385240469604,0.1708429197564711,0.1583027804625163,0.11422519333686738,1.0,0.040739909697157066,0.1045171847449684,-0.011037894179262375,0.057755213958712144,0.05115314200652129,0.010754651931016157,0.08742445040211355,-0.01921601723464115,0.07217010406615436,0.036193160369374956,0.12929135165582878,-0.019120964459857028,-0.010876708462883649,0.056503536368896407,0.11709681525861158,-0.009775243007650633,0.010437350421123337,0.17404828728892435,0.1909125420771669,0.17406876999121149,0.5123891170544231,0.17569578789213364,0.0001129991125540118,0.13278368125709142,0.2503680970844351,0.02089983151232106,-0.005421541638942672,0.09079012012609924,0.02843384638570658,0.08574790675691546,0.05806123834575103,0.12342203060687067,-0.00878113535813594,-0.023617950646089545,0.005746285353114894,0.040034939913983436,0.2928158878214366,0.19087778683263978,-0.009299495667844231,0.19903993967679423,0.39399224068161565,0.2114032214752735,0.2537150137697432,0.14888061963755178,0.17221605409968208,0.13357546584976637,0.20337736061991976,-0.05871300934783244,-0.07888808916472104,-0.036857125042626906,0.22606665070345758,0.06609072894987501,0.23356595259468574
STAT5B_wmot,0.007573463324732716,0.008901465689549333,0.002180093174417607,0.0035809776799972256,0.013947928158893327,0.0063376796242711805,0.014743036885215381,0.00508940454230858,0.01289136381190421,0.00587224720135729,0.012963549843429978,0.011096798809171957,0.011421417950190771,0.005389576434952822,0.013989512673885774,1.0,0.017188090118096754,0.006967920745574111,0.010739912255357932,0.01231068729880042,0.01818410569905626,0.011566172138525566,-0.01515163878707577,0.009425791918644538,0.006940075884422228,0.011817182397736993,0.011089144536362151,0.0037409875075966248,0.007653089581774368,0.012382771730978447,0.004638900154052613,0.014547553103838744,0.0005638597108548433,0.012453722552594072,0.0019164661589723235,0.029170438145890976,0.003132681730148885,0.0017079790445246295,0.011847938396036057,0.015061948614777615,0.011092971775554655,0.01733815851917245,0.0071609637257349,0.0083178655648017,0.005355801006608392,0.008140363553322084,0.02959403991308009,0.007444859473009152,0.014173951332001042,0.008633157733370141,0.005469668592209522,0.019366017971574195,0.0008085673972169884,0.019822120269009966,0.013015270221473077,0.024736574756449067,0.011870374387633836,0.017114968021411867,0.006556685993260546,0.0242513364390129,0.021444181264129177,0.023881549053835886,0.0076902315821910415,0.006769465653397677,-0.0004826801793128054,0.014601985083050887,0.014803749844402048,0.015870788425385144
ZMYND8,0.022773153527915126,-0.005593635241932721,0.022049166419518405,0.03532469928779542,0.04552849334006433,0.197250452354934,0.05400481069782923,0.008425187294853583,0.03733209372563297,0.01711521016888661,0.140660771456995,0.15762296250786903,0.10163750959393712,0.15224247445214792,0.10451718474496835,0.059789449631505356,1.0,0.03810382168459178,0.03838473365595865,0.049864385787863556,0.02579578382672885,0.04888866820802404,0.0028083472704745964,0.0691189228735348,0.054664300709272154,0.13899873198457477,0.01217487361598905,0.019154640378459646,0.11876303389971994,0.09978212612637256,0.06494743332607836,0.0635289570697282,-0.03430868050557762,0.09073033792242931,0.08250375044245697,0.14493385303201015,0.10177776846021996,0.04015488063718678,0.13326955643795133,0.11812038853820904,0.02252086682218455,0.014975577332533602,0.16091991327647845,0.04090266806363708,-0.07445805656306405,0.04863781304952016,0.08103557356437716,-0.0026066493534318376,-0.013038108789719973,-0.017047163155306234,0.08235581580033535,0.1348927166485609,0.11751464255384185,0.05549509304260243,0.06811343735671173,0.17583490192280266,0.1525754472484845,0.10321344067643777,-0.010155239811427791,0.1942801063491602,0.14284542327938285,0.16604054190568665,0.01757078979294962,-0.012596078166107262,0.01649480584546798,0.07541479183617353,0.1942454903602641,0.08010893658402626
LYL1_wmot,-0.0369892595952876,0.01212398437271432,0.00298612446229384,0.014545894981449009,-0.007066171934912983,0.010752899522035508,0.026665546803979527,0.008548589025870405,0.021616970758749247,0.010464176727360427,0.013142779567359925,0.01233420499789562,0.014727102263238308,0.006852253377602918,0.02030549085066828,0.013327730905140289,0.025589319856486614,1.0,0.015228219474647307,0.02765028399349921,0.030596906019425458,0.016290203948860778,0.015680120127968156,-0.01642933258779966,0.010334481738804878,0.01764024419226055,0.0154072811078805,0.005645286292814682,0.010056864591813578,0.01720866717415511,0.007910005998400317,0.025314057301891645,0.0007088718164456753,0.012545056629094154,0.002258139818610602,0.00891697391849115,0.0036468275074317525,0.001629940831516454,-0.00042653770887979227,0.014410300172952525,0.015689519626722787,0.02712025781784863,0.011841358950395554,0.012073717011829882,0.00553966580118722,0.00914454235805021,0.008227257488563375,0.010269299254423605,0.02300357285243668,0.0109386744474398,0.007777263416683314,0.02479163155234083,0.0012675591584652294,0.036485659065718275,0.019445344884693024,0.036762813343027965,0.009581257714909737,0.007435708701270002,0.0114308715213192,0.03910899809192914,0.030737702347123867,0.015174153180494195,0.006058717119573814,0.010005614369605247,0.007400416720017463,0.020181107144636546,0.02008417022877035,0.0214622197939421
MYC_wmot,0.004880787545935836,0.005842595131724414,0.001796868713836885,0.002697427709948352,-0.009988751357896562,0.003667593912952072,0.009449624406321171,0.003154069327805723,0.008773484879560993,0.0034188660410036163,0.01029191527378713,0.008166417476866064,0.008522017880212814,0.003611441116333558,0.00903765265816417,0.005903999952664988,0.010854940023785816,0.0044187880572487195,1.0,0.008563993425312472,0.011881217175685523,0.01941896067825068,0.006892081319111408,0.006226653202571227,0.004923619626923328,0.007879418165579409,0.007392754669334999,0.00207972875360424,0.004865289144478205,0.008900595468457373,0.002679970883193451,0.01111946523841691,0.0005216311104342925,0.009015682728068143,0.0015419361704060045,0.018113358225667897,0.0031965919466333064,0.0010029451792969725,0.015530539569816634,0.01157850333295904,0.006466499824888144,0.009567375068768178,0.004633795978766636,0.0051963086702602355,0.003942425209104167,0.007576073548928033,0.017795655815688868,0.0051071559597927335,0.005505893558950711,0.0031020347950412976,0.004767918355526711,0.014054503756837452,0.0005915249557851362,0.011370673448046901,0.010314202032331143,0.00848761576932935,0.009054271613820478,0.010931883549441477,0.004493888365935343,0.02070545064889035,0.007154633665728485,0.00755939093013596,0.005496256844250354,0.0040977187553576785,0.00841139133946753,0.011607303903252248,0.009481937752486607,0.011690855913397186
TFAP4_wmot,0.005310465068737745,0.006043914223450516,0.0017190223994667402,0.0026395574291613122,-0.007612249132348567,0.004282445310038174,0.01049498487323149,0.004181690282643595,-0.008602010442577978,0.003824793352904211,0.010408475547718342,0.008589081480873716,0.009146040465590125,0.004003863738668948,0.008943998281914417,0.006612877289934723,-0.0027002022954722205,0.00681176742509909,0.008489539169136067,1.0,0.012813146401625428,-0.00976772180797302,0.007438473863749014,0.007387095765828941,0.005209561016939219,0.009167479985507113,0.007642940024584495,0.0024556512765968033,0.005150314800512756,-0.009140656208852982,0.0033837616728331363,0.011828545012144295,0.0006823094721491883,0.009058685695776985,0.0014985751545323624,0.0019838566962074667,0.0026043038190134054,0.0011566179293398988,0.001818375052490956,0.0035912996342586656,0.007048460018246941,0.010907920593318748,0.005324497117078574,0.005699282322091223,0.004122048803476289,0.00694539719611416,-0.0009836486628038484,0.005239958845948548,0.012431248120688408,0.006933651467045056,0.0044359282493555445,-0.00015859250793278135,0.0006759166346499128,0.012991835538345589,-0.00040050077106307686,-0.002651095135090806,0.009197162734391633,-0.005153261453282611,0.004755034252788191,0.018316780774435052,0.0037598326029249676,0.004963395304035197,0.00585647543769452,0.004932598728927381,0.0036623005157261357,0.0012692212251855489,0.0013978045797658956,0.005236652864797937
