group,replicate,fastq_1,fastq_2,antibody,control
mp326-DFAM71927V3-INPUT,1,gs://amlproject/Chip/fastqs/mp326-DFAM71927V3-INPUT-r1.fastq.gz,,,
mp33-OCIAML2-INPUT,1,gs://amlproject/Chip/fastqs/mp33-OCIAML2-INPUT-r2.fastq.gz,,,
mp35-D9-INPUT,1,gs://amlproject/Chip/fastqs/mp35-D9-INPUT-r2.fastq.gz,,,
mp351-D0-H3K27ac,1,gs://amlproject/Chip/fastqs/mp351-D0-H3K27ac-r1.fastq.gz,,H3K27ac,mp8-D0-INPUT
mp352-D0-H3K27ac,1,gs://amlproject/Chip/fastqs/mp352-D0-H3K27ac-r2.fastq.gz,,H3K27ac,mp8-D0-INPUT
mp353-D9-H3K27ac,1,gs://amlproject/Chip/fastqs/mp353-D9-H3K27ac-r3.fastq.gz,,H3K27ac,mp14-D9-INPUT
mp354-D9-H3K27ac,1,gs://amlproject/Chip/fastqs/mp354-D9-H3K27ac-r4.fastq.gz,,H3K27ac,mp14-D9-INPUT
mp355-M6-H3K27ac,1,gs://amlproject/Chip/fastqs/mp355-M6-H3K27ac-r1.fastq.gz,,H3K27ac,mp98-M6-INPUT
mp356-M6-H3K27ac,1,gs://amlproject/Chip/fastqs/mp356-M6-H3K27ac-r2.fastq.gz,,H3K27ac,mp98-M6-INPUT
mp4-D9-IGG,1,gs://amlproject/Chip/fastqs/mp4-D9-IGG-r1.fastq.gz,,,
mp41-OCIAML2-CEBPA,1,gs://amlproject/Chip/fastqs/mp41-OCIAML2-CEBPA-r1.fastq.gz,,CEBPA,mp24-OCIAML2-INPUT
mp428-MV411-PU1,1,gs://amlproject/Chip/fastqs/mp428-MV411-PU1-r3.fastq.gz,,PU1,mp99-MV411-INPUT
mp430-MV411-IRF2BP2,1,gs://amlproject/Chip/fastqs/mp430-MV411-IRF2BP2-r1.fastq.gz,,IRF2BP2,mp99-MV411-INPUT
mp431-MV411-IRF2BP2,1,gs://amlproject/Chip/fastqs/mp431-MV411-IRF2BP2-r2.fastq.gz,,IRF2BP2,mp99-MV411-INPUT
mp435-MV411-MED1,1,gs://amlproject/Chip/fastqs/mp435-MV411-MED1-r1.fastq.gz,,MED1,mp99-MV411-INPUT
mp45-OCIAML2-H3K27ac,1,gs://amlproject/Chip/fastqs/mp45-OCIAML2-H3K27ac-r1.fastq.gz,,H3K27ac,mp24-OCIAML2-INPUT
