group,replicate,fastq_1,fastq_2,antibody,control
MV411_7,1,gs://jkobject/Chip_AML/Chip/mp714.fastq.gz,,ZEB2,INPUT_MV411
MV411_8,1,gs://jkobject/Chip_AML/Chip/mp715.fastq.gz,,ZEB2,INPUT_MV411
MV411_9,1,gs://jkobject/Chip_AML/Chip/mp716.fastq.gz,,GSE1,INPUT_MV411
MV411_4,1,gs://jkobject/Chip_AML/Chip/mp717.fastq.gz,,GATA2,INPUT_MV411
MV411_9,1,gs://jkobject/Chip_AML/Chip/mp718.fastq.gz,,IRF2BP2,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp72.fastq.gz,,CEBPA,INPUT_MV411
MV411-DMSO-8h_2,1,gs://jkobject/Chip_AML/Chip/mp724.fastq.gz,,MYC,INPUT_MV411
MV411-DMSO-8h_1,1,gs://jkobject/Chip_AML/Chip/mp728.fastq.gz,,CEBPA,INPUT_MV411
U937_1,1,gs://jkobject/Chip_AML/Chip/mp73.fastq.gz,,H3K27ac,INPUT_U937
DFAM71927V3_1,1,gs://jkobject/Chip_AML/Chip/mp739.fastq.gz,,RUNX1,INPUT_DFAM71927V3
DFAM71927V3_1,1,gs://jkobject/Chip_AML/Chip/mp741.fastq.gz,,MYB,INPUT_DFAM71927V3
DFAM71927V3_1,1,gs://jkobject/Chip_AML/Chip/mp742.fastq.gz,,MYC,INPUT_DFAM71927V3
DFAM71927V3_1,1,gs://jkobject/Chip_AML/Chip/mp743.fastq.gz,,SP1,INPUT_DFAM71927V3
DFAM71927V3_1,1,gs://jkobject/Chip_AML/Chip/mp745.fastq.gz,,GFI1,INPUT_DFAM71927V3
DFAM71927V3_1,1,gs://jkobject/Chip_AML/Chip/mp748.fastq.gz,,ELF2,INPUT_DFAM71927V3
DFAM71927V3_1,1,gs://jkobject/Chip_AML/Chip/mp750.fastq.gz,,GATA2,INPUT_DFAM71927V3
DFAM71927V3_1,1,gs://jkobject/Chip_AML/Chip/mp751.fastq.gz,,FLI1,INPUT_DFAM71927V3
MV411-MEF2D-NT-SC-63_1,1,gs://jkobject/Chip_AML/Chip/mp760.fastq.gz,,FLAG,INPUT_MV411
MV411-PU1-NT-SC-1_1,1,gs://jkobject/Chip_AML/Chip/mp761.fastq.gz,,FLAG,INPUT_MV411
MV411-IRF2BP2-CT-GFP-8_1,1,gs://jkobject/Chip_AML/Chip/mp762.fastq.gz,,FLAG,INPUT_MV411
MV411_6,1,gs://jkobject/Chip_AML/Chip/mp763.fastq.gz,,RUNX2,INPUT_MV411
MV411_7,1,gs://jkobject/Chip_AML/Chip/mp764.fastq.gz,,RUNX2,INPUT_MV411
MV411_8,1,gs://jkobject/Chip_AML/Chip/mp765.fastq.gz,,RUNX2,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp767.fastq.gz,,FOXP1,INPUT_MV411
MV411_2,1,gs://jkobject/Chip_AML/Chip/mp768.fastq.gz,,FOXP1,INPUT_MV411
HL60_2,1,gs://jkobject/Chip_AML/Chip/mp77.fastq.gz,,H3K27ac,INPUT_HL60
MV411_2,1,gs://jkobject/Chip_AML/Chip/mp770.fastq.gz,,MYBL2,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp771.fastq.gz,,JUND,INPUT_MV411
MV411_2,1,gs://jkobject/Chip_AML/Chip/mp772.fastq.gz,,JUND,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp773.fastq.gz,,HOXA9,INPUT_MV411
MV411_2,1,gs://jkobject/Chip_AML/Chip/mp774.fastq.gz,,HOXA9,INPUT_MV411
P31FUJ_4,1,gs://jkobject/Chip_AML/Chip/mp776.fastq.gz,,H3K27ac,INPUT_P31FUJ
MONOMAC1_3,1,gs://jkobject/Chip_AML/Chip/mp777.fastq.gz,,H3K27ac,INPUT_MONOMAC1
MONOMAC1_4,1,gs://jkobject/Chip_AML/Chip/mp778.fastq.gz,,H3K27ac,INPUT_MONOMAC1
INPUT_D0,1,gs://jkobject/Chip_AML/Chip/mp8.fastq.gz,,,
MV411_2,1,gs://jkobject/Chip_AML/Chip/mp88.fastq.gz,,H3K27ac,INPUT_MV411
U937_2,1,gs://jkobject/Chip_AML/Chip/mp90.fastq.gz,,H3K27ac,INPUT_U937
NOMO1_2,1,gs://jkobject/Chip_AML/Chip/mp92.fastq.gz,,H3K27ac,INPUT_NOMO1
INPUT_M6,1,gs://jkobject/Chip_AML/Chip/mp98.fastq.gz,,,
INPUT_MV411,1,gs://jkobject/Chip_AML/Chip/mp99.fastq.gz,,,
