Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
20210331_DMSO_MED1_B_MP8777_S97_R1_001	20210331_DMSO_MED1_B_MP8777_S97_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38621427.0	0.0	100.0	40.0	80.57848766042031	100.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	pass	pass
20210331_DMSO_MED1_B_MP8777_S97_R2_001	20210331_DMSO_MED1_B_MP8777_S97_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38621427.0	0.0	100.0	40.0	82.17585532543595	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
20210331_VHL_FLAG_A_MP8777_S100_R1_001	20210331_VHL_FLAG_A_MP8777_S100_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44332865.0	0.0	100.0	40.0	87.23839653640236	100.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	pass	pass
20210331_VHL_FLAG_A_MP8777_S100_R2_001	20210331_VHL_FLAG_A_MP8777_S100_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44332865.0	0.0	100.0	40.0	87.87817245608248	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
20210331_VHL_FLAG_B_MP8777_S101_R1_001	20210331_VHL_FLAG_B_MP8777_S101_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30203930.0	0.0	100.0	40.0	90.0722887222996	100.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	pass	pass
20210331_VHL_FLAG_B_MP8777_S101_R2_001	20210331_VHL_FLAG_B_MP8777_S101_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30203930.0	0.0	100.0	40.0	90.74276743796106	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
20210331_VHL_H3K27ac_A_MP8777_S104_R1_001	20210331_VHL_H3K27ac_A_MP8777_S104_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53667803.0	0.0	100.0	44.0	89.77885134726189	100.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	pass
20210331_VHL_H3K27ac_A_MP8777_S104_R2_001	20210331_VHL_H3K27ac_A_MP8777_S104_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53667803.0	0.0	100.0	44.0	89.06418017319795	100.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
20210331_VHL_H3K27ac_B_MP8777_S105_R1_001	20210331_VHL_H3K27ac_B_MP8777_S105_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54155523.0	0.0	100.0	43.0	92.76773691067297	100.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	pass
20210331_VHL_H3K27ac_B_MP8777_S105_R2_001	20210331_VHL_H3K27ac_B_MP8777_S105_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54155523.0	0.0	100.0	42.0	93.16308846172802	100.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
20210331_VHL_MED1_A_MP8777_S102_R1_001	20210331_VHL_MED1_A_MP8777_S102_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39474599.0	0.0	100.0	40.0	82.02397053755382	100.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	pass	pass
20210331_VHL_MED1_A_MP8777_S102_R2_001	20210331_VHL_MED1_A_MP8777_S102_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39474599.0	0.0	100.0	40.0	83.02454480670772	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
20210331_VHL_MED1_B_MP8777_S103_R1_001	20210331_VHL_MED1_B_MP8777_S103_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29540105.0	0.0	100.0	40.0	86.10192905730582	100.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	pass	pass
20210331_VHL_MED1_B_MP8777_S103_R2_001	20210331_VHL_MED1_B_MP8777_S103_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29540105.0	0.0	100.0	40.0	86.4966284843304	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
