Min.	1st Qu.	Median	Mean	3rd Qu.	Max.	num_peaks	measure	sample
1.9607	5.60733	8.55674	16.8096775659344	18.06423	144.51381	167477	fold	D9_3_153_R1
1.32505	7.0736	15.1095	54.6264670281889	48.24058	622.18671	167477	-log10(qvalue)	D9_3_153_R1
3.00526	9.04819	17.265	56.9542574432907	50.73171	631.67773	167477	-log10(pvalue)	D9_3_153_R1
161	218	288	357.740125509771	421	3890	167477	length	D9_3_153_R1
1.33163	4.7294	6.20916	8.96581324709053	9.99081	104.86926	81630	fold	D9_1_154_R1
1.30204	4.85956	8.62097	20.093392338356	20.01477	501.64911	81630	-log10(qvalue)	D9_1_154_R1
3.23519	7.16728	11.12454	22.7563915953694	22.877555	509.63855	81630	-log10(pvalue)	D9_1_154_R1
159	216	310	386.15506553963	469	3088	81630	length	D9_1_154_R1
2.81298	5.57018	6.89339	7.99504437637759	9.14653	44.93012	13157	fold	M6_1_123_R1
1.3309	4.99193	7.79462	11.2075256996276	13.34174	121.76312	13157	-log10(qvalue)	M6_1_123_R1
4.11731	8.19641	11.22369	14.7690465569659	17.12217	131.25417	13157	-log10(pvalue)	M6_1_123_R1
177	228	289	328.004636315269	380	1608	13157	length	M6_1_123_R1
1.88944	3.42725	4.16337	5.63586555538592	5.97702	50.20879	117900	fold	D9_4_353_R1
1.31222	4.05303	6.29951	15.1431510572519	13.74448	291.88037	117900	-log10(qvalue)	D9_4_353_R1
2.81263	5.82944	8.20348	17.2327789135708	15.9294	301.37143	117900	-log10(pvalue)	D9_4_353_R1
197	263	419	750.603715012723	847	17876	117900	length	D9_4_353_R1
2.26251	6.42629	8.97343	12.5880056013534	14.75666	143.34691	42263	fold	M6_1_109_R1
1.35946	7.50985	13.23648	25.8316014229941	29.73436	519.67542	42263	-log10(qvalue)	M6_1_109_R1
3.70311	10.25134	16.17611	28.9285269715827	33.03607	529.16644	42263	-log10(pvalue)	M6_1_109_R1
153	195	252	278.731325272697	326	1700	42263	length	M6_1_109_R1
2.19977	6.06304	7.34931	8.20910347625	9.24192	47.65341	8000	fold	M6_1_171_R1
1.43153	5.46055	7.69823	10.46073584	12.21715	140.89044	8000	-log10(qvalue)	M6_1_171_R1
4.55561	9.08008	11.52744	14.41518158	16.39212	150.38148	8000	-log10(pvalue)	M6_1_171_R1
144	171	216	229.57825	268	1402	8000	length	M6_1_171_R1
3.02248	6.45551	8.8705	10.8795691436789	13.37769	99.41954	7649	fold	M6_1_127_R1
1.33856	6.86569	13.40472	19.7737965707936	25.36768	396.75491	7649	-log10(qvalue)	M6_1_127_R1
4.33257	10.20969	16.98596	23.4973895607269	29.33085	404.75458	7649	-log10(pvalue)	M6_1_127_R1
175	261	348	392.122238201072	472	2078	7649	length	M6_1_127_R1
1.89121	3.94555	5.02462	7.3195448799228	7.87345	60.01314	82905	fold	HEL9217_1_593_R1
1.31072	4.14071	6.69348	16.5668598595983	15.6493	321.42792	82905	-log10(qvalue)	HEL9217_1_593_R1
2.97706	6.04547	8.73018	18.7978005266269	17.99158	330.31689	82905	-log10(pvalue)	HEL9217_1_593_R1
191	256	425	766.717037573126	896	22532	82905	length	HEL9217_1_593_R1
1.46322	6.50373	8.1509	10.9536799914566	12.43041	76.93398	2341	fold	M6_1_125_R1
1.51256	6.20088	10.08268	19.2624125715506	21.10221	245.04738	2341	-log10(qvalue)	M6_1_125_R1
5.08049	10.19656	14.26012	23.5817769756514	25.60793	254.53841	2341	-log10(pvalue)	M6_1_125_R1
158	188	238	286.187953865869	334	2050	2341	length	M6_1_125_R1
1.90324	3.98502	5.14445	8.03310889189473	9.10331	56.12932	66537	fold	KG1_2_207_R1
1.3308	4.5851	7.69807	21.3357421566948	22.59404	337.39035	66537	-log10(qvalue)	KG1_2_207_R1
2.95371	6.42456	9.65776	23.532444157837	24.91473	345.73526	66537	-log10(pvalue)	KG1_2_207_R1
215	301	536	1041.87268737695	1273	29752	66537	length	KG1_2_207_R1
2.33213	4.70126	5.8071	6.97839852467675	8.08387	38.96329	47332	fold	M6_4_356_R1
1.32399	4.40189	6.62908	10.1588901174681	12.40026	106.79174	47332	-log10(qvalue)	M6_4_356_R1
3.27998	6.6724	9.09495	12.8104245662554	15.25735	116.28276	47332	-log10(pvalue)	M6_4_356_R1
206	294	465	665.973041494127	817	10512	47332	length	M6_4_356_R1
1.91835	4.03237	4.80432	6.16613043572763	6.50677	46.15417	88335	fold	KG1_1_58_R1
1.30256	4.0019	6.28644	12.1186514173317	11.39132	197.19695	88335	-log10(qvalue)	KG1_1_58_R1
3.02492	5.989825	8.40275	14.3959638010981	13.7529	205.99211	88335	-log10(pvalue)	KG1_1_58_R1
152	204	325	619.451440538858	660	27683	88335	length	KG1_1_58_R1
1.88567	3.90625	4.9824	7.31395088494949	7.96355	54.30916	84841	fold	HEL9217_2_594_R1
1.32099	4.30774	7.21412	18.5126656056624	17.8046	299.92496	84841	-log10(qvalue)	HEL9217_2_594_R1
2.95763	6.17368	9.21244	20.7085850752584	20.11249	308.07358	84841	-log10(pvalue)	HEL9217_2_594_R1
185	261	442	809.890760363504	948	20902	84841	length	HEL9217_2_594_R1
2.11414	4.24973	5.30067	8.20552330860133	8.37606	80.8366	81406	fold	Kasumi1_1_56_R1
1.3011	3.99533	6.59688	18.5266403013291	15.6507	313.86429	81406	-log10(qvalue)	Kasumi1_1_56_R1
3.03847	5.94584	8.66151	20.7690728834484	17.97797	323.35532	81406	-log10(pvalue)	Kasumi1_1_56_R1
135	191	328	666.124069478908	732	26914	81406	length	Kasumi1_1_56_R1
4.09375	6.82194	10.38262	17.0180260455192	20.184405	99.59742	703	fold	M6_1_128_R1
1.41894	6.83414	15.52722	40.8166392745377	47.534025	347.49121	703	-log10(qvalue)	M6_1_128_R1
5.46653	11.21702	20.12248	45.5985058890469	52.536635	356.98227	703	-log10(pvalue)	M6_1_128_R1
164	218	299	343.361308677098	430.5	1421	703	length	M6_1_128_R1
2.05791	4.15231	5.36338	6.34840987843667	7.66092	26.00289	22951	fold	MONOMAC1_4_778_R1
1.31545	5.2423	9.61829	14.5204568397891	18.95034	120.98137	22951	-log10(qvalue)	MONOMAC1_4_778_R1
3.44155	7.66459	12.26759	17.3352412504902	21.98504	129.39325	22951	-log10(pvalue)	MONOMAC1_4_778_R1
288	439	666	956.666637619276	1126.5	26788	22951	length	MONOMAC1_4_778_R1
2.06309	4.04437	5.06712	7.08230974128748	7.66519	63.10951	52568	fold	MONOMAC6_2_206_R1
1.31235	4.21021	6.72711	15.9869388688936	15.48859	395.84518	52568	-log10(qvalue)	MONOMAC6_2_206_R1
3.13402	6.3579	9.02313	18.4725860846903	18.11634	404.1601	52568	-log10(pvalue)	MONOMAC6_2_206_R1
239	303	470	743.707902145792	890	18943	52568	length	MONOMAC6_2_206_R1
1.88005	6.42503	8.94478	13.3035635566833	15.6082325	104.43539	64040	fold	M6_2_122_R1
1.31009	7.12066	13.51746	28.9749295619925	32.73161	365.83798	64040	-log10(qvalue)	M6_2_122_R1
3.43745	9.61688	16.21722	31.8336061442848	35.78636	375.32901	64040	-log10(pvalue)	M6_2_122_R1
157	207	268	310.452482823235	366	1999	64040	length	M6_2_122_R1
1.65311	5.61127	7.99346	13.2245703454182	13.82577	178.29521	42036	fold	DFAM71927V3_1_741_R1
1.30242	5.49342	10.53376	28.9851964056999	25.79211	648.35101	42036	-log10(qvalue)	DFAM71927V3_1_741_R1
3.50269	8.04958	13.301	31.9012887070606	28.91343	656.80066	42036	-log10(pvalue)	DFAM71927V3_1_741_R1
163	228	331	415.431558664002	515	3416	42036	length	DFAM71927V3_1_741_R1
1.9775	5.94014	8.85168	14.1427606947241	17.64293	258.45242	19864	fold	DFAM71927V3_1_743_R1
1.32288	5.57978	11.50067	26.5491296863673	32.43821	932.55469	19864	-log10(qvalue)	DFAM71927V3_1_743_R1
3.75772	8.38304	14.51854	29.7449074672775	35.88082	941.74469	19864	-log10(pvalue)	DFAM71927V3_1_743_R1
192	258	401	485.61316955296	630	3110	19864	length	DFAM71927V3_1_743_R1
1.93072	5.88244	8.22284	11.6206007431168	13.5016975	159.33691	22446	fold	DFAM71927V3_1_742_R1
1.30881	5.62715	10.10284	19.5642877929252	21.8565	527.86365	22446	-log10(qvalue)	DFAM71927V3_1_742_R1
3.7022	8.38455	13.07324	22.6954207734117	25.21055	534.95154	22446	-log10(pvalue)	DFAM71927V3_1_742_R1
193	257	379	493.432861088835	619	3657	22446	length	DFAM71927V3_1_742_R1
2.80332	5.2972	6.349	8.31039521268926	8.82867	229.81131	2774	fold	DFAM71927V3_1_750_R1
1.3756	4.37549	5.93167	10.6062441023792	10.6950625	744.0871	2774	-log10(qvalue)	DFAM71927V3_1_750_R1
4.43986	8.16997	9.89332	14.679667555876	14.971665	752.53668	2774	-log10(pvalue)	DFAM71927V3_1_750_R1
298	298	311	377.644196106705	437	2827	2774	length	DFAM71927V3_1_750_R1
2.29191	5.4906	7.59797	13.1708714782914	13.83139	173.97707	25658	fold	DFAM71927V3_1_748_R1
1.31416	4.84595	8.92072	23.7706878088705	22.09977	573.18982	25658	-log10(qvalue)	DFAM71927V3_1_748_R1
3.80292	7.73241	11.99707	27.0045483385299	25.52496	582.68079	25658	-log10(pvalue)	DFAM71927V3_1_748_R1
150	182	258	311.76654454751	379	3777	25658	length	DFAM71927V3_1_748_R1
2.37008	5.88079	7.05161	8.42040381150874	9.51407	220.04906	9836	fold	DFAM71927V3_1_739_R1
1.32769	5.06049	7.291205	10.4913666886946	12.06679	750.461	9836	-log10(qvalue)	DFAM71927V3_1_739_R1
4.00773	8.29979	10.73321	14.0613103649858	15.8544	759.95197	9836	-log10(pvalue)	DFAM71927V3_1_739_R1
294	320	408	442.767791785279	511	2937	9836	length	DFAM71927V3_1_739_R1
2.10559	4.41134	5.49167	8.86181577735699	8.92466	97.66198	60204	fold	MONOMAC6_1_196_R1
1.30321	4.17472	6.68054	19.0254907803468	16.41436	438.23029	60204	-log10(qvalue)	MONOMAC6_1_196_R1
3.14095	6.32055	8.96023	21.4948573204438	18.99004	447.72125	60204	-log10(pvalue)	MONOMAC6_1_196_R1
205	256	390	634.528486479304	752	14408	60204	length	MONOMAC6_1_196_R1
2.02395	4.36191	5.80083	10.0213704495807	10.95102	80.32357	64638	fold	MONOMAC1_2_592_R1
1.30218	4.75497	8.92279	29.3970623300535	28.2564	360.27078	64638	-log10(qvalue)	MONOMAC1_2_592_R1
3.01855	6.6833	10.9853	31.676851996813	30.66039	369.46078	64638	-log10(pvalue)	MONOMAC1_2_592_R1
190	278	479	869.908211887744	1054	24797	64638	length	MONOMAC1_2_592_R1
1.98119	4.06938	5.33579	6.53100396723829	7.9621775	29.45695	31256	fold	MONOMAC1_3_777_R1
1.32305	5.04515	9.25126	15.2433350172767	20.12274	163.3439	31256	-log10(qvalue)	MONOMAC1_3_777_R1
3.2932	7.28745	11.7011	17.8783031088431	22.98327	172.83498	31256	-log10(pvalue)	MONOMAC1_3_777_R1
275	425	676	1017.06203608907	1216	43288	31256	length	MONOMAC1_3_777_R1
2.30785	4.57847	6.21989	10.0575817553237	12.06166	65.04044	57995	fold	M6_3_355_R1
1.31667	4.02642	8.10529	21.5003502539874	25.39779	210.47685	57995	-log10(qvalue)	M6_3_355_R1
3.02101	5.92119	10.15548	23.7838444184844	27.847	219.96783	57995	-log10(pvalue)	M6_3_355_R1
201	311	570	1009.80608673161	1258	25046	57995	length	M6_3_355_R1
1.82217	5.58808	7.34591	9.67515819442119	11.07715	206.25056	29863	fold	MV411-DMSO-8h_2_724_R1
1.33793	5.25599	8.75885	15.8311136285705	17.83025	811.88245	29863	-log10(qvalue)	MV411-DMSO-8h_2_724_R1
