	IBET+SGC1	IBET+SGC2	DMSO1	DMSO2	SGC1	SGC2	IBET1	IBET2
ENSG00000010295	17.25166154	18.22023602	12.78443672	11.54462776	12.70615387	11.04764685	17.25601635	14.78380442
ENSG00000010310	15.53204255	13.06356545	15.32019276	13.48025397	14.33980223	13.47274006	15.77884763	8.858064635
ENSG00000010318	12.5365772	12.51352059	10.56565018	12.16679333	13.06918684	14.4966683	11.68306165	12.09583998
ENSG00000010319	3.439237992	3.231513558	2.482927792	2.834309809	3.872351657	3.125675693	3.424345656	3.237775349
ENSG00000010322	39.71765165	38.29687344	40.62492494	38.5742652	41.02272536	36.91530775	40.95785981	36.77624076
ENSG00000010361	2.274334801	2.337690659	2.482927792	1.589978673	2.722747259	2.748438971	1.678600812	1.893793129
ENSG00000010404	19.96976899	19.8703706	12.52029546	10.78420317	16.57850553	12.82604853	15.9131357	16.61650745
ENSG00000010539	36.27841366	31.69633511	30.32341602	26.06182434	24.26270335	32.01123037	43.37504498	43.80160237
ENSG00000010610	39.10746427	45.37870103	55.36400695	55.9949011	50.76411	40.74156593	44.31506143	34.76026743
ENSG00000010626	3.550181153	3.16275795	4.596057829	3.318216361	2.178197807	3.125675693	4.230074046	4.459577368
ENSG00000010671	22.74334801	26.88344258	37.66654289	36.36212096	37.51340667	32.76570381	21.41894636	19.976463
ENSG00000010704	7.766021273	6.738049546	5.388481592	6.15252617	5.203472539	5.928005624	6.714403247	6.658821001
ENSG00000010803	10.48412872	13.68236592	20.07473534	23.08925552	21.66096708	21.44860217	10.67590116	10.44640726
ENSG00000010810	6.323760179	7.219338799	3.697977563	2.765180301	4.537912098	3.826258176	3.961497916	3.848676359
ENSG00000011007	35.72369785	32.5214024	36.97977563	38.85078323	39.08654953	43.86724162	33.97488043	35.98206945
ENSG00000011009	11.59356033	10.7946304	11.25241744	12.65069988	10.04391211	9.969827641	13.96595875	11.17948847
ENSG00000011021	16.41958783	14.57618881	19.33513983	20.46233423	17.24406597	20.20911008	17.25601635	18.44921048
ENSG00000011028	55.08327946	61.81129124	88.85711802	85.78971885	62.74419794	55.23823423	79.09567025	56.87488397
ENSG00000011114	53.91837627	57.06715432	48.81330383	48.87456182	45.56063746	52.16644949	53.98380211	58.46322659
ENSG00000011132	8.653566561	8.663206559	7.712924632	7.120339276	7.986725292	7.27527963	8.325860027	8.186073525
ENSG00000011143	4.493198022	4.60662571	4.014947069	5.184713065	5.929538474	5.496877943	3.558633721	2.932324845
ENSG00000011198	4.326783281	3.231513558	2.535756043	2.834309809	3.690835173	3.233457613	3.424345656	2.138153533
ENSG00000011243	54.63950681	67.03671742	42.89653973	44.86505039	38.72351657	39.98709248	53.04378565	52.23203629
ENSG00000011258	27.07013129	30.18371174	33.59876757	32.69825706	40.41767042	40.63378401	26.11902863	27.12400481
ENSG00000011260	11.48261717	11.82596451	16.74655554	19.35626211	16.9415385	17.78401687	10.40732503	13.4398222
ENSG00000011275	39.10746427	38.8469183	39.19856217	38.91991274	37.81593415	34.0051959	43.24075691	40.68600722
ENSG00000011295	31.34144299	32.17762436	31.16866803	31.66131445	32.18892315	31.09508405	31.96055946	30.72832077
ENSG00000011304	268.8152792	290.9737314	246.2853057	239.2572256	214.2499565	231.2461103	286.1678664	287.0012942
ENSG00000011332	2.052448479	1.44386776	1.584847527	1.175201628	1.028593409	2.155638409	1.141448552	1.466162422
ENSG00000011376	10.65054346	9.832051889	11.67504345	10.36942613	15.54991212	12.34102989	9.400164546	9.83550625
ENSG00000011405	28.67880713	29.22113324	20.5501896	18.94148506	18.81720883	20.53245584	31.08768703	30.97268117
ENSG00000011422	36.33388524	31.6275795	54.36027018	47.56110118	41.80929679	44.40615122	52.77520952	48.50554014
ENSG00000011426	45.65311077	52.11675057	49.5000711	44.24288482	34.42762645	40.36432921	63.45111069	58.46322659
ENSG00000011451	27.84673342	25.92086407	33.75725233	41.13205698	39.99413195	37.07698063	24.70900395	22.17570664
ENSG00000011454	23.57542172	26.60842015	16.37675778	14.79371461	15.36839564	13.4188491	25.6490204	24.86367108
