mr193.MV411.MYBi_30m.r1_tcount,mr194.MV411.MYBi_30m.r2_tcount,mr195.MV411.MYBi_30m.r3_tcount,mr196.MV411.MYBi_30m.r4_tcount,mr197.MV411.PBS_30m.r1_tcount,mr198.MV411.PBS_30m.r2_tcount,mr199.MV411.PBS_30m.r3_tcount,mr200.MV411.PBS_30m.r4_tcount
15,10,20,13,25,15,13,13
1,3,4,1,7,3,5,7
0,0,0,0,0,2,0,0
44,39,114,67,77,77,79,85
169,158,299,162,229,220,214,297
0,0,0,0,0,0,0,0
0,0,4,1,3,5,5,2
0,0,0,0,0,0,0,0
1,0,1,2,1,4,3,2
51,42,71,54,50,45,57,90
5,1,2,3,3,5,5,5
0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0
11,10,10,9,6,4,2,11
0,0,0,1,0,0,0,1
2,6,7,7,12,8,6,21
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,0,1,1,0
715,743,1078,501,281,185,165,393
0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,2
34,25,69,36,27,63,45,64
0,1,0,1,3,0,1,0
29,40,83,26,44,54,57,64
2,0,5,3,15,10,7,9
0,1,0,0,0,0,0,0
2,1,9,3,3,10,4,6
0,0,0,0,0,0,0,1
1,0,1,0,1,0,0,1
1,5,8,2,5,3,5,8
4,0,0,0,3,0,3,2
0,0,3,0,0,0,0,3
1,2,9,3,10,4,7,12
30,29,58,25,31,27,21,39
29,16,41,23,28,20,17,48
3,1,8,1,7,4,6,5
0,0,0,0,0,0,0,0
0,0,1,1,2,2,2,9
3,3,6,1,5,6,6,8
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
1,0,0,0,0,0,4,2
5,5,11,3,9,9,8,15
0,0,0,0,0,0,0,0
20,8,30,15,13,17,28,22
19,8,10,8,12,8,9,26
3,5,4,6,8,7,10,5
3,2,2,1,1,4,3,6
30,21,53,30,48,44,53,58
59,59,106,68,117,108,87,126
16,16,34,23,30,22,30,37
2,4,2,5,1,4,3,2
0,1,1,2,0,1,2,1
12,4,14,4,7,13,10,23
0,0,0,0,0,0,1,1
1,0,0,0,2,0,3,5
14,3,16,8,19,23,17,28
7,2,4,8,4,5,5,8
0,0,1,0,1,0,0,0
0,0,2,0,1,0,0,1
1,0,1,1,0,1,1,5
46,47,76,37,50,43,41,68
3,0,7,9,5,6,5,11
0,0,0,0,0,0,0,2
4,6,5,4,4,4,4,8
4,1,9,3,10,9,3,9
10,6,18,12,23,29,21,26
86,79,135,79,120,86,72,148
46,26,68,28,37,35,28,58
0,2,5,0,3,1,5,2
18,12,47,10,37,36,33,53
30,24,46,20,30,35,37,52
0,0,0,0,0,0,0,0
3,2,3,1,2,1,1,5
28,23,51,23,51,32,29,63
13,7,21,10,18,27,21,41
8,13,26,15,24,15,27,18
0,0,0,0,0,1,0,0
3,10,10,7,15,14,12,14
116,95,162,88,72,43,56,125
42,51,86,37,67,29,40,109
23,16,35,14,11,10,11,42
6,6,18,7,12,22,14,28
0,0,0,0,0,1,2,1
23,29,51,29,44,31,40,88
157,133,243,118,141,86,92,194
7,7,17,5,16,10,1,20
14,6,26,23,15,33,27,34
13,9,14,10,8,10,16,20
68,62,101,75,61,63,45,109
0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,1
6,6,16,5,8,11,14,17
14,15,28,11,24,11,22,39
0,0,0,0,0,0,1,1
3,3,3,5,8,5,5,13
0,0,1,1,4,1,2,5
22,15,37,16,24,21,21,31
27,22,31,21,13,14,14,31
2,5,9,0,9,3,9,5
4,1,5,0,7,8,12,13
1,3,3,3,0,2,3,4
180,140,294,150,165,123,123,240
0,0,0,0,0,0,0,0
2,0,0,0,1,4,2,5
28,31,33,21,28,16,27,52
10,8,24,12,30,28,34,46
16,18,23,14,23,13,11,23
0,1,3,0,3,0,0,0
3,3,8,2,5,5,5,6
0,0,0,0,0,0,0,0
353,364,653,288,202,179,203,475
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,2,1,0,0,1,0,2
2,0,5,4,1,1,4,4
4,9,10,1,12,8,10,11
0,0,0,0,0,0,0,0
11,14,23,6,24,20,29,42
4,4,7,6,13,13,24,24
0,0,1,2,5,2,3,8
1,0,4,2,7,1,1,4
11,22,36,15,19,10,14,44
1,2,9,1,5,12,13,15
12,9,20,9,13,11,15,24
0,1,0,0,3,1,5,3
32,25,52,19,41,41,41,61
1,1,5,3,1,2,2,5
5,5,9,7,14,6,15,18
31,16,43,21,36,25,29,36
6,8,13,11,24,23,24,24
13,15,24,11,13,8,13,26
0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0
1,1,0,2,5,1,2,7
0,0,1,1,1,0,2,1
9,25,37,6,26,13,6,28
0,0,3,1,3,0,2,3
3,2,5,4,6,6,8,10
0,0,1,0,0,0,0,0
27,25,74,26,40,23,44,61
52,41,95,53,79,41,58,87
0,0,0,0,0,2,0,1
77,79,124,71,54,38,36,110
0,0,2,1,1,1,3,3
11,14,23,11,21,8,13,23
0,1,0,0,0,2,1,0
9,1,2,1,7,7,4,10
0,0,0,0,2,0,0,1
6,11,15,5,8,9,8,14
1,0,2,1,1,1,0,1
20,22,41,21,7,15,12,9
0,0,2,2,0,0,1,1
0,0,0,0,0,0,0,1
14,17,53,20,40,29,41,44
36,27,44,23,53,36,47,45
21,20,36,21,35,29,20,49
72,57,102,59,83,80,71,117
17,17,25,15,28,28,16,34
9,14,32,11,21,28,20,36
163,144,252,143,108,91,85,162
0,0,0,0,2,0,0,1
0,0,0,0,0,0,0,0
22,10,27,8,11,17,12,27
10,9,16,5,12,11,11,30
1,0,5,4,8,3,5,7
1,1,1,1,5,6,7,7
8,5,14,6,14,18,11,24
0,0,0,0,0,0,0,0
0,1,0,0,0,1,2,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
7,6,18,4,14,9,16,22
0,0,0,0,2,0,0,0
32,43,71,36,55,49,50,96
0,0,0,0,3,0,0,0
2,1,5,5,8,5,11,12
22,29,45,16,36,15,24,40
3,6,11,2,7,3,2,18
4,3,3,3,1,1,4,4
1,4,8,4,20,4,3,20
2,0,4,4,10,9,6,10
5,3,5,4,5,2,9,11
6,2,7,1,3,0,1,4
7,1,7,2,4,2,3,3
23,23,35,21,26,20,36,40
0,0,0,0,0,0,0,0
2,3,0,2,2,2,5,1
8,20,20,20,13,27,24,31
0,0,0,2,3,4,4,7
4,1,4,4,6,0,4,6
0,0,0,0,0,0,0,0
0,0,1,0,1,2,2,0
0,0,0,0,0,1,0,0
5,4,7,2,9,6,8,12
1,0,2,1,1,4,1,6
13,3,10,3,5,12,8,5
0,0,6,0,0,0,1,0
1,1,2,1,2,2,2,4
2,1,8,1,3,12,6,4
0,2,3,0,0,2,0,3
3,3,5,1,6,4,8,6
0,1,2,1,0,3,1,2
16,15,23,14,25,16,19,33
14,13,29,19,18,23,25,50
9,13,19,17,12,12,12,21
9,8,12,4,14,11,15,23
2,2,2,4,3,3,1,12
25,40,43,32,23,21,33,41
22,26,37,19,30,14,21,38
5,4,9,6,10,8,7,10
2,2,2,2,6,3,5,6
1,0,0,0,2,0,0,0
0,0,0,0,1,2,0,3
16,23,46,19,44,38,29,47
241,281,387,247,225,231,243,325
1,0,0,1,0,0,0,2
63,78,116,50,114,62,68,169
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
80,82,146,76,25,9,18,29
340,312,563,280,225,194,124,291
6,5,6,5,14,10,12,13
5,4,4,3,9,2,5,6
0,0,0,0,0,0,0,0
0,1,4,1,1,0,3,3
14,22,34,13,0,0,0,0
0,0,0,0,0,0,0,0
7,3,5,1,1,2,0,2
0,0,1,0,0,1,1,0
28,34,57,20,33,20,23,59
373,339,578,424,350,321,342,517
1,1,2,2,0,1,4,3
7,8,9,4,5,3,11,11
29,30,51,29,44,27,39,56
14,9,20,5,16,13,11,24
0,1,3,0,8,11,3,6
1,4,7,0,3,2,2,4
28,21,75,48,41,53,55,75
156,158,301,150,321,325,269,367
12,12,19,6,11,10,18,20
48,57,119,69,122,86,86,173
7,3,12,6,7,4,8,12
3,7,10,5,9,6,5,11
6,2,5,0,5,4,4,4
0,0,0,0,0,0,0,0
11,9,28,7,18,9,18,21
45,26,69,34,71,51,50,87
0,0,0,0,0,0,0,0
1,2,3,2,2,2,1,2
0,0,0,0,0,0,2,0
18,12,35,19,17,27,16,27
0,0,0,0,0,0,0,0
3,0,3,4,4,4,7,5
0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0
2,1,6,0,1,0,2,3
6,9,13,2,3,0,0,2
18,23,36,29,45,22,42,66
17,22,42,16,42,37,51,69
212,184,312,194,183,169,151,372
49,40,64,48,90,100,72,115
11,7,8,5,14,15,15,18
8,12,11,8,10,11,4,22
18,5,16,16,14,15,11,15
0,0,0,0,0,0,0,0
9,9,22,17,44,27,29,35
3,3,8,5,4,5,7,3
1,2,1,1,3,5,2,7
1,0,0,0,0,6,2,3
4,5,3,5,5,6,1,14
1,0,3,1,2,2,3,5
0,0,8,2,1,1,4,13
2,1,1,0,6,4,8,13
7,3,8,4,8,10,7,14
0,0,3,2,1,1,2,4
17,12,16,16,25,33,23,35
1,0,0,0,1,1,2,0
8,11,16,7,16,13,14,19
2,0,1,4,3,5,6,4
47,47,94,35,33,24,28,46
40,43,67,26,57,26,53,99
1,5,0,1,2,4,9,5
0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0
6,8,5,4,9,5,3,15
15,9,19,17,30,17,18,36
2,1,2,5,6,6,9,5
20,15,43,21,36,41,40,67
0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0
39,30,66,26,71,54,48,135
2,0,3,3,1,3,1,3
1,0,0,0,0,1,1,0
8,7,16,14,12,4,6,11
14,16,25,21,31,24,25,40
26,22,53,25,22,25,28,41
51,50,86,52,88,53,58,142
6,2,4,7,16,25,18,34
0,0,0,1,0,0,1,0
1,4,7,0,11,3,4,7
97,97,165,72,126,83,119,218
12,21,28,25,37,45,41,40
48,48,71,45,45,37,37,94
3,1,5,5,18,6,5,16
0,0,1,0,0,1,1,0
0,0,0,0,4,1,0,1
2,3,6,3,2,1,0,0
8,4,12,5,17,18,16,25
0,1,1,1,1,5,2,2
38,26,55,25,44,43,45,60
0,0,0,0,0,0,0,0
8,6,16,2,10,9,8,20
5,3,9,1,5,8,9,10
26,26,67,37,19,33,15,31
141,124,206,93,166,173,152,268
15,9,12,14,20,10,9,23
16,20,24,11,22,6,14,18
13,10,39,15,26,21,28,40
12,6,13,7,7,11,10,17
16,13,23,12,13,10,14,15
1,2,3,0,1,2,6,2
2,5,6,7,8,5,12,12
12,5,20,16,17,10,7,30
54,49,89,43,62,70,64,85
70,67,133,92,113,132,142,209
0,0,0,0,0,1,0,0
12,11,21,16,21,24,27,35
1,0,0,0,2,1,2,3
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
3,3,6,5,3,1,2,2
26,18,48,15,31,18,27,46
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
8,4,7,2,8,4,5,11
17,13,22,17,13,10,19,33
52,34,71,28,51,31,27,56
55,46,101,63,94,55,76,128
21,12,33,14,15,21,12,26
17,8,25,8,17,7,14,22
7,7,9,5,5,3,4,8
0,1,3,0,3,0,0,1
9,12,32,10,16,13,17,43
0,2,0,3,5,7,1,11
102,113,164,100,114,97,97,176
28,39,85,30,32,43,31,48
11,11,10,8,15,5,7,18
1,4,1,2,3,0,4,0
18,15,43,20,30,16,25,43
0,1,1,0,3,1,4,2
0,0,0,0,0,0,0,0
12,13,19,10,21,11,16,32
0,2,5,5,6,2,9,11
43,37,80,43,40,35,21,47
32,30,73,30,38,34,37,42
11,8,15,7,8,9,5,12
53,70,123,64,88,87,101,107
17,15,26,12,33,40,20,39
12,11,18,13,52,38,19,67
0,0,0,1,0,1,0,2
4,2,10,3,4,4,4,10
9,18,27,18,22,17,23,25
0,1,4,3,16,8,3,6
21,15,18,7,23,11,10,33
0,0,0,0,0,0,0,0
2,2,7,5,9,13,9,14
0,0,1,0,0,2,1,0
0,0,0,0,0,0,0,0
8,8,9,8,1,5,4,3
7,13,18,7,13,16,14,14
1,1,5,1,5,1,0,7
9,10,10,5,9,5,11,20
11,7,15,6,21,9,17,24
2,4,4,3,1,11,4,3
31,27,86,34,1,1,5,10
0,0,0,0,2,0,1,1
0,3,0,0,5,9,7,7
3,1,2,0,1,7,0,3
0,0,0,0,0,0,0,0
417,394,852,487,662,700,491,754
0,0,0,0,0,0,0,0
23,20,39,14,18,17,31,37
51,32,66,27,44,26,25,46
15,9,18,11,13,9,8,10
0,13,7,4,8,7,2,5
1,1,1,4,1,1,0,2
0,0,0,0,0,0,0,0
2,0,1,0,4,2,6,1
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,4,2,3,4
18,13,20,18,11,7,9,15
11,7,11,11,13,7,11,9
3,2,6,2,8,4,5,12
1,3,2,1,1,0,1,4
64,59,144,95,172,131,152,210
0,0,0,0,0,0,0,0
22,11,12,11,17,10,12,26
1,0,0,0,0,1,0,1
2,1,9,2,5,7,5,8
70,67,119,62,92,50,63,138
0,0,0,0,0,0,0,0
2,6,11,5,4,1,1,4
7,7,21,6,9,10,10,12
5,3,8,0,1,2,0,4
1,5,4,0,2,0,1,4
0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0
13,13,18,10,7,11,10,18
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
2,2,6,4,3,6,12,5
15,8,17,12,24,14,19,26
2,1,8,2,3,0,2,1
2,1,3,2,7,6,12,11
6,8,10,12,19,17,14,47
1,0,2,0,0,2,2,2
9,12,17,9,16,13,14,16
0,0,2,0,1,0,0,1
11,7,20,23,15,8,6,17
4,9,7,6,4,11,9,4
0,0,0,0,0,0,0,0
1,5,5,2,2,3,2,1
1,4,3,3,4,1,1,1
9,3,4,8,4,5,6,10
2,0,2,1,0,2,2,3
40,22,61,33,31,30,33,51
3,2,3,2,1,0,4,3
0,2,1,0,0,0,1,0
41,33,52,23,33,40,34,55
104,83,172,87,141,121,154,212
1,1,0,0,0,0,0,3
102,101,200,93,91,109,104,137
0,0,1,0,0,0,0,0
17,7,15,18,3,7,21,31
0,0,0,1,0,0,0,2
25,17,39,23,35,20,26,42
5,4,12,13,8,9,8,12
0,0,0,0,0,0,0,0
5,1,7,6,5,5,3,3
8,5,10,6,1,9,8,9
2,3,4,0,0,3,2,10
4,8,27,9,8,7,5,14
52,47,101,54,39,34,60,63
76,78,179,93,78,83,77,126
2,0,6,6,2,8,8,11
10,8,20,5,10,10,9,11
12,11,23,13,13,11,13,14
4,6,20,8,9,7,6,6
1,4,5,6,0,1,2,7
18,14,25,21,10,19,12,42
11,7,23,15,15,7,9,10
7,20,16,19,10,11,15,26
12,9,8,9,3,15,11,6
3,1,4,2,1,0,4,1
5,5,9,4,6,3,2,5
66,66,115,38,76,51,48,71
5,9,15,6,7,19,4,23
4,4,4,3,3,3,6,10
8,4,10,7,6,3,6,7
6,4,10,2,17,15,13,6
9,9,25,8,20,24,28,33
15,14,32,25,17,31,18,36
7,9,11,3,7,8,6,11
0,0,0,0,0,0,0,0
8,11,12,18,10,5,18,24
105,101,136,90,79,49,51,98
8,5,10,4,4,9,11,10
2,0,2,1,2,0,1,0
7,8,15,8,9,19,12,19
2,8,11,8,6,1,9,12
5,5,11,5,21,27,32,43
0,0,1,0,0,0,1,0
17,15,28,14,19,13,11,29
31,19,66,31,32,13,12,36
0,0,1,0,0,0,2,1
0,0,0,1,0,0,0,0
6,6,15,7,3,3,7,13
0,1,4,0,0,0,0,2
3,5,5,2,0,1,2,2
11,4,8,9,5,10,11,11
3,5,2,3,1,2,2,6
1,0,0,1,0,2,0,0
3,3,9,3,6,3,5,5
1,4,9,4,4,4,5,9
1,0,0,0,1,3,0,2
21,11,15,6,6,8,10,10
0,1,0,1,4,2,4,0
0,0,0,0,0,0,0,0
3,2,8,1,2,1,1,1
3,2,5,2,8,1,4,10
5,0,5,2,1,6,5,2
22,19,41,22,29,22,24,46
13,13,29,14,10,15,5,13
3,2,5,4,5,4,0,1
0,0,2,0,0,0,0,0
1,1,1,0,0,0,0,0
8,5,12,6,4,7,3,13
3,12,14,6,3,2,1,14
18,5,20,11,13,22,22,41
4,8,4,16,0,1,1,2
0,0,1,0,0,0,3,2
8,5,31,12,16,4,18,16
178,145,318,161,267,222,213,363
12,9,14,9,7,7,8,22
103,99,214,87,132,113,94,203
0,0,0,0,1,0,0,2
2,0,4,1,1,0,2,1
4,6,8,4,7,3,7,9
4,3,3,0,1,2,1,3
0,0,2,0,0,0,0,1
26,22,50,24,40,57,44,50
0,0,0,0,0,0,0,0
2,1,0,1,2,2,2,3
1,2,1,0,0,1,0,2
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,1,3,0,1,0,1,3
5,0,6,4,4,9,5,9
4,1,12,11,7,10,12,19
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1
89,52,136,86,20,16,20,37
17,41,43,31,15,18,25,28
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
9,9,20,8,15,6,10,15
1,2,3,0,1,0,1,2
3,2,1,2,7,3,7,13
1,1,1,1,0,3,1,2
2,1,1,3,2,2,1,7
39,44,75,24,17,23,18,28
111,105,186,89,161,111,109,250
5,5,17,11,14,20,8,12
15,15,35,21,31,12,17,37
0,1,5,3,10,4,6,10
11,7,20,18,10,16,15,25
20,5,22,23,18,9,11,19
25,27,44,33,37,46,34,54
0,0,0,0,0,0,0,0
61,54,122,72,128,110,141,202
0,0,4,1,5,4,8,11
3,1,5,1,1,1,1,1
0,0,0,0,1,0,0,1
0,0,0,2,0,0,1,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
7,8,16,9,16,21,18,22
0,2,0,2,7,6,7,7
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
213,213,342,208,103,134,77,164
2,1,3,3,3,0,0,0
11,5,15,15,5,1,0,1
0,0,1,0,0,0,0,0
3,1,4,2,2,0,0,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0
2,3,1,1,0,0,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0
0,0,0,0,1,0,0,1
42,49,82,33,88,68,72,155
5,7,10,1,4,5,4,14
63,74,96,57,32,17,33,53
29,12,51,16,36,38,29,32
2,3,5,2,5,4,1,10
0,0,1,1,0,1,0,0
0,0,3,2,0,2,4,5
6,8,11,6,18,7,9,19
2,6,7,7,8,4,8,9
5,8,17,14,10,9,12,19
0,0,2,0,0,0,0,1
3,3,6,4,8,4,4,9
33,24,61,27,64,47,63,77
0,0,0,0,0,0,0,0
12,16,17,6,38,43,33,49
0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1
9,11,29,12,17,19,16,37
140,145,250,143,209,130,144,251
2,1,2,1,1,2,1,2
78,76,106,69,52,39,34,70
254,226,405,227,280,245,226,447
498,381,740,429,495,446,446,733
180,168,275,146,156,91,122,264
34,26,53,29,51,42,40,56
31,20,46,22,30,11,16,28
267,224,379,220,240,178,218,371
57,52,105,43,85,79,68,150
1,2,2,1,2,3,1,3
140,137,216,119,117,70,88,190
0,0,0,0,0,0,0,0
0,0,0,0,2,0,2,1
0,0,0,0,0,0,0,1
57,51,77,33,7,6,3,8
0,2,3,0,4,1,9,2
29,33,61,30,66,48,54,72
0,0,0,0,0,0,0,0
2,0,4,1,2,0,0,7
44,41,76,36,93,95,104,114
3,1,1,3,2,2,2,5
25,40,98,39,53,62,71,82
5,4,12,4,6,9,9,14
29,20,45,26,30,24,25,37
0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0
1,1,1,0,3,4,0,1
15,10,20,11,6,20,15,17
3,5,5,1,16,9,3,11
13,18,32,15,31,12,9,39
196,194,343,174,72,91,67,123
2,7,11,3,4,14,14,14
160,147,300,194,245,289,308,362
4,0,5,1,5,3,3,6
5,2,3,2,11,4,10,14
18,16,20,17,13,24,23,20
12,14,12,6,6,8,7,12
0,0,0,0,0,0,0,0
0,0,1,0,2,1,0,2
5,3,5,0,5,1,3,3
133,114,229,150,159,182,133,257
86,80,149,67,77,60,62,189
26,22,43,12,11,12,11,24
3,0,5,2,5,0,2,3
16,27,46,11,49,44,59,86
0,0,3,0,0,0,0,0
0,1,1,0,2,0,1,1
1,0,0,0,0,0,0,0
38,39,64,40,87,101,78,119
93,116,189,115,130,150,157,166
0,0,0,0,0,0,0,0
88,91,149,103,125,132,127,189
43,51,102,44,37,33,32,70
0,0,0,0,0,0,1,0
27,24,62,31,85,71,56,87
0,0,0,0,0,0,0,0
27,21,42,27,28,21,30,49
0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1
53,54,112,48,49,45,43,98
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
55,60,106,77,74,65,60,109
1,0,0,1,1,0,1,3
5,2,2,3,8,6,4,6
0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0
0,1,0,0,0,0,0,0
416,411,840,503,562,562,511,810
0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1
13,7,30,11,21,15,12,30
16,5,20,9,25,28,20,27
0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,1,1,0,2,2
5,3,7,4,4,0,6,4
0,1,0,0,0,0,0,1
1,0,1,0,1,0,3,1
0,0,0,1,0,0,0,0
4,0,2,0,2,0,0,3
79,71,140,65,77,77,59,160
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,3,4,5,11,12,10,17
65,57,111,61,69,72,62,136
3,0,11,7,9,10,5,16
7,5,10,4,9,12,12,11
0,0,0,0,0,0,0,0
5,3,3,1,3,4,6,5
0,0,0,0,0,0,1,2
0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0
8,0,6,4,2,4,5,11
0,4,3,4,8,7,6,11
1,6,13,7,8,10,7,17
0,0,0,0,0,0,0,0
41,41,76,28,47,40,44,68
1,3,3,3,8,7,5,11
13,19,38,27,21,30,33,28
2,6,12,10,5,7,9,20
0,0,0,0,1,0,0,0
6,0,6,1,9,7,5,10
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
3,5,6,2,8,6,2,6
0,0,0,1,0,0,0,0
1,1,3,0,3,2,1,5
60,59,129,74,114,75,88,123
11,23,21,20,21,8,9,26
4,3,8,5,5,10,4,10
12,13,15,19,41,25,23,29
0,0,0,0,0,0,0,0
4,3,12,5,2,9,0,6
10,9,13,15,18,18,16,12
0,1,0,0,5,4,4,5
0,0,1,0,2,0,1,3
3,10,3,5,3,3,2,4
9,15,15,9,13,9,18,25
15,3,15,5,14,6,10,20
14,14,35,10,12,13,7,13
15,32,42,25,19,20,14,30
11,13,12,13,14,9,12,33
3,2,9,4,8,10,15,20
37,21,59,23,37,29,33,55
4,2,4,6,6,5,7,12
29,23,52,30,33,41,37,65
6,4,7,2,1,6,2,2
6,5,3,4,1,1,3,7
0,1,4,2,2,3,2,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
31,16,48,20,38,19,30,46
24,11,23,15,34,21,21,30
5,13,17,6,11,4,10,6
0,2,0,0,0,0,0,0
7,2,7,3,2,4,3,5
11,10,14,2,11,9,5,12
152,155,319,169,20,20,26,54
5,5,11,7,11,11,6,21
137,137,243,140,150,83,132,223
1,2,12,3,8,6,8,5
3,5,3,5,9,7,5,11
5,1,8,0,6,1,3,11
7,4,11,6,9,8,7,12
32,48,67,27,67,63,59,109
0,0,0,0,0,0,2,1
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
16,13,31,15,23,41,53,65
120,118,175,106,182,211,162,315
14,9,20,9,19,21,16,34
40,54,68,25,59,35,39,106
4,5,11,5,6,4,7,14
16,10,28,15,24,21,22,26
2,3,10,3,1,0,4,1
5,6,18,7,6,3,8,9
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
14,8,19,16,12,4,5,30
1,1,4,2,8,1,1,2
3,3,9,3,4,8,14,12
0,0,1,0,5,0,6,1
0,1,1,0,2,2,0,0
100,109,227,124,256,291,258,381
9,6,7,5,11,15,12,21
0,0,0,0,0,0,0,0
1,1,9,2,7,9,2,8
3,2,1,1,2,0,3,2
0,0,0,0,0,0,0,0
1,1,0,0,4,1,1,1
0,0,0,0,0,0,0,0
7,11,8,10,10,2,4,13
2,3,5,2,4,12,3,10
0,0,0,0,0,2,0,0
0,1,2,0,3,0,1,5
18,8,18,11,9,16,7,9
15,25,48,22,31,36,38,45
81,84,102,64,61,81,50,88
2,11,27,14,11,14,13,17
0,0,0,0,0,0,0,0
19,10,20,13,25,7,19,43
5,7,12,6,15,5,10,17
27,33,46,29,37,36,28,54
0,2,1,4,0,3,0,2
32,43,81,49,79,68,62,90
35,31,55,35,25,27,21,63
19,20,30,21,33,23,32,48
2,10,2,4,11,6,7,14
60,35,88,39,57,61,59,86
4,2,6,7,14,10,9,19
8,11,18,9,10,3,9,17
5,11,28,13,20,13,17,14
1,0,1,1,0,3,1,4
22,23,22,15,24,14,21,58
113,93,147,99,173,113,144,229
36,45,78,49,48,50,46,75
80,67,126,50,110,75,85,162
0,3,0,1,1,3,2,4
11,14,9,9,10,14,12,18
0,0,0,0,0,0,1,0
2,0,3,0,0,0,0,0
15,17,21,17,18,19,22,47
0,0,0,3,0,0,0,0
33,14,31,13,13,7,9,25
0,0,2,2,8,3,3,4
0,1,0,0,0,0,0,0
0,0,1,4,10,5,6,10
205,170,295,147,261,152,162,364
18,7,35,10,27,18,27,26
18,9,14,9,14,11,17,27
0,3,4,2,4,5,4,3
2,0,3,6,2,1,4,6
19,14,40,15,34,38,42,50
0,0,1,0,0,0,0,0
17,19,37,25,32,20,26,40
39,24,56,19,38,31,27,81
8,6,12,7,15,23,19,16
2,1,5,0,1,2,0,2
3,1,0,3,2,0,5,5
59,57,105,51,63,57,59,108
8,2,4,4,20,20,15,28
4,6,6,3,3,8,6,5
18,17,35,21,29,28,25,45
2,0,1,2,2,9,6,5
0,0,0,0,0,0,0,0
12,6,19,10,12,8,17,19
13,9,34,17,25,26,26,28
5,5,12,9,5,4,6,7
0,1,0,0,1,2,0,2
6,8,14,14,9,15,14,9
0,0,1,1,2,3,4,9
0,0,0,0,0,0,0,0
4,2,5,1,2,0,1,4
3,12,14,1,13,5,3,24
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2
0,0,2,0,0,2,1,2
36,43,42,22,38,38,32,61
0,7,17,7,3,11,8,5
9,10,14,6,7,6,7,10
1,0,2,0,0,0,0,0
1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0
209,200,317,214,217,210,189,275
9,8,19,15,23,34,36,40
77,57,121,57,108,130,120,158
4,8,20,8,29,35,25,40
0,0,6,1,3,1,1,2
38,42,43,46,21,27,31,31
25,39,67,49,35,49,49,45
20,22,38,20,32,14,28,55
0,0,0,0,0,0,0,0
11,16,22,14,30,31,26,35
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2,0,0,0,2,1,2,0
6,10,13,8,27,24,23,36
1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
129,143,263,142,200,182,158,300
108,102,147,74,39,31,30,61
15,16,33,17,19,22,20,38
15,21,25,9,13,20,18,31
0,0,0,0,0,0,0,0
26,24,57,19,28,22,27,37
0,0,0,1,0,0,0,1
1,1,4,3,6,1,5,7
1,2,4,0,0,4,4,3
