GENE,MV411-MYB-dTAG-DMSO_1h,MV411-MYB-dTAG-VHL_1h,MONOMAC1-MYB-dTAG-DMSO_1h,MONOMAC1-MYB-dTAG-VHL_1h,NOMO1-MYB-dTAG-DMSO_1h,NOMO1-MYB-dTAG-VHL_1h,P31FUJ-MYB-dTAG-DMSO_1h,P31FUJ-MYB-dTAG-VHL_1h,THP1-MYB-dTAG-DMSO_1h,THP1-MYB-dTAG-VHL_1h
ABCD2,48.0,45.0,61.0,52.0,4.5,4.0,23.0,28.0,16.5,15.5
ALDOA,7831.0,8382.0,8321.0,6788.0,6455.0,6037.5,6502.5,7396.5,6671.5,7379.0
ALDOB,3.5,5.0,0.5,1.5,0.0,0.5,1.5,1.5,6.0,2.5
ALDOC,227.0,250.0,446.5,336.5,92.0,111.5,268.5,354.5,86.5,100.0
AKR1B1,999.0,1041.0,1384.5,1063.0,401.0,380.5,0.0,0.0,576.0,639.0
ALOX12,5.5,6.0,8.5,7.5,17.5,14.5,13.5,10.5,12.5,6.5
ALOX5,0.0,0.0,31.5,29.0,105.0,92.5,305.5,287.0,236.5,227.0
ALOX5AP,918.5,850.0,5443.0,4463.0,1808.5,1987.0,7042.0,7605.0,1510.5,1836.5
ALOX12B,0.0,0.0,0.0,0.0,1.0,1.5,3.5,5.0,0.0,0.0
ALOX15,7.5,7.0,1.0,1.0,4.0,3.0,10.5,9.0,14.5,24.0
ALOX15B,0.0,0.0,0.5,0.0,4.0,2.5,14.5,11.0,0.0,0.0
ALPL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALX3,23.5,17.0,18.5,16.0,20.5,24.5,20.5,14.0,14.0,12.5
AMD1,3806.0,3544.0,2456.5,2118.5,2055.5,1536.5,1462.0,1461.5,3296.5,3374.0
AMFR,606.0,565.0,756.5,698.0,858.5,899.0,1040.5,997.5,534.5,468.5
AMH,5.0,8.0,0.0,1.5,3.0,3.5,16.5,20.5,2.5,6.5
AMPD2,339.5,399.0,196.5,199.5,222.0,281.5,294.0,351.0,261.5,256.0
AMPD3,84.5,71.0,21.0,19.5,381.0,307.0,1654.5,1551.0,200.0,213.5
AMPH,3.5,3.0,9.0,4.0,6.0,5.5,21.5,20.5,4.5,10.0
BIN1,31.5,19.0,172.5,165.5,46.0,41.5,37.5,37.0,228.5,232.0
AMT,72.5,94.0,117.5,117.5,266.0,278.0,103.0,89.5,149.0,133.0
AMY1A,6.0,3.0,2.5,3.0,0.0,0.0,0.0,0.0,0.5,0.0
AMY1B,6.0,3.0,2.5,3.0,0.0,0.0,0.0,0.0,0.5,0.0
AMY1C,6.0,3.0,2.5,3.0,0.0,0.0,0.0,0.0,0.5,0.0
ANG,2.0,1.0,5.5,4.0,2.5,2.0,6.5,6.5,1.5,1.5
ANGPT1,2.5,1.0,8.5,6.5,15.0,8.5,86.0,60.5,0.0,0.0
ANGPT2,20.0,27.0,18.5,23.5,14.5,26.0,10.5,7.0,19.5,11.5
ANK1,1.0,2.0,7.0,13.5,6.0,8.0,0.0,0.0,229.5,170.5
ANK2,70.5,62.0,23.0,20.5,8.0,7.5,1.0,2.5,106.5,116.0
ANK3,0.5,0.0,2.5,3.5,0.0,0.0,0.0,0.0,42.0,35.0
ANPEP,0.0,0.0,804.0,719.0,301.5,267.0,739.0,764.5,1807.5,1853.0
SLC25A4,30.5,34.0,125.5,95.0,311.5,285.0,13.0,10.5,123.5,129.5
SLC25A5,5465.0,4628.0,3181.5,2660.5,4208.5,3659.5,4553.5,4374.0,3153.0,3279.5
SLC25A6,8633.0,9061.0,5490.5,4084.0,6615.0,6446.5,3295.0,3532.5,5980.5,6650.5
ANXA1,491.0,477.0,1065.5,853.0,780.0,645.0,1855.5,1995.0,1392.0,1491.5
ANXA2,1470.5,1402.0,5628.5,4292.0,2432.0,2277.5,213.5,222.5,1741.0,1983.0
303,20.5,25.0,75.5,43.5,33.0,26.0,3.0,3.0,23.5,22.0
ANXA3,0.0,0.0,0.0,0.0,69.0,57.0,137.0,157.0,26.0,29.5
ANXA4,377.5,407.0,1031.0,825.5,524.0,375.5,534.0,502.0,3707.0,3883.0
ANXA5,151.5,168.0,3473.5,3238.0,2604.0,2334.0,0.0,0.5,3412.5,3671.5
ANXA6,688.0,694.0,1019.0,758.5,524.5,450.5,1160.0,1269.0,1453.5,1615.0
ANXA7,596.0,602.0,1500.0,1278.0,1091.5,892.0,1786.0,1866.0,755.5,744.5
ANXA11,1407.0,1498.0,2195.5,1623.0,1986.0,1831.5,2687.0,2900.0,2085.0,2106.5
AOAH,2.0,4.0,25.5,32.0,98.0,94.5,29.5,34.0,51.0,41.5
AOC2,1.5,2.0,4.5,5.0,11.0,8.0,22.5,16.5,3.0,3.0
AOX1,2.0,4.0,4.0,4.5,0.0,0.0,11.5,20.0,1.5,0.0
APAF1,824.0,729.0,107.0,108.0,901.5,722.5,771.0,714.0,1047.0,914.5
NUDT2,97.0,95.0,121.0,87.5,168.5,182.0,169.5,174.5,222.0,215.5
APOF,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.5
APBA1,640.5,579.0,148.5,126.5,1.0,1.5,0.0,0.5,681.5,513.5
APBA2,12.0,11.0,131.5,128.5,675.5,641.0,0.0,0.0,264.5,222.5
APBB1,38.5,45.0,160.0,114.5,87.0,85.0,352.0,392.5,69.5,61.5
APBB2,41.5,43.0,558.5,361.0,448.5,261.0,388.0,326.0,136.0,99.5
APC,138.0,197.0,141.5,113.5,165.0,119.5,265.5,250.0,215.5,193.5
APEH,325.0,315.0,206.0,206.0,320.0,298.5,191.0,198.0,213.5,201.0
APEX1,3957.5,3724.0,1779.5,1326.5,1995.5,1994.5,3045.5,3000.5,2807.5,3039.0
BIRC2,92.0,92.0,122.0,99.5,187.0,136.0,140.5,143.5,215.0,248.5
BIRC3,3.0,3.0,69.5,59.0,21.5,21.0,16.5,11.0,28.5,19.5
XIAP,1178.5,1203.0,1162.5,1009.5,1087.0,897.0,1110.0,999.0,1813.5,1966.5
BIRC5,4536.0,4356.0,2412.5,2140.5,3077.5,3047.5,3536.5,3737.5,3158.0,3175.0
APLP1,43.0,33.0,6.5,4.5,3.5,2.0,15.5,18.0,45.0,40.0
APLP2,6027.0,5849.0,24024.0,21951.5,12189.0,10191.0,8543.5,8360.0,16160.5,16128.5
APOA1,4.0,4.0,1.0,0.0,1.0,1.5,2.5,1.5,1.5,3.5
APOC1,7.0,10.0,1022.0,695.5,41.0,48.5,14.5,28.0,919.5,1020.0
AQP8,0.0,0.0,5.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
APOC2,2767.5,2514.0,6278.0,4536.5,0.5,1.0,0.0,1.5,5889.5,6755.0
APOC4,1.0,3.0,9.5,6.0,0.0,0.0,1.0,2.0,6.0,7.5
APOE,0.5,0.0,199.0,187.0,2.0,3.5,1.5,2.5,57.5,56.0
APP,2171.0,2173.0,4.5,2.5,2275.5,1720.0,0.0,0.0,6342.0,6272.5
APRT,1635.0,1682.0,1020.0,842.5,1168.0,1117.5,1105.5,1214.0,1238.5,1401.0
FAS,5.5,3.0,21.0,16.5,280.0,208.5,340.0,322.5,40.5,27.0
SHROOM2,1.5,8.0,0.5,0.0,42.5,40.5,209.0,265.5,7.0,5.5
AQP1,22.5,28.0,3.5,3.0,1.5,2.0,0.0,0.0,531.0,988.5
AQP3,374.5,323.0,326.0,209.5,53.0,35.5,246.0,241.0,385.5,382.0
AQP6,2.0,1.0,0.5,0.5,1.5,1.5,4.0,2.0,0.5,1.0
AQP9,0.0,0.0,41.5,26.0,1.5,1.0,6.5,4.5,0.0,0.0
AR,10.0,9.0,22.0,21.0,2.5,2.5,1.0,2.0,2564.5,2142.5
ABCC6,1.5,5.0,89.5,90.5,123.0,101.0,12.0,11.0,152.0,150.0
ARAF,433.0,471.0,664.5,556.5,642.5,629.0,564.5,630.0,597.5,611.5
ARCN1,6450.5,6282.0,5101.5,4555.0,4805.0,4360.0,5199.5,4954.0,6988.0,6457.0
TRIM23,41.0,46.0,68.5,51.0,86.0,60.0,73.5,71.0,69.0,73.5
AREG,0.0,0.0,2.0,1.5,1.5,0.5,3.0,5.0,1.5,1.5
ARF1,10489.5,10348.0,10041.0,9038.5,9639.5,9322.5,9263.0,9857.0,19765.5,19369.5
ARF3,13677.5,13660.0,11603.5,10139.0,14123.5,13081.5,11607.5,12422.0,5632.0,4321.0
ARF4,2501.5,2258.0,2529.0,2160.0,1950.0,1492.5,1902.5,1922.0,3361.0,3687.5
ARL4D,1.5,2.0,28.0,32.0,25.5,35.0,25.5,24.5,58.5,126.5
ARF5,661.0,639.0,721.5,678.0,664.5,670.0,824.0,863.5,633.0,739.5
ARF6,5301.0,4996.0,3240.5,2607.0,3830.0,3002.5,4572.5,4037.5,4840.0,4540.0
ARG2,915.0,805.0,779.5,696.5,1004.0,886.5,786.5,830.0,1177.0,1221.0
RHOA,24218.0,23551.0,27732.5,24503.5,25023.0,24066.0,17789.0,19334.5,29313.0,29134.5
RHOB,45.0,93.0,367.0,293.5,80.5,95.0,15.0,19.0,683.5,740.0
RHOC,38.5,46.0,454.5,356.5,363.5,348.5,299.5,340.5,1671.0,1765.0
RND3,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,100.5,93.0
RHOG,1497.5,1714.0,1774.0,1420.5,2927.5,2702.0,1634.0,1768.5,1322.0,1396.5
ARHGAP1,2315.5,2277.0,2105.5,1887.0,2297.0,1917.0,1490.5,1614.0,2275.5,1793.0
ARHGAP4,349.0,350.0,310.5,265.5,379.0,353.0,141.0,190.0,369.5,402.0
ARHGAP5,0.0,0.0,2.5,1.5,141.5,74.0,444.5,470.5,0.5,0.0
ARHGAP6,1.0,1.0,43.0,32.0,7.0,7.0,2.5,1.5,28.5,25.5
ARHGDIA,15512.0,17009.0,11706.0,10334.0,12708.0,11525.0,11773.5,12488.0,12246.0,11891.5
ARHGDIB,29213.0,27282.0,43749.5,35948.0,59037.5,56965.5,42467.0,46349.0,19998.0,20267.5
RHOH,17.0,9.0,6.5,3.5,19.5,11.5,141.5,83.5,12.5,16.0
ARL1,1426.5,1258.0,416.0,374.0,1351.0,1113.5,1899.5,1814.5,1491.0,1420.0
PHOX2A,2.0,4.0,7.0,7.5,3.5,4.5,2.0,3.0,7.5,17.0
ARL2,381.5,446.0,529.5,436.5,969.5,942.5,167.5,186.0,409.0,449.5
ARL3,120.5,118.0,35.5,25.0,81.0,85.0,164.5,181.5,132.0,140.0
ARNT,1062.5,1059.0,1659.0,1420.0,1502.5,1336.0,1676.5,1615.5,3749.0,3404.5
ARNTL,76.5,95.0,49.0,35.0,70.5,68.5,87.5,86.5,72.0,93.0
ARRB1,5122.0,4856.0,2485.5,2221.5,2450.0,2275.5,2834.5,3121.0,2126.5,1683.0
ARRB2,1074.5,1214.0,319.5,289.5,2011.5,2136.5,2970.0,3846.0,273.0,345.5
ARSA,155.0,139.0,205.5,189.5,108.0,122.5,172.5,160.5,141.0,119.0
ARSB,3619.5,3539.0,2100.5,1849.5,1138.0,987.5,1943.5,1967.5,2115.0,1857.5
STS,476.0,444.0,588.0,527.0,362.0,302.0,270.0,244.0,264.0,230.0
ARSD,805.0,783.0,2425.5,2212.5,2688.5,2557.0,1024.5,1052.0,2735.5,2550.5
ARSL,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
ARSF,0.0,0.0,15.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0
ART3,0.5,0.0,0.0,0.0,22.5,13.5,1.0,0.5,0.0,0.0
ARVCF,18.5,23.0,10.0,4.5,35.0,30.0,53.5,53.5,10.5,11.5
ASAH1,980.0,979.0,3287.5,3027.0,1297.0,893.5,1506.5,1564.5,3148.5,3172.5
ASCL2,0.0,0.0,46.5,46.5,209.5,215.5,6.0,8.0,30.0,36.5
ASGR1,1.0,4.0,1.5,0.0,1.5,3.5,6.0,3.0,1.0,1.5
ASGR2,17.0,18.0,44.0,40.5,60.0,50.0,31.0,29.0,54.5,55.5
ASIP,1.5,2.0,6.5,3.5,0.0,0.0,1.0,1.0,1.5,0.5
ASL,25.5,38.0,46.0,32.0,61.5,66.5,93.5,102.5,53.5,64.5
GET3,421.0,451.0,188.0,134.5,168.0,174.5,298.0,332.5,258.5,320.0
ASNS,212.5,203.0,70.0,72.0,149.0,114.5,302.5,270.0,37.0,47.5
ASPH,1093.5,1037.0,1981.5,1632.0,495.5,333.5,0.5,0.0,1127.5,1081.0
ASS1,2049.0,1996.0,396.5,296.5,40.0,32.5,0.0,0.0,366.5,388.0
ZFHX3,49.0,51.0,62.0,55.5,105.5,79.5,223.0,186.0,101.5,87.5
ATF1,562.0,682.0,497.5,390.5,573.0,357.5,620.5,733.0,154.0,148.0
ATF3,205.0,190.0,404.0,290.5,48.5,62.0,140.0,134.5,734.5,682.5
ATF4,1128.5,1152.0,1264.0,953.0,715.0,754.5,1061.0,1161.5,985.0,1038.0
ATIC,459.0,473.0,274.5,216.0,356.0,311.5,117.0,125.5,337.5,317.5
ATM,924.0,896.0,1163.5,1034.5,810.5,624.0,831.5,726.0,1318.0,1097.5
RERE,486.5,406.0,508.5,463.5,485.5,458.5,1233.5,1095.0,351.5,314.5
ATOX1,440.0,404.0,443.5,363.5,295.5,335.0,287.0,306.5,395.0,465.5
ATP1A1,1366.0,1415.0,722.5,519.0,1520.0,1415.0,1405.0,1545.0,1916.5,2120.0
ATP1A2,0.5,3.0,0.5,1.0,0.0,2.5,1.5,1.0,8.5,5.5
ATP1A3,412.5,387.0,45.5,39.0,109.5,94.0,460.5,547.5,9.0,4.0
ATP1B1,81.5,83.0,174.5,176.0,58.0,55.5,218.5,192.5,446.0,559.0
ATP1B2,1.5,4.0,1.5,1.0,2.0,3.5,5.0,3.5,0.0,0.0
ATP1B3,4181.5,3790.0,3638.5,3103.0,3593.5,3466.0,2220.5,2334.0,2993.5,2993.5
FXYD2,0.0,0.0,6.5,8.5,0.0,2.0,14.0,15.0,2.5,0.0
ATP2A1,30.5,37.0,30.0,24.5,26.5,21.0,13.0,14.0,11.0,25.0
ATP2A2,4749.5,4583.0,2203.0,1962.0,2528.5,1884.5,3015.0,2984.5,5305.5,4170.5
ATP2A3,1613.5,1679.0,778.5,724.0,2165.5,2105.5,2875.5,3018.0,727.5,669.5
ATP2B1,1163.5,1032.0,4071.0,3304.5,663.0,466.5,484.5,450.5,959.5,806.0
ATP2B2,23.0,15.0,13.5,8.0,223.5,214.0,6.0,11.5,6.5,4.5
ATP2B3,9.5,15.0,16.5,14.5,0.5,1.5,5.0,3.0,55.0,42.5
ATP2B4,2224.0,2069.0,2087.0,1773.0,3873.5,3318.5,4405.0,3975.0,8044.5,5713.0
