,ZEB2,PU1,MYBL2,ZMYND8,IKZF1,SP1,RUNX1,PU1_FLAG,LDB1,IRF8,CDK13,GATA2,GFI1,CEBPA,MYC,LMO2,RUNX2,FOXP1,MYB,ETV6,MAX,MEIS1,FLI1,LYL1,MEF2D_FLAG,ELF2,activation,repression,IRF2BP2,MED1,SMC1,CTCF,POLII,ATAC,promoters,super_enhancer,regular_enhancer,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8
CDK13,0.001684048654998886,-0.004214025904407487,-0.15893117780948232,0.05706342292337414,0.01708626187457854,0.029824218431034423,0.018748133117453804,0.0011750048852621868,0.3399042236972613,-0.005439299505471647,1.0,-0.024356764417485393,-0.001018701038166442,-0.008254294375407922,0.03592232748237748,0.008831470644084441,0.024646689370635026,0.02636405638836493,0.0036788073788625412,0.008008798060178615,0.03754287004474631,-0.0002302334566437641,0.01467357375228972,-0.016251121600265598,0.06250518501984749,0.0052273277476000725,0.010010803483180042,-0.0785666655392659,0.07281200104425063,0.010886482885017089,0.02565303622206806,-0.011752749200378087,-0.033203693893849556,0.010293702983616015,,0.015625387845243262,,,,,,,,,
GATA2,-0.011028875775923647,0.08302251253226521,0.05371266367960832,0.030327465220836642,0.021258929591957295,-0.06066284170990659,0.07262820859145894,0.08153606197412497,0.5388614186488436,0.0491382470676978,-0.12965075331222026,1.0,0.006307834636721382,0.06469304377893059,-0.01435467890703344,-0.008094812873096864,0.09714332576346056,0.039694618471460344,0.05323384852689706,-0.004208438321195995,0.01309804875121766,0.04806297686720999,0.05721644683297442,0.1549044912626617,0.013579919381354673,-0.018050465013318192,-0.02422875074277162,-0.005451419384947304,0.03427515046747854,-0.028990216765686132,-0.047383904516581,-0.04376986750829596,-0.004767153375193371,0.0496863859567587,,-0.00018754830446869957,,,,,,,,,
GFI1,0.0005088628410708507,0.10140563834106518,0.017605305863440515,0.07555054595577357,0.04119221716115228,-0.05010317687620318,0.15622796782421589,0.09339183426779554,-0.07375489495602737,0.04980030816873565,0.005317548208287986,0.03902483649901176,1.0,0.10682224470165486,0.009265356133421816,0.015926103817884434,0.19003617745999582,0.07721921528665163,0.04594850503199014,0.008163361600702319,0.04650747980404217,0.10462314399967226,0.11017346622901267,0.04475114083558111,0.025952538265038072,0.00020452016253907443,-0.0011554827508226302,-0.03745368752783689,0.07077281463245275,-0.020049139104743388,-0.045324778395032655,-0.014287405437225759,0.12012123721381904,0.08606275024643413,,0.009500817321836828,,,,,,,,,
CEBPA,-0.029720560582077456,0.1572290446984262,0.07102804441706446,0.0635839555077395,0.07534901776708586,-0.1985673162829665,0.11772473291971765,0.12723152551111933,0.12493071450907701,0.04285025552585149,-0.009171063931711054,0.08809798594027785,0.06892259265130843,1.0,-0.019556509558137113,-0.025816448988663768,0.2099413358845464,0.15966917559781332,0.10725703438613717,-0.0062927602589617415,0.03529640638889755,0.15981382013756304,0.13003608823673574,0.06458452353047876,0.023331249998777604,-0.03261166762235203,-0.09887134154652126,-0.021883195083778964,0.1079438152861909,-0.09838312781834514,-0.16746077661028877,-0.13368807782348321,0.029531656164327444,0.09266575729707084,,-0.023917528731258488,,,,,,,,,
MYC,0.006250417198186398,0.17167376655067795,-0.07420900831367636,0.24632602096422448,0.13865189356048857,0.29268883839207926,0.2287782876600186,0.1339821870994889,0.2524448627939714,-0.01893177795407763,-0.0004986585632757317,0.06775676840547896,0.03865994031124333,0.17640047717943946,1.0,0.2334403014130303,0.31827691203788544,0.22220758106241945,0.10080476613702344,0.11976295283882378,0.6882265677519748,0.02026104226219524,0.2790720658338141,0.11829115654831018,0.06380964521620634,0.30346774817080996,0.28256756664080196,0.06885037875218172,0.03628560515707557,0.14246871404895298,-0.022091941178882416,-0.08303906664524804,-0.04408419237419669,0.25409455301394435,,0.07287573099863552,,,,,,,,,
LMO2,0.018228434151070026,0.052696290571596284,-0.03014047502080029,0.202540730647105,0.11438658630229942,0.2109976048759358,0.15208603000563742,0.05609053115717211,0.19910249316824602,-0.04775793387477201,0.0003362528224833853,0.04552729491905656,-0.008416541863108267,0.09141533160821044,0.3770206319657268,1.0,0.2547621822036555,0.21244780004320013,0.16107111339117408,0.13320071225504015,0.46663164867375134,-0.011274578819406822,0.3104281244655657,0.5524770591095779,0.10868869839321604,0.3031824948374086,0.45691478300347166,-0.030850625148363203,0.04051086132154451,0.36664884165905604,-0.10069823666858733,-0.1586316415470781,0.010975040861190602,0.18995091597296584,,0.24805429215566924,,,,,,,,,
RUNX2,-0.009771026140806459,0.26214465684789073,0.1480091987596073,0.39382776498125094,0.1599623884190087,0.10846841342225111,0.750491760079366,0.24791476902640755,0.09151895209571144,0.06687336979271986,0.2261588115974269,0.12441697364618234,0.1311218413448006,0.26042584976981314,0.23795848601105424,0.14355752608185524,1.0,0.35553448647465286,0.18634404374411928,0.09581926992003564,0.39724398509397696,0.18351470680077828,0.3616059307454695,0.1968568902064868,0.10955379762334079,0.17498847621759414,0.10192480682087472,-0.020870764005117483,0.19465736821929192,0.036463819466130074,-0.12683956952062456,-0.13436900184402728,0.01857948574325445,0.3429358651037911,,0.0352531559726251,,,,,,,,,
FOXP1,0.001986411960974139,0.2415641898968801,0.13487949335287064,0.3288043846932085,0.15491560134691953,0.2386370805016376,0.33816766305090423,0.23177145401942542,0.21266293421411606,0.07903926857127141,0.2078684549448611,0.09774209827360449,0.06386270128564807,0.3249303455198414,0.2570370747229855,0.1511515641795549,0.49719495803704383,1.0,0.28585527998261145,0.1182559230165489,0.42197012116894084,0.19858403637851638,0.3083045956356652,0.13584629240227009,0.10304424820457037,0.19594590778879448,0.15059407160682095,0.005271772620338556,0.1801997617665314,0.0670886102158807,-0.15000641121162694,-0.15436636961497957,0.07633878990484029,0.32475571173961715,,0.07612246780107777,,,,,,,,,
MYB,-0.003935488018333271,0.1435830018249667,0.09415184324995174,0.1751434468730096,0.12115527873448512,0.09811359057846605,0.2603764160557069,0.1331306143683086,-0.07613007345573028,0.03228888639468836,0.05932015628902255,0.07815359444873231,0.04843612400276598,0.1983787798475433,0.18099709157890606,0.1311777278520164,0.3671578914146865,0.35585814672850885,1.0,0.05939404582516197,0.3222832815957424,0.1863468820785823,0.2524964397380033,0.22367591830141106,0.07742043604713607,0.13081585441847698,0.14813777408810705,-0.006381836339341498,0.13010454737452554,0.06559229454573046,-0.11048548747229814,-0.13693546531018297,0.02849947684246744,0.20198105797478977,,0.06939541373843776,,,,,,,,,
ETV6,0.008365162450512031,0.16221213026000636,-0.07999201847447433,0.38118633625410836,0.20136550270701029,0.05182634063923222,0.24762656566108612,0.13340774646114778,0.23337750906918037,0.019162302272741502,0.06940549554037258,0.05234614033283616,0.036777929574382084,0.11192996430278614,0.18615160862813027,0.08230965922358076,0.30017089782495515,0.18511183137688306,0.06848892481501286,1.0,0.2799956101849988,0.03168601712650083,0.4898050388310847,0.11175612689901687,0.07318075005270266,0.30339540042354896,0.13730563464895496,-0.010885450164414735,0.11970692155058739,0.06825311216987749,-0.06322387419826392,-0.09225689983461541,-0.004846730676964633,0.13827325061905593,,0.038856964756844664,,,,,,,,,
