,LYL1,IKZF1,MYB,LMO2,GFI1,MAX,MYC,SP1,ELF2,MEF2D_FLAG,RUNX2,MEIS1,RUNX1,FLI1,ETV6,CEBPA,PU1,IRF8,FOXP1,ZMYND8,ZEB2,GATA2,LDB1,MYBL2,activation,repression,IRF2BP2,mediator,cohesin,CTCF,POLII,H3K27ac,H3K79me2,H3K4me3,open regions,promoters,super_enhancer,regular_enhancer,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8
RUNX2,0.896551724137931,0.7370573990444401,0.8791420653090734,0.9100730854782333,0.7834708121827412,0.6587629355359347,0.770939901300223,0.8667872465718852,0.7160969346814315,0.9179833730370947,1.0,0.6997695141648972,0.954751801046087,0.7230680357043028,0.9138690566610967,0.5780924736857537,0.5487285254521553,0.6222027512485762,0.8382450293332115,0.9514358880556064,0.7871782650142993,0.5817397190726011,0.3728813559322034,0.8593272171253823,0.6617436710496838,0.4846429996011169,0.9439779344161814,0.8483412322274881,0.7097833223900197,0.5810762651461154,0.8963864306784661,0.7457160923174202,0.627103915111599,0.6378419920073778,0.6434474871064501,0.8782109398609852,0.6078050360294713,0.6135400592744997,0.4197061803444782,0.7221617700398985,0.4588201650461639,0.4273065314902203,0.5,0.7428867046042421,0.6260509636528263,0.3885245901639344
MEIS1,0.7848812819867439,0.594214281039335,0.7821424267984094,0.7218938671750874,0.6843274111675127,0.49429174973891576,0.5981476891182369,0.6644233195928325,0.5692772695661478,0.7288152073508678,0.5351932819765425,1.0,0.6443797493338597,0.5716974451670611,0.8075345587118335,0.4807957310815962,0.4338085308916187,0.5054586874616666,0.6880635514872052,0.7852569965246021,0.6224976167778837,0.4751226941952953,0.211864406779661,0.5902140672782875,0.5018353525083151,0.25488631830873554,0.8103585657370518,0.6734290292884176,0.5425694900415846,0.41791399382276073,0.7405973451327433,0.566677205184951,0.4738382729601171,0.49843221641561636,0.47937032001898966,0.6083408884859474,0.4749413002995709,0.47115879197589833,0.3181357649442756,0.5609962519646959,0.3389982841735436,0.32745827149789064,0.21875,0.5398344542162442,0.4942439529168284,0.28032786885245903
RUNX1,0.7712895377128953,0.565972903985863,0.7208900670763546,0.7936447410231967,0.6138959390862944,0.4154087154656793,0.5737206210424319,0.7412299150332295,0.5396405071417107,0.7959550780300452,0.5371365119022833,0.47400228670986005,1.0,0.5219983974060339,0.8520431414248822,0.33814173043656726,0.3452925977970174,0.41862788048716376,0.6072317209578378,0.8640021949881105,0.6293295201779473,0.3909290912167879,0.17796610169491525,0.672782874617737,0.44496527478587555,0.3222975668129238,0.8554704259883543,0.6766340482116676,0.5260815641642956,0.3336897125207888,0.8261430678466076,0.576857413847613,0.4294273691913648,0.38619735628650476,0.4000345266610561,0.7944998488969477,0.40247753218362886,0.3659588017733363,0.16717325227963525,0.523304316285818,0.2145600130729635,0.1887412249253806,0.328125,0.591050181065701,0.37795886689949554,0.14918032786885246
FLI1,0.8139105629666918,0.6868905033051901,0.7601719082620396,0.8608198284080076,0.6725888324873096,0.5041298775277698,0.6442977217928206,0.7773197610835366,0.7825656662921949,0.8138946959015995,0.5385800541328336,0.5567775539463894,0.6911082601401362,1.0,0.9691629955947136,0.4252792681854165,0.4797946602601877,0.5159554893542452,0.665875316730203,0.8823852204133894,0.6843819510645058,0.44423760365544085,0.17796610169491525,0.6422018348623854,0.546986747548555,0.33266852812126047,0.8660128715905608,0.761055610487913,0.5953648987135527,0.43026847232121646,0.8604351032448377,0.6754347138792286,0.5137211855104281,0.5012296341838303,0.47610107680024166,0.8056814747657902,0.49834021536717676,0.48548754500698066,0.2843211752786221,0.6206927820094306,0.31350600539259743,0.27783428657184306,0.390625,0.6797723745473357,0.4837666537317294,0.23934426229508196
ETV6,0.2084067455323433,0.15275868839583742,0.17986102743302407,0.2386399745789641,0.1594225888324873,0.07204737491692775,0.12387047344345044,0.20000841255152688,0.14628470550473438,0.21610190091885847,0.08350336595183566,0.09647737790602712,0.13838448633178724,0.1188901105044444,1.0,0.05945993491072214,0.06985177462490368,0.09447121703320775,0.12865523774739196,0.2523779037863545,0.18263425484588497,0.08300896936875952,0.2796610169491525,0.28134556574923547,0.08794182018715425,0.024331870761866773,0.2633772601900092,0.17116164887994817,0.1175311884438608,0.0693751484913281,0.28244837758112096,0.14065760354094214,0.1066593487010611,0.058715032277897324,0.06650698085928228,0.20560088647124006,0.09100477694113837,0.05584539642883386,0.013677811550151976,0.1131362592189578,0.024675218563608138,0.018792416334561704,0.03125,0.14200724262803932,0.055490880869227786,0.018032786885245903
CEBPA,0.6829431999328803,0.5362261928136658,0.6380688436357794,0.5140768986336193,0.6825824873096447,0.49246416025823603,0.4912003966018433,0.4695045007150669,0.4557053442465094,0.5732899022801303,0.547352349226178,0.5952160577847952,0.5690812197769664,0.5405959413376069,0.6161324624031597,1.0,0.46088119305561853,0.4975378953824586,0.6497591709087589,0.5698280592646789,0.5977915475055608,0.6498561516331021,0.4576271186440678,0.42201834862385323,0.5269788202043876,0.2130035899481452,0.5950352436408213,0.5362269426165229,0.3974611512365944,0.3144452363981943,0.4557522123893805,0.4715776161871641,0.47178009513355285,0.6087611435597909,0.47001575278910684,0.31640979147778786,0.4957493320378917,0.5660714723099909,0.23239614994934144,0.5025994438399226,0.5038810360323556,0.5170999316336229,0.15625,0.3944645628556648,0.5913853317811408,0.4901639344262295
PU1,0.824985317560198,0.8213888343477976,0.8150781218620717,0.8590403558945027,0.7601522842639594,0.6687197379663914,0.7379047704892174,0.7786237065702027,0.8463595998502114,0.8185619135592397,0.6721077104587411,0.6947423821709224,0.7517517023586302,0.7889793712613905,0.9363512076560838,0.5962119213064767,1.0,0.8523262945763603,0.7649690688702718,0.8755258825681361,0.7913091833492215,0.6326789642917583,0.4152542372881356,0.6666666666666666,0.7210781188067623,0.46749102512963703,0.8669935642047196,0.7996181254048894,0.6840300576347852,0.5312425754335947,0.8613569321533924,0.7674675940562757,0.6820343944383461,0.7289886258837995,0.7111089531947951,0.7875491084919916,0.6788114322726905,0.7013740906752884,0.43642350557244175,0.7519042437431991,0.5992728164065692,0.6069767054076137,0.5,0.7584066218313502,0.7189238132195059,0.5393442622950819
IRF8,0.6799228123164694,0.616107075070358,0.6715668554444311,0.6801398156974897,0.6302347715736041,0.45948447735687836,0.5511413570092616,0.6054092706317826,0.5761782485422351,0.6754825222422092,0.4928308695953918,0.523475073047676,0.5893861640185533,0.5486648156085199,0.8189275406349689,0.416219544375055,0.5511762839399846,1.0,0.6206998881457302,0.7250777391622462,0.6708770257387988,0.4446606870874937,0.23728813559322035,0.5443425076452599,0.4928567735709239,0.2536896689270044,0.7703340484216978,0.6257969927375635,0.495440285985263,0.4037776193870278,0.6804941002949852,0.5398355991147644,0.4496432491767289,0.5014140793114048,0.5062147989900951,0.5526342298781102,0.457128977410736,0.47471036324001276,0.2906534954407295,0.5467899891186072,0.34582073698831606,0.3722132363975922,0.3125,0.5064666321779617,0.48363730435907387,0.28688524590163933
FOXP1,0.7375618759963084,0.562634989200864,0.7815399445716351,0.8004448681283762,0.6273794416243654,0.44405677394854265,0.5777993104536133,0.7207874148229158,0.5598084844594233,0.8044630268851184,0.5096953293080714,0.5470318143046405,0.6562962597453864,0.5435775115069974,0.8561446149172109,0.4172750461782039,0.3797538642853905,0.476491719968457,1.0,0.8596579476861167,0.6282967905942167,0.4383990522931122,0.3389830508474576,0.8654434250764526,0.469316008065211,0.17271639409652972,0.8819491265706405,0.7110027617716254,0.49984192991415577,0.3420646234259919,0.8180309734513275,0.5823901359468858,0.4527533845590926,0.4287426990470335,0.41887313609978205,0.7217689130653773,0.42344749413002997,0.4103167021823793,0.17287234042553193,0.5437069278200943,0.24699730370128278,0.2137533141018159,0.28125,0.5721676151060527,0.4199974130125469,0.18032786885245902
ZMYND8,0.5224431579830523,0.42286798874271875,0.55026710045387,0.7520177947251351,0.41116751269035534,0.249264217222064,0.4309439574554386,0.6457895179607975,0.4306692344727973,0.6759686907482133,0.28879172739260184,0.3116458866445255,0.4661502023092865,0.3595773624284889,0.8383715631171198,0.18267511068109185,0.21696659262952722,0.2778585823184088,0.4291323304494715,1.0,0.4714013346043851,0.22338805212387883,0.15254237288135594,0.6452599388379205,0.2972064728488462,0.13043478260869565,0.7767085504137297,0.587029902144635,0.4011332409231293,0.22600380137799952,0.81452802359882,0.46860575403098326,0.3458653494328577,0.18939440516446357,0.23060572710990268,0.7343608340888486,0.29034086308800905,0.1897518798834105,0.06319655521783181,0.37531737395719983,0.08640411798349538,0.05671074352603758,0.234375,0.512157268494568,0.18018367610917088,0.07868852459016394
