,CEBPA,HOXA9,PLAGL2,MEIS1,ETV6,FLAG_GFI1,RUNX1,FOSL2,FLI1,GATA2,SP1,E2F3,ZNF281,SREBF1,LMO2,STAT5B,ZMYND8,LYL1,MYC,TFAP4,RUNX2,MAX,IRF8,MYB,ZEB2,RXRA,SPI1,MEF2C,FLAG_MEF2D,activation,repression,ELF2,JUND,FLAG_SPI1,FLAG_IRF2BP2,SMC1,LDB1,H3K79me2,WDR5,H3K27ac,H3K27me3,MYBL2,CDK9,H3K4me3,FOXP1,MLL_KTM2A,RARA,IKZF1,AFF4,CTCF,BRD4,CEBPB,H3K36me2,PSER2,H3K36me3,H3K9ac,CDK13,H3K4me1,POLII,MED1,super_enhancer,promoters
SP1,1.0,2.9449070001445932e-25,0.0,0.0,0.0,0.0,0.0,1.0297608329333835e-79,0.0,0.016855991011797203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73768546694507e-266,0.0,0.0,0.0,2.5385786766204577e-138,0.0,0.0,3.1696777097487814e-260,0.0,0.0,0.0,8.058857853032963e-89,0.0,0.0,1.0,0.0,1.7278177875207878e-218,0.0,3.25858637567435e-88,1.924678341295139e-69,0.0,0.0,0.0,0.008682518181825331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00018295622884748172,1.1566839722354971e-111,0.0,0.0,1.0691012545581096e-84,0.0
E2F3,7.724681700046213e-44,2.3057572354643238e-07,0.0,4.0591367136899705e-273,0.0,0.0,0.0,2.9976001724649016e-159,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.668108433401247e-153,0.0,0.0,0.0,0.0,4.389707583136575e-230,0.0,0.0,0.0,4.894543570723721e-113,0.0,0.0,1.6310932494555038e-158,2.2956053344939697e-190,0.0,1.2896702429051905e-190,1.4467834424665723e-78,0.0,0.0,1.0,0.0,2.5652334571978375e-237,0.0,1.7755309701406937e-41,1.4830175096539968e-120,0.0,0.0,0.0,9.087227878299846e-58,0.0,0.0,0.0,1.3693629459668231e-211,0.0,0.0,4.2590575212613593e-187,0.0,1.0,0.0,1.6120821326978314e-09,6.807641937511981e-256,0.0,0.0,4.398667668367414e-27,0.0
ZNF281,1.990986338316439e-90,1.0,0.0,1.6308477360734437e-76,0.0,0.0,0.0,9.929263540122232e-101,6.2760317087425e-294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.272648940865982e-107,0.0,0.0,2.6398209060943642e-86,1.2166002582665062e-250,1.955228141487856e-71,0.0,0.0,0.0,1.9739485130202857e-27,1.612276084398511e-300,0.0,8.032524183378196e-82,0.0,0.0,4.5403141831109126e-64,1.7130183477144215e-13,0.0,0.0,1.0,0.0,1.3157904167352004e-100,0.0,8.980776352434718e-91,1.7372689997207655e-42,0.0,0.0,0.0,1.4357348217699027e-11,0.0,0.0,0.0,2.854423480809461e-146,0.0,0.0,0.0,0.0,1.4980843768996733e-20,0.0,0.003750009481842522,5.683273930948047e-97,0.0,0.0,4.3374355169079125e-77,0.0
SREBF1,1.0,1.3008130011529808e-22,0.0,1.2048462455976304e-121,0.0,4.356150013771633e-292,1.5791432366389767e-198,4.949465413676849e-224,4.6784877940328e-182,3.13216731395933e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8777962139434947e-88,1.5368512587556164e-184,0.0,3.5065748551360685e-70,2.3514851321012634e-86,8.64286557060223e-129,0.0,0.0,0.0,6.21926979578177e-37,0.0,0.0,2.5745328914485264e-23,2.9919144697873158e-21,0.0,2.1413922737249493e-180,9.365155793188557e-18,0.0,1.62032444087e-313,4.5831183765193095e-07,6.216560299862892e-260,1.4769015909153067e-55,2.3077208283953867e-173,1.0,2.097984717871881e-68,1.7936732367e-314,0.0,0.0,4.492601303769933e-06,0.0,6.451585864260011e-274,0.0,8.11115343940136e-40,1.329906637e-315,6.0750002858114964e-164,1.942618951054745e-26,7.595161530455901e-184,1.0,3.2424011280609744e-292,5.808129394781863e-13,7.766795592815958e-55,0.0,0.0,9.75303689890566e-17,0.0
LMO2,0.35780781425440145,2.0162411460103326e-31,0.0,0.0,0.0,0.0,0.0,2.191919594157177e-53,0.0,1.3153322339446666e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.791925236644992e-199,0.0,0.0,7.23448207919022e-234,3.555066561126539e-163,0.0,0.0,5.124322571319661e-156,0.0,0.0,1.0,0.0,2.2630133375978787e-227,0.0,2.5436013319541344e-39,3.25420957738812e-80,0.0,0.0,0.0,5.4402221046998565e-09,0.0,0.0,0.0,6.381902005599295e-79,0.0,0.0,1.735425238348714e-217,0.0,4.148387406490032e-08,0.0,0.0006220150865980118,2.13694576874177e-19,0.0,0.0,0.0,0.0
STAT5B,0.00010203030654059938,3.090166041836974e-27,0.0,0.0,0.0,0.0,0.0,8.194419577457687e-292,0.0,7.823932427945296e-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0199231579154216e-232,0.0,0.0,2.113295353919939e-214,3.226279315377088e-183,0.0,1.5911509976181485e-296,7.594044797492573e-152,0.0,0.0,1.0,0.0,1.329956173843335e-142,0.0,8.146821439764687e-05,6.37770669422896e-49,0.0,0.0,0.0,3.0790620877414207e-142,0.0,0.0,0.0,9.746922354716748e-41,0.0,0.0,6.044999762104435e-203,0.0,1.0,0.0,0.02872595344226327,1.0,0.0,0.0,1.9075215379710641e-146,0.0
ZMYND8,2.0483507137784104e-47,5.934950249560983e-103,0.0,0.0,0.0,0.0,0.0,6.217214296907595e-182,0.0,1.9160305000922757e-81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.682036239398191e-262,3.5681481421952246e-104,0.0,0.0,3.258884441671825e-260,0.0,0.0,1.0,0.0,1.6558377399928574e-201,0.0,4.8374810684057936e-09,3.1754328191523284e-62,0.0,0.0,0.0,2.752160392370018e-92,0.0,0.0,0.0,2.1330703675771606e-58,0.0,0.0,1.0279259026074155e-134,0.0,0.0007960418240311047,0.0,0.8363228796059327,0.14673769277326987,0.0,0.0,1.4735827636785559e-153,0.0
LYL1,3.2495085504212526e-140,2.437500807888417e-180,0.0,0.0,0.0,2.919966482862605e-231,0.0,2.83643392185023e-180,0.0,0.0,0.0,2.8544213065392407e-143,2.133449135381866e-97,3.0222667922100373e-105,0.0,0.0,0.0,0.0,0.0,0.0,6.114024531598262e-280,3.68518506e-316,9.673706463171382e-229,0.0,0.0,0.0,1.1142024211259448e-133,0.0,0.0,1.2103038509324227e-60,1.8135866560298954e-17,0.0,0.0,5.768443242171079e-93,0.0,1.446205202284221e-262,1.6193917058423897e-14,4.057835959031538e-17,1.0,5.792642468711792e-254,7.644648125267646e-12,6.378992793722569e-12,0.0,1.0,0.0,4.233291e-317,0.0,0.0,0.011137282754143173,5.279147699777208e-50,0.0,0.0,2.0135851813378776e-25,1.0,4.684129250828718e-08,2.473989031149476e-64,0.0289331734773444,1.214856138068543e-246,1.884576494651611e-118,0.0,1.8217789679656498e-151,1.1022794774329635e-40
MYC,1.0,1.537547812516956e-51,0.0,0.0,0.0,0.0,0.0,2.0286416220984004e-90,0.0,9.8720707063487e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0399258897660224e-269,0.0,0.0,0.0,1.3384054555941083e-116,0.0,0.0,8.82031101355822e-168,0.0,0.0,4.843725476859714e-291,2.0990143995442047e-117,0.0,0.0,1.0,6.065673734633004e-95,1.1523234729987251e-96,0.0,4.2700545253222464e-26,2.2595690353615014e-23,0.0,0.0,0.0,1.0347667798867127e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.197458277142494e-170,2.5090332939411656e-19,0.0,0.09923705686501891,1.7496455475720288e-06,0.0,0.0,8.122246624099924e-107,0.0
TFAP4,1.0,5.278003647228368e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4762472680929416e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.920129002652116e-297,0.0,2.49180509264841e-244,0.0,0.0,0.0,3.526851513615217e-113,0.0,0.0,1.5845893382836587e-109,3.117499655479138e-158,0.0,0.0,3.749583156985461e-63,0.0,0.0,1.0,7.232651274174422e-261,1.7550473796301932e-103,0.0,0.32507266003188606,3.7618714199311856e-47,0.0,0.0,0.0,3.871477886236144e-45,0.0,0.0,0.0,3.2211205111725595e-56,0.0,0.0,3.5374348890323365e-195,1.84709823401811e-277,1.0,0.0,0.000793748666544202,0.016782551207184214,0.0,0.0,7.063824326274874e-110,0.0
