,CEBPA,HOXA9,PLAGL2,MEIS1,ETV6,HEX,FLAG_GFI1,RUNX1,FOSL2,FLI1,GATA2,SP1,E2F3,ZNF281,SREBF1,LMO2,STAT5B,ZMYND8,FLAG_MEF2C,LYL1,MYC,TFAP4,RUNX2,MAX,IRF8,MYB,ZEB2,RXRA,FLAG_MEF2D,activation,repression,ELF2,JUND,FLAG_SPI1,FLAG_IRF2BP2,SMC1,LDB1,H3K79me2,WDR5,H3K27ac,H3K27me3,FLAF_MEF2D,MYBL2,CDK9,H3K4me3,FOXP1,MLL_KTM2A,RARA,IKZF1,AFF4,CTCF,BRD4,CEBPB,H3K36me2,PSER2,H3K36me3,H3K9ac,CDK13,H3K4me1,POLII,MED1,ATAC,promoters,super_enhancer,regular_enhancer
GATA2,0.12039879832293421,0.26360808709175737,0.09537076725246464,0.10643176733780761,0.15153412648716344,0.05982905982905983,0.10549507516848108,0.10461556016202955,0.11909262759924386,0.10125086735555014,1.0,0.09350165562913908,0.09029451137884872,0.07831396031466478,0.11631819274212929,0.12093204894558708,0.10911279229711142,0.12372131600774122,0.07955689828801611,0.22548937242711922,0.09105658081525046,0.10147085527510441,0.09819309341857944,0.09008969526981622,0.10526699073315492,0.1334973978295074,0.12029146597505248,0.1140548137737175,0.12551088299591293,0.09571507371376993,0.07025132782127799,0.09834810517947057,0.21197718631178708,0.101808289746892,0.13711919915961193,0.07695985906631433,0.7528089887640449,0.08825402602129015,0.06761565836298933,0.0975745644987557,0.06718415417558886,0.0895216824865066,0.24104234527687296,0.0969079939668175,0.07422767668218366,0.1253789054108886,0.12350342531532109,0.13397222765499706,0.11315988886082344,0.1125,0.0602919800290716,0.10698399596459852,0.09284556178833,0.07004687592713464,0.08038006034133381,0.0885956644674835,0.08000802588347421,0.38202247191011235,0.11407811921510552,0.09250218241779559,0.11330186059427937,0.09194020187071487,0.05932455184708329,0.11315991658434858,0.09896824117362567
SP1,0.17784160311643724,0.32192846034214617,0.7168166880982998,0.29192766592095454,0.7114902943018159,0.005439005439005439,0.33717815794021083,0.3564079645512808,0.31758034026465026,0.3593946327100876,0.19827964539629597,1.0,0.8068273092369478,0.5675707408711987,0.8091804854602259,0.7516271804217651,0.522283356258597,0.6950050686572666,0.4229607250755287,0.38099638746534487,0.3534272966943825,0.472671145814418,0.2887483364660365,0.32889239489292077,0.27780508675150656,0.4984064227215879,0.6288748919352847,0.6164441321152495,0.6491303108069575,0.2799493531240598,0.317965285002464,0.4886192986072259,0.5361216730038023,0.25405419612584434,0.6876351727121053,0.4772618598213162,0.1797752808988764,0.40701483031571284,0.8220640569395018,0.37471678490509974,0.35653104925053536,0.7618648799553323,0.6742671009771987,0.4227663916245231,0.6572577232331782,0.4070458505382247,0.19524297330174786,0.6107960101701545,0.4506188431422076,0.7628205128205128,0.35043923402641725,0.4335075893061861,0.351944687750424,0.31911232421527325,0.38510379610032874,0.21029688972667296,0.4638709839231522,0.4157303370786517,0.16197704553868938,0.46655242652526757,0.5123854484865316,0.26341469054583716,0.8902644349806873,0.30095488969377676,0.18060615831049492
E2F3,0.09233765805024595,0.18351477449455678,0.612587512501786,0.1814317673378076,0.5453976205385097,0.30225330225330227,0.250561603594263,0.23661639693437042,0.27551984877126656,0.23117604035781933,0.11840603879575178,0.49892384105960264,1.0,0.46072560760831277,0.8252823840422975,0.5879328299921895,0.39755845942228335,0.5023500138236108,0.49697885196374625,0.21187935814500547,0.22845264652200364,0.3616851280188851,0.1830641952611577,0.2030122417974114,0.18388042310703298,0.3412675999515875,0.4248487093985427,0.5109627547434996,0.48146564014827486,0.1754337578979039,0.19520341674423697,0.3370336562527605,0.3269961977186312,0.1639025415932925,0.5154792065748007,0.31679879199697997,0.23595505617977527,0.3203075243380948,0.7330960854092526,0.2464249897856851,0.21306209850107066,0.68285873813512,0.7100977198697068,0.2935409457900807,0.4918747355057131,0.26717903429839845,0.09478839874511813,0.5746137297085859,0.2956013423303143,0.7701923076923077,0.22315616507615496,0.293804741596735,0.22844257254141895,0.19655254257402244,0.2761741793128293,0.1281809613572102,0.3218128464297359,0.42696629213483145,0.07159385412810071,0.3342817420543826,0.3550402665926132,0.1671387774450521,0.7447756759433495,0.1719899023158819,0.08642592294051266
ZNF281,0.09818097784820574,0.13919129082426127,0.5042863266180883,0.16595824011931395,0.4110832811521603,0.35120435120435123,0.24261275272161742,0.220793792670635,0.2596880907372401,0.2066650413517619,0.1170894408847538,0.40016556291390726,0.5253012048192771,1.0,0.6491228070175439,0.4539833376724811,0.34185006877579094,0.38190028568795503,0.5342396777442094,0.21439973116021172,0.21543973500980193,0.32514980933357546,0.16730006722735194,0.19737341864609811,0.17355763103755895,0.2849477548715052,0.35309373842163766,0.44237526352775824,0.39516205683870353,0.17811653796008425,0.24311449378524885,0.28588675245134126,0.2544359949302915,0.1610376639419665,0.4057344126552555,0.29170756260223984,0.21348314606741572,0.27204076062232735,0.5195729537366548,0.23199494855699587,0.2767665952890792,0.5790061418202122,0.4788273615635179,0.26095732410611305,0.3906898011002962,0.22030216960641574,0.12590434726935143,0.492470174066106,0.2638112077364414,0.6439102564102565,0.22372495734058018,0.2620488833860687,0.214539965336663,0.24428885064973596,0.2763543026973477,0.19073986804901036,0.294123548443731,0.33707865168539325,0.10593298778230285,0.29250864884089367,0.30547070258261594,0.1669769108924628,0.5365950282262058,0.22050268905718362,0.11710462679348702
SREBF1,0.03020699217589383,0.09953343701399689,0.21867409629947135,0.057475764354958984,0.22557921102066375,0.28593628593628595,0.09076378088819768,0.06694178726964989,0.15784499054820417,0.06548768823959643,0.04248222592820153,0.13936258278145697,0.22985274431057565,0.1585652224961841,1.0,0.18198385837021608,0.1298830811554333,0.1569901391576813,0.29607250755287007,0.07477106611778543,0.06447306158318124,0.12790993281278373,0.049775680162443235,0.05336430303561516,0.06057130373040581,0.1154637511598822,0.14857354575768802,0.20491918482080113,0.1449006748407946,0.04608364256343396,0.04834912117395827,0.09469685816083154,0.16508238276299111,0.045548926327962785,0.1743187295309893,0.08408204353844217,0.2247191011235955,0.09616959330361205,0.2188612099644128,0.06672733350666717,0.028640256959314776,0.2538619021031081,0.3355048859934853,0.0816475911631621,0.12814219212865002,0.08375301334224408,0.02871502657020296,0.29317426168589866,0.08818965828311623,0.3939102564102564,0.058585603235795994,0.082221305085523,0.06405262863638905,0.05008010443244526,0.08407258972396091,0.04052780395852969,0.08286724687115948,0.29213483146067415,0.021288411699370603,0.0971903391638915,0.10874757011941127,0.04558855834711126,0.20213924928196494,0.05608604982987597,0.020554570369176205
LMO2,0.12350203030603149,0.25038880248833595,0.5663666238034005,0.21129753914988814,0.5767063243581716,0.002331002331002331,0.2220926213927769,0.25761177566894244,0.21006616257088848,0.25418674868255725,0.1630825945756166,0.4779801324503311,0.6046184738955823,0.40947516731243394,0.6719538572458543,1.0,0.3766850068775791,0.5425306423371118,0.27391742195367574,0.33924220784676135,0.23480700331237747,0.3455238786998366,0.19670174379518982,0.21515178075788122,0.2042347115262075,0.4073102836164118,0.45720637273064096,0.4775825720309206,0.5278490637772075,0.18990071206498846,0.19487488364452718,0.3600011778216189,0.41191381495564006,0.18212999710883906,0.58357535685596,0.3108846105448597,0.21348314606741572,0.3896824674733873,0.7241992882562278,0.27792222263492183,0.06156316916488223,0.6139028475711893,0.5960912052117264,0.305052790346908,0.4853152771900127,0.30128648829271787,0.14799282924643062,0.5024447486798357,0.327752318406524,0.7044871794871795,0.1880806421032674,0.33140734626496077,0.23880430123558025,0.20711446033347178,0.3055793218354573,0.16529217719132894,0.3368112161721552,0.34831460674157305,0.11680858941132914,0.3565585696272107,0.38558733685087476,0.1703182990137702,0.6929781123105873,0.29404017122160025,0.09579235853619217
STAT5B,0.2329404773695157,0.37791601866251945,0.7710387198171167,0.3314131245339299,0.7244834063869756,0.5742035742035742,0.438914809054778,0.40931479755814615,0.4926748582230624,0.3908632297507642,0.2785043447731063,0.6286423841059603,0.7738286479250335,0.5835975108606317,0.9077144917087239,0.7129653736006248,1.0,0.6792461524283476,0.7260825780463243,0.5011341678568428,0.3792841208679781,0.5516252042854549,0.3226364097850097,0.3515791626493704,0.34993718936042384,0.5282607818614596,0.6089909843151785,0.7045678144764582,0.6289326109685391,0.318523718784475,0.33091496468269177,0.48673478401696063,0.5475285171102662,0.3120745393854969,0.6876351727121053,0.43797659494148733,0.2696629213483146,0.410745155126922,0.7544483985765125,0.4151654719013483,0.291220556745182,0.8004839009864135,0.6449511400651465,0.4701224381155177,0.5664832839610664,0.44370718667207676,0.322075677059991,0.7533737531781732,0.4855122144841771,0.7884615384615384,0.29665676546798964,0.48837529233732285,0.38239624294153823,0.3375363436776835,0.39131805286621335,0.24564090480678605,0.46710641819869075,0.449438202247191,0.2622408367271381,0.4766400465582463,0.5515690086087198,0.3053265657698489,0.7209072001584629,0.3797607287893755,0.24555860067709173
ZMYND8,0.19363837443465057,0.4385692068429238,0.6790255750821546,0.3195935868754661,0.8453350031308704,0.003108003108003108,0.3260324866079143,0.3693589182815739,0.3610586011342155,0.3636142002512987,0.23567102606863863,0.6242963576158941,0.729718875502008,0.48655629916637316,0.8187935592405672,0.7663368914345222,0.5069119669876203,1.0,0.3298086606243706,0.5236495001260186,0.330342053674035,0.4587615761757763,0.28655315762756045,0.30582581003301484,0.3007628306661569,0.5537580183160528,0.6012103248116586,0.6138439915671118,0.6588252067293984,0.25653144117942034,0.2431966270601763,0.47159977621389243,0.6590621039290241,0.26030961705259287,0.7776061298893902,0.4135900339750849,0.1797752808988764,0.376216904740242,0.7740213523131673,0.3519481484232812,0.1423982869379015,0.6959798994974874,0.6188925081433225,0.42096974536420906,0.5256453660600932,0.4486478745494904,0.24057237979384083,0.6538235869352631,0.46404214628513696,0.7480769230769231,0.23971433988497756,0.444903012794057,0.3331966678469595,0.2526849819023319,0.32949070113027423,0.1721253534401508,0.3839382006972486,0.3258426966292135,0.200897815623843,0.41805425328979273,0.49150236045542905,0.24556312217456153,0.7303159354263643,0.30940621227088133,0.1729969369659842
FLAG_MEF2C,0.008467861741111221,0.028771384136858476,0.07308186883840549,0.013161819537658465,0.04117094552285536,0.3962703962703963,0.05719716606186279,0.018066675541524826,0.08388468809073724,0.017590908238471203,0.013868164662512068,0.0347682119205298,0.06606425702811244,0.06228719032523189,0.14131218457101657,0.035407445977609996,0.04958734525447043,0.030181550087549535,1.0,0.024111568512139796,0.02528222808084905,0.04445251498093336,0.013527789592108331,0.01611301019662839,0.020700202086405592,0.02182595715496026,0.038038779794985794,0.06837666900913562,0.035167759718657925,0.015983853174205195,0.02414718282866999,0.02352698683784341,0.025665399239543727,0.013522748179882776,0.03466600753877526,0.024411727695985905,0.10112359550561797,0.021017195887544353,0.05516014234875445,0.020874345355272442,0.03024625267665953,0.11194863204913456,0.0749185667752443,0.02608464200159702,0.032712653406686415,0.017375945771773635,0.01139637620846405,0.11519655779385879,0.02753220510229856,0.11121794871794871,0.020476521519307338,0.0224010638785711,0.01833802344434298,0.02417967127514389,0.028009186292610438,0.028628652214891612,0.025432018258884904,0.06741573033707865,0.009903739355794151,0.039768502053089336,0.04062760344348792,0.016857245262512862,0.03605031197385362,0.0286466908133026,0.011655650491697566
LYL1,0.1287181010861312,0.40279937791601866,0.22553221888841263,0.1745152870991797,0.382592360676268,0.0473970473970474,0.16839467772593744,0.19331342829431566,0.24976370510396975,0.18157267970669316,0.2355832528745721,0.1877069536423841,0.16880856760374832,0.14981801103675002,0.21389089161259311,0.2628221817235095,0.20512379642365888,0.28720855220716984,0.1445115810674723,1.0,0.16146150206178597,0.24045759941892136,0.14829805040679409,0.15670377187600432,0.15316693065341272,0.29055553314237303,0.26787699147832533,0.24349964862965565,0.23405569812755442,0.12815916156854879,0.1203252477687127,0.191101557669091,0.43250950570342206,0.13641022945304493,0.30124204412037325,0.165118912797282,0.47191011235955055,0.08297698116640888,0.09430604982206406,0.15871188203394868,0.06423982869379015,0.17104038712078914,0.2671009771986971,0.1940821577499778,0.10397799407532797,0.21101749528605868,0.18471092899673475,0.3144924701740661,0.22635586186988055,0.12403846153846154,0.06307274221070594,0.2001650846058605,0.16336495275722618,0.12433988014003441,0.09848246048543252,0.0845900094250707,0.13129843746081113,0.2696629213483146,0.1693354313217327,0.14918038087232047,0.20244376562066094,0.12884577586107224,0.05635337228879865,0.20030732082098562,0.12821215540867323
