,mr349-MV411-YLK-r3_tcount,mr343-MV411-DMSO-r1_tcount,mr345-MV411-DMSO-r3_tcount,mr347-MV411-YLK-r1_tcount,mr348-MV411-YLK-r2_tcount,mr344-MV411-DMSO-r2_tcount,mr346-MV411-DMSO-r4_tcount,mr350-MV411-YLK-r4_tcount
GCC2,115,121,108,73,108,168,127,132
RALGPS1,26,54,49,21,35,43,35,45
MTFR1,606,716,786,459,775,1034,711,714
TTC37,332,319,315,178,360,507,309,311
HS2ST1,1336,1455,1781,815,1607,2077,1418,1521
TTLL4,69,139,150,81,73,142,146,144
SOCS5,247,295,291,150,262,440,240,256
IQCB1,1563,2008,2455,1224,1955,2756,2057,2146
ZNF516,1951,3225,3509,1453,2170,4050,3208,3099
PDE4DIP,2,4,1,1,9,8,3,3
CEP135,230,252,293,155,251,394,278,281
LPIN2,604,820,988,474,751,956,839,1024
MARF1,11,14,26,8,13,26,14,14
DZIP3,63,61,60,30,58,90,58,58
SAFB2,173,217,307,158,192,294,259,313
ZNF432,130,169,199,98,182,251,187,181
EIF5B,1368,1623,1921,1133,1603,2149,1817,1835
IPO13,55,95,141,62,84,129,127,142
SDC3,11,21,15,7,8,16,13,17
SLC25A44,858,1421,1646,733,940,1708,1558,1493
KIAA0040,19,42,47,25,24,69,49,44
TTI1,124,177,223,119,135,224,214,241
PPIP5K1,506,744,842,481,606,850,740,849
PHF14,334,300,355,197,376,472,311,328
FAM53B,1146,2774,3108,1201,1509,3479,2600,2510
DEPDC5,55,103,128,54,93,133,106,128
KDM4A,470,750,938,416,561,985,857,822
N4BP1,141,224,250,113,148,281,230,234
LRRC14,569,1234,1480,580,852,1287,1080,1333
CLINT1,2076,2301,2532,1347,2341,3294,2389,2369
VGLL4,861,1058,1222,765,1071,1457,1170,1228
GREB1,3,6,4,1,3,11,7,5
NUP93,162,233,244,180,183,263,273,294
BZW1,1700,1794,2169,1274,2052,2642,1817,2189
UBE3C,1079,1693,2043,1026,1246,2235,1776,1755
PRORP,219,321,357,167,262,383,307,326
RAPGEF2,75,116,128,66,112,183,137,128
EMC2,272,271,273,170,265,370,244,260
EDEM1,4391,5318,5888,3185,5136,6456,5596,5990
CROCC,1,6,3,1,0,5,6,3
TRAM2,724,1136,1281,528,818,1346,1201,1125
PUM1,869,990,1119,599,952,1485,1199,1166
ESPL1,27,49,50,21,31,37,25,36
PPP6R2,224,377,417,234,296,485,420,454
CEP57,1093,1088,1269,801,1325,1569,1112,1192
KIAA0100,1421,2186,2676,1506,1629,2902,2360,2596
DHX34,112,94,141,68,68,133,124,139
ULK2,49,51,80,30,47,68,59,50
PCDHGA8,952,1748,2057,959,1235,2216,1895,1759
HERPUD1,458,670,783,388,535,1008,699,673
RUBCN,318,465,534,294,408,553,468,480
USP6NL,114,153,186,80,139,222,176,170
FAM131B,1,9,13,4,0,16,3,8
AQR,89,113,148,81,116,204,109,116
ECE2,83,134,144,70,108,136,137,154
ADAMTSL2,6,24,32,16,17,28,19,33
CCDC144A,16,20,15,3,5,12,16,18
UTP14C,432,529,616,279,480,609,583,526
TMEM63A,40,111,166,56,84,140,99,134
ZNF646,49,100,114,54,77,128,126,120
SECISBP2L,432,368,456,239,403,544,386,400
DCAF1,352,572,645,325,405,705,591,594
CEP104,172,274,310,163,211,361,273,279
DOCK4,3,8,5,3,2,15,9,7
SART3,344,496,583,346,390,645,553,516
HDAC9,315,359,412,217,358,535,364,327
KNTC1,41,48,58,39,38,59,51,65
USP34,371,453,591,335,509,571,515,663
GPRASP1,2,0,1,1,1,0,1,7
CCP110,903,974,1060,616,1005,1483,1025,1035
SETD1A,146,366,401,205,178,435,395,396
LAPTM4A,563,649,743,449,719,993,716,870
IFT140,37,67,84,41,44,95,77,83
ARHGAP32,166,216,258,125,158,288,213,215
ACAP1,16,10,17,10,13,20,15,23
ZNF536,6,10,4,5,2,9,6,4
CLSTN3,36,104,107,58,39,85,81,92
TCAF1,69,75,117,76,85,124,96,95
SLK,863,1046,1144,558,1016,1558,1026,1017
PHACTR2,346,375,453,186,364,597,388,397
SNPH,6,3,8,0,5,8,6,4
ZSCAN12,164,233,297,102,215,382,264,213
STARD8,239,470,564,211,306,576,497,416
TBKBP1,155,315,370,180,168,420,347,308
KMT2B,113,161,212,95,110,168,192,206
HDAC4,884,1319,1480,650,1020,1745,1376,1299
TOX,4,9,13,3,4,7,10,9
MLEC,11971,19316,22305,9462,13873,24152,20377,19193
LZTS3,13,22,48,16,20,48,30,38
KIAA0513,19,35,35,18,19,45,30,28
ZFYVE16,175,168,164,95,171,249,181,172
SUSD6,486,751,878,366,578,987,841,839
JADE3,300,289,335,202,274,385,329,363
PCLAF,3763,4579,5491,2936,4499,6623,4769,5122
RASSF2,3997,5951,6963,3056,4825,7669,6008,6107
TMEM94,200,341,370,215,235,389,396,426
BCLAF1,5193,4941,5749,3513,6177,7466,5314,5495
EIF4A3,463,615,726,375,508,802,709,712
ATG13,1996,3462,4073,1961,2411,4123,3585,3692
TM9SF4,1147,1947,2296,970,1290,2424,1988,2091
KIAA0232,426,626,719,278,484,917,695,631
TBC1D5,2859,4191,4541,2147,3370,5206,4223,3851
PIEZO1,261,383,534,281,314,476,401,488
RNF144A,1862,2670,2999,1329,2162,3183,2698,2602
MATR3,5584,5073,5425,3527,6330,8034,4969,5556
RIMS3,161,283,354,126,200,353,277,248
SNX17,817,1619,1766,963,982,1834,1559,1829
DHX38,110,189,246,111,163,268,237,237
KIAA0586,193,188,210,140,209,300,201,164
DLGAP5,174,206,216,143,188,290,217,256
MTSS1,100,98,125,60,139,118,79,119
SPCS2,135,161,165,91,139,253,158,96
BMS1,202,344,396,259,243,390,353,418
PTDSS1,4345,6175,7312,3980,5097,7826,6640,6868
SERTAD2,426,837,809,258,456,1143,838,632
CKAP5,452,641,750,427,548,783,780,724
MAML1,1095,1629,1837,887,1308,2009,1669,1763
PHYHIP,13,36,47,19,20,39,28,36
TATDN2,1212,1817,2125,1210,1535,2281,1915,2070
IST1,1556,2441,2910,1469,2024,3070,2501,2791
MRPL19,1745,2025,2267,989,1911,2965,2066,1938
DAZAP2,12168,14647,17468,10083,14362,19438,15853,16437
TOMM20,9585,11330,12884,6751,10936,15737,12108,12125
SPOCK2,4,10,6,4,3,4,2,14
IP6K1,722,1367,1587,705,867,1573,1435,1402
RNF40,1114,1818,2305,1246,1330,2343,2018,2252
CTIF,136,267,307,112,155,361,230,248
DELE1,465,707,803,458,568,775,654,812
EFCAB14,1987,2443,2816,1395,2243,3367,2655,2651
SFI1,11,24,22,7,17,22,19,26
GIT2,1076,1476,1672,941,1193,1903,1530,1518
URB2,158,202,316,135,207,338,236,247
KEAP1,825,1368,1723,877,1022,1680,1464,1620
NUP58,1904,1960,2392,1199,2156,2786,1978,2170
TSC22D2,58,73,90,43,59,123,86,77
CUL7,4,8,9,0,4,7,13,7
RB1CC1,693,645,751,478,745,1016,617,706
ARHGAP11A,137,254,263,111,159,335,248,225
SPATA2,175,266,314,188,214,403,353,324
ARHGEF11,24,55,48,34,32,46,62,52
RGP1,38,79,68,24,32,74,58,73
ARHGEF17,52,100,132,56,74,106,108,95
DNAJC6,1,5,2,0,3,3,3,4
TRIM14,1730,2849,3215,1356,2102,3522,2796,2556
ZNF623,4,5,7,3,8,11,8,3
MELK,107,164,161,94,128,208,132,128
LCMT2,281,312,340,181,261,396,308,340
GINS1,1118,1663,1766,940,1281,2225,1634,1680
ZEB2,4272,6070,6565,2471,4632,8517,6032,5684
TESPA1,13,17,19,19,15,16,20,22
ZBTB24,318,389,447,188,322,604,467,352
HEPH,5,10,16,6,16,5,4,8
ELMO1,635,893,1107,535,697,1248,1083,991
GAB2,1954,3772,4374,1750,2322,5001,3871,3414
C2CD5,578,532,618,385,659,708,602,646
ZNF518A,653,662,820,380,702,984,671,675
KIAA0753,134,155,196,123,147,194,217,189
EPM2AIP1,735,774,925,482,825,1108,927,1012
RUSC2,1,8,5,2,4,9,3,5
C2CD2L,129,244,253,119,139,262,251,253
FARP2,24,68,58,34,41,74,53,82
CEP350,1093,1323,1577,639,1329,1777,1431,1290
PPP1R26,15,32,41,25,25,39,35,30
CEP170,7,2,13,5,4,11,11,9
LRIG2,61,105,122,42,86,121,98,88
PSMD6,95,113,105,58,101,192,130,115
MED24,1891,3330,3876,1752,2141,3985,3291,3309
MAGI2,14,23,12,15,26,35,29,31
TRIM66,217,377,354,151,258,333,335,388
PJA2,3150,3153,3285,1908,3546,4421,3025,3026
TOMM70,2357,2673,3226,1654,2745,3815,2789,2856
SETDB1,112,197,259,128,127,218,197,208
AREL1,956,1429,1556,809,1214,1753,1606,1502
SEC24D,307,300,324,199,340,423,312,339
FCHSD2,1275,1789,2003,1043,1443,2321,1925,1876
TLK1,469,528,582,299,543,802,554,512
URB1,387,492,673,361,466,717,595,622
ZC3H11A,1010,1226,1445,819,1187,1496,1256,1412
TOX4,1040,1342,1755,915,1274,1684,1430,1590
DDX46,1160,1107,1343,798,1303,1541,1159,1272
ZBTB39,302,424,511,187,339,573,536,434
TRANK1,5,8,13,8,0,15,10,17
TBC1D4,25,24,38,25,33,40,31,36
POM121,701,1294,1496,717,800,1336,1334,1380
OSBPL2,290,387,446,222,300,496,434,386
RHOBTB1,13,13,13,2,5,13,6,13
SMG7,1717,2544,2805,1584,2029,3074,2719,2643
ZBED4,909,1448,1606,705,1049,1905,1510,1328
NUAK1,52,65,71,35,61,97,76,71
TELO2,231,452,505,270,302,536,390,491
TECPR2,86,171,204,103,114,219,205,203
FIG4,44,42,68,39,42,61,53,62
WASHC5,130,169,186,83,120,304,189,213
UBAP2L,850,1158,1403,821,843,1466,1296,1421
SV2B,135,242,264,122,214,247,191,207
SV2A,15,34,36,18,18,26,37,42
SRGAP3,69,118,142,58,77,148,151,134
MRC2,1227,2569,2982,1475,1551,3171,2616,3045
KLHL21,840,1490,1782,695,1012,1938,1493,1584
RBM19,175,345,408,168,277,380,373,423
SGSM2,139,315,346,186,207,328,291,389
SLC35E2A,796,1373,1553,733,1036,1484,1280,1212
AP5Z1,195,314,397,179,206,349,303,364
G3BP2,5325,6261,7104,3529,6248,8898,6397,6142
DENND4B,549,782,1104,593,673,1011,874,1066
RABGAP1L,311,392,507,277,389,560,423,482
TMCC2,2,0,0,0,1,3,5,1
ARHGAP44,1670,2608,2870,1575,1947,3116,2554,2747
SUPT7L,484,599,691,348,675,785,588,617
FAM20B,2527,3090,3582,1815,2983,4249,3327,3022
NCAPD2,1384,1910,2267,1171,1536,2457,2199,2239
SEC16A,1434,2000,2533,1383,1716,2512,2331,2345
KBTBD11,38,57,75,34,57,91,53,44
RNF10,412,541,680,339,446,664,636,620
IQSEC1,563,830,938,429,563,1089,837,846
ZBTB40,630,960,1198,498,707,1095,1077,1070
PAN2,122,217,248,120,175,217,181,203
ZBTB5,289,448,503,177,325,588,451,413
LPGAT1,95,127,152,84,125,148,121,129
MFN2,1554,2369,2857,1402,1857,3111,2470,2528
KIF14,606,628,706,403,693,811,573,673
JOSD1,1467,1954,2239,1361,1875,2333,1931,2631
HELZ,1100,1439,1565,749,1361,1887,1461,1506
PUM3,173,225,280,149,223,307,263,286
CD302,3174,3099,3599,1746,3510,4370,3262,3333
DCLRE1A,38,48,74,38,47,57,48,58
ARHGAP25,74,104,109,39,71,137,99,84
RBM8A,1273,1624,1813,922,1522,2132,1614,1670
DLEC1,15,23,25,10,23,28,21,31
EXOG,227,336,393,202,296,401,326,400
XYLB,160,235,223,69,169,286,232,246
OXSR1,1592,2211,2594,1218,1895,2822,2251,2380
CRYZL1,95,79,94,52,93,138,86,99
WDR1,4023,5270,6246,3629,4699,6902,5512,6141
AMMECR1,947,1052,1208,576,1033,1522,1090,1149
GOLGA5,113,137,158,96,155,214,156,159
HS3ST4,2,7,6,3,4,7,9,4
HS3ST3B1,235,336,381,185,258,457,351,316
USP15,779,931,985,520,811,1291,938,983
USP3,750,994,1136,595,860,1291,1078,957
MVP,10,23,29,17,9,33,13,27
SLC23A2,1643,2557,2888,1129,1947,3017,2505,2562
SLC23A1,3,4,6,2,2,8,9,2
TNFSF15,3,5,3,3,1,4,0,2
THRAP3,1935,3321,3853,1884,2337,4607,3749,3822
MED12,85,136,193,99,129,147,145,176
MED13,905,962,1025,579,1000,1448,969,1048
NR1I3,67,120,161,68,88,162,152,131
NUP153,560,739,881,477,676,1021,851,813
CCS,40,52,68,45,37,56,41,58
NR1D2,261,273,303,137,261,403,282,281
RBX1,310,456,514,284,360,675,464,551
DOP1B,127,161,185,117,134,221,193,184
THOC1,77,72,107,66,92,142,92,102
REC8,10,18,12,16,6,11,13,20
RCE1,118,203,264,143,119,267,217,227
HNRNPDL,13343,17077,20066,10772,15859,22460,17685,17667
DMTF1,412,399,511,289,554,518,426,537
PPP4R1,1106,1455,1655,794,1243,1829,1359,1405
SLC12A6,1598,1806,2102,1201,1921,2400,1947,2045
PTBP3,15993,17488,19796,9847,17900,25870,18974,18268
DGCR2,1164,2346,2786,1143,1423,2995,2207,2384
CASP8AP2,40,60,56,35,37,84,51,56
SCO2,59,68,77,49,56,70,65,77
AKT3,4,1,4,1,2,5,6,3
MED6,438,657,783,428,579,891,639,731
NR2E3,1,3,5,5,1,2,3,2
NAALAD2,14,9,11,5,15,25,14,17
NAALADL1,1,6,3,3,0,7,3,4
ACOT8,45,68,65,44,46,91,82,99
ABI1,986,1076,1232,690,1203,1581,1068,1147
GNPDA1,768,1112,1364,638,885,1398,1182,1215
KCNE3,131,261,364,120,194,361,257,234
ZBTB33,5104,5719,6365,2938,5603,8851,5708,5244
TANK,64,66,67,40,76,110,51,67
SRA1,902,1438,1630,884,1039,1782,1387,1647
HDAC6,181,318,389,163,222,338,345,350
HDAC5,35,60,80,54,46,73,89,90
PDCD6IP,1639,1725,2046,1127,1872,2404,1833,1994
PDCD6,1567,1878,2274,1246,1807,2533,1973,2184
BCL2L10,27,64,65,28,48,84,64,41
BCL2L11,586,885,1014,366,627,1219,927,867
SH2B3,3136,3776,4467,2318,3843,5027,3909,4843
GNE,496,658,684,363,559,848,665,636
FRAT1,404,624,767,382,499,820,612,769
TROAP,44,83,78,56,55,78,71,101
MED16,51,122,123,86,69,124,122,118
PIGK,1012,1046,1168,630,1233,1677,1107,1031
CHAF1A,283,501,550,301,330,580,509,590
PARP2,17,6,17,8,8,28,25,27
PARP3,34,37,49,21,20,50,51,38
TOM1L1,157,131,150,89,171,193,124,137
HMGXB4,812,1070,1318,577,841,1434,1101,1067
TOM1,110,211,224,155,162,249,212,235
SH2D3C,40,74,85,36,48,107,67,68
SH2D3A,13,10,5,2,21,11,19,18
RANBP9,1596,1433,1811,1305,1806,2036,1512,1557
DNAJB6,1256,1575,1972,1121,1467,2135,1818,1905
SMC4,3293,2945,3816,2480,3826,4353,3283,3590
GJC1,3,5,0,2,0,5,4,3
UBA2,2355,2379,2572,1480,2712,3532,2374,2510
SAE1,4115,6655,8257,4153,5237,8358,6984,7383
FARSB,4257,5088,6027,3248,4910,6439,5407,5450
ABCC5,257,446,488,184,317,487,417,488
ABCB6,1,2,0,1,1,3,2,5
DNM1L,1558,1553,1863,1070,1894,2196,1638,1760
ABCF2,720,1082,1263,592,773,1351,1140,1211
NR1H3,7,11,15,16,14,19,8,16
COX17,59,82,91,34,55,140,133,101
SCAMP2,1148,1868,2349,1128,1353,2401,2044,2195
IL18BP,140,228,265,108,179,273,252,259
RWDD2B,491,508,654,379,580,785,568,683
DPP3,409,590,681,412,466,753,631,754
SNUPN,133,205,230,154,161,257,202,254
HUWE1,760,1016,1201,819,802,1324,1252,1298
PTPRU,19,32,30,16,13,45,34,41
TSPAN32,33,52,56,27,43,39,36,56
TSSC4,87,127,199,80,128,146,118,183
ATP9A,8,5,17,6,7,17,13,16
PDCD7,644,934,1026,588,688,1157,958,988
PQBP1,30,39,40,32,36,46,52,58
CERT1,711,694,750,417,728,941,709,780
KCNK7,1,6,7,2,5,6,4,7
UST,8,7,4,5,6,11,5,2
ARPC5,8386,8258,9787,6166,10251,11976,8952,9478
ARPC4,4674,8789,9859,4826,5516,11546,9332,10256
ARPC3,1791,2680,3320,1726,2291,3570,2768,3036
ARPC1B,1242,1895,2201,1174,1399,2647,2140,2279
ACTR3,8182,8512,9984,5710,9150,12664,8894,8919
ACTR2,29001,31325,34590,18683,32341,44861,32833,31518
TSPAN5,4,5,6,2,11,13,9,4
TSPAN3,1902,2330,2772,1691,2389,3025,2329,2440
TSPAN2,19,0,6,5,16,0,3,3
NUBP2,275,549,632,317,367,593,468,562
TSFM,560,863,1032,507,681,1200,949,939
PPIF,4489,6260,7654,4253,5514,8149,6491,7153
CTDSP2,2223,4520,4975,1990,2757,5482,4378,3673
ARPC2,6151,7564,8453,4479,6832,10210,7929,8470
RAD50,813,990,1171,640,909,1403,1067,1078
KIF20A,145,253,222,132,156,243,253,224
PREB,2720,4642,5439,2775,3312,5507,4489,5040
HIPK3,2233,2327,2474,1133,2272,3716,2503,2389
FEM1B,1202,1519,1696,721,1417,2314,1650,1533
ACTR1B,589,1034,1173,566,710,1157,941,1181
ACTR1A,1381,2328,2751,1417,1608,2801,2361,2561
ARL4C,381,635,642,287,390,902,631,532
ARL4A,256,375,413,185,308,530,426,329
RASGRP1,6,6,3,2,3,5,3,2
DNAL4,112,233,280,148,147,313,242,228
ZNF263,556,819,1086,550,652,1071,873,986
LRPPRC,1674,1987,2302,1284,1900,2895,2074,2343
FRY,299,340,413,232,364,488,405,421
PDIA6,5274,6448,7366,4161,6223,8966,6793,7118
TRAP1,157,178,229,147,155,236,229,245
OPTN,43,52,68,39,74,77,73,69
BCAP31,951,1727,1937,1073,1193,2069,1865,1946
NAMPT,464,460,534,304,529,761,495,516
RBM12,1928,1820,2291,1371,2282,2814,2119,2357
YAF2,749,907,1022,547,851,1336,890,944
ARFRP1,523,1022,1174,583,691,1260,1005,1158
TOB1,114,109,76,60,112,154,113,113
AKAP9,41,61,73,43,64,78,51,54
FAM13A,17,18,35,10,26,17,20,45
G3BP1,4243,4523,4846,2613,4613,6272,4497,4503
SUGP2,688,1522,1818,799,933,1312,1373,1622
ADGRG2,9,5,3,0,5,4,4,3
HNRNPA3P1,43,69,74,47,52,113,82,75
ABI2,512,623,735,359,582,802,617,694
CEBPZ,161,191,245,102,198,324,214,200
PLXNC1,293,342,367,195,359,432,345,355
TRIM28,886,1485,1847,1019,1045,1748,1518,1866
RASA4,21,34,34,22,26,40,29,24
ATP6AP2,2186,2150,2432,1471,2447,3346,2309,2547
FARP1,2,4,6,3,4,3,0,7
LPCAT3,658,1137,1290,633,802,1392,1224,1197
WASF2,5470,8869,10628,4725,6091,11019,9302,8749
CHST4,30,33,33,16,38,26,45,35
SLC25A13,902,1322,1457,713,1117,1705,1272,1280
SLC25A15,683,970,1167,527,800,1251,937,972
ZNF197,140,160,221,88,151,228,163,179
SERF2,4503,8012,9353,4755,5778,9680,7731,9095
DHRS9,23,28,53,21,16,47,36,42
RCL1,180,278,368,134,210,366,308,291
ZNF256,10,8,7,3,14,10,5,8
SORBS3,467,987,1144,595,575,1319,1053,1126
CNIH1,1048,1214,1420,691,1284,1699,1225,1147
RBM7,238,312,325,170,232,452,345,292
RBM6,28,22,52,24,46,50,38,65
RBM5,373,499,645,380,399,531,507,562
LHFPL2,61,61,93,44,73,109,82,90
LHFPL6,7,20,15,15,17,16,25,20
TNK2,73,177,198,78,92,170,187,182
ALYREF,1113,1760,1895,988,1274,2253,1968,2237
TXNDC9,535,597,600,315,599,888,557,498
RNF41,2539,3946,4574,1923,3128,4907,3924,4160
TSHZ1,817,1130,1230,603,892,1575,1216,1101
ALG3,1645,2939,3316,1649,1922,3788,2787,3054
PRMT3,507,578,576,305,523,764,560,518
PSME3,5852,7711,9476,4792,6607,9949,8325,8665
MPHOSPH9,1443,1796,2017,775,1591,2266,1716,1641
MPHOSPH10,3,6,7,1,8,8,5,3
MPHOSPH6,454,573,647,301,488,725,516,615
NME6,407,637,753,286,484,816,643,599
DHRS2,2,1,1,0,0,1,7,2
NUTF2,2042,2828,3305,1781,2361,3697,3119,3632
MPZL2,7,7,11,6,11,13,7,13
TRIM13,388,533,571,196,360,720,595,487
USPL1,29,46,31,10,19,39,35,30
EIF1,4082,4746,5798,3647,4941,6155,5189,6006
TOPORS,98,119,100,47,109,196,118,118
DDX39A,6389,10466,12412,6373,7852,12914,10539,11305
PSMD14,384,480,567,335,469,711,432,550
PRG4,234,237,335,255,297,284,317,329
CTDSPL,21,42,39,12,18,57,43,47
KLRG1,30,38,40,30,32,43,40,35
GDF11,818,1315,1431,624,893,1560,1368,1211
TRIB1,569,372,356,360,619,523,370,849
ZNF443,5,7,11,0,1,17,10,8
PLIN3,2460,4033,4807,2528,2972,5019,4277,4571
MFSD10,443,755,851,420,538,848,690,862
STX6,873,1056,1190,590,921,1442,1105,1120
COQ7,440,511,581,306,468,647,480,552
NBR2,170,245,291,119,220,272,221,256
LRRC23,27,47,60,31,38,54,54,57
LRRC17,21,28,31,9,17,29,20,23
RASGRP2,109,152,197,94,128,215,178,148
HNRNPR,2442,2812,3103,1772,2737,4387,3128,3262
SLC35B1,150,186,250,101,162,253,227,245
DCAF7,8075,12294,14197,6647,9404,15582,13214,12339
AP3S2,493,783,966,444,586,987,787,822
MRPS31,5,8,6,8,8,12,9,13
CALCOCO2,2259,2945,3491,2009,2649,3790,3157,3451
GPHN,162,201,204,128,222,304,190,226
RABEPK,16,18,16,12,13,27,23,22
TIMM17B,207,399,477,233,265,518,391,491
RIDA,338,360,411,233,390,499,357,430
POP7,275,433,549,280,317,577,444,516
SRRM1,1414,1642,1792,1047,1398,2344,1947,1917
SPRY3,24,25,40,16,24,44,30,28
SPRY1,15,0,1,5,9,3,2,8
SPRY2,42,28,36,27,26,53,36,54
STAM2,453,507,520,239,483,773,496,533
ABCC4,995,974,1235,676,1165,1415,1023,1024
DENND4A,762,724,832,492,839,1088,838,896
IGSF6,9,8,23,11,15,20,17,18
SF3B4,369,550,694,375,391,774,641,724
CDK2AP2,1082,2049,2306,1191,1268,2347,1957,2217
IRX5,90,105,113,64,85,154,88,125
ZMPSTE24,1493,1640,1719,985,1660,2435,1765,1694
AKAP8,897,1186,1519,724,1076,1481,1246,1438
FSTL3,124,292,316,77,111,245,247,281
STUB1,833,1606,1925,907,1133,1982,1600,1900
STAG1,404,345,423,225,431,495,388,430
NET1,666,721,788,505,714,1045,816,743
UBE4B,546,653,769,511,600,955,746,792
SIGMAR1,3828,6145,7112,3367,4258,7623,6165,6801
BET1,432,572,630,299,479,817,536,567
CWC27,389,501,649,339,452,754,570,596
SAP18,1737,2037,2380,1231,1768,2821,2228,2391
SMNDC1,917,887,966,524,972,1480,967,936
BCAS2,414,418,429,271,489,573,449,460
RGS19,696,1392,1561,759,865,1694,1308,1302
EIF1B,564,678,759,423,599,902,728,711
SF3A1,2504,3694,4173,2135,2909,4487,3670,3875
TRAIP,66,124,149,100,85,128,107,105
DNAJA2,797,929,1079,561,914,1328,917,1016
BCKDK,319,556,638,332,374,685,535,643
MAEA,944,1263,1538,806,1113,1616,1265,1432
APC2,18,37,29,15,18,28,42,45
PAK4,192,345,388,172,235,456,379,407
MARCHF6,1438,1518,1696,891,1527,1968,1566,1664
KATNB1,53,94,102,56,52,113,106,113
SNAPC5,276,417,530,264,336,485,412,485
APBB3,31,44,55,18,31,44,26,60
ZNF267,188,246,220,85,169,413,252,182
VPS26C,1062,1578,1827,848,1293,2051,1532,1574
TCIRG1,118,170,227,128,136,184,158,191
RTN3,4082,4962,6095,3447,4721,6877,5464,5622
LANCL1,2014,2178,2510,1202,2336,3066,2235,2243
NMUR1,144,229,309,126,143,262,235,194
TNIP1,644,1116,1373,677,746,1404,1133,1202
IKZF1,7511,11530,12973,5081,8560,14933,11831,10111
SMYD5,419,833,998,449,525,999,855,871
SIRPB1,400,525,598,303,437,661,568,567
AKR1A1,137,134,204,103,135,202,175,205
EMC8,853,1240,1498,757,1088,1455,1235,1393
RXYLT1,29,33,39,17,23,49,23,40
CNPY2,300,352,442,251,341,514,444,513
CLEC4M,3,10,1,5,8,9,14,6
TLR6,35,56,59,14,43,73,54,51
MRVI1,4,17,32,7,16,24,14,12
PCGF3,932,1433,1609,693,1221,1666,1312,1679
TFG,410,481,555,300,442,627,502,574
PKDREJ,3,11,9,4,3,16,5,14
TRIM22,1386,1675,1844,976,1621,2099,1583,1767
ABCA7,22,38,35,16,29,41,31,51
WARS2,436,496,588,306,484,688,580,516
NPM3,242,443,568,259,330,569,477,579
NPM2,13,17,22,16,14,28,18,20
HMG20B,1240,2361,3002,1364,1448,3006,2493,2979
HMG20A,1100,1497,1713,780,1134,2060,1570,1556
KLF2,32,31,30,24,47,39,23,73
MICU1,545,849,1013,576,615,987,907,914
CITED2,1152,1773,1751,686,1269,2668,1885,1432
SEMA3A,1,3,12,1,9,5,5,3
TUBA1B,4750,6616,7830,4651,5434,8460,7068,7847
IRF9,57,94,109,52,68,126,102,112
BPNT1,284,455,522,279,385,616,412,464
TUBB3,4,9,6,6,10,11,5,10
TUBB4B,1053,1535,1740,990,1233,1982,1699,1934
BTN3A3,15,30,26,9,19,41,23,21
BTN2A2,101,182,228,90,125,223,163,187
SYCP2,13,2,5,3,9,5,7,7
SCML2,834,1094,1244,539,975,1375,1134,994
CEPT1,484,554,571,326,493,773,562,570
NOD1,141,206,266,122,168,261,246,272
ANAPC10,167,207,251,119,193,273,188,197
DLC1,7,12,9,6,14,12,14,10
ATP8A1,20,20,23,17,26,40,19,23
NDRG1,1854,2865,3376,1696,2258,3522,2920,2797
RACK1,1558,1818,1881,1321,1691,2482,2042,2410
PEMT,69,93,98,58,71,97,93,98
PIAS3,214,290,393,209,219,382,369,378
ST3GAL6,132,98,135,99,130,156,133,159
NDC80,9,9,17,6,8,9,20,16
CPQ,138,167,210,114,183,221,204,207
BASP1,126,215,203,116,130,268,184,212
IFITM3,36,70,95,39,31,102,64,64
RAPGEF3,3,5,8,4,5,6,7,3
NSA2,281,370,376,183,309,523,341,417
SPON2,28,50,73,38,54,50,52,81
PRMT5,408,618,794,425,560,729,659,682
TESK2,97,150,174,122,129,190,136,147
CD2BP2,470,940,1156,569,648,1003,919,1034
UBAC1,151,273,305,184,189,328,249,307
CDIPT,595,1162,1430,714,780,1448,1103,1286
PGRMC2,1159,1254,1562,794,1275,1851,1421,1393
ARIH2,1206,1933,2266,1156,1553,2372,1934,2093
TUBGCP3,113,201,283,123,176,284,272,279
SEC24B,130,132,184,103,158,206,163,170
CFDP1,121,175,181,112,124,246,173,229
TMEM147,108,193,192,122,145,251,170,233
RBM14,1290,2140,2379,1308,1546,2644,2334,2425
LYPLA1,3287,3180,3103,1589,3434,5037,3079,2933
CDC42EP2,18,25,29,16,25,39,31,21
EMG1,278,312,412,226,289,404,353,390
IFI30,135,172,214,122,156,246,204,226
C1D,317,239,303,245,409,406,264,259
TIMM17A,1256,1490,1769,949,1546,2060,1467,1657
N4BP2L2,355,333,449,229,401,519,376,408
ZER1,182,344,492,210,209,449,367,384
MCRS1,283,498,594,300,352,594,485,558
FAM3C,217,191,228,158,300,321,233,238
ACAA2,287,376,471,249,325,548,404,467
PPIE,231,459,521,257,336,523,422,489
VAV3,528,681,795,380,554,965,680,750
TOMM40,2480,4073,4824,2625,3051,5032,4061,4899
TAB1,749,1405,1608,812,855,1661,1408,1454
ECI2,78,113,123,77,97,141,99,88
HAX1,234,356,412,249,296,454,384,394
GPNMB,1,0,1,1,1,0,6,6
BAIAP2,61,120,104,81,84,142,100,127
MAD2L2,306,558,661,335,383,619,588,646
TACC3,201,254,308,182,221,325,303,322
CLEC10A,37,48,65,32,26,62,39,62
SLC30A9,2161,2341,2532,1409,2404,3470,2357,2290
PIBF1,33,40,42,34,43,57,60,46
