,mr349-MV411-YLK-r3_tcount,mr343-MV411-DMSO-r1_tcount,mr345-MV411-DMSO-r3_tcount,mr347-MV411-YLK-r1_tcount,mr348-MV411-YLK-r2_tcount,mr344-MV411-DMSO-r2_tcount,mr346-MV411-DMSO-r4_tcount,mr350-MV411-YLK-r4_tcount
RASGRP4,88,140,159,73,86,160,146,165
C12orf56,32,41,59,20,48,86,41,66
DIS3L,199,306,349,160,245,415,336,325
ARL11,358,652,733,302,431,891,686,677
FANCD2OS,37,56,70,36,57,68,71,70
DHRS1,29,52,50,31,33,54,50,63
WDFY2,623,1035,1076,362,704,1173,941,860
TSR3,159,237,268,137,176,300,271,296
CCDC151,3,11,6,3,13,7,7,8
ZNF653,12,16,21,24,13,22,17,25
RNF166,703,1418,1577,706,888,1750,1298,1345
RMI2,1260,1664,1969,1083,1566,2138,1652,1847
OSR2,9,25,20,10,11,27,31,17
LRRC58,4189,4493,4904,2487,4560,6480,4678,4469
LYSMD3,715,698,750,299,791,1014,746,801
BATF2,4,14,8,4,6,17,12,15
DNTTIP1,135,191,267,126,161,276,219,232
FOXP4,527,966,1108,534,585,1183,1125,1064
ZNF526,122,305,294,131,165,307,324,242
KLHDC3,967,1617,1904,997,1105,1995,1626,1916
WDR92,731,1025,1177,665,908,1280,1074,1163
NUS1,1644,1480,1774,976,1802,2311,1562,1535
FAM210B,757,792,1019,512,822,1127,943,1003
PHACTR3,116,132,187,90,99,199,154,154
TM4SF19,0,0,1,0,3,1,6,1
FAM122A,310,364,439,187,393,524,443,448
ZMYND19,325,516,582,295,424,690,507,635
COX20,911,1326,1255,469,1196,1296,1172,1618
ABHD15,4598,6751,8229,3980,5448,8764,7002,6922
TLCD1,25,31,40,14,22,38,51,25
GINM1,100,121,149,87,104,166,125,151
ACSM1,21,45,37,15,25,33,40,33
EXOC3-AS1,242,374,474,241,274,494,349,409
IL22RA2,1,1,2,1,1,6,1,2
ZNF837,42,95,110,37,48,97,85,70
GRIN3A,22,31,40,17,22,40,34,34
GRIN3B,84,190,200,72,102,197,154,240
TOP1MT,180,239,271,167,161,327,293,281
OLIG1,16,41,46,13,31,64,27,44
TSEN15,1530,1504,1729,1044,1846,2152,1565,1633
NIBAN1,198,205,287,113,214,308,226,220
MRGPRF,0,0,1,0,0,0,0,7
MRPL53,201,277,331,145,198,325,278,332
MRPL54,350,478,610,296,407,594,500,626
PPP1R27,1596,2535,3156,1586,1885,3128,2602,3237
N4BP2L2-IT2,57,68,83,31,54,67,73,95
RPL39L,102,136,180,99,97,167,138,169
HSPA12B,15,31,27,13,13,29,22,20
CNTROB,32,38,38,14,24,38,27,25
SNAP47,111,185,215,109,121,248,176,212
LEAP2,8,5,14,8,11,8,3,12
LRG1,452,695,755,450,551,924,698,920
MED12L,21,12,14,7,29,19,14,11
SNORD139,26,59,46,16,34,62,65,41
