,FLAG_GFI1,CEBPA,HOXA9,PLAGL2,MEIS1,ETV6,RUNX1,FOSL2,FLI1,GATA2,SP1,E2F3,ZNF281,SREBF1,LMO2,STAT5B,ZMYND8,LYL1,MYC,TFAP4,RUNX2,MAX,IRF8,MYB,ZEB2,RXRA,SPI1,MEF2C,FLAG_MEF2D,ELF2,JUND,SMC1,LDB1,H3K79me2,WDR5,H3K27ac,H3K27me3,MYBL2,CDK9,H3K4me3,FOXP1,MLL_KTM2A,RARA,IKZF1,AFF4,CTCF,BRD4,CEBPB,H3K36me2,PSER2,H3K36me3,H3K9ac,CDK13,H3K4me1,POLII,MED1,promoters,enhancer,super_enhancer
SP1,0.0,2.203577297432243e-05,1.4498144669006487e-18,0.0,0.0,0.0,0.0,1.7204024724534008e-61,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.703879642042866e-234,0.0,0.0,0.0,1.5063781848328721e-130,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.067133583667547e-201,0.0,7.766370791188109e-101,6.64958138879128e-64,0.0,0.0,0.0,1.941506738301376e-21,0.0,0.0,0.0,1.567717475270266e-269,0.0,0.0,4.683476421756e-312,0.0,1.0,0.0,0.004686666456252196,4.318663025263928e-152,0.0,0.0,0.0,5.597642563527637e-06,2.1242872277516742e-07
E2F3,0.0,1.5850603431463946e-58,0.00022244580955880074,0.0,1.1036791724537513e-212,0.0,0.0,1.312024756251571e-137,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9124032671469155e-115,0.0,0.0,1.3826307665081809e-245,0.0,9.377308791431578e-204,0.0,0.0,0.0,2.95324767401536e-106,1.612579549725497e-33,0.0,0.0,3.6850458430312164e-165,0.0,1.0,0.0,8.121931419249025e-219,0.0,1.5040500608150522e-46,2.7073607951546033e-114,0.0,0.0,0.0,3.316034853960372e-92,0.0,0.0,0.0,4.2577179702804814e-164,0.0,0.0,1.4293828664709259e-167,0.0,1.0,0.0,7.762879235241862e-08,8.848071022761817e-303,0.0,0.0,0.0,3.2837957441345627e-25,1.0
ZNF281,0.0,1.1681244147166686e-98,1.0,0.0,2.3530689277651475e-54,0.0,0.0,5.36799198782997e-88,4.0257868092881454e-237,0.30473829635216676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.894100680375537e-82,3.06132e-318,0.0,1.031193645437036e-58,3.865800374950259e-183,3.1873519996691487e-66,0.0,0.0,0.0,7.01633025954168e-29,9.010919318672991e-22,0.0,0.0,4.1652107671204343e-53,0.0,1.0,0.0,5.653926917874499e-90,0.0,1.7758142750161648e-88,8.15387295616339e-40,0.0,0.0,3.2529841379014857e-258,1.0492537135166937e-24,0.0,0.0,0.0,1.2924877504395803e-115,0.0,1.0893686113766697e-284,0.0,0.0,3.832887197911004e-14,0.0,0.037738327090728906,7.991539169334956e-113,0.0,0.0,0.0,1.0,1.873213866911681e-10
SREBF1,4.092753559605626e-286,1.0,1.9923297890034325e-19,0.0,1.8052884476057396e-99,0.0,8.383701100205068e-161,4.1418347049383696e-209,9.731073420494853e-151,6.009267018480388e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.877860638106061e-72,1.3297705889577008e-149,0.0,1.1086359181133856e-50,1.3174812246135385e-59,9.504833456585778e-118,0.0,0.0,0.0,1.956350559152738e-34,4.417372809922664e-97,0.0,0.0,2.320828739573562e-166,3.018963087649142e-266,1.2027462257924019e-06,8.432205795328266e-228,2.453308774760273e-51,1.9257831591894746e-138,1.0,2.099479300368765e-65,4.962214464640909e-265,0.0,4.320103435458143e-278,1.0379227965507866e-13,0.0,3.990489676574129e-233,0.0,1.6713408464881285e-27,8.675534509241165e-265,7.14104342431891e-135,5.711868844190051e-21,6.121638874618768e-162,1.0,7.07820991455701e-250,3.0092723703308844e-12,5.198583781868909e-66,0.0,0.0,0.0,1.7894430313036946e-13,1.0
LMO2,0.0,1.0,3.9306134296978046e-25,0.0,0.0,0.0,0.0,2.20126509725181e-40,0.0,2.7353131508965364e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8966779779293214e-190,0.0009233429679952933,0.0,0.0,2.5632006131459544e-302,0.0,1.0,0.0,2.4546541704200753e-211,0.0,3.39746382856625e-37,5.326213444532575e-76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.460919913075551e-50,0.0,0.0,1.2211793016812943e-194,0.0,0.0007904106219341644,0.0,0.0030597676301569055,1.3714072772719435e-34,0.0,0.0,0.0,1.0,2.757511548343301e-147
STAT5B,0.0,1.0,2.5244900067801642e-20,0.0,0.0,0.0,0.0,7.140239441822453e-254,0.0,1.4692224186913711e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6192458166040836e-305,0.0,0.0,0.0,0.0,0.0,7.831092619402604e-225,3.629523499868445e-103,0.0,0.0,1.2551979487520071e-255,0.0,1.0,0.0,1.1825957333230974e-127,0.0,1.5401544638769426e-07,5.793638977556306e-45,0.0,0.0,0.0,2.927313409136685e-82,0.0,0.0,0.0,5.700769962610555e-18,0.0,0.0,9.174438008922103e-175,2.5071231184725526e-295,0.002623741676707768,0.0,0.4168133491553523,1.0,0.0,0.0,0.0,6.380179419617662e-109,2.7132544010304915e-50
ZMYND8,0.0,8.109490591373694e-33,3.6878117400014825e-89,0.0,0.0,0.0,0.0,2.2966158637060837e-153,0.0,3.306337784861692e-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.364684716174169e-11,0.0,0.0,0.0,0.0,1.0,0.0,1.835496791085932e-188,0.0,7.057593414696751e-07,6.397896130910563e-58,0.0,0.0,0.0,4.216393797500095e-49,0.0,0.0,0.0,1.1483086042751067e-31,0.0,0.0,2.6191545191006023e-114,0.0,8.745592563770087e-09,0.0,1.0,1.0,0.0,0.0,0.0,7.991668471466071e-64,4.443518171755108e-51
LYL1,3.320351818981677e-230,1.6175454948578778e-124,8.501797096376789e-167,0.0,0.0,0.0,0.0,4.752145597228279e-160,0.0,0.0,3.276561706453216e-260,1.7480684094507208e-107,2.507236313042138e-74,3.463638398688631e-86,0.0,0.0,0.0,0.0,1.5888938664837367e-269,0.0,2.4058692341821577e-216,3.51274241248436e-232,7.464631531596233e-207,0.0,0.0,0.0,5.4270236286435385e-129,1.420247125574461e-28,0.0,0.0,0.0,2.229261245128633e-196,1.2106043767066415e-13,1.4792283954924928e-30,1.0,5.9367409869045e-185,1.042707032673083e-11,2.602066064569092e-10,0.0,1.0,0.0,2.208014612503716e-254,0.0,0.0,1.0,2.653139094279138e-69,0.0,5.471974684975169e-261,3.916183065757237e-18,0.02735500190168189,9.638926123930436e-12,1.212007257159125e-35,0.08828590177999422,7.551021610953347e-212,1.5661616303190742e-82,0.0,3.9730957264011174e-49,1.4747016681383774e-215,9.503155154391312e-121
MYC,0.0,1.0,1.2781209999754998e-37,0.0,0.0,0.0,0.0,9.469802817071061e-63,0.0,0.007177259390982268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2863401644627102e-238,0.0,0.0,0.0,4.8603390200996693e-113,8.904275481619434e-20,0.0,0.0,4.360855586187054e-236,0.0,1.0,1.5196077747896398e-46,6.063613531196236e-83,0.0,8.153453603630178e-37,2.0287416087909735e-18,0.0,0.0,0.0,0.21086850115380285,0.0,0.0,0.0,5.241825449558043e-293,0.0,0.0,0.0,7.73561470744257e-105,2.822444327044257e-32,0.0,1.0,8.497929566873548e-26,0.0,0.0,0.0,5.556951539667001e-215,4.30212044000153e-32
TFAP4,0.0,1.0,2.0573423149994642e-20,0.0,0.0,0.0,0.0,0.0,0.0,5.1648784034465274e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4813215915003994e-208,0.0,3.2688479434723944e-219,0.0,0.0,0.0,3.679090531415499e-108,1.826046914858382e-50,0.0,0.0,0.0,0.0,1.0,3.2978277110800296e-201,7.867285195164426e-94,0.0,1.0,1.335005830526213e-43,0.0,0.0,0.0,2.1480421973987124e-17,0.0,0.0,0.0,4.553591564207144e-30,0.0,0.0,6.00168127420827e-171,5.114699407043577e-221,1.0,0.0,0.012720205359243838,3.746731771548157e-12,0.0,0.0,0.0,3.0507850226530454e-27,1.5523194740549402e-37
RUNX2,0.0,8.57545330689348e-169,1.8429454730382274e-98,0.0,0.0,0.0,0.0,8.450955490993125e-68,0.0,8.20854690958583e-60,0.0,0.0,1.2498080130338054e-215,3.1978253677320633e-282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7729033053579126e-179,1.1331440046759393e-14,0.0,0.0,0.0,0.0,1.0,1.1219204097955964e-46,3.608125490554699e-46,0.0,1.0499106599688082e-12,2.784303990698514e-20,0.0,0.0,0.0,1.5331654060098048e-217,2.5889483487043544e-267,0.0,1.5616071557741408e-155,1.0,0.0,0.0,0.03954142439819915,0.009462189476631766,9.321601231226838e-81,2.9962603414609825e-245,1.0,1.1517911246339019e-122,3.3572543085577487e-234,0.0,0.0,5.270080878566624e-150,1.0
MAX,1.8873443845014575e-248,1.0,2.6822925055581983e-45,0.0,0.0,0.0,0.0,4.868119919381675e-146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.827783632848639e-199,0.0,0.0,0.0,1.7899786190020407e-134,3.1699198138978746e-81,0.0,0.0,0.0,0.0,1.0,3.17038501590509e-50,6.414933552906219e-59,0.0,5.428852684798599e-34,2.4458996850270817e-10,0.0,0.0,0.0,1.0568713214941537e-94,1.141754613388217e-270,0.0,1.7615316514898102e-213,0.0,0.0,0.0,5.4385275932566326e-266,6.9422540568977755e-71,1.2056010279244961e-52,0.0,1.0,1.3531758588205686e-08,0.0,0.0,0.0,0.0,2.0650477009818267e-88
IRF8,9.52302655583594e-192,2.0938979012296635e-33,2.809038886837121e-61,0.0,0.0,0.0,9.314667e-317,7.818828353537648e-76,0.0,4.879896535045778e-59,0.0,0.0,3.443004285501573e-148,0.0,0.0,0.0,0.0,0.0,1.2211814867541651e-206,0.0,3.099890294085995e-239,1.582852014464127e-129,0.0,0.0,0.0,0.0,0.0,1.3972450484617688e-37,0.0,0.0,0.0,1.6483467377813382e-92,1.0,4.839712618576028e-10,6.632826784715352e-29,2.5780781593398846e-176,1.040487066659531e-79,0.001285211672221535,0.0,1.8138474046492004e-138,0.0,7.5715795442018635e-211,1.8248596490966962e-265,0.0,1.3384912742670808e-124,7.51105935189217e-11,0.0,4.479503238286902e-40,2.7966090034969335e-54,1.0,1.1188929948492327e-55,6.55970236633882e-41,1.0,1.085876160294444e-129,5.161594627931445e-118,0.0,8.497280299798401e-104,5.934983547571255e-93,1.0
MYB,0.0,8.00827384845364e-151,2.0781303189268445e-254,0.0,0.0,0.0,0.0,8.916651631868342e-135,0.0,1.3354415175350417e-132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.250645672058558e-263,4.834480951013241e-10,0.0,0.0,0.0,0.0,1.0,8.676717710917571e-238,1.4546061556163611e-74,0.0,1.162139038597646e-22,5.001824659477062e-44,0.0,0.0,0.0,8.317812951415812e-145,0.0,0.0,0.0,1.0,0.0,0.0,8.765192493511051e-20,1.203589951913424e-118,3.18561850470992e-14,0.0,1.0,8.931451923339213e-63,0.0,0.0,0.0,1.8676831907639834e-236,6.262028394686295e-67
ZEB2,1.406816040872897e-201,1.3786913676751933e-27,2.8549476080251516e-35,0.0,1.8771471192515176e-138,0.0,4.613879755130913e-232,2.5200060567432983e-41,2.6886102355878943e-264,6.128117497819559e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4734972531316e-311,9.523195457537212e-185,0.0,4.382381625234825e-87,4.71101578581843e-123,3.47154546923511e-120,0.0,0.0,0.0,4.937473713803757e-56,1.0,0.0,0.0,5.754692413075839e-196,0.0,1.3725063541503488e-17,3.3785747620194174e-122,9.447111581218382e-35,1.0303269586766235e-174,1.0,7.327328178632978e-41,9.721654253700083e-301,0.0,4.0776262860232e-307,9.308554808782456e-05,1.0082776032678399e-293,0.0,4.443363781457901e-186,2.978001389936409e-40,0.0,7.550554176270322e-249,1.9363773544894727e-94,8.540039688539569e-102,0.03850621968918105,6.777792435616958e-235,2.266566591538438e-08,1.0,6.618801603703957e-233,0.0,0.0,0.5895453452049771,1.475691562191586e-28
RXRA,0.0,1.0,1.8894374361508092e-17,0.0,6.964027179133338e-211,0.0,0.0,8.519668200354405e-268,0.0,1.9655367182408643e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.279932802123018e-183,4.644505851585855e-226,7.539002627449375e-215,0.0,0.0,0.0,5.262529620216442e-99,1.0744229582997961e-74,0.0,0.0,5.141665020379715e-252,0.0,1.0,1.6066152060058732e-273,4.9269173719470434e-107,0.0,0.003719634917290578,6.693866921449024e-42,0.0,0.0,0.0,0.00044564674225627647,0.0,0.0,0.0,1.437639115305385e-43,0.0,0.0,1.255674781498339e-145,5.166109432027389e-264,1.0,0.0,0.0018206858518768473,3.842418805770995e-08,0.0,0.0,0.0,6.824328416909493e-12,1.7102128348997579e-49
SPI1,2.349723770255219e-90,1.0,2.4003743855939005e-13,0.0,2.7194373870945853e-285,0.0,7.086268053549036e-294,1.0,0.0,1.1001820132300366e-43,0.0,0.0,1.0252491835149494e-99,4.70453464973225e-172,0.0,0.0,0.0,0.0,7.845228084621974e-152,8.093363074531152e-306,3.672377005015214e-172,1.7057189878857808e-135,0.0,0.0,1.6642149050322324e-248,0.0,0.0,1.981734997140809e-34,0.0,0.0,3.121526655822399e-123,2.0596477557532483e-43,9.7224008653949e-10,2.6073129847521863e-21,3.6989056362399794e-22,2.8891245924796142e-264,1.590895914249604e-136,1.0,0.0,1.0792521557811264e-120,0.0,6.385805213180919e-300,4.077650423056473e-139,0.0,3.1306603337811055e-53,2.5701989596979354e-170,0.0,1.223727483275341e-37,1.0,1.0,4.683543474703166e-64,7.517860135495748e-74,0.055138603051636516,1.1613869027775502e-253,1.9974095436667582e-92,0.0,4.488151940604341e-146,3.578800043570625e-128,0.011161010139476258
