ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I
,,,"nm²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#"
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,54529045.995115,310.72778486586,234.41237937789,63,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,54637812.084451,310.3850251076,234.52455164993,64,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,54586858.601159,309.88314066202,234.39148775759,65,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,54444776.772747,309.2678851034,233.79501646779,66,31.30295,31.30295,"Yellow",0,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,54489851.007967,309.51319930227,233.76170224244,67,31.30295,31.30295,"Yellow",1,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,54218425.721967,308.92998626473,233.38735270729,68,31.30295,31.30295,"Yellow",1,3
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,54115538.880703,308.67004363808,233.06709580459,69,31.30295,31.30295,"Yellow",0,3
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,54041068.405122,308.40705517579,232.93932113652,70,31.30295,31.30295,"Yellow",1,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53964638.180183,308.45567701051,232.91784540519,71,31.30295,31.30295,"Yellow",1,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53785321.11398,308.55199489889,232.79200218619,72,31.30295,31.30295,"Yellow",2,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53401210.239929,307.81689236302,232.02394583288,73,31.30295,31.30295,"Yellow",2,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53127825.204571,307.51549272395,231.92348623176,74,31.30295,31.30295,"Yellow",2,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52885796.158931,307.05730749277,232.1780367598,75,31.30295,31.30295,"Yellow",1,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52919111.898007,306.79002333074,231.89528941229,76,31.30295,31.30295,"Yellow",1,3
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52387039.947472,306.05185829452,232.18509062342,77,31.30295,31.30295,"Yellow",1,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52501685.28488,306.2118514371,232.16871967152,78,31.30295,31.30295,"Yellow",1,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52305710.34914,305.63047958037,231.78289621581,79,31.30295,31.30295,"Yellow",0,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52291992.103638,305.62515459281,232.00095566466,80,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52207722.881269,305.55031906907,231.67276651652,81,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52208702.755948,305.85842045007,231.43873988852,82,31.30295,31.30295,"Yellow",0,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52171467.518157,305.94636853671,231.2680634074,83,31.30295,31.30295,"Yellow",0,3
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52083278.797074,305.77872368446,231.20396779109,84,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52363522.955183,306.21758453564,231.20212765957,85,31.30295,31.30295,"Yellow",0,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52482087.791306,306.57621359223,231.23172143391,86,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52649646.361364,306.80602445516,231.08844987065,87,31.30295,31.30295,"Yellow",0,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52986723.250838,307.37992602866,230.83340730467,88,31.30295,31.30295,"Yellow",0,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53072952.222564,307.26910437014,230.75414028027,89,31.30295,31.30295,"Yellow",0,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53301263.022701,307.65646371057,230.43477461578,90,31.30295,31.30295,"Yellow",0,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53378673.122319,307.69943093162,230.20661771455,91,31.30295,31.30295,"Yellow",0,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53565829.185951,307.5282991256,229.72244173709,92,31.30295,31.30295,"Yellow",0,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53778461.991229,307.73958238435,229.34426871709,93,31.30295,31.30295,"Yellow",0,1
