ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R,ClassColorName::Region Class Color Name
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,71530.851545283,365.85616438356,236.89726027397,58,23470,168,1266,14454.602739726,36.808219178082,607.90410958904,7911,0,0,73,73,73,15559,168,1266,4489.7925488444,55.744122145111,363.29354386041,1055186,2687,44377,16703687520,322637,36479679,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,55852.856686043,365.95614035088,236.69298245614,59,21501,143,1285,14199.631578947,33.526315789474,583.35087719298,7954,0,5,57,57,57,13547,143,1280,3781.5289549126,47.258070083002,363.05049290836,809379,1911,33251,12293681437,189135,26778117,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,33315.739075885,365.5,237,60,19084,110,1162,14441.588235294,29.323529411765,482.05882352941,8614,0,0,34,34,34,10470,110,1162,2691.7949189933,39.174605711102,360.68864615516,491014,997,16390,7330132082,79879,12194122,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,25476.741646265,246.57692307692,268.38461538462,67,13834,3540,5118,11500.923076923,1907.0769230769,863.57692307692,9061,94,0,26,26,26,4773,3446,5118,1401.5232833764,1089.4949260305,1323.5118185518,299024,49584,22453,3488158710,124235482,63181981,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,28416.365682373,246.08620689655,267.77586206897,68,13344,3841,3202,11678.965517241,1806.6206896552,985.41379310345,9491,54,0,29,29,29,3853,3787,3202,1127.0642484779,1184.9555270073,1036.8435106212,338690,52392,28577,3991116498,133967820,58261415,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,25476.741646265,232.88461538462,231.69230769231,70,15942,4548,279,13194.423076923,2199.8846153846,10.730769230769,8975,901,0,26,26,26,6967,3647,279,1712.1551372017,1085.7663957564,54.716401703553,343055,57197,279,4599699689,155299017,77841,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,29396.240361075,233,231.33333333333,71,16762,4887,1,13267.466666667,2409.5,0.033333333333333,7989,802,0,30,30,30,8773,4085,1,2159.8495754348,1235.7416801258,0.18257418583506,398024,72285,1,5416053708,218455375,1,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,32335.864397183,232.28787878788,231.95454545455,72,17093,5113,160,13350.666666667,2139.5757575758,6.2727272727273,9157,494,0,33,33,33,7936,4619,160,2140.3767435119,1418.7453530828,28.782886329459,440572,70606,207,6028528718,215477714,27809,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,5,25476.741646265,246.5,266,72,15731,2518,3790,13128.5,768.15384615385,851,9755,14,0,26,26,26,5976,2504,3790,1860.8655244267,747.97709549465,1157.6700738984,341341,19972,22126,4567865831,29328312,52334226,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,29396.240361075,232.13333333333,232,73,16923,5254,4,13444.833333333,2079.9,0.2,8992,307,0,30,30,30,7931,4947,4,2260.7962906498,1451.1968984018,0.8051557998729,403345,62397,6,5571131097,190852721,20,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,5,35275.48843329,246.11111111111,265.88888888889,73,16459,2749,3946,13157.611111111,744,857.02777777778,9197,0,0,36,36,36,7262,2749,3946,2093.4085025934,846.29646949855,1129.5326590134,473674,26784,30853,6385800856,44994916,71096419,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,25476.741646265,231.84615384615,232.19230769231,74,16789,4390,2,13662.692307692,1903.5,0.076923076923077,9398,180,0,26,26,26,7391,4210,2,2013.191690212,1320.7831994692,0.39223227027637,355230,49491,2,4954721708,137817825,4,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,5,31355.98971848,246.21875,265.5,74,17060,1603,4857,13682.625,412.125,952.84375,9298,0,0,32,32,32,7762,1603,4857,2209.6043836529,477.49782975356,1350.526017219,437844,13188,30491,6142208158,12503234,85594695,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,35275.48843329,246.16666666667,265.11111111111,75,17415,1391,3828,13572.138888889,371.02777777778,818.13888888889,9679,3,0,36,36,36,7736,1388,3828,2229.429102487,414.78796553083,1151.9797407142,488597,13357,29453,6805268739,10977535,70543651,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,34295.613754588,245.87142857143,265.07142857143,76,17380,1156,4518,13610.485714286,338.14285714286,897.05714285714,10137,0,0,35,35,35,7243,1156,4518,2121.5595591511,313.84729734446,1284.7850802843,476367,11835,31397,6636620757,7350925,84287775,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,25476.741646265,245.26923076923,265.19230769231,77,16946,1037,4255,14150.576923077,390.84615384615,1036.5769230769,11215,7,0,26,26,26,5731,1030,4255,1631.8280343977,268.71258880934,1301.4802087801,367915,10162,26951,5272781077,5776940,70283053,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,29396.240361075,245.56666666667,265.03333333333,78,16143,1066,4131,12917.2,476.2,1001.8666666667,8813,44,0,30,30,30,7330,1022,4131,2090.4924250784,211.15763028502,1263.6205708702,387516,14286,30056,5132356274,8096032,76417476,"Aqua"
