ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R,ClassColorName::Region Class Color Name
,,,"nm²","pixel","pixel",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²",
"Image 8_Out_Channel Alignment_P2-6.czi",7,8,44094.360541613,255.45555555556,137.76666666667,53,6998,6301,10546,3798.0222222222,4356.5111111111,4954.9333333333,1852,2345,3045,45,45,45,5146,3956,7501,1357.9334146363,1070.1542926611,1956.2802875959,170911,196043,222972,730259035,904453637,1273200828,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",6,7,35275.48843329,255.36111111111,137.88888888889,54,7194,6259,9110,4168.7777777778,4469.5277777778,4554.3611111111,2033,2381,2730,36,36,36,5161,3878,6380,1414.424185942,1020.132694061,1711.927704628,150076,160903,163957,695654346,755583903,849293761,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",6,7,52913.232649935,316,179.5,55,3387,4750,1477,1819.1851851852,3304.6481481482,186.24074074074,0,1912,0,54,54,54,3387,2838,1477,1323.7026268406,769.05374735272,371.62031420728,98236,178451,10057,271575474,621064281,9192411,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,6,25476.741646265,255,137.5,56,7156,5585,9094,4690.9230769231,3968.3846153846,5011.6538461539,2295,2364,2605,26,26,26,4861,3221,6489,1313.2729167413,863.9565302455,1916.0824396107,121964,103178,130303,615240886,428110510,744817829,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,7,48013.859256423,316.15306122449,179.15306122449,56,3916,5281,756,2410.5102040816,3536.2857142857,83.448979591837,0,1968,0,49,49,49,3916,3313,756,1375.9580165962,889.46596805799,206.33004115822,118115,173278,4089,375593915,650735702,2384683,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,8,27436.49100367,253,191,56,6949,3584,3644,3618.2142857143,3010.75,1419.5,1350,2333,0,28,28,28,5599,1251,3644,1425.7923166292,364.63107941325,1171.6445390672,101310,84301,39746,421449150,257399043,93483722,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,6,25476.741646265,255,137.5,57,6881,4959,9292,4657.1923076923,3379.2307692308,5454.7692307692,2298,1990,3052,26,26,26,4583,2969,6240,1215.8252841336,780.83167495651,1855.990329882,121087,87860,141824,600881223,312141668,859734694,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,7,50953.48329253,316.15384615385,178.84615384615,57,4478,5736,1335,2881.4230769231,3586.3846153846,95.923076923077,0,1964,0,52,52,52,4478,3772,1335,1425.3213376413,1054.3855408617,274.34119633412,149834,186492,4988,535343732,725530212,4316882,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,8,27436.49100367,283,181,57,4125,4387,10723,1875.25,3278.0714285714,9395.0714285714,793,2042,8026,28,28,28,3332,2345,2697,847.65426324652,692.94737807648,852.86901119958,52507,91786,263062,117863731,313845818,2491125690,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,6,51933.357971233,316.08490566038,178.82075471698,58,5013,6067,1471,3259.4528301887,3626.3962264151,98.547169811321,133,1911,0,53,53,53,4880,4156,1471,1492.9765901359,1186.794508485,303.05975331339,172751,192199,5223,678980649,770230751,5290663,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,7,29396.240361075,282.86666666667,180.86666666667,58,4061,5390,10105,1755.9666666667,3947.1,9079.5666666667,667,2313,7905,30,30,30,3394,3077,2200,857.3903663034,904.82832625863,719.96732125713,52679,118413,272387,113820997,491130667,2488188161,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,6,25476.741646265,282.5,181,59,3367,6374,9605,1611.3846153846,4676.8846153846,8660.5384615385,800,2513,7552,26,26,26,2567,3861,2053,682.61872678227,1198.1839033111,582.18720224816,41896,121599,225174,79159778,604595609,1958601636,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,7,31355.98971848,233,303,59,2660,4105,5992,1097.15625,3056.5,3446.96875,215,2129,1480,32,32,32,2445,1976,4512,619.63928681623,593.41319989233,1125.5265286673,35109,97808,110303,50422597,309866468,419482103,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,6,45074.235220315,316.13043478261,178.39130434783,60,6113,6185,2188,4177.0652173913,3783.5,165.86956521739,940,2039,0,46,46,46,5173,4146,2188,1355.0461968701,1187.3124413285,469.65512683697,192145,174041,7630,885228955,721921111,11191502,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,7,25476.741646265,345,322.5,60,914,3843,3332,167,3171.3076923077,707.73076923077,0,2280,0,26,26,26,914,1563,3332,259.68581016297,432.60067214287,985.71486983579,4342,82454,18401,2411032,266165588,37313799,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,38215.112469398,315.62820512821,178.3717948718,61,6478,5933,893,4392.9743589744,3781.0512820513,55.179487179487,1092,1977,0,39,39,39,5386,3956,893,1431.9116498616,1151.4143464891,189.04745600188,171326,147461,2152,830544822,607936293,1476826,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,29396.240361075,219.86666666667,194.86666666667,61,11779,3361,7469,7634,3006.7,1979.5666666667,4949,2589,0,30,30,30,6830,772,7469,2012.8185761985,224.52926235832,2328.2858676737,229020,90201,59387,1865830400,272669335,274767063,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,38215.112469398,316.03846153846,178.26923076923,62,6685,5483,1192,4555.4102564103,3498.2307692308,111.76923076923,1217,1935,0,39,39,39,5468,3548,1192,1440.0821379708,1041.6295548585,282.81726121096,177661,136431,4359,888124531,518496823,3526655,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,27436.49100367,220,195,64,9178,4953,3977,5745.9285714286,4066.25,854.92857142857,3265,2975,0,28,28,28,5913,1978,3977,1598.8351761939,525.83891527236,1244.8124632984,160886,113855,23938,993458860,470428571,62303348,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,29396.240361075,385.86666666667,140.13333333333,66,1680,4504,10148,806.73333333333,3241.7333333333,6629.3666666667,340,1925,2611,30,30,30,1340,2579,7537,325.6262860411,755.17812163906,2147.9237044713,24202,97252,198881,22599502,331803576,1452248783,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,47033.98457772,325,326.5,66,10616,4559,5291,6105.9583333333,3502.9583333333,1703.0416666667,894,2326,0,48,48,48,9722,2233,5291,2863.0950219317,617.98044306773,1670.6819343868,293086,168142,81746,2174844620,606943712,270402216,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,6,35275.48843329,385.63888888889,139.88888888889,67,1962,4743,9012,842.66666666667,3275.6944444444,4849.8888888889,260,1962,1192,36,36,36,1702,2781,7820,408.44240720082,811.30395288588,2180.8415384601,30336,117925,174596,31402018,409323761,1013233644,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,7,51933.357971233,325.82075471698,325.7641509434,67,11424,4611,3579,5001.8679245283,3519.7358490566,811.43396226415,314,2239,0,53,53,53,11110,2372,3579,3535.6884599844,640.88481957319,1092.0434006139,265099,186546,43006,1976047015,677950778,96909586,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,6,33315.739075885,385.5,140,68,2055,4840,7859,834.61764705882,3398.7058823529,3589,204,1951,512,34,34,34,1851,2889,7347,442.16718452762,831.85952811145,2127.537629194,28377,115556,122026,30135835,415576536,587323054,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,7,31355.98971848,281,155,68,2009,4176,86,1451.09375,3173.375,5.03125,330,2015,0,32,32,32,1679,2161,86,515.88660665637,587.89963758363,16.83024231708,46435,101548,161,75631847,332964290,9591,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,8,29396.240361075,327.13333333333,326.13333333333,68,11317,4851,1861,4352.6,3925.3,261.3,402,2771,0,30,30,30,10915,2080,1861,3383.1139257321,615.41979785038,500.99797989819,130578,117759,7839,900272138,473222907,9327301,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,33315.739075885,385.5,140,69,2139,4792,6701,823.88235294118,3356.0882352941,2475.8529411765,194,1907,29,34,34,34,1945,2885,6672,454.54617825254,836.07848579117,1998.9731020118,28012,114107,84179,29896796,406021059,340279309,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,31355.98971848,226,149,69,935,5447,15858,288.90625,4027.0625,14552.75,0,2536,13050,32,32,32,935,2911,2808,297.82646596742,816.79029319925,605.99201527796,9245,128866,465688,5420657,539632974,6788425058,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,7,33315.739075885,326.23529411765,325.5,69,11299,5057,1156,4419.7647058824,4054.3823529412,189.58823529412,386,3017,0,34,34,34,10913,2040,1156,3351.5704239349,581.42369752426,329.36965671793,150272,137849,6446,1034856684,570048319,4802070,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,6,35275.48843329,327.5,325,70,9254,5111,174,2475.5277777778,3797.3333333333,8.3333333333333,500,2252,0,36,36,36,8754,2859,174,2411.2747131058,804.23418764153,32.961449344001,89119,136704,300,424115161,541748398,40526,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,6,29396.240361075,385.13333333333,139.86666666667,71,2263,4224,3504,905.4,3102.3,784.2,368,2072,0,30,30,30,1895,2152,3504,455.00879870235,637.17264211677,1084.7258798806,27162,93069,23526,30596432,300501639,52571366,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,7,29396.240361075,225.13333333333,148.13333333333,71,628,6937,13841,100.4,4704.3666666667,12868.433333333,0,2020,11957,30,30,30,628,4917,1884,178.01425746852,1458.0217699367,413.07264814277,3012,141131,386053,1221388,725580969,4972845535,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",6,7,29396.240361075,225.13333333333,148.13333333333,72,630,7368,12615,88.433333333333,5030,11888.733333333,0,2216,10709,30,30,30,630,5152,1906,176.20279917408,1514.5817221608,462.87742723498,2653,150900,356662,1134989,825551776,4246472818,"White"
