ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel","pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 26_Out_Channel Alignment_P2-2.czi",8,9,26456.616324968,524.87037037037,376.53703703704, , , ,1310,2445,4947,646.77777777778,1906.4814814815,3704.1851851852,0,1100,2448,27,27,27,1310,1345,2499,328.96356278625,330.00202451248,604.02566406487,17463,51475,100013,14108323,100967569,379952695
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,39948510.776022,221.87403419265,343.11968652653,39,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,89145078.769639,636.86964693985,351.73207219487,39,1,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",5,6,114645.33740819,504.26068376068,334.67948717949,39, , ,44139,1457,7332,24173.358974359,369.5641025641,4641.1196581197,10338,0,611,117,117,117,33801,1457,6721,9669.6952234729,310.39297629738,1237.8622713371,2828283,43239,543011,79215448903,27155463,2697926175
"Image 26_Out_Channel Alignment_P2-2.czi",8,9,38215.112469398,524.42307692308,376.91025641026, , , ,1497,2929,6026,606.89743589744,2021.2307692308,4237.9487179487,0,1035,2736,39,39,39,1497,1894,3290,454.27749430866,516.9727398666,865.28492261275,23669,78828,165280,22206641,169485490,728899448
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,39538923.160325,221.24017992119,343.11663899284,40,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,88701195.540186,636.86897804978,351.58023375275,40,1,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",5,6,111705.71337209,505.02631578947,334.4298245614,40, , ,32632,1384,7622,18982.333333333,321.54385964912,4445.7631578947,7636,0,127,114,114,114,24996,1384,7495,6803.9407291237,279.0622774516,1581.7594790625,2163986,36656,506817,46308681448,20586472,2535910171
"Image 26_Out_Channel Alignment_P2-2.czi",8,9,19597.49357405,782.7,283.7, , , ,192,2187,7753,34.85,1713.9,3578,0,930,224,20,20,20,192,1257,7529,57.630652479936,353.41639374599,2284.0943155013,697,34278,71560,87395,61122224,355166330
"Image 26_Out_Channel Alignment_P2-2.czi",8,10,44094.360541613,524.07777777778,376.54444444444, , , ,1515,3189,6042,679.75555555556,2065.5555555556,4431.1555555556,0,1031,2710,45,45,45,1515,2158,3332,525.81582307685,632.76588215245,896.19881508604,30589,92950,199402,32958263,209610666,918920862
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,39224383.388461,220.76095428429,342.7668498626,41,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,88237714.81716,636.76095502499,351.688761799,41,1,1, , , , , , , , , , , , , , , , , , , , , , , , 
