mr74.MV411_IRF2BP2.DMSO_2h.r1,mr75.MV411_IRF2BP2.DMSO_2h.r2,mr76.MV411_IRF2BP2.DMSO_2h.r3,mr77.MV411_IRF2BP2.DMSO_2h.r4,mr78.MV411_IRF2BP2.DMSO_6h.r1,mr79.MV411_IRF2BP2.DMSO_6h.r2,mr80.MV411_IRF2BP2.DMSO_6h.r3,mr81.MV411_IRF2BP2.DMSO_6h.r4,mr82.MV411_IRF2BP2.VHL_2h.r1,mr83.MV411_IRF2BP2.VHL_2h.r2,mr84.MV411_IRF2BP2.VHL_2h.r3,mr85.MV411_IRF2BP2.VHL_2h.r4,mr86.MV411_IRF2BP2.VHL_6h.r1,mr87.MV411_IRF2BP2.VHL_6h.r2,mr88.MV411_IRF2BP2.VHL_6h.r3,mr89.MV411_IRF2BP2.VHL_6h.r4,genes
29,14,2,25,15,12,20,40,52,48,21,14,19,2,32,26,MRPS28
0,0,0,2,2,2,2,1,4,1,4,2,0,0,0,0,LACTB2
31,12,4,23,7,9,11,10,13,21,11,49,3,7,9,12,TERF1
16,6,0,18,22,25,12,16,12,2,12,42,9,31,15,35,RPL7
0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,ATP6V0D2
791,280,221,275,312,433,446,397,766,551,527,639,334,141,291,290,MTDH
67,26,26,10,62,48,38,32,88,58,38,112,26,8,16,14,LRP12
111,44,26,96,63,112,63,67,190,76,124,99,78,30,15,49,EBAG9
51,18,51,138,37,52,56,55,96,66,70,79,59,18,36,39,POLR2K
125,118,107,207,49,135,107,156,251,205,158,190,124,92,118,133,EIF3H
214,112,79,143,77,151,188,152,297,188,237,299,109,58,94,91,UTP23
31,16,38,40,26,24,14,8,10,21,33,39,1,8,17,30,NDUFB9
3,6,0,20,5,6,6,13,45,17,4,8,9,4,8,6,TATDN1
61,28,81,34,48,37,39,34,40,49,53,52,23,25,38,49,ZNF7
6,13,13,12,11,16,15,8,22,19,8,13,31,7,15,11,SLC39A4
7,5,0,12,3,7,13,20,0,14,20,14,1,12,10,27,NAPRT
38,27,34,21,26,66,40,35,84,58,45,67,49,30,36,55,VLDLR
57,51,14,41,23,52,26,63,148,52,65,140,18,6,24,27,AK3
135,100,21,47,89,201,213,205,200,151,91,95,119,66,81,78,UHRF2
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NFIB
2,4,0,6,2,2,2,6,20,9,7,13,10,1,0,6,PLIN2
73,50,63,48,20,38,61,41,115,84,89,115,29,20,38,25,HAUS6
0,2,10,2,10,11,10,14,11,13,4,23,7,5,4,4,CDKN2B
468,91,0,129,25,169,127,225,337,203,65,388,146,101,137,161,CDKN2A
63,44,6,32,84,87,86,113,110,66,46,109,67,32,80,33,C9orf72
86,32,12,28,22,48,70,77,114,75,48,97,50,8,38,34,ZCCHC7
1,13,0,15,0,16,5,3,6,14,3,4,5,8,5,5,FBXO10
53,125,39,127,27,143,87,137,87,183,84,188,45,68,23,63,SIGMAR1
8,2,0,2,3,2,3,2,2,1,12,3,4,0,1,2,CBWD5
12,2,11,4,5,4,8,13,3,19,9,7,5,6,4,4,CEP78
0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,NTRK2
0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,IDNK
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,SHC3
0,0,0,3,0,0,2,0,0,1,1,0,1,0,1,2,AUH
196,94,120,61,63,138,127,159,259,173,115,156,86,39,74,47,MFSD14B
0,0,0,4,0,2,0,6,0,1,0,4,2,0,0,0,AOPEP
231,99,207,146,110,139,146,133,238,162,250,299,110,36,92,86,INIP
72,43,38,54,51,67,102,71,120,73,92,90,89,26,61,57,UGCG
61,23,2,64,15,67,30,61,53,68,45,98,39,27,16,25,SNX30
75,74,11,92,65,114,130,114,158,110,94,166,74,64,44,65,STOM
18,42,8,63,8,51,18,43,38,65,50,41,31,30,10,22,GSN
91,90,18,181,60,98,118,137,152,235,88,123,95,71,42,60,MRRF
19,18,3,4,12,18,11,20,10,15,8,17,13,12,2,9,NR6A1
13,20,5,17,17,25,18,23,10,14,18,27,12,14,11,18,ALAD
2,3,0,18,4,5,2,3,0,4,3,3,0,3,0,0,WDR31
133,124,7,126,57,190,103,198,223,206,107,243,82,103,68,71,POLE3
683,742,156,701,374,783,421,916,930,1204,570,1073,431,446,290,314,SURF4
8,24,0,14,9,17,0,10,21,22,9,24,3,6,0,0,GBGT1
0,0,0,10,2,4,2,0,0,0,0,2,0,0,4,6,SURF1
99,78,112,70,47,101,63,105,174,178,72,205,81,68,58,101,SURF6
49,43,2,38,20,118,12,103,43,123,26,96,33,55,20,88,MED22
2,42,0,44,8,28,38,40,24,48,20,78,20,12,6,36,REXO4
2,0,0,0,0,0,0,1,0,1,1,2,0,0,1,2,RPL7A
21,25,34,30,6,19,26,16,28,32,22,11,4,26,8,14,GTF3C5
29,53,0,32,19,65,34,79,34,65,56,90,44,50,20,44,ASB6
2,4,0,6,0,8,0,8,6,14,14,14,4,16,8,14,PTGES2
4,46,0,62,34,27,30,53,20,102,34,85,21,29,30,25,NTMT1
26,6,0,7,7,12,7,28,6,0,7,0,0,0,0,0,CIZ1
43,44,37,49,25,92,44,61,84,90,55,92,19,65,26,28,SLC25A25
0,3,0,3,0,4,0,6,3,6,0,0,0,3,0,0,SH3GLB2
8,15,0,49,2,21,19,21,22,48,5,33,2,9,19,7,MIGA2
0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,LRSAM1
140,144,12,173,60,163,71,155,163,230,114,164,67,85,72,57,GPR107
8,4,0,4,1,10,1,7,6,7,5,15,4,5,2,8,PAXX
0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,IDI2
9,4,0,10,4,7,5,8,6,3,8,12,14,6,0,0,INPP5E
165,159,33,204,78,138,138,189,177,291,108,189,90,81,57,57,SEC16A
2,2,0,5,1,5,4,5,3,5,6,4,0,2,4,3,DPH7
66,65,9,48,29,68,25,61,93,107,25,76,30,22,12,28,NOTCH1
217,172,58,208,61,212,97,195,243,268,131,244,77,82,61,105,NACC2
1,8,0,0,0,13,0,13,0,6,4,37,2,1,3,0,PROSER2
26,14,0,8,24,11,0,24,26,16,30,17,4,13,5,6,USP6NL
21,28,0,59,23,45,14,57,50,42,15,25,32,7,27,12,COMMD3
0,1,0,3,0,0,0,0,0,0,0,3,0,0,2,5,MSRB2
10,8,0,11,11,11,2,4,15,17,8,24,9,2,9,10,PDSS1
25,3,0,2,10,2,25,4,7,3,9,4,1,0,6,8,MINDY3
26,34,4,20,12,20,30,16,22,26,18,16,14,8,10,26,RSU1
0,3,4,0,5,7,18,3,0,1,4,3,0,0,4,1,ST8SIA6
6,8,0,0,14,7,0,4,10,1,1,3,0,3,1,3,ZEB1
30,40,38,60,30,14,48,40,56,40,42,54,34,12,26,40,NRBF2
26,12,7,13,6,26,14,25,24,22,7,20,6,15,8,9,POLR3A
48,15,7,13,15,24,48,26,39,20,17,39,35,12,21,5,HERC4
0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,LRMDA
3,6,2,17,10,27,20,30,15,21,20,6,6,13,4,4,CAMK2G
28,14,9,28,3,30,50,20,61,28,26,28,25,20,23,12,GLUD1
0,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,ANKRD1
6,3,12,21,0,0,6,12,12,9,21,3,1,6,3,21,HTR7
4,2,0,2,12,7,1,4,5,10,0,9,10,6,2,2,RPP30
1,0,0,0,0,0,0,0,10,2,0,0,0,1,0,0,FRA10AC1
5,1,0,9,6,8,5,16,15,7,1,8,7,3,5,4,ADD3
25,96,0,47,9,54,30,107,44,80,119,81,15,38,48,32,DNAJB12
87,71,48,77,29,90,41,89,62,99,73,99,35,60,31,34,EIF4EBP2
0,3,0,0,0,6,0,9,6,0,0,6,24,3,6,0,TCF7L2
76,72,28,74,41,89,50,86,75,143,57,105,28,41,20,60,MKI67
0,2,0,12,20,1,0,4,0,8,0,16,2,0,16,4,FUOM
5,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,LRRC27
2,0,0,0,0,14,0,3,0,0,0,0,0,6,4,4,MTG1
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,NKX6-2
0,0,0,0,0,4,0,2,0,3,0,1,0,0,0,0,PAOX
6,0,0,2,2,0,2,0,2,6,0,28,2,0,0,10,GSTO1
34,13,7,24,9,18,9,13,15,28,14,20,15,3,12,14,TAF5
14,15,0,0,3,23,0,25,19,36,12,20,9,12,9,6,PPRC1
94,97,48,123,130,248,146,203,209,189,51,199,124,111,135,167,ITPRIP
2,6,1,2,7,12,6,20,7,12,13,7,3,10,1,5,CNNM2
2,13,4,1,13,10,2,16,19,33,7,9,4,5,1,3,PDCD11
0,2,0,8,0,4,7,8,4,4,10,4,8,0,4,0,RGS10
64,54,56,37,20,104,59,57,88,68,41,143,20,41,29,25,BTBD10
12,4,52,4,0,12,8,15,36,12,16,16,4,0,4,9,ADM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,GAS2
298,102,140,50,127,163,158,192,273,230,220,265,130,36,114,122,LIN7C
3,1,0,19,2,0,0,1,10,0,0,0,0,0,1,0,IMMP1L
58,119,10,38,0,140,6,170,58,61,41,98,107,33,4,49,PGAP2
0,0,0,0,0,1,15,1,0,1,4,6,0,0,2,4,TUT1
39,44,25,27,35,30,80,47,84,58,71,73,21,15,14,16,HSD17B12
0,0,0,0,0,8,3,3,0,3,1,0,0,0,0,0,APIP
30,17,0,3,1,8,0,25,18,17,10,54,22,22,14,8,DGKZ
364,241,118,295,266,342,406,340,489,331,354,488,290,153,271,170,EIF3M
31,7,0,9,0,10,21,12,18,33,11,18,14,3,9,1,TNKS1BP1
3,24,0,33,7,23,2,17,8,20,13,14,1,5,4,15,SSRP1
39,56,10,75,12,55,26,79,40,105,83,48,26,28,18,40,SLC43A1
197,124,20,80,73,154,118,162,199,193,177,261,113,120,103,120,PTPRJ
15,7,0,4,17,17,7,21,9,4,12,19,16,16,0,4,C11orf49
34,89,16,83,14,93,41,128,87,110,18,83,59,76,30,28,ARFGAP2
192,186,44,208,130,212,90,327,333,419,235,333,104,111,100,71,CELF1
11,12,15,37,6,14,18,8,33,7,9,17,6,1,15,8,HIKESHI
0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,CCDC81
63,34,43,43,39,54,40,82,65,36,43,73,38,22,22,37,SESN3
0,0,0,5,0,11,9,6,2,5,7,1,5,4,7,5,ENDOD1
4,1,0,3,5,0,2,1,10,7,4,9,1,1,1,5,CCDC82
6,17,0,21,15,5,6,18,21,23,3,36,6,8,6,15,SERPINH1
38,20,40,21,14,24,12,26,59,48,13,19,13,15,24,5,INTS4
59,21,12,71,28,62,61,78,48,39,24,45,12,37,16,31,PAK1
276,234,156,368,130,527,288,325,246,442,144,483,163,311,147,262,RPS3
14,16,0,0,14,12,8,10,36,32,24,40,2,2,4,8,ZC3H12C
0,0,0,0,0,0,0,2,3,4,0,1,0,0,0,1,TTC12
48,20,25,26,14,27,26,26,63,34,45,41,9,8,35,16,NPAT
84,72,22,58,55,80,62,99,85,133,40,53,82,33,42,36,ATM
155,88,88,76,84,100,92,116,196,127,140,189,65,36,73,53,AASDHPPT
0,8,0,0,10,4,34,4,0,16,0,0,2,0,4,10,GLB1L2
27,16,0,23,13,25,12,38,27,32,17,33,6,13,18,25,SLX4IP
68,129,0,129,18,134,66,99,130,172,46,171,39,56,36,89,LAMTOR1
1,5,10,6,0,2,0,7,11,4,2,0,4,3,2,0,ST14
129,167,11,196,131,428,171,305,232,260,126,244,188,244,160,117,HYOU1
16,15,0,5,12,11,12,18,15,12,11,13,8,6,5,5,KAT14
0,53,0,37,7,94,7,93,15,49,18,18,8,92,15,2,TKFC
14,51,26,28,18,38,12,93,37,67,12,74,17,47,20,32,MTA2
143,172,28,221,97,271,223,308,243,304,158,526,172,251,154,234,TMEM138
21,19,35,32,28,36,23,54,66,91,28,109,15,21,47,39,FADS1
0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,ROM1
11,3,0,21,0,10,7,11,12,7,28,8,14,20,33,5,EML3
11,17,0,24,7,28,0,41,22,27,8,11,5,25,10,9,INCENP
335,331,124,377,271,376,210,412,401,401,398,428,205,122,125,102,MS4A3
408,449,84,520,144,440,248,664,541,817,408,661,174,292,167,208,CPSF7
7,0,0,1,0,0,0,1,4,0,2,1,0,0,0,0,MS4A2
7,4,0,5,6,35,7,37,10,31,0,18,23,25,12,28,B3GAT3
178,147,25,148,131,187,107,310,186,248,113,360,98,121,101,66,EI24
8,4,0,8,8,10,10,2,16,4,0,6,6,4,10,0,CCDC15
197,99,93,93,52,144,92,120,283,231,138,284,68,33,68,58,CHEK1
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,ESAM
0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,KIRREL3
5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,MPZL2
0,4,0,0,0,0,0,4,0,0,0,4,0,17,0,0,SIDT2
0,2,0,0,0,0,0,4,10,4,0,0,0,0,0,0,TMEM25
0,0,0,0,30,0,0,0,0,0,0,0,3,0,0,0,TAGLN
34,33,14,37,19,19,13,34,89,72,44,80,51,38,26,27,COMMD7
6,6,0,0,0,8,6,3,3,5,2,3,0,2,5,2,OCSTAMP
34,28,0,42,24,50,54,38,52,58,36,54,16,20,7,2,DSN1
43,44,13,46,34,92,24,97,61,94,34,143,35,49,42,61,SOGA1
2,5,0,11,7,6,0,4,10,2,4,8,7,2,9,2,CNBD2
27,10,12,19,2,17,18,16,10,25,11,37,7,10,4,3,LSM14B
118,68,44,84,67,94,83,82,125,84,104,95,46,29,47,50,YTHDF1
9,16,0,8,5,11,8,18,8,17,7,13,1,11,0,5,CABLES2
61,45,0,32,79,87,26,68,83,141,36,93,40,15,8,33,LTO1
0,0,0,0,0,0,0,0,0,3,0,0,0,2,6,0,TRPT1
11,24,0,29,17,31,39,35,31,36,17,51,27,19,10,20,NUDT22
9,21,6,24,12,18,42,29,69,33,36,39,12,39,9,29,FERMT3
6,5,0,12,0,2,0,0,0,2,2,0,6,5,0,0,PLCB3
71,156,6,166,46,133,32,139,194,156,81,284,62,60,88,91,MRPL49
0,0,0,0,0,1,0,0,0,3,2,0,0,3,0,0,CDC42EP2
93,43,12,210,91,128,91,64,157,92,123,217,86,81,96,145,FAU
14,9,0,5,0,19,0,1,3,7,0,18,0,4,1,0,TM7SF2
5,0,15,4,0,10,2,10,23,18,0,11,9,7,1,10,VPS51
0,0,0,0,0,2,3,0,2,5,0,0,6,0,1,0,TBX6
21,73,0,103,25,80,43,90,62,103,15,96,27,69,25,38,PPP4C
643,249,43,557,85,448,182,279,456,420,206,635,168,212,120,248,ALDOA
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,TLCD3B
0,0,0,12,0,2,14,6,14,8,0,8,0,0,2,10,DOC2A
9,15,16,21,2,5,8,13,10,17,10,2,4,11,6,9,HIRIP3
14,2,0,6,8,6,0,8,6,5,11,10,1,7,12,2,TAOK2
4,13,55,12,5,28,16,16,11,23,10,5,9,8,9,52,TMEM219
14,8,0,6,0,9,16,2,36,8,6,21,8,0,2,4,CNKSR2
0,0,0,0,0,4,0,0,1,0,0,0,9,0,0,0,CLEC1A
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,MKX
4,3,0,0,0,0,0,0,2,2,1,1,0,0,0,0,MPP7
39,9,3,3,0,20,32,6,45,12,8,11,10,15,4,0,ITGB1
12,3,0,7,0,9,10,8,17,6,4,5,9,2,8,2,CWC15
2,1,1,4,1,0,3,2,2,0,4,8,4,1,0,1,FCGR1A
0,0,0,0,0,2,0,2,0,3,0,1,4,2,5,3,ARID5B
20,20,0,12,9,16,6,31,33,49,25,7,3,16,3,5,DCUN1D2
10,3,0,1,0,10,8,1,0,23,4,2,0,2,13,9,TMCO3
13,0,0,14,0,21,0,22,57,7,24,17,23,42,4,8,TMEM218
0,0,0,3,0,2,6,3,0,0,2,0,0,0,0,0,TIRAP
12,6,0,34,0,8,2,0,10,10,21,33,10,0,2,6,EEF1AKMT1
114,40,19,45,36,67,57,63,69,82,45,72,37,13,18,37,LATS2
448,300,278,666,288,324,422,417,546,520,353,686,255,184,292,337,SAP18
356,231,129,218,133,343,225,356,244,415,227,484,258,136,109,207,ADGRL3
5,17,0,18,9,24,13,23,27,33,8,36,1,14,9,20,KIAA1328
10,0,0,8,2,7,2,3,7,7,2,16,3,0,0,6,FAM124A
0,5,0,15,10,0,0,0,0,5,0,5,0,0,0,0,MIA2
3,2,3,10,10,7,6,11,2,3,18,5,8,6,4,16,HNMT
26,22,32,34,36,40,34,46,84,56,38,40,36,14,14,28,PDCD4
2,9,0,0,2,7,10,4,0,0,0,13,5,0,1,0,CD226
7,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,FSIP1
40,29,38,69,25,39,32,34,54,34,41,50,27,6,17,20,RGS18
16,14,4,40,4,37,6,35,54,41,24,22,13,7,11,2,MTMR12
497,658,158,659,423,984,573,812,713,879,541,850,452,755,453,421,CCT5
10,12,3,5,12,15,19,17,15,47,6,22,0,5,24,1,ATPSCKMT
40,26,0,15,33,36,24,64,32,61,44,58,22,31,18,39,DIXDC1
159,168,55,154,96,212,201,205,285,283,166,300,142,117,94,108,DLAT
231,182,59,185,158,177,201,234,343,308,247,427,168,119,166,151,NKAPD1
61,50,19,157,39,47,57,46,94,90,86,109,60,29,32,36,TIMM8B
12,10,0,41,40,34,13,30,22,44,34,34,26,6,16,43,PTS
65,37,16,78,17,36,20,63,77,54,33,70,31,17,23,18,PIP4K2A
0,2,0,0,1,4,0,4,0,0,2,0,3,0,1,1,FOXO1
0,0,0,0,0,3,4,1,3,1,0,4,0,0,0,0,CRIM1
55,45,14,37,19,52,27,62,55,50,59,70,49,33,22,31,SEC24D
0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,ABCB9
78,91,8,118,28,102,68,104,114,110,88,115,63,79,50,65,RILPL2
8,25,0,4,13,26,2,41,19,54,6,36,14,18,0,6,DHX37
45,38,3,32,12,26,40,74,134,40,36,85,40,24,39,63,UBC
92,38,24,52,112,112,94,112,74,68,72,70,36,20,50,34,ITPR1
0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,PRSS53
182,92,34,79,73,122,90,129,335,300,279,338,199,72,138,140,SLC7A11
52,66,39,30,20,68,82,48,56,68,32,47,62,26,42,53,NOCT
55,92,32,94,49,86,54,105,103,126,74,93,54,87,20,56,CACNA2D4
7,23,1,17,10,23,26,37,35,37,16,57,5,18,18,22,DCP1B
98,71,25,53,43,91,66,83,102,98,115,156,81,37,48,77,NGLY1
18,9,17,41,11,17,12,21,28,35,10,53,18,12,11,12,OXSM
58,26,10,42,15,29,32,52,107,58,54,72,7,8,4,15,UEVLD
0,1,0,1,0,2,0,1,6,4,5,5,0,0,0,0,TMEM86A
27,12,18,58,19,18,24,15,28,32,14,27,27,11,18,13,C12orf45
27,24,16,2,9,24,8,23,24,20,23,30,9,11,0,8,TMEM263
15,16,0,3,6,7,0,6,13,7,7,14,1,1,1,2,BTBD11
19,18,0,46,12,49,51,65,31,31,9,27,32,37,15,7,UBE3B
1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,ANK3
41,13,8,1,8,26,30,31,44,16,33,42,12,4,16,16,IPMK
0,0,0,0,1,9,15,0,3,0,8,0,0,0,0,0,RAD9B
48,44,1,26,15,31,18,47,44,53,31,80,14,16,14,46,PLBD2
5,8,0,6,1,8,0,11,3,10,8,18,0,5,2,3,DLG5
15,9,1,5,18,14,12,15,8,15,23,11,1,4,3,4,SLC2A13
54,28,36,44,26,40,12,46,69,67,58,82,27,14,23,39,GXYLT1
196,39,67,69,97,69,110,75,159,91,130,136,62,26,46,39,TWF1
0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,DIP2C
66,46,2,36,22,38,53,43,155,64,39,74,27,21,11,26,EIF4E
128,56,42,68,110,121,109,78,139,77,66,106,49,20,93,32,TEX30
365,161,84,124,196,222,291,222,228,190,116,231,233,58,231,219,CSNK1G3
7,6,0,9,13,9,3,11,20,11,9,19,5,4,1,3,SRFBP1
13,5,0,6,3,7,12,24,17,5,20,28,7,2,11,11,FAM177A1
77,16,16,100,49,38,78,26,141,93,49,92,54,25,33,109,MBIP
16,38,24,104,8,62,40,44,44,82,32,26,24,6,44,18,EXT2
50,71,3,33,25,81,82,87,76,45,33,117,75,35,66,19,TMEM18
0,0,0,4,0,3,0,3,0,2,0,5,0,3,0,0,KCTD14
87,49,108,75,47,75,79,70,121,112,103,129,78,49,78,93,NDUFC2
14,11,9,9,0,23,10,15,11,12,7,5,8,11,16,4,NUBPL
81,52,21,24,71,49,74,66,80,65,76,71,42,12,38,28,NEK7
9,7,5,0,19,15,15,18,13,13,15,24,7,8,6,11,FER
18,26,0,40,26,49,48,59,74,28,28,60,70,30,18,16,VIPAS39
12,15,49,5,17,4,8,7,24,15,9,15,1,1,2,5,ANKRD50
110,46,78,88,38,72,88,98,134,108,130,170,36,28,24,106,UPF2
5,0,0,10,2,6,2,22,11,29,4,16,2,5,6,4,CDC123
14,5,0,2,6,11,29,1,8,21,12,16,10,9,2,6,SCLT1
18,2,2,0,0,8,0,1,5,0,0,14,6,0,2,9,C4orf33
0,0,0,3,4,2,0,8,1,0,0,0,0,3,1,0,FRMD4A
9,0,0,0,0,3,0,0,0,0,0,7,6,6,0,0,PTPRO
0,21,1,0,7,12,1,2,15,18,0,2,1,1,4,0,EPS8
3,30,6,13,12,10,24,49,12,16,31,11,4,16,0,8,ACAD8
4,2,0,30,0,4,6,4,0,6,2,12,3,0,2,4,THYN1
52,55,26,63,14,75,30,68,34,85,41,70,23,43,25,25,VPS26B
41,51,4,100,38,63,46,74,93,102,70,75,35,40,28,34,NCAPD3
10,6,0,15,10,10,0,4,4,7,5,6,5,3,8,4,VTI1A
9,11,0,20,4,65,3,19,37,26,23,23,0,0,4,23,QDPR
27,17,2,2,26,11,20,23,25,19,40,55,4,2,14,12,FAM160B1
0,0,0,0,1,3,3,1,0,1,0,0,1,0,0,0,TEX9
134,108,12,75,59,114,87,124,127,156,105,194,85,57,63,53,QTRT2
34,15,8,11,16,28,22,18,19,19,28,28,14,5,10,11,MMAA
0,0,0,0,0,8,0,3,0,0,0,3,0,0,0,0,NR3C2
3,3,0,2,1,1,1,4,14,3,0,6,4,7,0,3,VENTX
0,2,0,2,0,13,0,4,0,1,0,2,4,2,0,0,ADAM8
10,9,4,1,2,10,5,7,19,9,9,7,17,10,4,4,KIN
2,2,0,3,0,3,0,2,1,3,3,10,1,12,1,7,PIGF
0,0,0,1,0,7,0,0,1,4,0,7,0,1,1,0,ANKAR
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,INPP1
0,6,0,0,0,0,0,1,14,3,2,4,2,0,0,0,MFSD6
128,93,58,117,57,64,27,80,98,112,77,114,39,30,27,19,RNF144A
0,0,0,0,0,4,0,2,6,0,0,0,0,0,0,0,ASAP2
53,39,21,53,28,42,39,33,74,78,45,84,19,19,25,33,ADAM17
447,292,134,462,229,422,327,405,469,495,415,727,203,137,221,299,FLI1
78,30,0,14,8,33,36,13,87,47,10,28,0,14,1,19,WWC2
71,31,26,36,18,43,81,42,45,43,37,69,15,2,15,9,CENPU
409,412,91,381,249,769,419,602,822,738,715,785,421,333,309,281,ACSL1
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,SLC25A4
6,17,0,1,14,9,3,0,16,3,0,0,4,3,6,0,AMN1
17,14,0,15,16,21,11,12,38,9,17,27,15,5,9,13,BICD1
11,13,0,14,26,18,28,27,24,21,13,44,8,5,4,10,SAV1
2,10,0,19,2,8,0,8,4,8,2,10,0,2,3,10,NBAS
100,51,2,45,33,68,65,64,82,81,50,91,54,18,36,29,GUF1
0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,GABRA2
80,39,13,29,46,52,82,65,113,44,67,73,67,9,53,38,SACS
7,50,2,145,76,129,162,111,133,121,60,102,101,64,81,115,PABPC3
106,54,27,95,68,91,144,103,143,123,110,156,55,82,72,80,CENPJ
8,11,2,21,13,2,14,24,50,11,1,23,14,1,3,5,FBXO4
55,25,24,27,16,30,43,34,122,19,63,30,46,9,20,7,TMEM267
808,486,472,584,462,631,642,661,926,844,692,908,510,222,379,385,PARP8
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,GFRA1
46,49,10,40,29,73,42,62,93,89,69,49,30,26,32,23,CACUL1
0,0,0,12,0,10,0,4,8,8,0,0,0,5,12,12,DST
3,4,0,0,2,0,0,2,5,14,6,10,6,1,4,2,BEND6
136,48,17,48,49,52,61,71,121,105,78,65,37,33,32,27,TIAL1
2,3,0,1,0,2,7,4,16,10,3,21,0,2,6,4,BAG3
3,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,GLT1D1
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,SCHIP1
0,6,0,0,3,2,0,7,1,6,2,6,9,9,4,5,AP1S3
79,77,63,73,55,100,65,136,132,104,115,119,47,44,50,25,RABGAP1L
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,CCDC74B
18,8,15,22,0,33,18,8,22,19,17,24,24,0,8,4,MZT2B
192,180,38,139,78,190,89,213,231,279,161,249,83,67,74,47,FAM168B
54,61,17,40,10,27,11,36,68,83,38,100,13,16,11,7,PTPN14
60,88,32,72,24,162,58,150,140,126,106,138,52,86,28,36,MGAT5
0,0,0,0,1,2,1,0,3,3,0,0,0,0,0,0,TMEM163
73,43,37,54,40,60,35,78,117,87,71,107,34,40,40,39,GPATCH11
82,42,68,165,38,39,45,66,113,84,68,148,28,21,26,65,GEMIN6
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,TMEM178A
51,31,28,24,29,18,28,24,58,38,34,67,12,17,21,22,OBI1
2,4,0,0,4,2,3,8,17,4,13,12,17,8,4,8,CYSLTR2
10,8,5,7,11,9,8,22,18,20,23,26,9,4,4,4,ARL11
0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,SETBP1
31,36,4,34,19,42,68,46,60,65,79,54,29,13,26,28,ARL14EP
24,30,3,22,20,41,31,52,36,52,30,31,35,11,11,15,EPG5
26,18,34,22,14,32,38,20,50,10,12,58,4,2,10,14,PSTPIP2
249,173,59,208,100,276,241,310,336,371,170,315,151,192,122,78,ATP5F1A
16,20,9,64,16,44,43,20,21,52,28,55,12,14,6,3,HAUS1
234,134,28,119,78,167,124,158,270,226,158,288,90,54,72,111,C18orf25
32,15,3,20,21,28,24,34,58,41,33,43,13,16,14,17,PDK1
131,79,85,71,84,102,101,100,167,152,87,188,90,26,52,111,PDE3B
820,778,127,592,394,1177,463,990,916,1083,859,914,678,526,432,505,TGOLN2
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,KCNK13
642,448,276,351,354,635,303,682,789,707,561,692,390,184,285,358,UHMK1
3,3,0,0,6,12,8,8,11,5,3,15,0,4,7,5,ATG10
21,16,0,10,7,8,12,10,25,30,11,31,6,0,3,5,POC5
48,36,24,34,12,22,20,32,12,36,42,44,22,20,22,16,SPOCK1
31,25,41,12,29,28,22,25,42,44,26,53,17,9,17,17,TADA1
0,0,0,2,2,2,0,0,0,0,0,1,0,0,0,0,GUCY1A2
17,23,6,4,2,15,17,12,25,27,10,25,24,4,4,4,CWF19L2
85,47,53,42,66,93,81,99,78,96,69,141,76,35,69,67,JMY
19,22,12,3,13,27,22,24,33,41,45,46,13,9,14,26,HOMER1
18,6,12,9,42,21,42,18,81,12,51,48,36,0,9,57,XRCC4
7,10,16,9,22,13,20,13,14,18,14,15,7,6,12,6,ZNF547
