mr74.MV411_IRF2BP2.DMSO_2h.r1,mr75.MV411_IRF2BP2.DMSO_2h.r2,mr76.MV411_IRF2BP2.DMSO_2h.r3,mr77.MV411_IRF2BP2.DMSO_2h.r4,mr78.MV411_IRF2BP2.DMSO_6h.r1,mr79.MV411_IRF2BP2.DMSO_6h.r2,mr80.MV411_IRF2BP2.DMSO_6h.r3,mr81.MV411_IRF2BP2.DMSO_6h.r4,mr82.MV411_IRF2BP2.VHL_2h.r1,mr83.MV411_IRF2BP2.VHL_2h.r2,mr84.MV411_IRF2BP2.VHL_2h.r3,mr85.MV411_IRF2BP2.VHL_2h.r4,mr86.MV411_IRF2BP2.VHL_6h.r1,mr87.MV411_IRF2BP2.VHL_6h.r2,mr88.MV411_IRF2BP2.VHL_6h.r3,mr89.MV411_IRF2BP2.VHL_6h.r4,genes
3,3,0,0,0,10,6,0,0,0,0,12,0,2,0,0,TRAPPC6A
0,0,0,0,0,0,0,0,18,9,0,24,3,3,0,0,MATK
3,9,8,8,0,15,0,12,11,15,6,10,0,12,14,12,ST7L
0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,TKTL1
0,0,0,0,2,2,0,0,2,0,1,0,0,0,0,0,PAX6
31,35,0,18,3,44,18,63,57,71,28,71,12,23,21,16,RPUSD1
0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,RHBDF1
78,36,0,38,34,87,71,115,106,165,41,129,30,61,28,53,LUC7L
0,0,6,3,0,7,0,6,0,0,0,0,0,0,0,9,BAIAP3
6,8,0,7,1,6,0,6,12,13,7,27,10,3,0,17,TSR3
16,11,0,3,6,10,0,14,2,19,8,12,12,17,0,0,PIGQ
134,96,34,148,40,102,66,142,160,236,136,176,50,108,38,58,CRAMP1
0,9,0,7,6,15,9,10,14,24,3,23,1,6,1,1,TEAD3
12,35,0,6,16,30,28,61,37,28,33,72,5,16,12,8,DNAJC11
115,31,6,23,83,115,95,154,146,89,77,114,162,85,130,199,MYLIP
84,116,16,94,25,83,53,92,110,155,96,106,42,62,27,34,E2F2
13,9,0,4,6,14,19,17,22,14,10,5,2,2,10,7,PSMB1
