,IRF8,RUNX1,HOXA9,FLI1,TFAP4,MAX,FLAG_MEF2D,ZEB2,PLAGL2,RUNX2,SP1,FOSL2,CEBPA,RXRA,E2F3,ZMYND8,ETV6,GATA2,ZNF281,FLAG_GFI1,SPI1,LYL1,MEIS1,MYB,MEF2C,MYC,SREBF1,LMO2,STAT5B,AFF4,BRD4,CDK13,CDK9,CEBPB,ELF2,FOXP1,GSE1,IKZF1,JUND,LDB1,MLL_KTM2A,MYBL2,PSER2,RARA,WDR5,IRF2BP2,POLII,cohesin,mediator,promoter,super_enhancer,open regions,H3K18,H3K27ac,H3K27me3,H3K36me2,H3K36me3,H3K4me1,H3K4me3,H3K79me2,H3K9ac
LYL1,0.0,0.0,6.766914469918412e-226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013632609768128e-268,0.0,0.0,2.8522858829206606e-293,0.0,0.0,0.0,1.863454860300573e-234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1070137788490586e-177,0.0,0.0,3.837494845976159e-19,0.0,2.5324275008224345e-15,0.0,0.0,0.0,0.0,1.8570380654320344e-129,0.0,0.0,1.3971856859044762e-12,0.0,3.547161217503983e-31,1.0,0.0,0.025805180362262193,0.0,1.585072363837812e-266,0.0,0.0,0.020763858007787767,4.750864762198103e-35,1.4791935873406122e-10,0.0,0.0,0.21919263874667294,2.1191980152839154e-43,2.2897669656177987e-07,0.0,1.8829996705042265e-50,1.0,9.206656787385683e-192
MEIS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9150240966715797e-258,0.0,0.11526819446285455,0.0,0.0,0.0,0.0,2.3201045891862615e-22,0.0,0.0,1.0,0.0,4.2781878281539685e-20,1.1949682179209304e-24,0.0,1.8653685657669965e-59,0.0,0.0,0.0,0.0,0.0,3.613149655729336e-59,0.6740813861305346,0.0,0.0,1.7470094380685137e-25,3.4642157772189846e-15,5.581053777139548e-69,0.0,0.0,4.4521737723039734e-299,0.0
MYB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.720610068685243e-275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1957502799169358e-12,0.0,0.0,0.0,0.0,4.183939420476472e-42,0.0,0.0,1.0,0.0,1.2714465270700476e-79,3.35773038260538e-239,0.0,1.7776084096878473e-124,0.0,0.0,0.0,0.0,0.0,1.1104872012763718e-64,8.655059524395604e-24,0.0,0.0,6.658542642693272e-10,1.6776407798334974e-63,1.1140870179968852e-11,0.0,0.0,0.0,0.0
MEF2C,0.0,0.0,1.5981638282627322e-160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.651417380344129e-276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.530398407529397e-17,0.0,0.0,0.0,0.0,2.2047853738787363e-35,0.0,0.0,0.00027871828785770014,0.0,1.0614278738884369e-63,1.4405735926965551e-59,0.0,6.535305855251897e-48,0.0,0.0,4.973021430322578e-189,0.0,1.1440612867237046e-228,1.0342078947219397e-38,0.00487585480942712,0.0,0.0,5.854348189523606e-52,1.0,1.5473013572931142e-17,0.0,0.0,7.198273977873401e-173,0.0
MYC,0.0,0.0,1.0835667656990919e-138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1225907875998178e-268,0.0,0.0,0.0,0.0,0.0,4.834825361705559e-224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.044611676843319e-11,0.0,0.0,0.0,0.0,2.6813734271185206e-29,0.0,0.0,0.5589187991927808,0.0,5.460086407762631e-53,6.058590702075572e-233,0.0,5.676128550770718e-152,0.0,0.0,0.0,0.0,0.0,1.3341963753211368e-87,1.586391576587417e-10,0.0,0.0,4.901216990986999e-40,0.0,3.722645724190702e-43,0.0,0.0,0.0,0.0
SREBF1,1.3977707570499805e-254,0.0,4.4883965642442943e-41,0.0,0.0,6.924681962613319e-213,0.0,0.0,0.0,1.2039755077495972e-185,0.0,8.981878030250835e-271,4.4243719071855783e-16,0.0,0.0,0.0,0.0,1.4040804808333492e-24,0.0,0.0,6.278430350747075e-108,5.17721593967316e-152,7.368321390416597e-253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.361064450278671e-41,0.0,0.0,0.0,0.0,1.2222645251175614e-24,0.0,3.192451426964291e-241,7.463831783078001e-08,1.0,3.888135309057761e-103,8.096678052548702e-229,0.0,2.2273179553085995e-83,0.0,0.0,0.0,0.0,0.0,3.3198852299309643e-18,0.006121601934873921,3.3010010062426235e-274,4.973991003690668e-226,1.0,8.726995984502465e-11,1.0,0.004632119303636985,0.0,0.0,0.0
LMO2,0.0,0.0,1.1627636343097476e-57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.758766358325453e-107,8.286254905343224e-162,0.0,0.0,0.0,0.0,5.8785191599539153e-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.058822644376167e-18,0.0,0.0,0.0,0.0,1.5998604726412935e-05,0.0,0.0,1.0,5.367751211117244e-55,2.244014905871331e-130,0.0,0.0,5.924956330182197e-280,0.0,0.0,0.0,0.0,0.0,4.4400632631366355e-88,3.2041294712132726e-22,0.0,0.0,2.4659045380733565e-48,2.7998547687906764e-134,0.02512104586694516,4.785954374569744e-38,0.0,0.0,0.0
STAT5B,0.0,0.0,3.410717624561418e-61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3351849940930058e-191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4104120393720906e-11,0.0,0.0,0.0,0.0,6.813124955908278e-45,0.0,0.0,1.0,0.0,2.75452206109501e-76,0.0,0.0,7.242374983117813e-188,0.0,0.0,0.0,0.0,0.0,4.113064609941089e-69,2.1457690134583283e-17,0.0,0.0,0.023537437652193627,3.878474369915161e-198,0.288921574929469,9.458086756115099e-278,0.0,0.0,0.0
AFF4,1.1838236086951042e-107,2.1052603751365387e-219,9.259611273921461e-12,3.035632584062061e-193,0.0,7.36164795949834e-143,0.0,1.1531761075505784e-249,0.0,1.1892923498828256e-110,0.0,1.4207917176571449e-64,1.0,0.0,0.0,0.0,1.622759235850393e-309,1.513171455782153e-11,0.0,7.0921316306498225e-255,5.64929447178572e-48,1.7464627761733403e-16,9.407302400313062e-108,0.0,3.596117772143489e-244,1.0706998741605764e-227,0.0,0.0,0.0,0.0,0.0,6.1105162926949615e-55,0.0,3.5931545015317176e-193,0.0,1.4338766078423068e-282,1.8464504472281593e-46,2.3807513367225158e-235,5.78416039100919e-78,7.468221535711102e-37,1.6766555331166703e-19,4.886931558188819e-110,0.0,0.0,1.7158554977930697e-95,0.0,2.57185512654178e-291,2.339391952516949e-269,0.0,0.0,2.8663473187898554e-35,1.0,4.68117315249462e-207,9.689601633160157e-180,1.0,2.9352044372771667e-06,8.4152678118477355e-22,1.0831814667510502e-65,0.0,0.0,0.0
BRD4,0.0,0.0,1.0948087520291594e-151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.336352374164618e-273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71704997598971e-20,0.0,0.0,0.0,0.0,1.5366050772530804e-34,0.0,0.0,0.02964052530613488,0.0,2.4354863627412949e-60,0.0,0.0,2.86779029767761e-194,0.0,0.0,0.0,0.0,0.0,4.534473688873393e-154,1.4506265563309061e-18,0.0,0.0,1.425743283039849e-19,0.0,1.0,0.0,0.0,0.0,0.0
CDK13,1.0,0.00025061985619522355,4.650135597406176e-23,1.0,3.5765438964782516e-07,1.0,2.3776091558399495e-13,2.8070782900627584e-16,6.382146153821986e-18,1.0,2.3452855555624685e-10,7.530268977204263e-10,1.0,4.0908661451706704e-13,7.20419915918145e-17,1.9547602638751243e-10,1.4002474860712315e-33,1.15880031508104e-09,4.897983646208404e-12,7.327150088399456e-05,1.0,1.9295806093725965e-10,1.0,1.7186357009863642e-06,9.756716380749754e-10,0.06804393786629759,7.90356120071483e-32,1.9628922911993802e-11,2.5230281139926075e-05,5.846794241987757e-43,4.016576917808444e-06,0.0,0.0008373824360255531,1.0,1.6062810803093248e-09,0.016716653804139378,1.0066142242647362e-39,0.0009091720504613772,8.079395019896782e-28,3.2734399458516007e-37,1.0,5.930171410278607e-39,1.0,3.412354920606986e-20,6.236396841967278e-15,9.635295227536513e-27,1.0,0.0917572635891434,2.3844088196037747e-06,3.3488259445948274e-07,1.0,1.0,1.0,1.0,0.0015359117653275386,1.0,1.0,1.0,1.353498836017349e-07,1.0,1.0
CDK9,0.0,0.0,3.065486955109366e-95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.261381030386459e-122,0.0,0.0,0.0,0.0,0.0,2.4107407906005363e-163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.596774065140493e-13,0.0,0.0,0.0,0.0,3.680890077392569e-42,0.0,0.0,1.0,0.0,1.6558708370394474e-69,0.0,0.0,8.708976167490069e-185,0.0,0.0,0.0,0.0,0.0,5.4227651716359776e-99,5.983723841283037e-22,0.0,0.0,0.4763807261100917,3.162534375597354e-278,1.0,0.0,0.0,0.0,0.0
