,MOLM-13_DMSO,MOLM-13_JQ1+6nM_NVP-2,MOLM-13_6nM_NVP-2,MOLM-13_60nM_NVP-2,MOLM-13_JQ1
ABCC6,16.0,14.0,4.0,8.0,15.0
ARAF,205.0,396.0,223.0,313.5,274.0
ARCN1,105.0,144.0,61.0,364.0,209.5
TRIM23,36.0,22.0,31.0,28.5,23.5
ARF1,2332.0,3970.0,2119.0,3933.0,4014.0
ARF3,1219.0,1967.0,1201.0,1555.0,1659.5
ARF4,733.0,1103.0,627.0,1325.0,1140.5
ARL4D,79.0,18.0,28.0,12.0,31.0
ARF5,1686.0,1627.0,1370.0,1866.5,1696.5
ARF6,914.0,1002.0,849.0,1041.5,1064.5
ARG2,19.0,21.0,12.0,34.5,24.0
RHOA,7414.0,12653.0,9621.0,10476.5,10575.0
RHOB,25.0,10.0,7.0,10.5,24.0
RHOC,71.0,52.0,36.0,67.0,57.5
RHOG,825.0,1076.0,808.0,869.5,1056.5
ARHGAP1,474.0,751.0,503.0,690.0,684.5
ARHGAP4,3472.0,4194.0,4029.0,3973.0,3856.0
ARHGDIA,1500.0,2453.0,1548.0,2217.5,2082.5
ARHGDIB,3150.0,4826.0,3380.0,4519.5,4553.0
ARL1,608.0,775.0,623.0,750.0,737.5
ARL2,970.0,1468.0,1065.0,1061.0,1162.0
ARL3,60.0,72.0,73.0,80.5,79.0
ARNT,437.0,711.0,346.0,850.5,704.5
ARNTL,12.0,19.0,4.0,24.0,18.5
ARRB1,423.0,726.0,479.0,592.0,595.5
ARRB2,210.0,263.0,194.0,263.0,266.0
ARSB,76.0,144.0,43.0,294.5,187.5
STS,26.0,37.0,25.0,16.0,28.5
ARSD,1058.0,1174.0,860.0,1080.5,1200.5
ARVCF,7.0,14.0,2.0,20.5,15.5
ASAH1,152.0,224.0,178.0,234.0,193.0
ASCL2,185.0,101.0,118.0,115.5,121.5
ASGR1,7.0,13.0,6.0,13.0,12.0
ASL,67.0,71.0,68.0,89.5,75.0
GET3,1187.0,1769.0,1624.0,1221.0,1567.0
ASNS,855.0,741.0,782.0,851.0,822.5
ASPH,266.0,227.0,153.0,266.0,236.0
ASS1,896.0,653.0,487.0,810.5,760.5
ZFHX3,15.0,14.0,5.0,7.5,13.0
ATF1,234.0,297.0,179.0,287.0,279.0
ATF3,11.0,8.0,5.0,3.0,13.5
ATF4,4870.0,5077.0,4789.0,3111.5,5182.0
ATIC,1012.0,1544.0,1060.0,1100.5,1119.5
ATM,245.0,357.0,170.0,317.5,321.0
RERE,150.0,234.0,151.0,235.0,244.0
ATOX1,459.0,649.0,597.0,494.5,549.0
ATP1A1,2895.0,5005.0,2474.0,5017.5,4701.5
ATP1B1,14.0,8.0,2.0,7.5,7.5
ATP1B3,2360.0,2413.0,1368.0,2935.5,2541.5
ATP2A2,608.0,835.0,524.0,926.5,849.5
ATP2A3,852.0,1290.0,972.0,1001.0,1024.5
ATP2B1,239.0,284.0,178.0,334.0,298.0
ATP2B4,297.0,392.0,215.0,383.5,399.5
ATP5F1A,839.0,986.0,680.0,1065.5,1020.5
ATP5F1B,1629.0,3377.0,1862.0,3194.5,3068.5
ATP5F1C,660.0,1261.0,540.0,1204.5,1235.5
ATP5F1D,490.0,899.0,520.0,807.0,795.0
ATP5F1E,4852.0,5684.0,4334.0,5200.0,5592.0
ATP5PB,1955.0,3162.0,1970.0,3289.5,2901.5
ATP5MC1,6613.0,8031.0,6622.0,6844.5,7263.0
ATP5MC2,8411.0,11740.0,8569.0,11022.0,11663.5
ATP5MC3,6901.0,12738.0,6992.0,14027.0,12344.5
ATP5ME,5601.0,6024.0,5453.0,5905.5,5749.5
ATP5PF,1863.0,1956.0,1456.0,1989.5,2035.0
ATP6V1A,295.0,310.0,203.0,389.5,333.0
ATP6V1B2,4987.0,6914.0,4451.0,6787.0,7001.0
ATP6V0C,4494.0,5896.0,4982.0,5254.0,5855.0
ATP6V1C1,356.0,338.0,345.0,365.5,359.5
ATP6V1E1,1095.0,1876.0,1116.0,1703.5,1535.0
ATP6V0B,1327.0,2057.0,1682.0,1825.5,1938.0
ATP6V1G2,0.0,0.0,0.0,1.0,0.0
ATP6V0A1,207.0,382.0,287.0,294.0,296.0
ATP6AP1,1812.0,2623.0,2140.0,2260.0,2378.5
ATP7A,19.0,29.0,12.0,27.5,24.0
ATP5PO,10327.0,10908.0,7970.0,11767.0,11445.0
ATR,49.0,139.0,57.0,128.0,107.0
ATRX,494.0,611.0,410.0,598.5,602.0
AUP1,2818.0,2726.0,2090.0,2702.5,2806.0
AXL,22.0,7.0,18.0,17.5,11.0
AZU1,1378.0,1481.0,1175.0,1773.0,1509.5
B2M,15703.0,14704.0,9248.0,20547.5,15838.5
BACH1,52.0,49.0,32.0,49.0,68.0
BAD,82.0,111.0,79.0,91.5,86.0
BAG1,1906.0,2098.0,1732.0,1953.5,2051.0
BAK1,431.0,628.0,584.0,406.5,561.0
BARD1,556.0,547.0,532.0,445.5,537.5
BAX,818.0,752.0,618.0,1150.0,810.5
BBS1,3.0,15.0,14.0,18.0,14.0
BBS2,36.0,63.0,35.0,89.0,63.5
BBS4,94.0,109.0,77.0,138.5,106.0
BCAT1,2382.0,3425.0,2254.0,3803.0,3390.0
BCAT2,72.0,138.0,108.0,171.5,142.5
BCKDHA,3686.0,4785.0,4071.0,3886.0,4382.5
BCKDHB,28.0,45.0,10.0,46.5,48.5
CCND1,58.0,31.0,26.0,42.5,28.0
BCL2,870.0,1059.0,617.0,1044.0,1103.5
BCL2A1,7.0,11.0,5.0,9.0,7.5
BCL2L1,76.0,58.0,40.0,69.5,45.5
BCL2L2,26.0,13.0,21.0,18.0,18.5
BCL3,103.0,60.0,95.0,63.5,67.0
BCL6,17.0,12.0,10.0,14.0,14.5
BCL7A,153.0,157.0,107.0,174.0,182.0
BCL9,7.0,2.0,0.0,8.0,1.5
BCR,97.0,154.0,127.0,142.0,154.0
BCS1L,120.0,131.0,124.0,105.0,134.5
BDH1,813.0,1446.0,772.0,1388.5,1307.0
BDNF,10.0,7.0,16.0,24.0,8.5
BFSP1,17.0,36.0,30.0,25.0,34.5
BICD1,19.0,24.0,18.0,38.5,25.5
BID,899.0,915.0,817.0,933.0,973.5
BIK,368.0,526.0,456.0,447.5,487.0
PRDM1,10.0,3.0,0.0,5.5,1.0
BLM,288.0,203.0,159.0,257.0,220.5
BLMH,3337.0,3686.0,2877.0,4080.5,3863.5
BLVRA,103.0,141.0,97.0,107.5,117.0
BLVRB,405.0,352.0,382.0,440.5,396.0
BMI1,2080.0,3355.0,2215.0,3379.5,3323.5
BMP1,1005.0,1339.0,1130.0,1134.0,1166.5
BMP2,18.0,2.0,7.0,6.5,6.5
BMP4,7.0,1.0,3.0,6.5,0.5
BMP8B,11.0,29.0,22.0,24.5,23.5
BMPR2,162.0,171.0,77.0,145.5,174.0
POLR3D,223.0,212.0,289.0,239.0,242.0
BNIP1,214.0,194.0,182.0,180.0,194.0
BNIP2,765.0,831.0,725.0,937.5,887.5
BNIP3,252.0,415.0,241.0,412.5,399.0
BNIP3L,251.0,292.0,210.0,321.5,285.0
DST,23.0,11.0,16.0,21.0,14.0
BPGM,69.0,62.0,43.0,55.0,66.0
BPHL,37.0,51.0,30.0,37.0,43.5
BPI,265.0,452.0,209.0,456.5,438.5
BRCA1,2372.0,1915.0,1856.0,1972.0,2016.0
BRAF,18.0,15.0,9.0,26.0,17.0
BRCA2,246.0,192.0,177.0,195.0,206.5
ZFP36L1,490.0,80.0,261.0,136.0,107.0
ZFP36L2,1823.0,540.0,1261.0,840.0,1040.5
BSG,718.0,1204.0,745.0,1130.5,1174.0
BST1,48.0,57.0,34.0,89.5,60.0
BST2,2930.0,5187.0,3360.0,5048.0,4921.0
BTD,94.0,137.0,118.0,128.5,135.5
KLF9,157.0,64.0,57.0,63.5,68.0
KLF5,33.0,17.0,26.0,12.5,20.5
BTF3,2867.0,4108.0,2347.0,4135.0,3911.0
BTG1,5712.0,2921.0,3438.0,2976.5,3402.5
BTK,273.0,283.0,194.0,307.5,315.5
BUB1,104.0,236.0,82.0,193.5,202.5
BUB1B,139.0,281.0,159.0,300.0,273.0
BYSL,823.0,739.0,680.0,858.0,735.5
TSPO,2947.0,4865.0,3473.0,3787.5,3972.0
C1QBP,2366.0,4832.0,2620.0,4272.0,3709.0
C1S,1.0,0.0,0.0,1.5,0.0
C2,12.0,18.0,11.0,7.5,15.0
C3AR1,25.0,36.0,16.0,39.0,34.5
C4B,0.0,0.0,0.0,1.5,1.0
C5,13.0,23.0,19.0,25.5,24.5
C8G,6.0,4.0,5.0,4.0,5.0
OSGIN2,267.0,278.0,229.0,290.5,283.0
VPS51,330.0,393.0,355.0,347.0,386.0
MRPL49,167.0,220.0,108.0,190.5,225.0
ZNHIT2,39.0,33.0,45.0,18.0,29.0
TMEM258,2345.0,2961.0,2823.0,2531.5,2865.0
DAGLA,3.0,1.0,0.0,1.5,2.5
FMNL1,172.0,192.0,114.0,204.5,192.5
LDLRAD4,12.0,6.0,7.0,22.0,10.0
PTTG1IP,766.0,658.0,512.0,631.0,695.0
CFAP410,844.0,1284.0,918.0,1050.5,1117.5
TMEM50B,226.0,377.0,232.0,383.5,356.0
MPPED1,3.0,6.0,3.0,12.5,7.0
CA2,547.0,511.0,265.0,685.0,501.0
CA3,0.0,6.0,0.0,2.0,6.0
CA11,99.0,107.0,79.0,86.0,103.0
CACNA1A,110.0,22.0,76.0,44.5,42.5
CACNB1,20.0,23.0,31.0,27.0,21.5
CACNB3,39.0,22.0,25.0,35.5,23.5
SLC25A20,116.0,196.0,97.0,190.0,174.0
CAD,1325.0,1748.0,1354.0,1460.5,1586.5
CALM1,4440.0,4236.0,3323.0,4119.5,4474.0
CALM2,1614.0,2669.0,1022.0,3544.5,2614.5
CALM3,14644.0,23218.0,15026.0,22126.0,22147.0
CALR,19125.0,32823.0,19745.0,33350.5,32640.5
CALU,723.0,976.0,613.0,1033.5,941.0
CAMK2D,32.0,18.0,25.0,22.0,31.0
CAMK2G,109.0,135.0,59.0,121.0,151.0
CAMLG,368.0,383.0,207.0,401.0,382.0
CANX,3806.0,6136.0,4411.0,5403.5,5452.5
CAPG,1469.0,2137.0,2032.0,1465.5,1854.5
CAPN1,499.0,995.0,589.0,902.0,875.5
CAPN2,89.0,107.0,81.0,116.0,125.0
CAPN3,538.0,872.0,580.0,748.5,795.5
CAPNS1,4227.0,5564.0,4762.0,3877.5,4880.0
CAPS,27.0,31.0,34.0,62.0,43.0
CAPZA1,2092.0,3080.0,1681.0,3036.5,2723.5
CAPZA2,111.0,188.0,157.0,222.5,202.5
CAST,219.0,239.0,119.0,302.5,273.5
CAPZB,2285.0,4537.0,2462.0,3945.5,3394.0
CARS1,1274.0,1389.0,1252.0,1413.5,1393.0
CASP1,330.0,393.0,277.0,474.0,414.0
CASP2,835.0,1183.0,910.0,1117.0,1121.5
CASP3,230.0,208.0,122.0,220.0,224.5
CASP4,61.0,70.0,78.0,87.0,71.0
CASP6,256.0,184.0,103.0,192.5,184.5
CASP7,114.0,148.0,118.0,158.0,131.0
CASP8,67.0,75.0,7.0,166.5,83.5
CASP9,53.0,54.0,40.0,107.5,61.5
CASP10,147.0,112.0,109.0,163.0,128.5
CAT,1220.0,1742.0,951.0,1978.5,1793.0
RUNX2,314.0,396.0,292.0,400.5,387.5
RUNX1,754.0,877.0,694.0,734.5,918.5
CBFA2T3,232.0,281.0,233.0,226.5,287.0
RUNX3,909.0,1080.0,824.0,898.0,1086.0
CBFB,436.0,687.0,427.0,726.0,672.5
CBL,1622.0,1626.0,1091.0,1526.0,1508.0
CBLB,21.0,21.0,32.0,24.5,28.5
SERPINH1,655.0,1020.0,822.0,1210.5,1039.5
CBR1,685.0,571.0,330.0,619.5,579.0
CBR3,3.0,0.0,0.0,1.0,0.0
CBS,247.0,290.0,212.0,336.0,303.5
KYAT1,69.0,93.0,81.0,90.0,79.0
KRIT1,1081.0,1104.0,837.0,1164.0,1091.5
CCNA2,1183.0,1158.0,915.0,1321.5,1216.5
CCNB1,551.0,534.0,429.0,654.5,556.5
CCNC,1062.0,1236.0,835.0,1291.0,1143.5
CCND2,870.0,1330.0,804.0,1250.5,1176.5
CCND3,2739.0,3513.0,3231.0,3341.0,3455.0
CCNE1,375.0,450.0,498.0,315.5,388.0
CCNF,1310.0,1515.0,1243.0,1283.0,1508.0
CCNG1,108.0,149.0,93.0,184.5,164.0
CCNG2,34.0,15.0,32.0,37.5,44.0
CCNH,72.0,142.0,42.0,228.5,154.5
CCNT1,442.0,360.0,240.0,294.5,374.0
CCNT2,108.0,89.0,45.0,102.5,94.0
CCT6A,3541.0,3990.0,3016.0,4369.5,4040.0
CD1D,75.0,52.0,53.0,104.0,59.0
CD4,384.0,500.0,286.0,502.0,517.0
CD9,10.0,10.0,2.0,67.5,20.5
CD19,27.0,57.0,65.0,46.0,46.5
MS4A3,1174.0,1248.0,906.0,1681.5,1268.5
CD86,17.0,29.0,16.0,41.5,26.0
TNFRSF8,84.0,66.0,69.0,85.5,71.0
CD33,509.0,680.0,520.0,638.5,612.5
SIGLEC6,1.0,14.0,12.0,26.0,13.0
CD36,81.0,52.0,40.0,73.5,42.0
SCARB1,499.0,790.0,603.0,736.5,773.5
SCARB2,88.0,118.0,101.0,146.0,128.5
CD37,519.0,757.0,551.0,717.5,688.0
CD38,397.0,450.0,307.0,453.0,454.0
ENTPD6,207.0,343.0,260.0,310.0,275.0
ENTPD5,20.0,23.0,25.0,22.0,23.5
CD44,577.0,729.0,553.0,753.5,725.0
CD47,829.0,1224.0,735.0,1241.0,1228.0
CD48,1.0,6.0,1.0,16.0,7.5
CD53,201.0,200.0,80.0,291.5,226.5
CD58,114.0,160.0,150.0,155.5,156.0
CD59,63.0,122.0,63.0,76.0,103.0
CD63,5533.0,7327.0,5691.0,6895.0,6880.0
CD68,188.0,190.0,114.0,234.0,189.0
CD70,2798.0,3107.0,2141.0,3508.0,2948.0
CD74,308.0,412.0,336.0,339.0,376.5
CD81,1492.0,2247.0,1692.0,1954.5,2151.0
ADGRE5,1875.0,2514.0,1652.0,2043.0,2267.5
CD151,294.0,372.0,296.0,331.5,348.0
CDA,10.0,11.0,11.0,13.0,7.0
CDK1,1259.0,1861.0,1047.0,2015.0,1791.0
LRBA,93.0,117.0,92.0,168.0,132.5
CDC5L,118.0,122.0,40.0,174.0,132.5
SEPTIN7,689.0,989.0,497.0,1174.5,950.0
CDC6,379.0,300.0,272.0,227.0,347.0
CDC20,1204.0,1524.0,1170.0,1255.5,1505.5
CDC25A,446.0,376.0,379.0,369.0,403.0
CDC25B,1570.0,2009.0,1654.0,1962.0,1901.5
CDC25C,262.0,453.0,444.0,279.0,408.0
CDC27,450.0,729.0,403.0,654.5,656.5
CDC34,757.0,1222.0,811.0,688.0,1049.0
CDC42,890.0,1535.0,735.0,1697.0,1440.0
CDK2,1005.0,1706.0,1431.0,1242.5,1421.0
CDK3,247.0,396.0,286.0,268.5,331.5
CDK4,878.0,1152.0,984.0,992.0,1102.5
CDK5,706.0,1022.0,880.0,857.5,962.0
CDK6,5362.0,5364.0,3183.0,6038.5,5698.0
CDK7,50.0,91.0,55.0,106.0,89.5
CDK8,92.0,163.0,56.0,198.5,165.5
CDK9,66.0,84.0,57.0,104.5,95.5
CDKN1A,500.0,577.0,527.0,358.5,606.5
CDKN1B,673.0,505.0,633.0,491.5,536.5
CDKN1C,10.0,25.0,18.0,33.5,28.5
CDKN2C,603.0,744.0,555.0,571.5,726.0
CDKN2D,587.0,761.0,498.0,667.0,772.5
CDKN3,222.0,269.0,280.0,336.5,275.0
CDR2,30.0,45.0,16.0,35.0,44.5
CEACAM5,5.0,4.0,2.0,1.5,5.0
CEBPA,15390.0,17135.0,15440.0,16457.0,17836.5
CEBPB,175.0,127.0,113.0,154.0,148.5
CEBPD,748.0,389.0,462.0,397.0,402.0
CEBPE,309.0,239.0,266.0,257.0,232.5
CEBPG,290.0,316.0,291.0,325.5,330.5
CEL,4.0,9.0,1.0,9.0,7.0
CENPA,104.0,128.0,57.0,141.0,122.0
CENPB,1775.0,2434.0,1987.0,1697.5,2001.0
CENPC,24.0,18.0,39.0,41.5,30.5
CENPE,59.0,58.0,56.0,94.5,62.0
CENPF,625.0,803.0,644.0,859.5,819.0
CES1,3328.0,3393.0,2932.0,3414.0,3315.5
CETN2,116.0,157.0,128.0,179.0,136.0
CETN3,32.0,40.0,11.0,47.0,36.0
CFL1,6529.0,12624.0,6911.0,12747.0,12254.0
CFL2,34.0,14.0,11.0,5.0,19.5
CTSC,542.0,630.0,426.0,769.0,629.5
RCBTB2,73.0,47.0,40.0,56.0,55.5
RCC1,1329.0,2448.0,699.0,3207.0,2264.5
CHD1,92.0,92.0,53.0,94.0,89.5
CHD2,122.0,158.0,91.0,158.5,163.0
CHD3,1437.0,2279.0,2096.0,1690.5,1866.5
CHD4,1750.0,2413.0,1927.0,2533.5,2338.5
CHEK1,189.0,223.0,151.0,282.5,228.5
FOXN3,1193.0,1459.0,1013.0,1270.0,1439.0
CHI3L1,286.0,442.0,414.0,325.0,412.5
CHKA,771.0,1315.0,621.0,1451.5,1258.0
CHKB,78.0,202.0,184.0,147.0,169.0
CHM,42.0,78.0,36.0,99.5,83.0
CHML,240.0,116.0,78.0,158.0,150.5
CHN2,10.0,10.0,3.0,5.0,4.0
LYST,883.0,1421.0,748.0,1560.5,1371.0
CHRNA5,18.0,20.0,9.0,18.0,19.5
CHRNA7,108.0,132.0,127.0,131.0,130.5
CHRNB1,66.0,59.0,64.0,63.0,52.5
CHUK,141.0,161.0,57.0,345.0,178.5
CKB,19.0,36.0,19.0,22.0,30.5
CIRBP,2531.0,4088.0,2894.0,2523.0,3850.5
CISH,338.0,129.0,267.0,117.0,160.0
TBCB,860.0,1519.0,952.0,1369.0,1400.5
ERCC8,15.0,17.0,21.0,26.0,16.0
CKS1B,5725.0,9747.0,5871.0,9623.5,9769.5
CKS2,333.0,329.0,223.0,426.0,342.0
AP2M1,1429.0,1820.0,1544.0,1885.0,1825.5
AP1S1,616.0,554.0,382.0,708.5,557.5
AP2S1,2736.0,3296.0,2676.0,3290.5,3284.5
AP3S1,375.0,467.0,280.0,508.0,419.5
CLC,97.0,113.0,74.0,88.5,103.5
CLCN2,3.0,0.0,5.0,12.0,0.5
CLCN3,87.0,170.0,92.0,154.0,164.0
CLCN5,87.0,96.0,73.0,110.5,80.5
CLCN6,28.0,53.0,26.0,40.0,32.5
CLCN7,509.0,885.0,646.0,833.0,823.0
CLU,13.0,15.0,7.0,7.0,10.0
CLIC1,8061.0,6574.0,4640.0,8935.0,7323.0
CLK1,566.0,371.0,296.0,132.0,403.0
CLK2,196.0,289.0,226.0,216.0,268.5
CLK2P1,14.0,10.0,5.0,4.0,10.0
CLK3,231.0,437.0,280.0,316.0,389.0
TPP1,522.0,667.0,555.0,543.5,624.5
CLN3,738.0,942.0,701.0,693.0,741.0
CLN5,168.0,166.0,157.0,179.0,186.0
CLNS1A,2709.0,5233.0,2602.0,5187.5,4594.5
CLPTM1,451.0,516.0,302.0,498.5,528.0
CLTA,6734.0,6989.0,6556.0,5660.0,6797.0
CLTB,649.0,501.0,436.0,530.0,490.0
CLTC,2485.0,4238.0,2504.0,4279.0,3961.0
CCR1,214.0,68.0,147.0,120.0,68.0
CCR6,16.0,11.0,7.0,10.5,12.0
LTB4R,1028.0,1294.0,1022.0,1221.0,1190.5
PLK3,78.0,45.0,46.0,32.5,91.5
CNN2,989.0,1024.0,825.0,1011.5,1072.0
CNP,413.0,690.0,533.0,640.5,636.0
COL4A1,6.0,4.0,2.0,10.5,5.5
COL8A2,232.0,356.0,211.0,353.0,330.5
COL9A3,99.0,122.0,84.0,135.5,114.0
COMT,588.0,1176.0,407.0,1411.0,1190.5
COPA,803.0,974.0,639.0,899.0,943.0
COPB1,218.0,390.0,228.0,436.0,351.0
KLF6,484.0,293.0,234.0,193.0,320.5
SLC31A1,255.0,234.0,165.0,275.0,236.0
SLC31A2,26.0,17.0,28.0,23.0,27.0
CORT,23.0,11.0,20.0,27.0,14.5
MAP3K8,1.0,4.0,3.0,4.0,5.0
COX4I1,6541.0,7829.0,6081.0,7026.5,7257.5
COX5B,1147.0,1072.0,949.0,1179.0,1169.0
