GENE,DMSO_3h,VHL_3h,DMSO_6h,VHL_6h
CSNK1D,4901.75,3225.75,3329.0,2629.25
CSNK1E,2183.25,1283.0,1549.75,1322.0
CSNK1G2,2265.25,1387.25,1703.75,1473.5
CSNK1G3,758.75,503.25,697.5,466.0
CSNK2A1,4730.5,3208.0,3740.5,2771.25
CSNK2A2,350.75,265.0,303.75,213.0
CSNK2B,1490.75,1020.25,1151.5,1073.0
VCAN,2.0,1.75,3.25,1.75
NCAN,2.5,3.5,1.0,0.25
CSPG4,432.5,323.75,315.75,461.75
CSRP1,2860.25,1917.5,2390.75,1903.75
SLC25A10,490.25,345.25,574.5,450.25
CST3,1438.5,1075.25,1463.25,1290.25
CSTA,1010.75,756.5,465.5,375.5
CSTB,468.25,346.25,445.5,362.0
CSTF1,348.5,218.75,316.0,228.25
CSTF2,363.5,265.25,333.5,258.0
CSTF3,728.25,517.0,677.75,556.5
CTBS,559.5,389.5,253.0,206.5
CTBP1,3118.0,1980.75,2315.5,2065.0
CTBP2,1084.25,774.0,716.25,682.75
CTF1,2.25,2.25,2.0,1.5
CTH,63.25,44.0,20.5,13.25
CTNNA1,1589.75,1146.25,1447.75,1172.75
CTNS,631.75,451.75,606.0,583.25
CTNNB1,2828.25,1902.25,2875.0,2461.75
CTNND1,772.25,413.75,889.0,632.75
CTPS1,1822.25,1197.25,2086.25,1620.25
CTRL,35.25,29.0,25.75,18.25
CTSB,7255.75,5271.75,6101.25,5270.25
CTSD,2974.25,2001.5,2550.75,2326.0
CTSG,369.5,254.5,128.5,89.25
CTSH,1137.0,870.0,569.75,466.25
CTSK,17.25,13.25,12.5,10.0
CTSV,10.25,7.25,5.5,3.5
CTSO,139.5,110.25,63.75,46.25
CTSS,1834.25,1367.5,996.5,757.25
CTSW,156.25,110.75,126.0,114.0
CTSZ,2665.75,1640.0,2528.0,1882.0
CUX1,1763.5,1105.5,1189.5,852.5
CX3CR1,6.25,5.75,3.0,14.5
CXADR,42.0,24.25,29.25,20.0
CYB5A,132.5,117.5,167.25,142.5
CYB561,289.5,210.25,234.5,211.25
CYBA,878.5,790.25,1003.75,1116.25
CYBB,322.25,239.0,70.75,42.25
CYC1,1188.0,891.25,1072.5,920.25
