GENE,DMSO_3h,VHL_3h,DMSO_6h,VHL_6h
AL513477.1,3.0,2.5,0.75,1.5
LINC02035,0.0,0.0,0.5,0.5
100129697,0.5,0.0,0.0,0.0
STPG3-AS1,1.0,0.0,0.0,0.25
CCDC152,0.0,0.0,0.0,0.0
ZNF737,0.0,0.0,0.0,0.0
PCOLCE-AS1,1.25,0.0,0.75,0.0
SCOC-AS1,0.75,0.0,0.0,0.0
AC139887.2,52.25,18.0,6.5,10.75
AC097382.2,0.0,0.0,0.0,0.0
100129961,2.5,0.75,0.25,0.0
URAHP,0.0,0.0,0.0,0.0
100130172,2.25,0.0,0.0,0.0
EFCAB14-AS1,0.0,0.0,0.0,0.0
LINC00861,0.25,0.25,0.0,0.0
100130298,0.0,0.0,0.0,0.0
C17orf107,0.25,0.25,0.0,0.0
AL359924.1,1.25,0.75,0.75,0.5
TMEM262,0.0,0.0,0.0,0.0
AL008729.1,2.0,0.25,0.0,0.0
LINC02593,0.0,0.5,0.0,0.0
WAKMAR2,2.75,0.75,0.25,0.25
TMEM221,1.25,0.0,0.5,0.25
AL445931.1,0.0,0.0,0.0,0.0
100130557,26.75,8.75,14.5,7.75
100130581,1.5,1.0,0.25,0.75
PRR32,0.75,0.0,1.0,0.75
AC019080.1,8.75,2.25,1.75,1.25
ATP6V1FNB,9.0,2.5,0.25,1.5
EFCAB10,0.0,0.25,0.0,0.0
AGAP2-AS1,0.25,0.0,0.0,0.0
100130855,3.25,0.25,1.25,0.5
100130872,10.5,5.5,2.25,5.75
ATE1-AS1,1.0,0.25,0.0,1.0
TSTD3,2.75,1.25,0.25,1.0
VAC14-AS1,0.0,0.0,0.0,0.0
SMIM6,0.75,0.0,0.0,0.25
100130934,1.25,1.25,0.0,0.25
AC087500.1,4.75,0.75,0.75,0.0
ZNF316,111.0,31.5,15.5,11.5
CKMT2-AS1,21.0,9.25,5.25,7.5
SRP14-AS1,4.5,1.0,0.75,0.5
DPP9-AS1,0.25,0.0,0.0,0.0
100131096,15.25,3.25,0.25,0.75
CCDC183-AS1,1.5,0.0,0.0,0.25
100131205,47.5,16.75,21.5,17.0
NEMP2,7.5,1.0,1.0,1.0
ZNF503-AS2,1.0,0.5,0.0,0.25
100131234,10.25,4.0,0.25,1.0
ANKRD63,86.25,24.5,7.5,8.0
RAB6C-AS1,0.5,0.0,0.0,0.0
RDM1P5,0.25,0.0,0.0,0.25
SP9,0.75,0.0,0.0,0.0
LINC00893,4.25,0.75,0.0,1.0
100131454,2.75,1.5,0.0,0.25
AL031666.2,0.0,0.0,0.0,0.0
ZNF705E,6.0,1.0,0.75,0.75
100131551,0.0,0.0,0.0,0.0
100131564,25.0,6.0,7.0,6.25
100131626,0.0,0.0,0.0,0.0
ZNF236-DT,1.75,0.75,0.5,1.25
MZF1-AS1,11.75,4.75,4.75,5.0
FAM83A-AS1,1.75,0.0,0.0,0.0
100131733,0.75,0.5,0.5,0.0
ARMCX4,0.25,0.0,0.0,0.0
PET100,2.25,1.0,1.5,2.5
LINC00271,0.0,0.0,0.0,0.0
ZNF717,4.0,0.25,1.0,1.25
FAM27E3,5.25,1.25,2.75,2.5
100131998,20.5,5.75,3.25,6.25
100132062,1.75,0.25,0.5,0.25
FOXO6,1.25,0.5,0.75,0.25
100132116,0.0,0.0,0.25,0.0
100132159,0.0,0.0,0.0,0.0
WASIR2,0.0,0.0,0.0,0.0
AC007098.1,0.25,0.0,0.0,0.0
NPIPB5,9.25,1.25,0.75,1.0
AL845472.1,1.0,0.5,0.75,0.25
100132273,2.0,0.75,0.75,0.5
100132287,1.75,0.25,0.5,0.25
TEKT4P2,16.5,3.75,2.25,3.25
100132356,4.5,0.75,1.75,1.5
NBPF10,17.5,4.25,2.75,2.5
100132417,3.5,0.5,0.25,0.25
100132774,9.0,3.5,1.75,2.5
100132815,0.0,0.0,0.0,0.0
100132831,0.0,0.75,0.5,0.75
100132911,0.0,0.0,0.0,0.0
SHISAL2B,0.0,0.0,0.0,0.0
100132948,0.0,0.5,0.0,0.25
LINC00856,0.5,0.25,0.0,0.0
AC004980.1,11.75,2.75,1.75,2.0
100133121,2.25,1.25,1.5,0.75
100133161,1.25,0.25,0.0,0.0
SBF1P1,5.25,4.75,5.75,7.75
AP000688.1,0.75,0.0,0.0,0.5
HOXA-AS3,0.0,0.0,0.0,0.0
AP002495.1,5.5,0.75,0.5,0.5
100133331,7.5,5.25,0.25,0.5
MRPL23-AS1,0.0,0.0,0.0,0.0
100133669,1.25,0.0,0.0,0.0
UXT-AS1,0.25,0.0,0.0,0.0
LINC01816,0.0,0.0,0.0,0.0
100133991,2.5,0.75,0.75,1.25
UBOX5-AS1,0.25,0.0,0.25,0.0
KDM7A-DT,1.25,0.5,0.0,0.25
Z97634.1,2.75,0.75,1.0,0.75
NDUFB2-AS1,4.75,1.0,1.5,0.5
TEN1,2.75,1.5,0.5,1.0
UPK3BL1,11.25,2.5,2.25,1.5
JMJD7,3.75,1.0,1.5,0.5
PLA2G4B,1.75,0.5,0.0,0.0
CHKB-DT,5.0,2.5,2.25,1.0
KLLN,25.25,7.0,6.25,4.75
RNU7-1,0.75,0.0,0.25,0.0
