,MV4.11_DMSO,K562_DMSO,K562_JQ1,MV4.11_JQ1
106,,610.0,628.0,
107,,704.0,760.0,
108,,2044.0,2121.0,
109,,1.0,0.0,
110,,1.0,2.0,
111,,3197.0,3614.0,
112,,12.0,12.0,
113,,1.0,1.0,
114,,23572.0,25840.0,
115,,481.0,633.0,
116,,526.0,563.0,
117,,13.0,11.0,
118,,7.0,5.0,
119,,0.0,0.0,
120,,0.0,0.0,
121,,6100.0,6729.0,
122,,1648.0,1707.0,
123,,91.0,101.0,
124,,127.0,123.0,
125,,1540.0,1521.0,
126,,534.0,495.0,
127,,228.0,253.0,
128,,9.0,4.0,
129,,0.0,0.0,
130,,0.0,0.0,
131,,0.0,0.0,
132,,0.0,0.0,
133,,1.0,0.0,
134,,1197.0,1242.0,
135,,5512.0,6146.0,
136,,335.0,344.0,
137,,11.0,10.0,
138,,1488.0,1467.0,
139,,24693.0,28269.0,
140,,17053.0,18289.0,
141,,7178.0,7002.0,
142,,14347.0,15248.0,
143,,36.0,40.0,
144,,58.0,59.0,
145,,143.0,160.0,
146,,2641.0,2796.0,
147,,453.0,536.0,
148,,5007.0,5766.0,
149,,4123.0,4911.0,
150,,0.0,0.0,
151,,12.0,14.0,
152,,2.0,3.0,
153,,164.0,161.0,
154,,371.0,343.0,
155,,5.0,4.0,
156,,481.0,510.0,
157,,20.0,18.0,
158,,178.0,183.0,
159,,754.0,744.0,
160,,1734.0,1805.0,
161,,2721.0,3174.0,
162,,1746.0,1939.0,
163,,6.0,7.0,
164,,1665.0,1821.0,
165,,7592.0,8539.0,
166,,51.0,45.0,
167,,5667.0,6700.0,
168,,1.0,3.0,
169,,1200.0,1312.0,
170,,5.0,2.0,
171,,124.0,132.0,
172,,0.0,0.0,
173,,6227.0,6691.0,
174,,15.0,15.0,
175,,1.0,1.0,
176,,176.0,162.0,
177,,2936.0,3024.0,
178,,180.0,172.0,
179,,1006.0,1267.0,
180,,3617.0,3529.0,
181,,204.0,217.0,
182,,81.0,51.0,
183,,40705.0,43216.0,
184,,5702.0,6114.0,
185,,6003.0,6733.0,
186,,28.0,21.0,
187,,5485.0,5521.0,
188,,4743.0,4872.0,
189,,414.0,470.0,
190,,11203.0,13912.0,
191,,103.0,117.0,
192,,3252.0,3525.0,
193,,2259.0,2619.0,
194,,774.0,836.0,
195,,172.0,185.0,
196,,661.0,688.0,
197,,1468.0,1598.0,
198,,4218.0,4947.0,
199,,62.0,56.0,
200,,142.0,82.0,
201,,4140.0,4288.0,
202,,1363.0,1671.0,
203,,771.0,836.0,
204,,1031.0,1127.0,
205,,0.0,0.0,
206,,747.0,795.0,
207,,277.0,278.0,
208,,101.0,92.0,
209,,162.0,150.0,
210,,74.0,51.0,
211,,9.0,7.0,
212,,0.0,0.0,
213,,729.0,694.0,
214,,1047.0,1169.0,
