;;;;
REGION_ID;OVERLAP_GENES;PROXIMAL_GENES;CLOSEST_GENE;
1_merged_PDX_cell_lines_AML_10119_lociStitched;CUEDC2 MIR146B;TMEM180 FBXL15 NFKB2 PSD C10orf95;CUEDC2;
1_merged_PDX_cell_lines_AML_1012_lociStitched;KDM2B;RNF34;RNF34;
1_merged_PDX_cell_lines_AML_10120_lociStitched;PDE4D;;PDE4D;
1_merged_PDX_cell_lines_AML_10121_lociStitched;TMEM49;PTRH2;TMEM49;
1_merged_PDX_cell_lines_AML_10122_lociStitched;;;CLIC5;
1_merged_PDX_cell_lines_AML_10123_lociStitched;;;GDEP;
1_merged_PDX_cell_lines_AML_10124_lociStitched;SEC11C;;SEC11C;
1_merged_PDX_cell_lines_AML_10125_lociStitched;RAB22A PPP4R1L;;PPP4R1L;
1_merged_PDX_cell_lines_AML_10126_lociStitched;PRKCB;;PRKCB;
1_merged_PDX_cell_lines_AML_10127_lociStitched;HECTD1;;HECTD1;
1_merged_PDX_cell_lines_AML_10128_lociStitched;SCRN1;PLEKHA8 FKBP14 SCRN1;SCRN1;
1_merged_PDX_cell_lines_AML_10129_lociStitched;FECH;;FECH;
1_merged_PDX_cell_lines_AML_1013_lociStitched;;TRIM27;TRIM27;
1_merged_PDX_cell_lines_AML_10130_lociStitched;SIK3;APOA1 APOC3 APOA4;APOA1;
1_merged_PDX_cell_lines_AML_10131_lociStitched;;;GALNT5;
1_merged_PDX_cell_lines_AML_10132_lociStitched;SLC8A1;SLC8A1;SLC8A1;
1_merged_PDX_cell_lines_AML_10133_lociStitched;FBXO33;;FBXO33;
1_merged_PDX_cell_lines_AML_10134_lociStitched;CLIP1;VPS33A;VPS33A;
1_merged_PDX_cell_lines_AML_10135_lociStitched;ERLIN2;ZNF703 PROSC LOC728024;ERLIN2;
1_merged_PDX_cell_lines_AML_10136_lociStitched;;;HCRTR2;
1_merged_PDX_cell_lines_AML_10137_lociStitched;;;MPP7;
1_merged_PDX_cell_lines_AML_10138_lociStitched;FLJ43663;;LOC646329;
1_merged_PDX_cell_lines_AML_10139_lociStitched;;;FAM76B;
1_merged_PDX_cell_lines_AML_1014_lociStitched;LPIN2;LOC727896;LOC727896;
1_merged_PDX_cell_lines_AML_10140_lociStitched;ARHGEF17;RELT;RELT;
1_merged_PDX_cell_lines_AML_10141_lociStitched;ZMAT3;;ZMAT3;
1_merged_PDX_cell_lines_AML_10142_lociStitched;;;TARP;
1_merged_PDX_cell_lines_AML_10143_lociStitched;KCNQ1;KCNQ1DN;KCNQ1DN;
1_merged_PDX_cell_lines_AML_10144_lociStitched;EFHC2;;EFHC2;
1_merged_PDX_cell_lines_AML_10145_lociStitched;;OR8B8;OR8B8;
1_merged_PDX_cell_lines_AML_10146_lociStitched;LOC646324;;LOC646324;
1_merged_PDX_cell_lines_AML_10147_lociStitched;;;FCRL5;
1_merged_PDX_cell_lines_AML_10148_lociStitched;AATK;MIR1250 MIR657 LOC388428 MIR3065 MIR338;LOC388428;
1_merged_PDX_cell_lines_AML_10149_lociStitched;CLIC5;;CLIC5;
1_merged_PDX_cell_lines_AML_1015_lociStitched;EN2;;EN2;
1_merged_PDX_cell_lines_AML_10150_lociStitched;C9orf3;MIR2278;MIR2278;
1_merged_PDX_cell_lines_AML_10151_lociStitched;;;IER5;
1_merged_PDX_cell_lines_AML_10152_lociStitched;;;RREB1;
1_merged_PDX_cell_lines_AML_10153_lociStitched;RAB33B;;RAB33B;
1_merged_PDX_cell_lines_AML_10154_lociStitched;CCDC3;;CCDC3;
1_merged_PDX_cell_lines_AML_10155_lociStitched;;;;
1_merged_PDX_cell_lines_AML_10156_lociStitched;LRRC28;;LRRC28;
1_merged_PDX_cell_lines_AML_10157_lociStitched;MED15;KLHL22;MED15;
1_merged_PDX_cell_lines_AML_10158_lociStitched;;;VRK1;
1_merged_PDX_cell_lines_AML_10159_lociStitched;;CLASP2;CLASP2;
1_merged_PDX_cell_lines_AML_1016_lociStitched;TAGLN2;SLAMF9 CCDC19 IGSF9 VSIG8;TAGLN2;
1_merged_PDX_cell_lines_AML_10160_lociStitched;;;SOX6;
1_merged_PDX_cell_lines_AML_10161_lociStitched;KDM6B TMEM88 LSMD1 CYB5D1;SCARNA21 CHD3;CYB5D1;
1_merged_PDX_cell_lines_AML_10162_lociStitched;DYM;;DYM;
1_merged_PDX_cell_lines_AML_10163_lociStitched;RANBP9;;RANBP9;
1_merged_PDX_cell_lines_AML_10164_lociStitched;CNR1;CNR1;CNR1;
1_merged_PDX_cell_lines_AML_10165_lociStitched;RAD51L1;;RAD51L1;
1_merged_PDX_cell_lines_AML_10166_lociStitched;CNGB3;;CPNE3;
1_merged_PDX_cell_lines_AML_10167_lociStitched;SLCO5A1;;SLCO5A1;
1_merged_PDX_cell_lines_AML_10168_lociStitched;AHSA2;C2orf74 LOC339803;AHSA2;
1_merged_PDX_cell_lines_AML_10169_lociStitched;DIDO1;DPH3P1 TCFL5 DIDO1;TCFL5;
1_merged_PDX_cell_lines_AML_1017_lociStitched;PDE4B;;PDE4B;
1_merged_PDX_cell_lines_AML_10170_lociStitched;LRRC28;;LRRC28;
1_merged_PDX_cell_lines_AML_10171_lociStitched;;;FLJ39080;
1_merged_PDX_cell_lines_AML_10172_lociStitched;;FGFBP3 BTAF1;FGFBP3;
1_merged_PDX_cell_lines_AML_10173_lociStitched;EPB41L2;EPB41L2;EPB41L2;
1_merged_PDX_cell_lines_AML_10174_lociStitched;LOC100499467;;LOC100499467;
1_merged_PDX_cell_lines_AML_10175_lociStitched;STXBP5;;LOC729178;
1_merged_PDX_cell_lines_AML_10176_lociStitched;ADAM9 TM2D2;ADAM9 TM2D2 HTRA4;ADAM9;
1_merged_PDX_cell_lines_AML_10177_lociStitched;DOCK4;ZNF277;DOCK4;
1_merged_PDX_cell_lines_AML_10178_lociStitched;;FLJ37505;FLJ37505;
1_merged_PDX_cell_lines_AML_10179_lociStitched;;;MCTP2;
1_merged_PDX_cell_lines_AML_1018_lociStitched;CSF2RB;;CSF2RB;
1_merged_PDX_cell_lines_AML_10180_lociStitched;CDHR2;RNF44 CDHR2;CDHR2;
1_merged_PDX_cell_lines_AML_10181_lociStitched;ANXA2;ANXA2;ANXA2;
1_merged_PDX_cell_lines_AML_10182_lociStitched;THSD7A;;THSD7A;
1_merged_PDX_cell_lines_AML_10183_lociStitched;;;NDUFV2;
1_merged_PDX_cell_lines_AML_10184_lociStitched;MED12L;;MED12L;
1_merged_PDX_cell_lines_AML_10185_lociStitched;ANKRD17;;ANKRD17;
1_merged_PDX_cell_lines_AML_10186_lociStitched;KDM2A;ADRBK1 ANKRD13D;ADRBK1;
