;;;;
REGION_ID;OVERLAP_GENES;PROXIMAL_GENES;CLOSEST_GENE;
1_merged_PDX_cell_lines_AML_1992_lociStitched;AMMECR1;AMMECR1;AMMECR1;
1_merged_PDX_cell_lines_AML_1993_lociStitched;CD53;;CD53;
1_merged_PDX_cell_lines_AML_1994_lociStitched;AMDHD2 ATP6V0C;PDPK1 C16orf59 MIR3178 CEMP1 TBC1D24 NTN3;ATP6V0C;
1_merged_PDX_cell_lines_AML_1995_lociStitched;ZFAT;ZFAT;ZFAT;
1_merged_PDX_cell_lines_AML_1996_lociStitched;OLFML1 PPFIBP2;;PPFIBP2;
1_merged_PDX_cell_lines_AML_1997_lociStitched;RBM38;RAE1 MTRNR2L3;RBM38;
1_merged_PDX_cell_lines_AML_1998_lociStitched;;;KIF20B;
1_merged_PDX_cell_lines_AML_1999_lociStitched;;;IRF2;
1_merged_PDX_cell_lines_AML_2_lociStitched;PCDH7;;PCDH7;
1_merged_PDX_cell_lines_AML_20_lociStitched;MTSS1;;NDUFB9;
1_merged_PDX_cell_lines_AML_200_lociStitched;;ZEB2;ZEB2;
1_merged_PDX_cell_lines_AML_2000_lociStitched;KRT80;LOC283404 KRT7;KRT80;
1_merged_PDX_cell_lines_AML_2001_lociStitched;AEBP1;POLM PGAM2 MYL7 POLD2 DBNL;AEBP1;
1_merged_PDX_cell_lines_AML_2002_lociStitched;;RASA3;RASA3;
1_merged_PDX_cell_lines_AML_2003_lociStitched;AOAH;;AOAH;
1_merged_PDX_cell_lines_AML_2004_lociStitched;TMEM143 EMP3;CCDC114 ZNF114 SYNGR4;EMP3;
1_merged_PDX_cell_lines_AML_2005_lociStitched;FRYL;;FRYL;
1_merged_PDX_cell_lines_AML_2006_lociStitched;MICAL2;;MICALCL;
1_merged_PDX_cell_lines_AML_2007_lociStitched;;TLR2;TLR2;
1_merged_PDX_cell_lines_AML_2008_lociStitched;;SLC9A8;SLC9A8;
1_merged_PDX_cell_lines_AML_2009_lociStitched;PREX2;;PREX2;
1_merged_PDX_cell_lines_AML_201_lociStitched;SGIP1 TCTEX1D1;INSL5;TCTEX1D1;
1_merged_PDX_cell_lines_AML_2010_lociStitched;FBXO7;BPIL2;FBXO7;
1_merged_PDX_cell_lines_AML_2011_lociStitched;STAB1 NISCH;NT5DC2 SEMA3G TNNC1 C3orf78;STAB1;
1_merged_PDX_cell_lines_AML_2012_lociStitched;DCPS;FOXRED1 TIRAP FLJ39051 SRPR ST3GAL4;DCPS;
1_merged_PDX_cell_lines_AML_2013_lociStitched;UBA7 C3orf54;TRAIP IP6K1 CDHR4;UBA7;
1_merged_PDX_cell_lines_AML_2014_lociStitched;;ROBLD3 RAB25 SEMA4A LMNA UBQLN4 MEX3A;LMNA;
1_merged_PDX_cell_lines_AML_2015_lociStitched;;WASF2;WASF2;
1_merged_PDX_cell_lines_AML_2016_lociStitched;CD9;;CD9;
1_merged_PDX_cell_lines_AML_2017_lociStitched;BBOX1;;BBOX1;
1_merged_PDX_cell_lines_AML_2018_lociStitched;PRKCH;;PRKCH;
1_merged_PDX_cell_lines_AML_2019_lociStitched;CARD8;CARD8 ZNF114;CARD8;
1_merged_PDX_cell_lines_AML_202_lociStitched;HBS1L;HBS1L MIR3662;HBS1L;
1_merged_PDX_cell_lines_AML_2020_lociStitched;WBP4;ELF1;WBP4;
1_merged_PDX_cell_lines_AML_2021_lociStitched;BCOR;BCOR;BCOR;
1_merged_PDX_cell_lines_AML_2022_lociStitched;AUTS2;;AUTS2;
1_merged_PDX_cell_lines_AML_2023_lociStitched;PTPN14;;PTPN14;
1_merged_PDX_cell_lines_AML_2024_lociStitched;RREB1;RREB1;RREB1;
1_merged_PDX_cell_lines_AML_2025_lociStitched;INO80;;INO80;
1_merged_PDX_cell_lines_AML_2026_lociStitched;;;MBNL1;
1_merged_PDX_cell_lines_AML_2027_lociStitched;NAT10 ABTB2;NAT10;NAT10;
1_merged_PDX_cell_lines_AML_2028_lociStitched;;CALML5 CALML3;CALML3;
1_merged_PDX_cell_lines_AML_2029_lociStitched;MIR548N;PRKRA DFNB59;MIR548N;
1_merged_PDX_cell_lines_AML_203_lociStitched;ATF7IP;;ATF7IP;
1_merged_PDX_cell_lines_AML_2030_lociStitched;DIS3L2;;ALPP;
1_merged_PDX_cell_lines_AML_2031_lociStitched;ERBB4;;MIR548F2;
1_merged_PDX_cell_lines_AML_2032_lociStitched;MEIS1;;MEIS1;
1_merged_PDX_cell_lines_AML_2033_lociStitched;GALNT2;;PGBD5;
1_merged_PDX_cell_lines_AML_2034_lociStitched;DACH1;;DACH1;
1_merged_PDX_cell_lines_AML_2035_lociStitched;ZNF710;IDH2;IDH2;
1_merged_PDX_cell_lines_AML_2036_lociStitched;RAB14;;RAB14;
1_merged_PDX_cell_lines_AML_2037_lociStitched;;;CA8;
1_merged_PDX_cell_lines_AML_2038_lociStitched;BCOR;;BCOR;
1_merged_PDX_cell_lines_AML_2039_lociStitched;;MEF2A;MEF2A;
1_merged_PDX_cell_lines_AML_204_lociStitched;MIR623 UBAC2;FKSG29 GPR183;MIR623;
1_merged_PDX_cell_lines_AML_2040_lociStitched;C5orf55 EXOC3 AHRR;LOC25845 LOC100310782;C5orf55;
1_merged_PDX_cell_lines_AML_2041_lociStitched;NFX1;CHMP5 SPINK4 BAG1;NFX1;
1_merged_PDX_cell_lines_AML_2042_lociStitched;;;MN1;
1_merged_PDX_cell_lines_AML_2043_lociStitched;;;PTEN;
1_merged_PDX_cell_lines_AML_2044_lociStitched;LIMS1;LIMS1;LIMS1;
1_merged_PDX_cell_lines_AML_2045_lociStitched;RHOA AMT TCTA;DAG1 NICN1 GPX1;RHOA;
1_merged_PDX_cell_lines_AML_2046_lociStitched;;GIMAP6 GIMAP2 GIMAP1;GIMAP2;
1_merged_PDX_cell_lines_AML_2047_lociStitched;IGF1R;PGPEP1L;PGPEP1L;
1_merged_PDX_cell_lines_AML_2048_lociStitched;;;FAS-AS1;
1_merged_PDX_cell_lines_AML_2049_lociStitched;IL16;IL16;IL16;
1_merged_PDX_cell_lines_AML_205_lociStitched;LOC148696;MIR29C MIR29B2;LOC148696;
1_merged_PDX_cell_lines_AML_2050_lociStitched;SOCS2;;SOCS2;
1_merged_PDX_cell_lines_AML_2051_lociStitched;;PMAIP1;PMAIP1;
1_merged_PDX_cell_lines_AML_2052_lociStitched;GALM;SRSF7;GALM;
1_merged_PDX_cell_lines_AML_2053_lociStitched;;;RTN4;
1_merged_PDX_cell_lines_AML_2054_lociStitched;GTDC1;GTDC1;GTDC1;
1_merged_PDX_cell_lines_AML_2055_lociStitched;RRP12;FRAT1 FRAT2 RRP12;FRAT2;
1_merged_PDX_cell_lines_AML_2056_lociStitched;RIMKLB;MFAP5;RIMKLB;
1_merged_PDX_cell_lines_AML_2057_lociStitched;TFEB;PGC;TFEB;
1_merged_PDX_cell_lines_AML_2058_lociStitched;TNNT3;LSP1 TNNT3 MRPL23;TNNT3;
1_merged_PDX_cell_lines_AML_2059_lociStitched;CCDC6;;CCDC6;
1_merged_PDX_cell_lines_AML_206_lociStitched;LIMS1;LIMS1;LIMS1;
1_merged_PDX_cell_lines_AML_2060_lociStitched;SNORD105 P2RY11 SNORD105B PPAN-P2RY11 ANGPTL6 PPAN;C19orf66 EIF3G;PPAN-P2RY11;
1_merged_PDX_cell_lines_AML_2061_lociStitched;;;CLLU1OS;
1_merged_PDX_cell_lines_AML_2062_lociStitched;ASB2;FAM181A C14orf86 C14orf48;ASB2;
1_merged_PDX_cell_lines_AML_2063_lociStitched;;;LOC641518;
1_merged_PDX_cell_lines_AML_2064_lociStitched;GRB2;LOC100287042 MRPS7 MIF4GD SLC25A19 GGA3;SLC25A19;
1_merged_PDX_cell_lines_AML_2065_lociStitched;;;ITGA6;
1_merged_PDX_cell_lines_AML_2066_lociStitched;CORO1C;;CORO1C;
1_merged_PDX_cell_lines_AML_2067_lociStitched;IL28RA;LOC284632 IL22RA1 IL28RA;IL28RA;
1_merged_PDX_cell_lines_AML_2068_lociStitched;CDK6;;CDK6;
1_merged_PDX_cell_lines_AML_2069_lociStitched;;;GLUL;
1_merged_PDX_cell_lines_AML_207_lociStitched;REEP3;LOC84989 JMJD1C;REEP3;
1_merged_PDX_cell_lines_AML_2070_lociStitched;;FAM46C;FAM46C;
1_merged_PDX_cell_lines_AML_2071_lociStitched;FBXL17;;FBXL17;
1_merged_PDX_cell_lines_AML_2072_lociStitched;CCL1;CCL8 CCL13;CCL1;
1_merged_PDX_cell_lines_AML_2073_lociStitched;SMYD3;;SMYD3;
1_merged_PDX_cell_lines_AML_2074_lociStitched;GAB2;GAB2;GAB2;
1_merged_PDX_cell_lines_AML_2075_lociStitched;;GSTK1 TMEM139 CASP2 TAS2R40;GSTK1;
1_merged_PDX_cell_lines_AML_2076_lociStitched;GPR55;ITM2C;GPR55;
1_merged_PDX_cell_lines_AML_2077_lociStitched;;;TRIM2;
1_merged_PDX_cell_lines_AML_2078_lociStitched;DUSP22;;DUSP22;
1_merged_PDX_cell_lines_AML_2079_lociStitched;CDKN2A CDKN2B-AS1;CDKN2B C9orf53 CDKN2A;CDKN2A;
1_merged_PDX_cell_lines_AML_208_lociStitched;ARRB1 MIR326;SNORD15A RPS3;MIR326;
1_merged_PDX_cell_lines_AML_2080_lociStitched;NCAM1;;NCAM1;
1_merged_PDX_cell_lines_AML_2081_lociStitched;;FAM194A SIAH2;FAM194A;
1_merged_PDX_cell_lines_AML_2082_lociStitched;;;MIR17HG;
1_merged_PDX_cell_lines_AML_2083_lociStitched;ARHGAP22;;ARHGAP22;
1_merged_PDX_cell_lines_AML_2084_lociStitched;;FASLG;FASLG;
1_merged_PDX_cell_lines_AML_2085_lociStitched;COBLL1;;COBLL1;
1_merged_PDX_cell_lines_AML_2086_lociStitched;;AP3M2;AP3M2;
1_merged_PDX_cell_lines_AML_2087_lociStitched;;MPEG1;MPEG1;
1_merged_PDX_cell_lines_AML_2088_lociStitched;CAPZB;;CAPZB;
1_merged_PDX_cell_lines_AML_2089_lociStitched;HIPK3;HIPK3;HIPK3;
1_merged_PDX_cell_lines_AML_209_lociStitched;C5orf62 DCTN4;;C5orf62;
1_merged_PDX_cell_lines_AML_2090_lociStitched;;;MDFIC;
1_merged_PDX_cell_lines_AML_2091_lociStitched;WEE1;;WEE1;
1_merged_PDX_cell_lines_AML_2092_lociStitched;MTIF3;GTF3A;MTIF3;
1_merged_PDX_cell_lines_AML_2093_lociStitched;MYO3B;;MYO3B;
1_merged_PDX_cell_lines_AML_2094_lociStitched;DNAJC5;UCKL1-AS1 MIR1914 C20orf135 MIR941-3 UCKL1 MIR941-1 MIR647 MIR941-2 TPD52L2;DNAJC5;
1_merged_PDX_cell_lines_AML_2095_lociStitched;HNRNPA2B1 CBX3;NFE2L3 HNRNPA2B1;HNRNPA2B1;
1_merged_PDX_cell_lines_AML_2096_lociStitched;OR8U8 OR9G1;OR5AR1 OR9G9 OR9G4;OR9G1;
1_merged_PDX_cell_lines_AML_2097_lociStitched;PDE4B;PDE4B;PDE4B;
1_merged_PDX_cell_lines_AML_2098_lociStitched;PARK2;;PACRG;
1_merged_PDX_cell_lines_AML_2099_lociStitched;KDM4C;;KDM4C;
1_merged_PDX_cell_lines_AML_21_lociStitched;;;DAD1;
1_merged_PDX_cell_lines_AML_210_lociStitched;;COMMD3 BMI1 SPAG6;COMMD3;
1_merged_PDX_cell_lines_AML_2100_lociStitched;PPP3CB;ANXA7 PPP3CB ZMYND17;ZMYND17;
1_merged_PDX_cell_lines_AML_2101_lociStitched;MYO1G C7orf40 SNORA9;CCM2;MYO1G;
1_merged_PDX_cell_lines_AML_2102_lociStitched;RSRC1 SHOX2;SHOX2;SHOX2;
1_merged_PDX_cell_lines_AML_2103_lociStitched;;ABHD2;ABHD2;
1_merged_PDX_cell_lines_AML_2104_lociStitched;TCF4;;TCF4;
1_merged_PDX_cell_lines_AML_2105_lociStitched;MS4A3;MS4A3 MS4A2 PLAC1L;MS4A3;
1_merged_PDX_cell_lines_AML_2106_lociStitched;CUBN;;CUBN;
1_merged_PDX_cell_lines_AML_2107_lociStitched;;;KCNQ5;
1_merged_PDX_cell_lines_AML_2108_lociStitched;C14orf80 CRIP1 CRIP2;TMEM121;CRIP1;
1_merged_PDX_cell_lines_AML_2109_lociStitched;TEX2;SNORA76 SNORD104 ERN1;SNORA76;
1_merged_PDX_cell_lines_AML_211_lociStitched;GNA15;NCLN GNA11 S1PR4;GNA15;
1_merged_PDX_cell_lines_AML_2110_lociStitched;;;LY86-AS1;
1_merged_PDX_cell_lines_AML_2111_lociStitched;CMTM7;CMTM6;CMTM6;
1_merged_PDX_cell_lines_AML_2112_lociStitched;HOXA11-AS1 HOXA11;HOXA6 HOXA10 EVX1 HOXA5 HOXA7 HOXA9 MIR196B HOXA13;HOXA11-AS1;
1_merged_PDX_cell_lines_AML_2113_lociStitched;TMED10;NEK9;NEK9;
1_merged_PDX_cell_lines_AML_2114_lociStitched;ATP6V0A1;MLX NAGLU HSD17B1 COASY;NAGLU;
1_merged_PDX_cell_lines_AML_2115_lociStitched;LPAR5 ACRBP;ZNF384 CHD4 SCARNA11 ING4;LPAR5;
1_merged_PDX_cell_lines_AML_2116_lociStitched;AKT3;;AKT3;
1_merged_PDX_cell_lines_AML_2117_lociStitched;ANKRD44;;ANKRD44;
1_merged_PDX_cell_lines_AML_2118_lociStitched;;;DTNBP1;
1_merged_PDX_cell_lines_AML_2119_lociStitched;TP53BP2;;TP53BP2;
1_merged_PDX_cell_lines_AML_212_lociStitched;RUNX2;SUPT3H;RUNX2;
1_merged_PDX_cell_lines_AML_2120_lociStitched;ANKLE2 GOLGA3;PGAM5;ANKLE2;
1_merged_PDX_cell_lines_AML_2121_lociStitched;GPR132;CDCA4;GPR132;
1_merged_PDX_cell_lines_AML_2122_lociStitched;TYROBP HCST NFKBID;KIRREL2 APLP1 TYROBP LRFN3 NPHS1;HCST;
1_merged_PDX_cell_lines_AML_2123_lociStitched;;;SH2D1A;
1_merged_PDX_cell_lines_AML_2124_lociStitched;;FLJ42351 SLC20A1;SLC20A1;
1_merged_PDX_cell_lines_AML_2125_lociStitched;C2CD2;PRDM15;C2CD2;
1_merged_PDX_cell_lines_AML_2126_lociStitched;FLJ22536;;LOC729177;
1_merged_PDX_cell_lines_AML_2127_lociStitched;;;HACE1;
1_merged_PDX_cell_lines_AML_2128_lociStitched;PLD1;TMEM212;PLD1;
1_merged_PDX_cell_lines_AML_2129_lociStitched;;LOC90784;LOC90784;
1_merged_PDX_cell_lines_AML_213_lociStitched;CXXC5;;CXXC5;
1_merged_PDX_cell_lines_AML_2130_lociStitched;LY86-AS1 LY86;;LY86;
1_merged_PDX_cell_lines_AML_2131_lociStitched;;GLRX5 C14orf49 SCARNA13 SNHG10;SCARNA13;
1_merged_PDX_cell_lines_AML_2132_lociStitched;KCNT2;;KCNT2;
1_merged_PDX_cell_lines_AML_2133_lociStitched;;;TNFAIP3;
1_merged_PDX_cell_lines_AML_2134_lociStitched;GBP5;;GBP5;
1_merged_PDX_cell_lines_AML_2135_lociStitched;DPEP2;SLC12A4 PSMB10 DUS2L DPEP3 DDX28 LCAT;DPEP3;
1_merged_PDX_cell_lines_AML_2136_lociStitched;CELF1;CELF1 PTPMT1;CELF1;
1_merged_PDX_cell_lines_AML_2137_lociStitched;IGF2BP3;RPS2P32;IGF2BP3;
1_merged_PDX_cell_lines_AML_2138_lociStitched;ST3GAL1;;ST3GAL1;
1_merged_PDX_cell_lines_AML_2139_lociStitched;;KLHDC4;KLHDC4;
1_merged_PDX_cell_lines_AML_214_lociStitched;BZRAP1 SUPT4H1 MIR142;MPO;MIR142;
1_merged_PDX_cell_lines_AML_2140_lociStitched;LFNG;C7orf27 IQCE;LFNG;
1_merged_PDX_cell_lines_AML_2141_lociStitched;HPSE2;;HPSE2;
1_merged_PDX_cell_lines_AML_2142_lociStitched;FLJ30838;;FLJ30838;
1_merged_PDX_cell_lines_AML_2143_lociStitched;KCNAB2;KCNAB2 NPHP4;KCNAB2;
1_merged_PDX_cell_lines_AML_2144_lociStitched;UNC5C;;UNC5C;
1_merged_PDX_cell_lines_AML_2145_lociStitched;MICAL1;ZBTB24 PPIL6 MICAL1 SMPD2;MICAL1;
1_merged_PDX_cell_lines_AML_2146_lociStitched;APOL3;APOL3 APOL4;APOL3;
1_merged_PDX_cell_lines_AML_2147_lociStitched;SDK2;;SDK2;
1_merged_PDX_cell_lines_AML_2148_lociStitched;ANKRD11;;ANKRD11;
1_merged_PDX_cell_lines_AML_2149_lociStitched;FPR3;FPR2 FPR1;FPR3;
1_merged_PDX_cell_lines_AML_215_lociStitched;GPR126;;GPR126;
1_merged_PDX_cell_lines_AML_2150_lociStitched;;LOC100130298;LOC100130298;
1_merged_PDX_cell_lines_AML_2151_lociStitched;MIR3945;SLED1 ACSL1;MIR3945;
1_merged_PDX_cell_lines_AML_2152_lociStitched;;SLC9A8 B4GALT5;SLC9A8;
1_merged_PDX_cell_lines_AML_2153_lociStitched;;;BCL11A;
1_merged_PDX_cell_lines_AML_2154_lociStitched;RAPGEF1;RAPGEF1;RAPGEF1;
1_merged_PDX_cell_lines_AML_2155_lociStitched;MORN1 SKI;LOC100129534;LOC100129534;
1_merged_PDX_cell_lines_AML_2156_lociStitched;PIGU;MAP1LC3A;MAP1LC3A;
1_merged_PDX_cell_lines_AML_2157_lociStitched;FOXB1;;FOXB1;
1_merged_PDX_cell_lines_AML_2158_lociStitched;DAPK2;;DAPK2;
1_merged_PDX_cell_lines_AML_2159_lociStitched;DUSP6;DUSP6;DUSP6;
1_merged_PDX_cell_lines_AML_216_lociStitched;FOS;;FOS;
1_merged_PDX_cell_lines_AML_2160_lociStitched;MTDH;;MTDH;
1_merged_PDX_cell_lines_AML_2161_lociStitched;MAMDC2;;MAMDC2;
1_merged_PDX_cell_lines_AML_2162_lociStitched;;;DUSP6;
1_merged_PDX_cell_lines_AML_2163_lociStitched;FAM125B;;FAM125B;
1_merged_PDX_cell_lines_AML_2164_lociStitched;CD3G CD3D;CD3E UBE4A CD3D;CD3D;
1_merged_PDX_cell_lines_AML_2165_lociStitched;;UCA1 CYP4F2;CYP4F2;
1_merged_PDX_cell_lines_AML_2166_lociStitched;PDE4DIP;;PDE4DIP;
1_merged_PDX_cell_lines_AML_2167_lociStitched;FOXN3;;FOXN3;
1_merged_PDX_cell_lines_AML_2168_lociStitched;AGPAT9;;AGPAT9;
1_merged_PDX_cell_lines_AML_2169_lociStitched;HTR2A;HTR2A;HTR2A;
1_merged_PDX_cell_lines_AML_217_lociStitched;NEGR1;;NEGR1;
1_merged_PDX_cell_lines_AML_2170_lociStitched;BCL6;RTP2 LOC100131635;BCL6;
1_merged_PDX_cell_lines_AML_2171_lociStitched;ANGPT1;;ANGPT1;
1_merged_PDX_cell_lines_AML_2172_lociStitched;LOC729082;NUSAP1 OIP5;LOC729082;
1_merged_PDX_cell_lines_AML_2173_lociStitched;LILRA4;LILRA5 LAIR1 LILRA3;LILRA4;
1_merged_PDX_cell_lines_AML_2174_lociStitched;RASA3;;RASA3;
1_merged_PDX_cell_lines_AML_2175_lociStitched;;;ADAM6;
1_merged_PDX_cell_lines_AML_2176_lociStitched;RPS9;TMC4 LILRA6 LENG1 TSEN34 LILRB5 MBOAT7 LILRB3;RPS9;
1_merged_PDX_cell_lines_AML_2177_lociStitched;CAPG;SH2D6 ELMOD3 RETSAT;CAPG;
1_merged_PDX_cell_lines_AML_2178_lociStitched;FAM20B;TOR3A;FAM20B;
1_merged_PDX_cell_lines_AML_2179_lociStitched;C20orf94;MKKS;C20orf94;
1_merged_PDX_cell_lines_AML_218_lociStitched;ASPH;;ASPH;
1_merged_PDX_cell_lines_AML_2180_lociStitched;SWAP70;LOC440028 LOC283104;LOC283104;
1_merged_PDX_cell_lines_AML_2181_lociStitched;MSI2;;MRPS23;
1_merged_PDX_cell_lines_AML_2182_lociStitched;;;SLC20A1;
1_merged_PDX_cell_lines_AML_2183_lociStitched;FGL2 CCDC146;;FGL2;
1_merged_PDX_cell_lines_AML_2184_lociStitched;HECW2;STK17B;STK17B;
1_merged_PDX_cell_lines_AML_2185_lociStitched;GUCY2E;LRRC32;GUCY2E;
1_merged_PDX_cell_lines_AML_2186_lociStitched;CD81;TSSC4 TRPM5;CD81;
1_merged_PDX_cell_lines_AML_2187_lociStitched;C5orf35 MIER3;;C5orf35;
1_merged_PDX_cell_lines_AML_2188_lociStitched;;MIR3942;MIR3942;
1_merged_PDX_cell_lines_AML_2189_lociStitched;;;MAP3K1;
1_merged_PDX_cell_lines_AML_219_lociStitched;ZNRF1;LDHD;LDHD;
1_merged_PDX_cell_lines_AML_2190_lociStitched;MNT;LOC284009;MNT;
1_merged_PDX_cell_lines_AML_2191_lociStitched;AMD1;;AMD1;
1_merged_PDX_cell_lines_AML_2192_lociStitched;LHX6;MRRF LHX6 RBM18;LHX6;
1_merged_PDX_cell_lines_AML_2193_lociStitched;;ZNF311 LOC100129636;ZNF311;
1_merged_PDX_cell_lines_AML_2194_lociStitched;KIAA0319L;;KIAA0319L;
1_merged_PDX_cell_lines_AML_2195_lociStitched;CMTM8;CMTM7;CMTM7;
1_merged_PDX_cell_lines_AML_2196_lociStitched;C7orf58;;WNT16;
1_merged_PDX_cell_lines_AML_2197_lociStitched;UST;;TAB2;
1_merged_PDX_cell_lines_AML_2198_lociStitched;FBLN7;FBLN7;FBLN7;
1_merged_PDX_cell_lines_AML_2199_lociStitched;ORAI1;KDM2B MORN3;ORAI1;
1_merged_PDX_cell_lines_AML_22_lociStitched;FNBP1;GPR107;FNBP1;
1_merged_PDX_cell_lines_AML_220_lociStitched;;;HTR1F;
1_merged_PDX_cell_lines_AML_2200_lociStitched;BNIP2;GTF2A2;BNIP2;
1_merged_PDX_cell_lines_AML_2201_lociStitched;PLCB4;PLCB4;PLCB4;
1_merged_PDX_cell_lines_AML_2202_lociStitched;;;SLC8A1;
1_merged_PDX_cell_lines_AML_2203_lociStitched;;KLHDC4;KLHDC4;
1_merged_PDX_cell_lines_AML_2204_lociStitched;STK10;;STK10;
1_merged_PDX_cell_lines_AML_2205_lociStitched;;;GPR109A;
1_merged_PDX_cell_lines_AML_2206_lociStitched;ODZ1;SH2D1A;SH2D1A;
1_merged_PDX_cell_lines_AML_2207_lociStitched;RAB40B;FN3KRP WDR45L;RAB40B;
1_merged_PDX_cell_lines_AML_2208_lociStitched;;MCM3;MCM3;
1_merged_PDX_cell_lines_AML_2209_lociStitched;DRAM1;;DRAM1;
1_merged_PDX_cell_lines_AML_221_lociStitched;SOX4;FLJ22536;SOX4;
1_merged_PDX_cell_lines_AML_2210_lociStitched;;UAP1L1 MAN1B1 DPP7 C9orf140 LOC100289341 GRIN1 MIR3621 LRRC26;DPP7;
1_merged_PDX_cell_lines_AML_2211_lociStitched;INO80C;;INO80C;
1_merged_PDX_cell_lines_AML_2212_lociStitched;SLAMF1;CD84;SLAMF1;
1_merged_PDX_cell_lines_AML_2213_lociStitched;EDEM3;;EDEM3;
1_merged_PDX_cell_lines_AML_2214_lociStitched;;SUMO1P1;SUMO1P1;
1_merged_PDX_cell_lines_AML_2215_lociStitched;RCBTB2;;RCBTB2;
1_merged_PDX_cell_lines_AML_2216_lociStitched;;INTS10;INTS10;
1_merged_PDX_cell_lines_AML_2217_lociStitched;;SPRY1;SPRY1;
1_merged_PDX_cell_lines_AML_2218_lociStitched;PCDH17;;PCDH17;
1_merged_PDX_cell_lines_AML_2219_lociStitched;;LOC284276;LOC284276;
1_merged_PDX_cell_lines_AML_222_lociStitched;CMPK2 RSAD2;LOC386597 RNF144A;RSAD2;
1_merged_PDX_cell_lines_AML_2220_lociStitched;EXOC6B;;EXOC6B;
1_merged_PDX_cell_lines_AML_2221_lociStitched;SSH2;;CORO6;
1_merged_PDX_cell_lines_AML_2222_lociStitched;;;MIR148A;
1_merged_PDX_cell_lines_AML_2223_lociStitched;PTPRN2;MIR153-2;MIR153-2;
1_merged_PDX_cell_lines_AML_2224_lociStitched;FILIP1L C3orf26;C3orf26;FILIP1L;
1_merged_PDX_cell_lines_AML_2225_lociStitched;;ZNF542;ZNF542;
1_merged_PDX_cell_lines_AML_2226_lociStitched;IKZF2;;IKZF2;
1_merged_PDX_cell_lines_AML_2227_lociStitched;RPA2 C1orf38;SCARNA1 SMPDL3B;C1orf38;
1_merged_PDX_cell_lines_AML_2228_lociStitched;ODZ1;SH2D1A;SH2D1A;
1_merged_PDX_cell_lines_AML_2229_lociStitched;;C2orf46;C2orf46;
1_merged_PDX_cell_lines_AML_223_lociStitched;;SLC22A11 SLC22A12;SLC22A11;
1_merged_PDX_cell_lines_AML_2230_lociStitched;;;REXO1L1;
1_merged_PDX_cell_lines_AML_2231_lociStitched;MFSD6;;MFSD6;
1_merged_PDX_cell_lines_AML_2232_lociStitched;ATP2A2;ANAPC7;ANAPC7;
1_merged_PDX_cell_lines_AML_2233_lociStitched;;FSCN2 MIR3186 ACTG1;ACTG1;
1_merged_PDX_cell_lines_AML_2234_lociStitched;;B2M PATL2 TRIM69;TRIM69;
1_merged_PDX_cell_lines_AML_2235_lociStitched;SFSWAP;MMP17;MMP17;
1_merged_PDX_cell_lines_AML_2236_lociStitched;BNC2;;BNC2;
1_merged_PDX_cell_lines_AML_2237_lociStitched;ZNF444;GALP ZNF787 ZSCAN5B;GALP;
1_merged_PDX_cell_lines_AML_2238_lociStitched;;;KIF20B;
1_merged_PDX_cell_lines_AML_2239_lociStitched;NTN1;;NTN1;
1_merged_PDX_cell_lines_AML_224_lociStitched;SELL;SELE SELP;SELL;
1_merged_PDX_cell_lines_AML_2240_lociStitched;;PTAFR LOC653566 EYA3;LOC653566;
1_merged_PDX_cell_lines_AML_2241_lociStitched;C20orf3 CST7;;CST7;
1_merged_PDX_cell_lines_AML_2242_lociStitched;DOCK2 FAM196B;;FAM196B;
1_merged_PDX_cell_lines_AML_2243_lociStitched;;TASP1;TASP1;
1_merged_PDX_cell_lines_AML_2244_lociStitched;XK;;XK;
1_merged_PDX_cell_lines_AML_2245_lociStitched;TMBIM1 PNKD;AAMP GPBAR1 PNKD;TMBIM1;
1_merged_PDX_cell_lines_AML_2246_lociStitched;CDK6;;FAM133B;
1_merged_PDX_cell_lines_AML_2247_lociStitched;PARD3B;;NRP2;
1_merged_PDX_cell_lines_AML_2248_lociStitched;;;RAD51AP2;
1_merged_PDX_cell_lines_AML_2249_lociStitched;C12orf75;;C12orf75;
1_merged_PDX_cell_lines_AML_225_lociStitched;LOC100310782 AHRR;LOC25845 EXOC3 C5orf55;LOC100310782;
1_merged_PDX_cell_lines_AML_2250_lociStitched;;;NCRNA00158;
1_merged_PDX_cell_lines_AML_2251_lociStitched;OTUD5;PQBP1 SLC35A2 KCND1 TIMM17B PIM2;OTUD5;
1_merged_PDX_cell_lines_AML_2252_lociStitched;;TIGIT MIR568 ZBTB20;MIR568;
1_merged_PDX_cell_lines_AML_2253_lociStitched;MIR3134 SUSD1;;SUSD1;
1_merged_PDX_cell_lines_AML_2254_lociStitched;;CLLU1OS CLLU1;CLLU1OS;
1_merged_PDX_cell_lines_AML_2255_lociStitched;CHN2;;CHN2;
1_merged_PDX_cell_lines_AML_2256_lociStitched;;FOXRED2 TXN2;TXN2;
1_merged_PDX_cell_lines_AML_2257_lociStitched;ST6GALNAC3;;ST6GALNAC3;
1_merged_PDX_cell_lines_AML_2258_lociStitched;;;TNP1;
1_merged_PDX_cell_lines_AML_2259_lociStitched;JMJD1C;;JMJD1C;
1_merged_PDX_cell_lines_AML_226_lociStitched;ATP8B4;;ATP8B4;
1_merged_PDX_cell_lines_AML_2260_lociStitched;UMODL1;C21orf128;C21orf128;
