mr201.MV411.MYBi_6h.r1_tcount,mr202.MV411.MYBi_6h.r2_tcount,mr203.MV411.MYBi_6h.r3_tcount,mr205.MV411.PBS_6h.r1_tcount,mr206.MV411.PBS_6h.r2_tcount,mr207.MV411.PBS_6h.r3_tcount
1,1,0,2,6,3
0,0,1,1,1,0
2,3,5,22,47,30
3,3,0,3,6,5
2,4,0,8,12,9
0,0,0,1,3,1
0,0,0,0,1,1
4,7,5,6,12,20
0,0,0,2,5,4
11,14,20,18,39,26
0,1,0,0,0,0
0,0,1,0,0,0
5,6,4,26,33,19
0,2,1,4,11,3
0,0,0,0,0,0
0,0,3,1,2,1
3,1,7,6,10,7
0,0,0,0,0,0
11,4,5,12,14,9
19,21,12,18,24,11
0,1,0,0,0,0
6,7,3,4,17,4
0,0,0,0,0,0
0,0,0,0,0,0
0,3,0,0,3,1
30,44,29,60,130,62
9,5,7,9,17,2
32,32,15,26,29,23
0,1,0,2,5,4
2,12,2,39,39,26
3,8,2,21,50,11
0,0,0,0,0,0
10,10,6,16,14,9
0,2,0,3,8,4
1,1,0,3,5,1
0,0,0,0,0,0
8,1,2,6,19,8
0,0,0,0,0,0
0,0,1,3,4,0
0,0,0,0,0,0
12,13,3,15,19,21
0,1,1,2,4,5
1,0,0,1,1,3
44,55,26,142,184,113
0,0,0,0,0,0
6,11,2,4,7,10
2,2,1,16,23,11
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,1,2,4
7,9,11,26,32,20
1,1,0,1,2,0
0,1,0,0,0,0
0,0,0,4,6,3
0,0,0,1,0,0
3,4,3,12,9,10
6,9,3,8,1,3
14,10,9,19,35,22
0,0,0,1,2,2
0,0,0,0,1,0
0,0,0,0,0,0
2,0,0,4,12,4
0,1,0,11,8,4
2,2,6,21,36,22
0,0,1,2,6,1
5,0,1,5,7,3
14,6,8,16,37,15
0,0,0,0,0,0
0,1,0,1,0,0
0,0,0,1,0,1
4,3,1,3,11,3
1,0,2,4,5,4
6,0,0,4,7,4
5,8,4,10,31,18
0,0,0,0,3,0
0,0,0,5,8,6
3,8,7,69,105,68
0,0,0,0,1,1
0,3,0,2,0,1
0,0,0,0,1,3
0,0,0,0,0,0
1,2,0,0,1,0
0,0,0,0,0,0
22,25,28,53,107,54
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
4,3,0,6,6,3
11,10,4,10,19,8
5,8,2,17,21,10
0,0,0,0,5,1
1,5,3,29,47,29
0,0,1,1,0,0
1,1,6,13,19,6
1,4,1,14,17,11
3,2,0,4,11,9
0,0,0,0,0,1
1,2,0,0,0,0
1,2,8,6,10,3
0,0,0,0,0,0
0,0,1,0,1,0
4,12,0,2,3,3
0,0,0,2,0,0
0,0,0,1,0,0
0,1,0,0,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,2,1
0,0,0,0,2,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,1,1,0,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,2,2
1,1,0,3,8,7
0,0,0,0,0,0
4,5,5,9,15,6
0,0,0,0,0,0
0,0,0,0,0,1
0,1,0,0,3,1
1,3,0,10,9,9
6,7,2,13,26,9
16,13,15,51,65,35
3,2,2,6,5,1
0,1,0,5,7,5
0,3,0,1,6,5
0,1,0,0,0,2
0,0,0,0,0,0
0,0,0,3,6,1
6,3,3,2,6,3
0,0,0,0,0,1
1,8,3,15,17,19
1,2,1,4,7,2
0,0,0,0,1,0
0,0,1,1,0,0
0,0,0,0,0,0
7,6,19,8,15,8
6,6,8,8,35,17
0,0,0,2,3,3
0,0,0,0,0,0
4,5,1,9,9,3
1,0,0,1,2,1
0,0,0,1,5,2
0,3,2,1,3,3
0,0,0,0,0,2
6,2,1,5,11,2
2,4,3,7,3,7
6,1,3,1,16,2
21,24,18,53,71,33
2,6,1,4,7,2
1,0,1,3,3,1
13,22,21,30,38,36
0,0,0,0,0,0
0,0,0,0,0,0
4,2,4,3,4,2
8,9,4,9,13,3
1,0,0,1,1,0
2,0,0,2,8,4
3,5,3,3,11,11
0,0,0,0,0,1
4,4,1,13,16,7
0,0,0,0,0,0
0,1,0,0,4,1
1,0,0,0,1,0
5,5,0,5,0,1
0,0,0,0,0,0
3,3,1,8,6,2
0,0,1,0,2,4
1,3,0,1,3,0
1,0,0,7,6,2
2,8,3,16,31,12
2,2,0,7,7,3
1,1,0,7,14,11
2,0,0,5,5,1
0,0,0,3,4,8
0,0,0,1,1,1
0,5,0,7,10,3
0,0,0,0,0,0
8,6,4,4,10,4
0,0,0,8,9,7
0,1,0,1,4,1
0,0,0,0,0,0
8,8,7,58,88,51
0,0,0,0,0,0
0,5,1,0,2,2
0,0,0,2,4,3
0,0,1,2,5,1
0,0,0,0,0,0
4,6,7,4,14,8
0,1,0,7,8,5
16,8,3,5,17,8
8,2,0,11,23,12
0,0,0,0,0,0
0,1,0,3,0,1
1,0,0,22,9,4
9,3,2,6,19,10
0,0,0,0,0,0
8,10,9,27,32,15
0,2,0,0,0,0
4,3,4,5,13,10
2,11,3,2,6,5
0,0,1,5,3,7
0,0,0,3,1,1
5,4,4,1,15,8
0,0,0,0,0,0
9,6,6,15,33,13
2,2,0,3,3,1
4,0,0,2,1,1
0,0,0,0,2,1
0,0,0,0,0,0
0,0,0,2,3,0
23,46,31,52,62,52
13,6,10,10,16,9
0,0,0,0,0,0
3,1,2,5,3,5
0,0,0,0,0,0
0,0,0,6,9,4
0,0,0,0,2,1
5,6,6,9,25,16
1,3,0,7,9,4
0,0,0,0,2,3
0,0,0,0,0,1
9,6,7,10,21,19
7,9,1,32,41,13
2,5,5,14,13,18
0,0,1,9,15,3
0,0,1,10,26,18
3,5,7,8,33,10
0,0,0,0,0,0
2,2,5,4,14,6
5,0,0,4,3,2
0,0,2,2,3,1
0,0,0,0,0,0
0,0,0,0,0,0
1,2,1,11,10,8
2,3,0,6,13,14
5,1,1,8,5,8
2,0,0,0,0,0
2,0,0,0,6,2
0,0,0,0,0,0
0,6,0,9,25,7
0,0,0,0,0,0
0,1,0,0,0,0
2,0,0,0,0,1
1,1,0,4,9,5
1,0,0,0,0,0
5,5,1,5,13,7
0,0,0,0,0,0
0,1,0,0,3,0
0,3,0,7,11,6
0,0,0,1,5,3
0,0,0,0,0,0
16,8,2,50,83,58
0,0,0,0,0,0
0,0,0,0,0,0
16,24,12,43,61,33
0,0,1,3,1,0
0,0,0,1,0,0
3,3,1,10,10,13
0,1,0,1,6,3
0,0,0,3,0,1
0,0,0,0,0,0
1,6,1,7,10,2
0,0,0,0,0,0
0,0,1,1,0,0
0,0,0,0,0,0
3,6,4,29,24,24
1,0,2,3,12,0
6,0,1,7,12,6
5,7,4,5,21,8
1,0,1,8,5,4
18,20,13,12,38,14
0,0,0,0,1,0
5,5,4,14,27,11
5,2,5,18,25,4
0,0,0,3,6,4
7,3,2,6,8,6
7,9,1,9,22,6
3,6,2,12,21,20
0,0,0,0,0,0
0,1,4,2,5,6
0,0,0,0,4,2
0,1,0,1,5,3
1,1,0,8,16,8
1,5,0,11,11,9
14,7,5,19,38,22
0,0,0,0,0,0
2,3,1,4,6,6
2,6,4,25,40,21
4,0,1,3,5,0
8,8,11,10,18,9
1,8,4,3,7,3
0,0,0,2,3,3
2,4,1,2,11,4
0,0,0,1,1,0
20,36,25,70,77,51
1,1,0,3,8,2
2,0,2,0,4,4
0,0,0,3,2,5
4,2,3,5,3,5
0,0,0,0,2,0
4,1,1,4,13,2
1,0,0,0,0,0
2,0,1,2,2,3
0,2,2,3,5,4
2,0,0,11,11,4
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,3,2,1
3,4,3,4,11,1
1,1,2,15,11,12
0,0,0,0,0,0
3,4,6,12,19,8
15,2,6,7,19,5
3,0,2,2,6,9
0,1,0,0,1,2
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,1,7,7
8,6,8,23,42,26
9,9,7,11,16,8
0,0,0,2,2,0
0,0,0,1,2,0
5,2,5,17,19,10
0,2,0,0,0,4
0,0,0,0,0,0
51,127,90,99,190,110
1,0,0,16,16,9
0,0,0,0,0,0
17,21,16,3,16,2
24,44,18,13,20,16
0,0,0,0,0,0
0,2,0,2,5,2
0,0,0,0,0,0
1,4,2,6,9,4
1,0,1,5,8,7
16,18,8,23,24,14
0,0,0,0,0,0
3,5,1,7,13,10
0,3,3,0,0,0
0,0,0,0,0,0
7,7,7,30,46,35
56,94,82,32,28,31
4,2,0,2,8,4
1,4,1,8,9,13
1,0,0,5,0,0
0,0,1,0,7,4
2,5,3,11,13,4
0,0,0,0,0,1
0,2,0,4,4,1
0,0,0,0,0,0
9,13,9,27,23,18
0,0,0,0,0,0
22,25,13,39,63,31
0,0,2,2,3,2
1,0,0,0,0,0
0,1,1,5,9,1
0,0,0,1,1,0
2,1,0,1,4,4
0,1,0,5,3,1
0,0,0,0,0,0
16,14,5,12,27,7
5,5,9,10,16,10
10,5,4,7,10,8
0,1,1,3,10,4
1,1,2,2,3,3
1,4,4,15,10,8
6,5,2,11,20,8
0,0,0,0,0,0
1,1,2,10,23,10
0,0,0,0,1,0
0,0,0,0,0,0
2,3,2,29,32,15
0,0,0,0,0,0
5,11,4,14,14,9
0,0,0,0,0,0
8,2,3,15,23,19
0,0,0,0,0,0
0,0,1,2,2,0
0,0,0,0,0,0
11,9,13,34,72,47
1,2,6,5,18,5
0,0,0,0,0,0
7,19,8,38,71,46
2,1,2,9,10,16
4,4,2,0,1,0
1,2,0,3,5,1
4,4,4,5,8,4
2,1,2,1,4,3
0,2,1,1,3,3
0,1,0,0,1,0
0,1,0,11,23,12
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3,4,0,21,38,16
0,0,0,5,4,2
0,2,0,1,0,0
0,5,1,8,28,13
1,8,1,4,7,6
0,1,0,1,2,1
10,9,7,8,20,12
0,0,0,3,3,5
2,4,0,3,8,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,1,6,2
23,30,17,10,15,14
2,2,5,0,5,1
5,2,3,6,23,17
0,0,1,0,2,0
0,1,0,8,21,10
0,0,1,0,0,1
1,3,2,28,49,22
8,5,1,24,28,8
0,1,0,0,4,2
1,0,0,0,1,1
1,1,0,0,1,0
0,0,0,2,3,0
0,1,0,0,2,1
2,1,1,5,14,15
7,5,3,7,16,9
3,1,0,8,7,0
0,0,1,2,5,5
4,5,3,14,17,6
1,3,2,2,4,4
11,14,5,19,40,11
2,2,1,2,2,0
1,1,1,6,13,6
2,4,2,0,9,6
0,0,0,0,1,0
0,1,0,7,12,8
4,1,0,4,11,2
0,3,6,5,12,3
0,0,0,5,3,3
0,1,0,0,0,0
2,3,0,3,1,0
0,1,0,1,1,1
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,2,6,1
3,0,2,4,6,3
0,1,0,0,1,0
2,2,2,8,9,4
3,1,1,8,9,7
0,0,0,0,0,0
0,0,0,0,0,0
2,1,1,3,6,2
0,0,0,0,0,0
0,0,0,0,0,0
4,0,2,12,23,11
2,2,0,4,3,5
1,3,0,7,5,0
0,0,0,0,0,0
0,0,0,0,0,0
2,1,5,12,27,20
0,0,0,1,4,0
0,0,0,0,0,0
5,3,3,3,6,3
5,2,0,4,3,3
0,0,2,5,3,3
0,1,1,12,22,12
1,0,0,5,10,5
5,11,9,13,30,18
3,8,1,8,28,12
0,0,2,0,1,1
4,4,1,13,24,10
0,0,2,1,7,6
0,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,4,0,3,10,6
3,1,1,13,21,16
53,129,67,53,72,40
0,0,0,0,0,0
0,0,0,0,0,0
1,2,0,1,0,4
0,0,0,0,1,0
0,0,0,0,0,0
16,19,9,16,28,19
0,0,0,0,0,0
0,0,0,1,0,0
4,1,4,5,8,1
1,2,1,8,23,23
12,9,5,6,22,5
5,8,2,6,9,4
0,1,0,1,1,4
3,11,6,16,26,13
0,0,0,0,0,0
0,1,0,0,4,3
0,2,0,1,6,5
1,3,0,7,7,2
0,0,0,0,1,2
0,0,0,0,0,0
2,2,1,6,12,5
12,14,8,5,19,13
0,0,0,0,0,0
3,2,3,21,27,16
0,0,0,0,0,0
1,0,0,0,0,0
4,0,1,4,6,3
0,0,0,1,1,1
0,0,0,0,0,0
5,7,6,5,13,4
6,7,0,8,12,7
0,0,0,1,1,0
0,0,0,0,1,1
1,0,0,0,0,0
0,1,1,2,3,3
0,1,0,0,4,1
0,1,0,0,2,1
0,0,0,0,0,0
0,1,1,6,10,10
0,0,0,2,0,0
8,3,2,10,15,9
0,0,0,0,0,0
0,1,3,6,8,5
4,2,3,9,11,7
5,1,2,7,8,3
0,0,0,0,0,0
2,3,1,1,5,3
0,0,0,0,0,0
0,3,0,9,19,8
0,3,0,1,6,1
2,3,0,17,8,10
17,21,7,36,47,24
1,5,2,8,17,4
3,2,2,3,8,10
0,2,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
4,7,5,49,83,47
0,1,1,0,4,3
8,12,7,43,60,18
1,1,0,3,3,3
0,0,0,1,0,0
3,4,10,14,22,20
0,0,2,0,3,1
0,0,0,1,0,1
2,1,4,8,10,9
0,0,0,2,7,1
0,2,1,0,3,0
1,5,0,6,14,12
14,6,6,13,28,12
0,0,0,1,3,0
0,0,0,2,8,3
5,3,2,18,17,14
2,11,6,16,26,14
0,0,0,0,1,2
0,0,0,2,0,0
0,2,1,12,34,20
0,0,0,6,4,2
4,0,2,3,9,10
3,3,1,1,4,3
0,0,0,0,0,0
0,0,0,1,1,0
3,8,9,13,39,14
3,1,4,2,0,3
0,0,0,0,0,0
0,2,0,5,14,5
0,0,0,0,0,0
2,1,2,3,9,1
6,7,2,11,10,7
8,17,9,26,43,25
4,7,7,10,20,9
0,3,2,2,6,2
0,0,0,0,0,0
0,0,0,0,0,1
1,0,0,1,0,3
9,5,8,30,65,29
1,1,2,1,0,0
8,12,0,15,20,8
0,0,0,0,0,0
1,0,0,1,1,1
32,33,28,77,136,61
5,6,9,30,35,17
3,3,0,6,25,6
0,0,0,0,0,0
0,0,0,2,7,1
0,0,0,1,3,0
2,7,1,6,16,6
1,1,0,5,6,7
0,0,0,0,1,0
9,5,1,3,4,2
3,9,4,15,23,16
3,1,2,3,4,2
12,6,4,24,37,29
6,2,1,4,6,4
2,0,0,0,3,0
0,0,0,0,0,1
5,8,3,13,18,12
24,11,8,16,34,14
3,4,3,18,12,22
0,0,0,4,1,2
8,11,7,39,76,37
0,1,0,0,2,0
1,0,0,6,11,8
0,0,0,0,0,0
7,4,2,6,16,7
1,0,2,11,17,5
2,3,0,4,12,12
0,0,0,0,0,0
0,0,0,0,0,0
1,0,1,5,2,1
0,0,0,2,1,0
2,2,1,3,1,2
2,1,0,15,20,4
0,0,0,1,0,0
3,4,2,7,13,7
0,0,0,0,0,1
1,4,2,9,10,7
0,2,2,13,27,7
2,6,9,26,72,29
23,30,16,6,19,8
0,2,1,4,4,3
2,3,0,4,13,0
3,1,0,9,5,4
1,4,1,6,8,9
1,3,1,5,8,14
2,0,0,2,0,4
8,17,9,35,39,40
10,11,5,10,26,7
0,0,0,0,0,0
2,1,0,3,3,2
0,0,0,0,0,0
0,0,0,1,0,0
1,2,0,11,4,5
14,8,10,8,19,8
0,0,1,3,8,4
0,2,0,5,6,2
6,6,2,13,9,6
2,1,0,4,2,0
1,4,0,2,1,1
5,2,1,4,11,6
1,0,0,2,5,0
0,2,1,5,10,10
7,6,5,22,43,22
10,9,10,5,14,1
39,66,50,9,16,18
0,0,1,0,2,0
0,0,0,0,0,0
0,2,1,3,4,1
0,0,0,5,10,2
2,0,1,2,3,2
16,9,5,14,28,12
1,3,0,4,5,6
5,4,3,3,14,6
0,1,1,5,2,3
0,1,2,1,5,1
0,0,0,1,0,1
0,0,1,0,7,1
0,0,0,1,1,1
0,1,1,7,9,10
5,20,9,25,26,31
2,2,0,4,2,1
1,0,0,0,0,1
0,0,3,8,17,10
22,47,19,109,150,80
12,8,4,19,29,18
5,6,0,16,22,13
0,5,5,7,12,14
2,3,0,5,13,6
0,0,0,5,5,3
2,0,3,7,11,6
0,0,0,0,0,0
19,24,12,20,30,16
7,4,7,5,15,8
0,0,0,0,0,0
1,0,2,0,1,0
11,17,13,60,102,66
1,0,0,0,3,0
0,2,1,0,3,2
0,0,0,0,0,0
2,4,0,0,4,1
5,3,2,17,30,14
0,0,0,0,0,0
4,3,4,18,16,10
0,0,0,0,0,0
0,1,0,2,4,3
1,0,0,0,1,2
1,1,1,1,2,4
0,0,0,0,1,0
0,1,0,4,0,0
0,0,0,0,0,0
0,0,0,0,0,0
11,5,6,27,36,10
5,4,3,16,24,6
1,3,0,24,30,18
0,0,0,0,0,0
0,1,1,1,0,1
0,0,0,1,2,0
0,0,0,2,2,1
0,0,0,3,3,2
0,0,0,0,0,0
3,7,1,5,10,8
5,5,1,13,11,3
6,7,4,11,14,6
0,0,0,0,0,1
1,4,2,4,8,15
6,8,0,1,22,5
1,0,0,0,3,1
1,0,0,8,9,4
3,11,2,7,14,14
6,4,0,3,4,5
12,12,0,15,19,5
0,0,0,0,0,0
0,2,1,7,23,8
2,6,1,2,8,2
9,11,14,3,8,4
1,1,1,3,5,1
0,3,0,4,3,1
5,10,5,19,29,22
2,0,1,2,3,3
0,0,0,1,0,2
16,24,7,24,45,11
0,4,1,0,0,0
0,0,1,0,0,1
0,0,0,0,0,0
15,21,8,9,10,5
0,0,0,2,3,2
3,2,1,2,3,0
0,1,0,1,0,0
2,1,0,4,10,4
0,0,0,0,0,0
1,1,0,1,3,3
1,1,3,7,20,3
4,16,6,12,25,8
0,0,0,0,0,0
0,0,0,0,1,0
2,3,1,7,11,9
1,3,0,1,2,0
0,0,0,0,0,0
4,5,4,13,14,13
1,5,1,16,32,14
13,12,11,17,26,9
12,2,5,9,29,11
0,0,0,0,0,0
0,6,3,23,19,16
0,0,0,0,0,0
1,0,0,0,0,1
8,8,5,24,50,16
0,1,1,0,2,0
0,5,0,5,18,4
0,0,0,4,1,0
0,1,0,0,0,0
1,1,2,2,16,7
5,4,1,13,22,11
2,1,1,2,0,2
0,0,1,0,0,0
1,2,0,9,14,5
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,1,3,1
1,3,0,0,3,3
2,2,1,10,7,3
0,0,0,0,0,0
6,10,5,22,38,19
12,35,14,50,59,40
0,0,0,0,0,0
2,0,0,4,0,1
3,5,3,9,8,10
1,0,0,2,2,1
1,2,0,1,8,0
0,0,0,0,0,0
13,8,8,15,19,6
0,3,4,13,13,7
9,13,6,26,37,22
1,0,0,0,6,1
10,9,6,31,40,19
10,12,6,24,46,18
9,15,4,1,6,3
3,6,3,5,6,3
0,0,0,8,17,9
0,4,0,0,3,5
0,0,0,3,8,7
2,3,0,10,13,3
9,14,6,20,37,19
0,0,0,0,0,0
2,2,1,4,9,3
0,0,0,0,0,0
6,12,12,66,106,67
0,0,0,1,1,0
2,7,2,9,18,8
0,1,0,3,6,1
0,1,0,5,10,5
3,2,1,6,17,11
0,0,0,0,0,1
14,27,13,20,27,20
0,0,0,5,7,3
0,1,0,1,2,0
9,11,8,10,16,8
0,0,0,0,0,0
2,2,2,5,7,2
0,1,0,3,9,2
2,8,6,7,10,5
0,0,0,0,1,0
5,4,3,12,24,11
0,0,0,1,1,0
3,3,2,15,12,4
0,1,0,2,0,0
0,0,1,0,7,0
1,1,2,6,6,5
2,1,0,5,8,0
4,0,1,9,10,5
63,39,29,51,106,64
2,1,3,1,2,2
0,0,0,0,0,0
7,4,7,9,24,10
1,2,1,10,11,0
30,26,30,25,58,20
0,0,0,0,0,0
25,43,24,54,84,50
22,16,22,5,14,5
0,0,0,0,0,0
0,0,1,0,0,0
0,0,1,3,11,9
5,11,12,8,9,7
2,0,4,5,8,4
0,0,0,0,0,0
0,1,0,4,5,2
0,7,4,8,12,4
0,5,0,9,19,12
2,1,2,20,17,12
0,0,0,0,0,0
0,0,0,10,14,5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,1,0
5,4,2,13,22,7
0,0,1,5,2,2
0,0,0,4,0,0
0,2,0,1,4,3
0,1,0,0,1,2
4,5,5,17,25,4
1,0,0,5,10,2
4,5,3,4,3,3
2,1,1,4,1,3
1,1,1,15,16,9
3,2,1,2,1,4
4,5,2,14,14,14
0,1,2,1,4,2
0,0,0,2,1,1
2,3,3,3,12,1
0,1,0,0,1,1
2,3,1,8,9,14
0,1,5,3,6,2
6,3,0,3,4,4
8,8,2,19,36,13
64,67,32,138,200,105
0,0,0,0,0,0
2,0,0,1,2,1
6,5,4,17,25,12
0,0,0,0,0,0
1,0,0,0,0,0
0,2,2,3,5,2
0,5,2,5,2,2
0,9,1,10,19,13
0,0,0,0,1,0
0,0,0,0,0,0
4,8,7,25,48,17
0,0,0,0,0,0
2,0,2,1,6,5
0,2,1,4,6,3
0,1,0,4,2,0
4,6,3,32,66,36
0,1,0,2,5,2
7,6,6,13,22,18
2,4,5,2,7,5
2,0,1,42,65,46
12,1,8,7,25,13
1,5,10,20,25,17
0,0,0,0,0,2
1,0,0,0,0,0
6,9,3,5,7,10
10,4,4,13,22,6
0,0,0,0,0,3
2,2,0,1,2,4
1,1,2,0,0,3
25,33,12,40,70,42
0,0,0,0,0,1
1,1,1,9,10,2
32,18,16,21,33,23
0,0,1,0,0,0
0,0,0,1,2,0
1,2,1,2,2,4
0,2,2,14,22,9
1,0,0,3,2,3
0,0,0,0,2,1
1,6,1,7,10,2
26,24,32,60,74,52
0,0,0,0,0,0
0,1,1,5,7,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,4,0
0,0,0,0,0,0
0,0,0,1,0,2
0,1,0,0,2,1
0,0,0,0,0,0
1,0,0,0,4,3
0,0,0,0,0,1
1,0,2,7,11,4
0,0,0,0,0,0
2,3,3,2,8,2
0,0,0,0,0,0
4,1,0,3,6,3
2,0,1,5,4,0
0,0,0,0,0,0
6,5,2,5,7,3
2,1,0,0,0,0
0,1,1,0,4,0
5,3,3,2,8,2
1,2,1,12,20,10
2,1,3,11,17,4
2,1,0,2,4,3
0,0,0,1,1,0
2,0,0,3,7,1
0,0,0,0,0,0
0,1,0,0,1,1
0,0,0,0,1,0
0,0,0,0,1,0
3,5,1,3,4,6
11,9,3,8,18,4
0,0,0,0,2,0
0,0,0,0,0,0
8,5,1,19,34,16
3,2,4,10,20,8
0,0,0,4,10,7
2,0,0,5,6,1
4,2,2,21,35,17
0,0,0,0,0,0
13,13,10,73,112,60
0,0,0,0,0,0
1,0,1,1,0,1
1,4,0,2,0,2
7,18,7,20,37,19
2,3,0,1,5,1
0,0,0,11,18,3
24,21,14,49,72,42
0,0,0,5,3,1
24,29,19,22,56,22
0,4,0,3,8,4
2,8,2,30,45,26
3,7,3,17,27,13
11,21,11,16,30,20
2,1,0,10,12,6
1,0,0,3,14,3
1,0,0,10,16,6
20,7,10,8,8,3
0,1,0,3,0,0
0,1,1,5,11,6
0,1,0,0,1,5
1,0,1,0,2,0
0,0,0,1,1,1
0,0,0,0,0,0
1,0,0,0,3,0
0,1,3,9,10,8
9,11,6,30,37,33
7,15,5,26,55,20
0,3,3,4,10,4
9,12,4,27,35,26
0,0,0,0,0,0
4,7,13,14,21,13
12,12,9,35,37,19
2,0,1,8,7,6
25,20,23,54,70,56
13,18,12,39,64,27
0,0,0,0,0,0
0,0,0,0,0,0
10,5,8,15,33,13
1,2,3,35,45,27
1,1,0,6,9,7
6,5,0,9,9,8
8,4,1,12,36,17
0,0,0,0,0,0
4,2,10,27,32,18
3,4,1,2,10,8
8,21,16,56,67,48
7,6,1,7,8,5
3,1,1,1,6,4
0,0,0,1,1,0
3,4,2,7,6,6
0,0,2,1,3,0
4,9,11,23,20,16
1,1,0,2,4,1
0,0,0,0,0,0
0,0,0,0,5,0
0,0,0,0,0,0
1,1,1,26,43,29
0,0,0,0,0,0
0,0,0,0,1,1
4,5,0,15,24,6
0,5,2,9,21,10
50,69,39,112,205,109
0,0,0,0,0,0
2,3,2,9,20,3
0,0,0,0,0,0
0,0,0,0,0,0
4,4,4,6,9,6
11,16,14,49,90,37
1,1,4,2,15,2
3,2,1,8,18,5
0,0,1,1,7,1
25,14,21,19,44,15
1,0,0,0,0,1
2,1,0,12,12,7
0,0,0,0,0,0
19,20,9,10,20,23
0,0,0,1,2,1
0,0,0,0,0,0
1,0,3,2,4,5
0,0,0,0,2,0
0,2,0,4,16,4
0,0,0,4,2,1
1,0,1,3,5,2
12,5,0,5,15,6
18,10,6,9,30,19
1,2,0,3,4,4
3,4,2,10,20,11
0,0,0,1,5,2
12,5,4,29,41,26
5,3,4,4,1,2
4,2,0,9,7,6
17,10,10,10,21,9
3,6,1,8,12,3
4,2,1,1,13,3
15,32,4,25,39,29
0,0,0,0,0,0
0,0,1,1,1,0
0,3,0,11,11,14
1,1,1,3,2,4
0,0,0,0,0,1
6,6,3,19,37,21
1,2,1,13,33,23
7,6,3,3,6,1
0,1,0,1,10,1
0,0,1,2,4,3
0,0,0,0,0,1
0,0,0,0,1,1
1,3,2,7,18,6
1,0,0,0,0,1
0,0,0,0,2,0
0,1,0,2,4,2
1,1,0,11,14,7
6,22,9,96,154,109
1,0,3,6,12,2
1,0,0,4,3,1
1,3,0,6,17,7
2,0,1,7,8,4
19,16,11,16,49,19
0,1,0,10,16,8
3,2,2,1,5,5
0,0,0,0,0,0
5,10,3,11,18,12
0,6,0,1,6,0
4,3,1,15,13,7
0,2,1,6,12,6
6,2,5,15,42,23
0,0,0,0,0,0
1,0,0,2,2,0
1,3,0,8,10,10
2,0,4,19,26,12
1,0,3,2,0,0
2,10,2,16,17,11
1,0,0,0,2,1
2,9,2,15,28,17
6,6,2,3,2,5
5,6,7,9,20,21
7,7,1,5,7,8
0,1,1,1,7,2
0,0,0,0,0,0
4,5,4,1,1,0
1,0,2,1,4,1
0,0,0,0,1,0
0,1,0,4,4,1
7,6,5,13,11,7
0,0,0,0,0,0
4,0,0,2,6,5
1,0,0,1,2,2
4,3,5,12,23,17
0,0,0,0,0,0
10,7,3,21,31,22
3,6,4,6,10,6
0,2,2,4,4,3
0,0,0,0,0,0
2,3,3,13,14,5
5,4,2,11,16,8
5,7,4,12,20,11
0,0,0,0,0,0
17,19,13,25,43,30
0,0,0,0,0,0
0,0,0,1,0,0
6,7,2,11,33,17
0,0,0,0,0,0
13,15,6,15,23,14
0,0,0,0,0,0
12,4,6,8,15,3
0,0,0,0,1,0
1,0,1,1,4,3
0,0,0,2,3,1
2,0,0,1,2,3
1,1,0,1,0,0
0,0,0,0,0,0
0,2,0,7,12,4
41,44,17,63,109,55
6,2,2,6,14,13
5,6,2,17,15,11
4,3,2,2,7,2
9,12,13,15,34,17
0,0,0,0,0,0
4,3,2,35,41,33
2,0,0,0,0,2
1,0,0,7,2,2
0,0,0,0,0,0
3,1,0,13,13,10
0,0,0,0,0,0
0,0,0,0,0,0
0,0,3,0,0,0
5,4,2,5,5,11
2,0,3,6,8,6
7,6,3,7,14,12
29,36,11,61,105,47
5,1,3,1,1,3
4,12,4,12,15,27
1,1,0,1,4,2
0,0,1,1,1,2
12,7,1,12,12,7
1,2,1,2,11,2
1,1,2,1,1,3
27,33,24,43,90,37
29,42,28,84,106,82
