GENE,mr492-MV411-DMSO-r1_tcount,mr493-MV411-DMSO-r2_tcount,mr494-MV411-DMSO-r3_tcount,mr495-MV411-DMSO-r4_tcount,mr496-MV411-DMSO-r5_tcount,mr497-MV411-Naphthol-r1_tcount,mr498-MV411-Naphthol-r2_tcount,mr499-MV411-Naphthol-r3_tcount,mr500-MV411-Naphthol-r4_tcount,mr501-MV411-Naphthol-r5_tcount,mr502-MV411-Plumbagin-r1_tcount,mr503-MV411-Plumbagin-r2_tcount,mr504-MV411-Plumbagin-r3_tcount,mr505-MV411-Plumbagin-r4_tcount,mr506-MV411-Plumbagin-r5_tcount,mr507-MV411-Celastrol-r1_tcount,mr508-MV411-Celastrol-r2_tcount,mr509-MV411-Celastrol-r3_tcount,mr510-MV411-Celastrol-r4_tcount,mr511-MV411-Celastrol-r5_tcount,mr512-MV411-TM1-001-r1_tcount,mr513-MV411-TM1-001-r2_tcount,mr514-MV411-TM1-001-r3_tcount,mr515-MV411-TM1-001-r4_tcount,mr516-MV411-TM1-001-r5_tcount,mr517-MV411-Tretinoin-r1_tcount,mr518-MV411-Tretinoin-r2_tcount,mr519-MV411-Tretinoin-r3_tcount,mr520-MV411-Tretinoin-r4_tcount,mr521-MV411-Tretinoin-r5_tcount
440434,0,1,0,2,1,0,0,2,1,0,1,0,0,1,0,1,2,1,2,0,1,2,0,0,0,2,2,3,15,2
440456,1,3,0,0,1,2,0,0,0,3,2,0,3,0,0,1,4,2,0,2,3,2,0,4,10,4,13,1,24,3
BAIAP2-DT,1,4,4,2,2,4,1,5,3,4,3,2,4,8,5,2,13,10,9,7,2,4,0,1,18,6,33,2,54,6
HSBP1L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLIN5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,6,13,0,33,6
ZNF506,1,6,2,4,4,6,8,5,7,10,7,1,2,5,8,9,33,19,26,21,19,35,2,23,36,21,47,15,100,19
AC092329.3,0,3,0,3,0,0,1,0,1,5,1,1,3,1,2,1,13,13,2,4,2,11,0,2,22,3,30,6,22,4
UQCRHL,6,5,2,0,2,3,4,1,5,1,4,1,2,3,3,1,5,11,3,7,8,4,7,3,20,11,26,3,55,10
MICOS10,4,9,0,4,2,8,13,6,5,4,1,5,6,9,5,1,18,7,11,17,10,27,18,11,27,35,71,4,158,17
SLC2A1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
RBM15-AS1,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0,2,2,1,0,0,2,0,3,3,2,5,0,9,0
BCL2L15,0,2,1,0,1,0,0,0,2,3,1,0,0,1,1,0,6,2,0,1,0,8,0,1,8,2,1,2,9,0
H2BC18,0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,0,1,4,0,0,2,2,1,3,0,0,3,0,3,0
AL451074.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
RHEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIM67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIWIL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAT,0,0,0,1,0,0,1,1,0,2,0,1,1,1,0,2,3,4,3,1,3,4,4,2,8,2,5,0,11,2
SHISA8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ODF3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
AL353608.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01191,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0
THUMPD3-AS1,18,41,14,25,18,24,33,40,28,25,32,29,39,27,29,21,221,125,85,95,100,172,46,78,295,109,351,73,570,73
