GENE,mr492-MV411-DMSO-r1_tcount,mr493-MV411-DMSO-r2_tcount,mr494-MV411-DMSO-r3_tcount,mr495-MV411-DMSO-r4_tcount,mr496-MV411-DMSO-r5_tcount,mr497-MV411-Naphthol-r1_tcount,mr498-MV411-Naphthol-r2_tcount,mr499-MV411-Naphthol-r3_tcount,mr500-MV411-Naphthol-r4_tcount,mr501-MV411-Naphthol-r5_tcount,mr502-MV411-Plumbagin-r1_tcount,mr503-MV411-Plumbagin-r2_tcount,mr504-MV411-Plumbagin-r3_tcount,mr505-MV411-Plumbagin-r4_tcount,mr506-MV411-Plumbagin-r5_tcount,mr507-MV411-Celastrol-r1_tcount,mr508-MV411-Celastrol-r2_tcount,mr509-MV411-Celastrol-r3_tcount,mr510-MV411-Celastrol-r4_tcount,mr511-MV411-Celastrol-r5_tcount,mr512-MV411-TM1-001-r1_tcount,mr513-MV411-TM1-001-r2_tcount,mr514-MV411-TM1-001-r3_tcount,mr515-MV411-TM1-001-r4_tcount,mr516-MV411-TM1-001-r5_tcount,mr517-MV411-Tretinoin-r1_tcount,mr518-MV411-Tretinoin-r2_tcount,mr519-MV411-Tretinoin-r3_tcount,mr520-MV411-Tretinoin-r4_tcount,mr521-MV411-Tretinoin-r5_tcount
GTF3C2,3,4,3,3,2,5,7,7,2,6,3,1,4,1,5,5,17,18,10,17,11,10,3,5,58,14,66,6,117,14
GUCA1B,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,3,3,1,1,2,1,0,4,3,5,5,21,2
GUCY2F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
GUK1,0,0,0,0,2,3,2,0,1,0,0,0,0,1,0,1,1,1,2,2,2,3,9,2,6,5,9,5,10,2
GUSB,9,25,8,8,7,22,15,20,9,14,13,5,14,18,19,10,61,45,28,32,21,31,11,17,129,289,1058,156,1616,219
GYG1,0,7,2,0,1,4,2,4,0,2,2,2,4,3,1,1,13,9,6,2,3,12,3,3,21,14,13,2,28,5
GYPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,9,3
GYS1,2,6,3,6,3,6,6,7,4,6,5,0,7,7,6,3,17,13,6,12,16,36,4,13,83,25,80,13,133,21
GYS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
H1-0,0,1,1,1,1,0,1,4,4,1,3,0,2,0,1,0,5,3,3,3,9,10,2,8,26,3,16,1,37,3
H1-2,0,0,0,0,1,0,1,0,1,2,1,0,1,1,2,2,5,4,0,2,6,15,6,5,30,2,10,6,15,2
H1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1
H1-4,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,1,0,2,0,0,2,0,2,0,28,1
H1-5,0,1,0,0,0,0,0,1,0,2,2,0,0,1,0,0,3,3,1,0,0,1,2,1,2,1,2,0,6,2
H2AC8,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,3,3,1,4,2,2,1,0,8,3,4,2,15,0
H2AC7,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,1,3,2,2,0
H2AX,22,59,18,20,14,41,42,56,46,33,43,16,43,35,37,24,137,119,71,86,38,104,30,33,242,135,371,63,608,102
H2AZ1,19,49,18,22,17,51,55,43,46,35,27,19,40,35,19,53,226,135,126,153,59,158,100,73,210,100,266,64,624,97
H2BC5,1,0,0,0,0,0,3,1,1,1,1,0,0,2,0,0,4,3,1,1,5,6,3,4,5,1,3,1,7,1
H3-3A,9,11,1,3,4,12,15,7,11,9,9,4,5,6,6,4,36,19,20,17,12,25,8,22,27,40,65,21,127,21
H3-3B,134,229,82,127,86,204,254,217,190,225,176,79,217,155,154,126,691,445,390,378,463,860,299,483,1511,523,1496,408,3021,452
HSD17B10,1,2,0,2,0,3,2,1,0,0,0,2,0,2,1,1,7,3,2,2,0,1,0,0,9,0,5,2,6,0
HAGH,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,0,0,6,0
HADHA,13,12,1,2,0,4,10,13,6,8,10,1,8,0,9,5,32,20,10,15,12,16,13,11,42,26,53,16,98,20
HADHB,1,4,0,2,2,4,1,5,1,4,1,2,2,2,2,1,19,5,9,15,3,8,5,10,8,9,21,11,38,3
HADH,0,5,0,2,0,5,4,2,1,4,2,2,2,2,2,4,17,8,8,11,8,21,3,13,19,5,15,3,21,7
HAL,1,0,0,0,0,0,0,1,0,1,1,1,4,0,0,1,2,2,2,3,1,4,0,0,3,1,3,2,6,1
HARS1,7,6,3,2,2,6,5,7,3,5,2,2,2,10,2,1,9,3,11,5,9,9,8,2,29,17,59,13,56,9
HAS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAS3,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,0,1,1,0,0,5,3,2,3,0,9,1
HCCS,7,16,2,4,2,13,6,8,7,10,4,5,5,8,2,7,31,20,18,27,14,43,2,26,64,14,51,11,88,9
HCFC1,6,13,7,12,8,9,10,7,4,13,12,5,10,14,10,7,58,21,21,17,23,33,7,7,81,59,97,18,200,31
HCK,0,13,1,4,3,1,2,5,1,1,2,0,2,4,5,3,17,9,6,13,1,9,4,2,20,12,46,5,69,9
HCLS1,4,6,1,4,4,8,5,10,8,8,5,1,9,2,6,3,27,16,13,5,12,23,12,5,45,17,45,10,72,11
HCRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
HTT,1,2,1,1,0,2,0,4,2,3,4,0,2,1,1,0,6,5,1,1,4,6,1,2,10,8,41,4,23,8
HDAC1,7,6,1,4,4,6,4,12,9,6,8,1,7,6,8,6,26,16,16,11,20,11,13,9,60,12,60,14,112,35
HDAC2,24,41,22,34,18,45,49,49,45,50,24,15,41,30,35,26,157,109,100,116,60,104,44,45,190,121,383,86,711,101
HDGF,32,82,29,40,24,86,73,85,64,79,43,23,67,67,59,28,219,114,91,121,60,89,18,28,220,170,482,78,809,130
HDLBP,17,15,9,6,11,22,23,29,21,28,21,10,35,15,25,15,79,61,32,36,50,88,40,29,246,74,249,44,339,80
HELLS,0,1,0,0,0,0,0,2,0,0,0,0,1,1,2,0,2,0,3,0,1,0,1,1,0,2,4,0,7,2
NCKAP1L,0,3,0,0,0,0,0,1,1,3,1,2,1,1,0,1,11,3,2,3,0,4,0,2,6,1,7,4,10,5
HEXA,3,4,1,1,2,4,5,5,5,2,5,2,6,3,10,6,23,18,15,12,7,14,2,8,62,12,52,8,83,14
HEXB,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,0,1,2,1,2,2,1,3,3,5,2
CFH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HFE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HGD,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
HHEX,10,16,6,7,8,15,16,14,21,10,32,12,19,16,11,14,67,42,49,66,18,37,12,22,39,26,64,12,120,32
HIC1,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,1,3,0,1,3,90,234,45,431,89
HIF1A,0,5,5,3,2,4,9,2,4,7,7,4,1,4,6,9,30,19,25,24,20,48,6,31,68,15,70,16,97,20
HIP1,3,0,3,7,3,10,4,6,3,2,10,3,5,2,2,2,15,14,12,13,14,33,1,6,68,20,76,9,85,14
UBE2K,14,39,11,15,15,19,35,30,23,29,21,16,38,25,17,26,116,71,71,72,41,99,13,36,103,98,282,60,501,72
HINT1,21,29,15,13,13,15,29,18,29,39,27,10,32,26,14,15,112,78,58,71,35,58,19,26,138,51,199,36,398,60
HIVEP1,1,1,0,1,2,0,3,2,0,2,1,0,1,0,0,1,6,0,1,1,5,14,0,9,16,9,18,1,21,4
HIVEP2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,1,0,1,0,0,0,0,1,0,2,0
HK1,7,2,2,0,1,2,0,2,1,1,2,1,2,0,4,1,5,3,2,3,2,2,3,1,7,3,18,2,24,4
HK2,4,8,4,8,4,16,17,8,13,16,6,9,20,9,18,10,69,49,38,28,44,86,8,27,161,30,105,25,177,25
HK3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB48,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,1,2,0,7,1,2,1,11,0
HLA-A,1,3,0,1,1,3,4,0,2,2,1,0,3,1,1,0,4,6,5,1,4,12,5,6,21,7,9,1,28,3
HLA-B,156,208,102,103,106,175,143,147,146,129,175,67,170,136,145,70,564,385,312,300,380,663,380,438,1713,441,1558,284,3040,455
HLA-C,4,6,3,4,2,6,1,6,5,7,4,0,6,4,2,8,20,14,6,11,13,28,7,13,37,19,39,6,65,18
HLA-DMA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
HLA-DMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HLA-DOB,0,0,0,3,1,3,0,0,0,0,0,0,0,0,2,0,4,5,1,2,0,0,0,0,0,0,4,0,10,0
HLA-DPA1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
HLA-DPB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLA-DQB1,4,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,4,0
HLA-DRA,1,1,0,0,0,1,2,1,0,1,0,1,1,2,2,0,0,0,0,0,2,1,0,2,12,4,8,1,21,6
HLA-DRB1,0,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,3,2,0,0,0,2,2,2,0,0,9,1
HLA-E,16,25,10,7,21,26,20,26,24,22,17,7,29,11,19,2,77,29,33,24,49,92,44,19,217,67,204,31,341,54
HLA-F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
HLA-L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR1,1,6,1,2,5,7,6,10,6,10,12,2,5,8,7,5,31,20,15,14,19,38,8,15,95,26,110,13,128,19
HLCS,4,6,3,4,1,8,5,3,1,2,1,4,3,6,3,5,16,8,10,10,10,19,2,7,36,19,39,5,108,14
HLX,2,3,1,2,0,4,2,1,7,1,8,0,5,3,2,3,21,14,13,11,18,14,23,16,90,16,64,15,121,19
HMBS,0,2,0,0,1,2,2,2,3,2,2,0,0,1,4,0,6,2,3,4,1,7,6,3,11,1,21,0,13,2
HMGB1,97,133,33,63,54,99,120,122,119,115,71,35,109,82,58,95,502,271,271,311,164,316,226,234,390,289,673,234,1336,265
HMGB2,61,73,21,30,44,59,66,95,107,75,59,20,81,39,37,48,372,175,149,127,88,184,113,62,222,154,378,93,684,137
HMGB3,15,22,5,15,6,24,23,17,12,16,16,16,25,16,14,17,97,54,51,59,21,53,12,30,89,41,161,30,322,30
HMGN1,33,65,9,21,17,46,44,51,37,44,26,22,61,22,29,33,160,107,93,111,60,137,81,72,242,99,288,74,532,80
HMGN2,25,36,9,26,13,35,29,33,23,47,25,16,20,16,26,17,127,83,88,75,58,112,43,66,182,93,244,56,432,70
HMGCL,2,1,0,0,1,1,0,2,2,3,3,1,2,0,2,0,10,2,1,3,4,6,10,2,23,7,34,4,47,5
HMGCR,56,129,34,66,44,91,107,111,73,103,79,44,101,74,69,61,296,154,214,194,353,700,143,382,1064,299,683,220,1600,208
HMGCS1,90,212,71,102,90,190,245,218,162,229,183,102,234,175,157,94,509,292,312,369,1008,1948,406,982,2650,556,1407,462,2924,456
HMGA1,12,36,17,19,12,34,30,44,38,31,27,11,44,25,44,20,114,74,65,51,29,54,13,19,163,264,621,93,1081,206
HMMR,2,8,0,3,0,6,12,2,2,3,3,2,1,3,2,5,32,20,9,11,8,13,0,7,14,10,14,5,44,15
HMOX1,14,22,7,6,7,16,18,21,12,16,121,46,149,106,103,100,762,473,279,307,10,31,13,5,84,38,117,24,218,28
HMOX2,4,3,2,2,0,3,4,4,2,4,3,0,3,0,3,1,10,10,2,6,3,4,2,2,7,7,34,2,38,2
NR4A1,1,1,3,1,1,3,3,2,1,1,0,0,1,0,0,1,4,1,1,1,7,3,4,5,20,8,21,3,34,4
HMX2,19,25,5,11,7,14,16,21,17,14,13,8,15,5,17,10,75,32,37,31,22,34,12,8,111,83,277,65,479,77
FOXA1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,3,1,1,0,0,0,0,1,1,0,3,0,4,0
HNF4A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HNMT,0,4,1,1,1,3,6,2,2,3,3,1,3,4,2,4,20,17,15,13,12,15,6,10,26,9,28,8,39,12
SLC29A2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPA1,25,81,31,49,33,55,75,73,48,65,52,31,70,54,45,42,241,141,173,175,127,252,71,166,409,188,579,161,1064,166
HNRNPA2B1,89,200,67,96,80,139,181,172,134,173,109,64,174,138,114,134,744,441,429,448,225,486,121,307,806,423,1130,301,2164,372
HNRNPAB,25,39,13,21,12,23,31,30,21,34,25,10,34,22,29,20,113,56,60,51,31,64,25,37,181,95,345,52,537,101
HNRNPC,40,78,24,35,13,54,81,58,59,51,44,29,61,40,43,38,228,160,118,153,123,265,118,149,379,174,456,118,970,169
HNRNPD,8,23,9,7,11,20,16,17,9,26,7,6,9,15,12,15,51,27,29,29,17,41,19,26,64,39,82,18,169,31
HNRNPF,27,56,24,38,32,45,50,71,46,39,28,25,40,32,25,33,145,119,97,116,85,149,58,100,272,165,500,145,1031,153
HNRNPH1,27,54,12,20,23,38,40,53,30,39,40,11,45,28,19,31,135,58,69,100,46,106,36,69,176,86,303,68,489,72
HNRNPH2,13,22,1,9,12,12,18,22,12,17,12,8,13,13,10,15,65,57,47,63,36,97,14,45,126,48,113,41,225,34
HNRNPH3,21,33,13,15,20,28,30,35,26,31,23,7,29,25,22,22,145,103,76,86,61,117,32,67,170,101,239,48,447,58
HNRNPK,41,67,14,28,17,47,45,51,41,50,25,20,42,27,32,24,171,98,98,126,85,205,56,114,260,114,293,65,588,116
HNRNPL,18,14,7,6,8,16,7,15,14,11,11,3,8,11,7,7,37,20,23,20,26,37,20,20,118,33,117,25,156,26
HNRNPU,53,126,54,66,76,114,126,123,109,134,72,50,142,109,99,94,560,408,330,314,275,633,170,263,899,357,873,238,1688,240
TLX1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
TLX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOXA1,1,0,0,1,0,0,2,2,2,0,3,0,2,1,1,0,9,4,1,5,2,5,4,0,8,14,67,13,128,11
HOXA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOXA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOXA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,13,2
HOXA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,3,3
HOXA7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,1,0
HOXA9,26,61,16,41,32,68,73,81,59,67,43,22,54,43,47,29,229,173,152,172,97,222,78,100,328,178,371,103,748,139
HOXA10,20,33,17,28,17,51,39,25,44,26,35,13,42,26,31,23,136,94,82,77,56,94,25,63,260,126,308,67,619,82
HOXA11,3,24,3,8,4,9,15,9,7,5,10,8,11,10,5,6,42,37,23,22,32,53,7,18,123,34,69,14,150,24
HPCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOXB3,1,2,0,0,0,4,0,0,0,1,1,1,0,1,3,0,8,0,1,3,0,0,0,1,5,3,14,1,13,3
HOXB4,1,2,1,2,2,3,4,4,2,1,5,0,10,1,7,2,16,4,5,4,4,6,0,0,16,3,10,6,51,5
HOXB6,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,3,0,1,0,0,2,0,2,0,10,0
HOXB7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0
HOXC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOXC6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,5,1,5,0,4,0
HOXC8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOXC10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOXC11,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,5,2,0,0,0,2,1,2,1,6,0
HPCAL1,0,3,4,1,2,7,4,5,2,6,11,1,6,2,6,4,11,8,6,1,4,9,2,0,12,27,99,13,143,31
HPD,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,7,2,1,2,0,1,0,3,4,20,50,11,71,10
HPRT1,0,1,1,4,2,2,4,1,3,0,1,0,2,2,0,1,14,6,10,6,0,7,1,1,5,8,8,6,23,3
HPS1,3,4,2,3,0,3,0,8,3,4,4,1,6,3,2,2,17,7,10,11,6,8,5,5,21,12,21,2,54,6
HPX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HRAS,4,2,1,0,0,2,3,1,1,2,4,0,4,4,1,0,6,3,6,5,5,10,4,0,10,2,18,2,31,4
AGFG1,7,17,3,3,10,8,13,16,5,19,6,6,21,7,11,11,44,39,40,32,17,35,10,13,51,61,143,52,218,42
AGFG2,0,1,1,1,1,0,1,1,1,2,1,2,1,3,1,1,3,4,2,2,3,3,0,1,19,4,14,2,16,1
HRH1,3,2,0,0,0,1,3,1,3,1,2,2,0,3,2,2,10,7,4,6,6,2,2,6,18,8,22,5,41,8
HRH2,2,2,1,0,1,5,3,3,2,4,0,0,1,1,2,0,7,4,4,4,2,5,1,0,8,4,11,1,17,5
PRMT2,3,16,2,7,9,19,10,13,12,18,15,6,15,12,9,7,48,35,28,20,22,58,6,10,125,31,98,16,191,24
PRMT1,4,8,2,2,3,4,7,10,5,5,3,0,2,2,5,2,9,4,6,1,11,17,14,7,29,18,59,7,100,14
HES1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,4,0,2,1,1,3,2,1,8,6,31,3,42,6
HSBP1,13,18,8,12,6,14,23,25,15,26,26,13,28,18,11,11,95,54,61,69,35,65,32,19,89,89,273,78,516,85
HSD11B1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0
HSD17B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HSD17B4,3,4,1,0,1,1,1,1,1,2,1,1,4,2,0,0,11,4,3,5,6,7,1,1,17,2,8,2,16,2
HSF1,3,3,2,3,0,1,0,2,3,2,2,0,2,1,2,1,5,2,6,3,3,2,2,2,9,6,19,5,43,3
HSF2,4,10,0,6,2,3,8,9,5,4,5,1,1,3,2,6,27,15,16,9,10,15,6,9,31,8,13,8,49,10
HSF4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
DNAJB2,1,2,2,1,3,3,2,2,3,3,1,1,2,1,5,1,10,4,3,5,3,11,2,8,27,4,9,3,21,1
DNAJA1,28,47,19,17,19,30,46,39,41,51,38,23,33,29,41,80,544,375,270,336,55,93,46,60,127,85,339,75,608,81
HSPA1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,91,60,30,36,1,0,2,1,4,3,4,0,2,0
HSPA1B,0,0,0,1,1,2,3,0,1,3,2,1,10,1,3,22,206,99,63,90,2,6,2,3,13,6,7,4,20,4
HSPA1L,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,5,3,7,0,2,0,0,1,1,8,2,2,0
HSPA2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,4,1,3,1,8,0
HSPA4,0,12,4,4,2,5,6,8,5,10,6,2,11,6,5,9,40,16,20,15,10,20,5,12,32,20,49,13,109,14
HSPA5,84,103,49,48,33,91,112,116,93,111,79,36,109,69,85,49,327,226,186,183,744,1209,785,656,2375,340,917,246,2035,311
HSPA6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,23,16,6,8,0,0,0,0,0,0,0,0,0,0
HSPA8,104,151,57,78,57,122,128,165,137,125,129,44,145,101,103,177,1134,617,489,590,104,190,108,84,408,273,975,172,1819,230
HSPA9,51,86,29,40,31,79,66,66,76,63,51,26,78,58,54,54,401,269,198,233,211,387,140,167,789,190,661,135,1219,176
HSPB1,2,1,0,1,0,3,3,2,4,3,2,0,2,2,1,12,72,33,35,38,2,1,6,0,14,15,37,8,53,10
HSP90AA1,128,167,52,81,47,116,170,177,140,165,127,72,174,104,102,415,3459,2222,1513,2005,187,374,265,267,588,345,988,276,2154,341
IGSF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSP90AB1,47,52,26,35,20,43,54,50,52,46,55,17,45,38,46,62,577,311,224,245,67,119,74,60,370,150,500,81,838,134
HSPD1,28,60,10,13,13,33,33,31,26,32,35,9,36,20,27,56,404,277,201,328,49,88,83,41,124,119,254,71,514,98
HSPE1,4,4,0,2,0,0,4,3,2,4,4,0,0,1,3,11,59,49,30,73,5,15,3,0,4,10,9,5,28,11
DNAJB1,40,64,16,36,25,56,47,52,54,50,75,24,82,42,60,164,1669,1203,679,811,121,232,65,80,521,320,908,179,1741,256
DNAJC4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0,2,1
HSPG2,0,0,3,0,0,2,0,0,0,0,0,1,0,0,2,0,2,0,1,1,1,2,0,0,4,4,10,1,14,3
NDST1,0,6,1,0,5,1,0,0,3,3,1,1,2,2,3,3,10,1,6,6,4,8,0,2,17,9,26,1,43,7
FOXN2,10,43,16,30,19,53,86,73,48,73,34,26,73,46,35,70,312,221,252,281,118,326,15,148,336,138,308,92,522,106
HTR2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTR7,0,3,0,0,3,3,1,3,2,7,1,1,2,1,2,0,5,8,5,5,11,19,5,3,30,1,5,2,6,0
HUS1,10,17,5,9,4,15,12,15,6,17,11,5,21,11,13,10,57,27,50,26,29,53,14,26,94,32,158,32,213,29
TNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0
HYAL1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,3,0,7,1
IARS1,30,92,24,44,36,71,108,80,63,115,70,39,88,51,66,44,392,298,263,203,228,451,54,194,760,216,667,151,1154,170
ICA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAM1,10,31,15,13,26,36,24,24,37,33,22,12,39,25,26,1,13,6,13,6,53,95,21,40,276,613,2183,280,3218,464
ICAM2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,6,2,9,0
ICAM3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAM4,0,0,1,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,3,2,10,3
IRF8,41,77,35,47,39,112,112,109,104,119,45,16,57,43,58,41,263,183,120,162,116,216,59,127,616,170,512,117,927,154
MRPL58,4,5,0,1,0,6,6,10,5,5,5,5,8,4,5,1,12,5,2,11,10,22,8,7,23,9,28,8,44,7
ID1,3,4,4,2,1,3,4,1,3,3,8,1,0,2,6,4,11,9,5,4,2,2,1,1,24,50,251,40,393,46
ID2,35,72,26,33,12,46,56,65,43,58,45,21,52,33,23,41,203,121,125,138,59,121,34,70,144,76,180,84,534,76
ID3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,3,0,4,4,0,0,0,0,0
IDE,2,14,7,9,7,14,10,18,8,8,14,5,15,10,12,13,73,48,27,34,30,62,9,21,99,41,113,35,196,24
IDH1,5,10,2,3,1,5,10,8,11,6,10,3,5,6,9,12,97,78,50,54,31,55,25,33,90,39,96,28,165,28
IDH2,2,3,0,2,1,3,3,3,0,1,3,0,2,3,1,2,6,11,6,8,6,8,0,1,15,13,30,7,50,10
IDH3A,3,14,1,5,3,8,3,5,3,3,3,3,10,5,4,8,31,17,17,19,5,19,0,12,27,25,59,13,116,9
IDH3B,5,18,9,6,13,13,11,15,14,15,16,2,26,13,13,3,56,36,35,20,27,52,9,11,106,46,212,34,324,35
IDH3G,1,2,0,1,1,1,2,3,1,1,0,0,0,3,3,0,1,2,3,0,1,7,1,2,21,5,23,2,10,2
IDI1,54,144,40,79,64,134,161,152,127,125,131,66,124,95,94,65,371,223,218,238,530,991,194,659,1766,428,1283,324,2589,360
IDS,2,17,7,8,8,10,14,20,7,15,10,7,18,8,11,8,49,34,37,32,25,55,8,11,147,38,63,22,127,22
IDUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IFI16,1,0,0,1,0,1,2,1,0,2,1,0,0,1,0,0,12,2,7,4,0,2,0,1,7,0,4,0,14,4
IFI27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
IFI35,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,2,0,1,0,0,2,0,2,1,3,0,2,6,2
SP110,0,0,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
IFIT2,15,28,12,15,19,24,17,35,19,39,15,11,16,14,12,16,65,52,42,43,46,102,18,35,203,102,284,74,694,90
IFIT1,0,0,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,1,7,1,6,0,8,0
