KO,AAVS1,,,,MEIS1,,,
gene_id,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
ACAD11,188.07,341.12,424.81,249.79,216.78,165.98,184.92,354.48
ACAD8,234,458,464,279,276,258,207,527
ACAD9,820,1262,1210,868,763,668,663,1552.9
ACADM,1511,2333,2580,1847,1365,1490,1471,3071
ACADS,190,389,295,166,176,121,137,298
ACADSB,740,932,1049,746,565,603,568,1141
ACADVL,3844,7198,6726,4591,3936,3610,3468,8134
ACAP1,389,789,791,485,377,358,347,752
ACAP2,1571,1957,2109,1631,1316,1284,1283,2511
ACAP2-IT1,2,0,2,1,0,0,0,6
ACAP3,412,798,684,417,435,340,368.21,757
ACAT1,1595,2499,2850,1935,1494,1402,1306,3204
ACAT2,3608.5,6391.1,7709.4,5309.7,3471.7,3417.2,3405.7,6725.2
ACBD3,758,952,1071.8,902.96,618,661,596.97,1194.9
ACBD3-AS1,0,0,3.22,1.04,0,0,1.03,1.05
ACBD4,76,128,105,95,58,50,43,89
ACBD5,474,650,712,533,364,459,440,831
ACBD6,471.42,821.76,775.18,564.84,449.64,428.17,431.45,864.56
ACBD7,0,1,5,1,1,0,1,4
ACCS,109,235,206,158,114,122,100,222
ACD,359,587,554,387,313,241,244,530
ACE,2,12,17,3,5,4,6,15
ACER2,27,48,45,27,30,36,28,65
ACER3,897,1114,1397,982,673,836,680,1464
ACHE,1,2,2,0,0,0,0,3
ACIN1,5357.7,8216.8,7975.8,5996.2,4290.4,4069,3667.9,8731.4
ACKR2,12,24,21,19,19,31,22,25
ACKR3,5,13,12,12,1,3,2,11
ACKR4,1,3,1.41,2,1,1,1,2
ACKR4P1,0,0,2.59,0,0,0,0,0
ACLY,9784.9,16027,16334,11114,8004.5,7223.2,7501.3,14753
ACMSD,2,0,0,2,7,0,1,6
ACO1,525,965,964,626,518,487,477,944
ACO2,1904.9,3308.9,3036.9,2168.1,1800.8,1497.8,1622.6,3148.9
ACOT1,8.13,20.43,33.96,18.69,7.18,5.98,3.89,24.74
ACOT11,112,255,215.78,143,157,137,126,329
ACOT12,0,0,0,1,1,0,0,0
ACOT13,528.04,827.92,824.11,658.13,474.36,468.84,471.12,1012.2
ACOT2,96.87,255.57,267.04,144.31,139.82,141.02,109.11,262.26
ACOT4,6,18,18,5,9,4,3,10
ACOT7,552,1029,926,618,624,460.06,505,1033.2
ACOT8,204.2,411.98,366.31,262.11,241.98,204.99,169.33,355.74
ACOT9,78,160,137,105,104,84,71,186
ACOX1,630,1043.3,1126,727,726.4,683,677,1370
ACOX2,4,12,9,4,9,9,5,11
ACOX3,280,596,569,333,347,276,276,587
ACOXL,1,0,1,0,0,0,0,0
ACOXL-AS1,0,0,0,0,0,0,1,0
ACP1,1210,2016,2184.4,1465,1190,1117,1089,2417
ACP2,132,311,269,162,164,104,126,238
ACP3,492,788,687,475,589,530,489,1028
ACP4,0,0,0,1,0,0,0,1
ACP5,0,1,0,0,0,0,1,0
ACP6,6,24,24,17,5,6,11,17
ACR,0,1,0,0,0,0,0,0
ACRBP,139,205,186,144,74,90,94,193
ACRV1,0,3,2,2,2,2,5,4
ACSBG1,5.47,16.04,17.19,8.04,6.89,8.51,6.97,16.76
ACSBG2,9,14,10,10,5,3,11,14
ACSF2,100,223,198,141,100,59,85,174
ACSF3,558,1004,878.45,641.91,527.99,485.98,467.98,970.49
ACSL1,3169,5166,5491,3891,1635,1667,1637,3047
ACSL3,2400,3177,3572,2788,2112,2296,2262,4335
ACSL4,3101,3773,4457,3507,2461,2939,2661,4969
ACSL5,434.96,668.96,703.89,487.96,272.97,270,256.72,534
ACSL6,0,0,0,5,0,0,2,0
ACSM1,6,7,8,7,8,6,3,14
ACSM3,496.7,704.39,803.52,598.62,724.63,631.15,657.99,1377.6
ACSM5,0,1,1,2,0,0,1,2
ACSM6,0,0,0,0,0,1,0,1
ACSS1,10,23,14,16,10,10,9,16
ACSS2,1526,2899,3575,2283,1375,1263,1392,2388
ACSS3,0,0,0,0,0,0,0,1
ACTA1,1,1,1,1,2,0,0,2
ACTA2,34.24,47,39,21,29,13.24,29,43
ACTB,85353,152500,142630,103980,83395,77709,74485,156390
ACTBP11,0,0,0,0,0,0,0,1
ACTBP14,2,0,2,0,0,0,0,0
ACTBP15,0,0,0,1,0,0,2,2
ACTBP2,8,7,2,3,2,0,3,6
ACTG1,50056,102480,98178,59785,48454,41347,42972,87326
ACTG1P1,0,3,6,5,3,1,0,2
ACTG1P10,1.23,8.87,6.85,5.78,1.78,0,1.49,12.1
ACTG1P11,0,0.5,0.37,0,0.5,0.5,0,0
ACTG1P14,0,6,1,1,1,3,0,2
ACTG1P15,0,0,0,1,1,1,0,0
ACTG1P16,1,0,2,1,0,0,0,0
ACTG1P17,2,9,1,5.54,4.69,2,5,11
ACTG1P2,0,0.5,0.37,0,0.5,0.5,0,0
ACTG1P20,1,4,5,5,1,5,1,4
ACTG1P24,0,1,2,0,0,4,1,2
