"GENE","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL23AP2",2.5843747564168,-1.42499833094559,1.08027707113415,-1.31910448626807,0.187134183557166,NA
"RPL23AP20",0.621962505779929,2.66674248822579,2.11382001258061,1.26157500276959,0.20710175570897,NA
"RPL23AP23",0.09802279567887,-0.865705127002894,3.5338115409304,-0.244977729280653,0.806473675486565,NA
"RPL23AP24",2.43847582872371,-2.27447104165755,1.19772664154444,-1.89899010572619,0.0575657769113241,NA
"RPL23AP25",1.46959277836019,-0.597288062715383,1.79199934508443,-0.333308192524613,0.738901655882118,NA
"RPL23AP3",0.141210215342284,-0.865705127002894,3.5338115409304,-0.244977729280653,0.806473675486565,NA
"RPL23AP30",0.645589914665406,-0.929305981456953,2.02026875332521,-0.459991265977551,0.645522489625006,NA
"RPL23AP34",0.447086452362553,-2.40374868747595,2.65712940500772,-0.90464118267848,0.365655510319108,NA
"RPL23AP37",0.141210215342284,-0.865705127002894,3.5338115409304,-0.244977729280653,0.806473675486565,NA
"RPL23AP38",0.164134348577374,0.576967393396379,3.5338115409304,0.16327056118122,0.870305411629556,NA
"RPL23AP40",0.444623249382643,0.797563180378456,2.77729258097196,0.287172905671802,0.773979931105798,NA
"RPL23AP42",3198.41959235404,0.0816109628933852,0.103926876399357,0.785272931515629,0.432293562818853,0.723168244701255
"RPL23AP43",0.369196310707145,0.657970397576441,2.55645351016222,0.257376242110771,0.796888341317614,NA
"RPL23AP45",0.955385708680537,3.36079953982958,2.51897174268561,1.33419501413162,0.182139953128988,NA
"RPL23AP47",0.721824953624515,-2.99504494831983,2.73192916641045,-1.09631134845824,0.272942544731256,NA
"RPL23AP49",0.772488106899206,0.881968018310326,1.7868656885365,0.49358383451455,0.62160011970015,NA
"RPL23AP50",0.567097868537717,-0.769951547061628,2.06619110217317,-0.372642949750298,0.709414202258635,NA
"RPL23AP53",49.420453844962,0.196696456508373,0.226639901477104,0.867880965471758,0.38545950021093,0.692217393886431
