GENE,MV411-MYB-dTAG-DMSO_1h,MV411-MYB-dTAG-VHL_1h,MV411-MYB-dTAG-DMSO_2h,MV411-MYB-dTAG-VHL_2h,MV411-MYB-dTAG-DMSO_4h,MV411-MYB-dTAG-VHL_4h,MV411-MYB-dTAG-DMSO_8h,MV411-MYB-dTAG-VHL_8h,MV411-MYB-dTAG-DMSO_12h,MV411-MYB-dTAG-VHL_12h,MV411-MYB-dTAG-DMSO_24h,MV411-MYB-dTAG-VHL_24h,MV411-MYB-dTAG-DMSO_48h,MV411-MYB-dTAG-VHL_48h
SLC43A3,251.0,184.0,425.0,253.0,220.0,168.0,226.0,209.0,176.0,236.0,303.0,237.0,407.0,140.0
FOXN3-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATAD2,108.0,135.0,277.0,267.0,149.0,236.0,121.0,243.0,78.0,277.0,166.0,252.0,168.0,166.0
C16orf72,109.0,107.0,262.0,206.0,79.0,142.0,114.0,261.0,69.0,308.0,188.0,354.0,202.0,185.0
FAM156A,1.0,2.0,4.0,2.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0
TMEM230,33.0,33.0,87.0,65.0,29.0,44.0,37.0,54.0,22.0,57.0,46.0,91.0,76.0,63.0
WDR91,30.0,24.0,41.0,40.0,18.0,17.0,22.0,37.0,19.0,48.0,33.0,82.0,51.0,38.0
ZCCHC4,21.0,10.0,38.0,30.0,10.0,13.0,20.0,22.0,9.0,25.0,19.0,17.0,35.0,15.0
29065,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0
ZC3H7A,53.0,29.0,92.0,56.0,39.0,43.0,53.0,49.0,32.0,54.0,46.0,76.0,67.0,64.0
ZBTB44,207.0,86.0,379.0,142.0,160.0,119.0,190.0,167.0,113.0,188.0,221.0,373.0,284.0,367.0
