GENE,MV411-MYB-dTAG-DMSO_1h,MV411-MYB-dTAG-VHL_1h,MV411-MYB-dTAG-DMSO_2h,MV411-MYB-dTAG-VHL_2h,MV411-MYB-dTAG-DMSO_4h,MV411-MYB-dTAG-VHL_4h,MV411-MYB-dTAG-DMSO_8h,MV411-MYB-dTAG-VHL_8h,MV411-MYB-dTAG-DMSO_12h,MV411-MYB-dTAG-VHL_12h,MV411-MYB-dTAG-DMSO_24h,MV411-MYB-dTAG-VHL_24h,MV411-MYB-dTAG-DMSO_48h,MV411-MYB-dTAG-VHL_48h
DNALI1,219.6,251.6,288.0,313.8,259.0,204.4,174.6,126.8,144.4,156.0,184.2,161.6,219.6,203.2
PTP4A1,1998.6,2665.0,2718.8,2371.2,1934.2,1496.4,1475.8,1477.4,1162.2,1528.4,1644.2,1384.0,1876.6,761.2
LRP8,2661.2,3307.2,3497.0,3777.0,3049.8,1959.4,1690.2,1759.0,1098.6,1649.2,1600.2,1952.8,1752.8,1349.8
LAPTM5,7236.2,8537.0,10150.0,9972.6,7214.6,6435.4,4974.6,7190.0,3579.8,9055.0,6778.0,12607.0,6732.4,10733.0
CSDE1,12615.0,14591.4,18180.8,15617.8,12851.6,10243.2,9197.0,10082.8,7807.6,11102.4,11720.8,13769.8,13733.6,10886.8
EVI5,368.8,383.4,373.4,319.8,447.2,313.0,266.6,324.0,201.4,339.2,297.6,444.6,310.8,367.6
DAP3,1583.8,1296.0,1703.4,1471.8,1512.0,896.8,932.0,926.2,870.8,1010.2,1019.0,1095.2,1495.6,977.8
BTG2,318.6,1076.2,326.0,963.6,312.0,791.6,258.8,2338.8,281.4,3576.0,631.6,3843.4,548.0,2071.2
PXDN,2.2,3.0,3.0,5.6,1.4,1.2,0.6,0.6,1.4,3.0,1.8,1.6,1.6,2.4
ALMS1,53.2,43.8,42.8,36.8,47.8,39.2,32.0,47.2,34.4,35.6,36.0,45.2,40.2,56.4
MOGS,93.8,67.2,68.8,58.8,74.0,35.8,44.6,40.2,47.6,48.2,73.8,80.6,65.6,87.2
RNF103,129.0,182.6,150.0,133.6,103.0,96.6,72.2,91.0,59.8,104.4,92.2,134.8,96.4,94.0
TUBA1A,89.8,85.8,96.0,129.2,73.8,99.8,45.2,132.8,43.8,138.0,122.8,353.0,217.8,372.8
PAX8,17.6,21.2,23.4,23.0,17.4,13.8,13.2,27.2,12.0,33.0,20.0,52.6,22.4,25.8
CXCR4,1097.0,259.8,718.2,69.2,1034.4,134.6,646.4,165.0,623.2,226.8,578.4,180.6,430.6,80.4
FZD5,71.6,82.8,63.8,81.8,82.0,70.8,65.0,87.0,42.6,84.2,52.4,90.2,49.2,43.6
BRPF1,298.8,243.8,252.8,203.0,203.8,120.6,152.4,190.0,137.4,212.0,187.6,263.2,182.8,235.2
IFRD2,772.4,625.0,688.8,568.6,653.2,305.6,465.0,345.2,436.0,370.6,507.4,416.8,600.2,266.6
MAPKAPK3,2523.4,2161.4,2640.6,2233.6,2255.2,1169.4,1482.8,1570.8,1328.2,1681.4,1742.8,1633.6,1870.2,948.8
SEMA3B,2.2,1.8,1.8,2.4,0.4,1.4,1.6,1.0,0.0,0.6,1.4,5.0,2.4,9.8
SLMAP,789.0,938.8,870.2,812.4,1094.8,843.6,706.8,743.6,563.0,787.8,750.6,781.6,825.0,465.0
MANF,1115.6,929.8,1098.0,1136.8,1188.4,848.2,880.6,911.6,683.6,830.6,741.4,832.8,921.4,1018.8
USP7,5791.6,6669.4,6963.0,5974.4,6054.6,3691.6,3803.6,4239.4,2644.8,4528.8,4298.4,5370.8,4869.2,4272.4
RAB7A,7278.4,8301.6,9712.0,8590.6,7739.6,5381.0,5503.4,5649.6,4508.8,6538.8,7118.0,7973.6,7781.2,5047.6
KCNAB1,47.0,58.4,63.6,62.4,48.4,40.8,32.8,30.6,24.0,38.8,40.6,49.2,47.8,28.6
SLBP,4464.0,4601.0,5675.0,5356.6,5004.0,3712.8,3038.0,3442.0,2747.4,3851.8,3339.4,3536.4,3802.2,2292.2
ST8SIA4,743.4,836.2,1021.8,441.6,1005.6,337.0,733.2,401.4,553.0,461.8,866.4,500.2,897.2,251.6
REEP5,924.6,1084.2,1261.2,1137.4,1102.0,772.8,819.0,941.6,660.6,1085.8,973.6,1245.6,1209.4,950.4
DEK,11036.2,13212.6,15153.4,13999.2,11672.2,10590.0,8451.4,12010.2,7732.2,13927.0,12093.0,13260.6,14334.4,6475.4
ALDH5A1,887.6,1027.6,1060.8,943.2,803.0,519.8,577.8,479.6,482.2,433.4,818.8,458.2,1059.6,276.2
PRRC2A,179.0,139.4,113.6,100.0,97.0,63.8,72.4,82.6,89.2,112.4,136.6,127.0,130.8,140.0
BAG6,148.2,134.4,115.6,102.8,86.6,60.8,75.4,86.4,78.0,104.6,122.8,125.6,114.8,117.8
GPANK1,113.0,104.8,109.0,103.8,94.4,71.8,74.4,92.0,73.4,110.4,87.6,121.6,98.6,95.0
DDX39B,17308.6,16917.8,20938.0,18360.4,18673.8,11053.6,11791.8,12147.4,9364.6,13296.6,13016.0,15986.0,16666.8,12016.0
ABHD16A,836.0,757.4,878.8,762.6,821.2,439.6,588.6,647.6,496.2,694.4,685.0,860.8,770.6,576.2
SLC39A7,1124.6,917.6,1196.6,1063.8,1000.2,648.4,597.2,802.4,569.4,796.0,587.2,773.2,628.2,592.0
HSD17B8,51.0,44.0,49.4,55.2,34.4,30.8,23.4,29.0,34.0,30.8,45.4,42.8,56.8,47.8
NELFE,194.0,171.6,175.4,188.4,159.0,104.2,115.0,116.2,133.8,145.4,166.2,169.4,204.0,218.6
