task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
92	f2/921551	17016734226010384366	MERGED_BAM_REMOVE_ORPHAN (MV411_MYB_DMSO-MED1_R1)	COMPLETED	0	2022-05-11 23:47:22.613	29m 39s	22m	174.6%	5 GB	6.1 GB	36.8 GB	18.8 GB
83	b1/bb7633	15277680392782499632	MERGED_BAM_FILTER (MV411_MYB_VHL-POLII_total_R1)	COMPLETED	0	2022-05-11 23:19:13.383	57m 58s	49m 3s	178.9%	5 GB	6.1 GB	48.1 GB	29.7 GB
98	67/63d346	6190649809502419948	BIGWIG (MV411_MYB_DMSO-MYC_R1)	COMPLETED	0	2022-05-12 00:06:34.058	13m 58s	9m 31s	123.8%	1.9 GB	1.9 GB	16.1 GB	8.7 GB
96	35/946633	2441604388460648927	PICARD_METRICS (MV411_MYB_DMSO-MYC_R1)	COMPLETED	0	2022-05-12 00:06:34.991	15m 37s	10m 55s	102.3%	1.3 GB	39.3 GB	7.3 GB	791.8 KB
85	63/770fee	3665131593208632484	MERGED_BAM_FILTER (MV411_MYB_DMSO-POLII_total_R1)	COMPLETED	0	2022-05-11 23:20:52.829	1h 1m 49s	50m 50s	173.7%	5 GB	6.1 GB	44.1 GB	26.6 GB
93	0c/e39575	12398226080310927441	MERGED_BAM_REMOVE_ORPHAN (MV411_MYB_VHL-MYB_R1)	COMPLETED	0	2022-05-11 23:55:22.731	28m 39s	21m 22s	173.2%	5 GB	6.1 GB	36.2 GB	18.6 GB
81	ad/eca1bc	17010168617308461611	PRESEQ (MV411_MYB_VHL-MED1_R1)	COMPLETED	0	2022-05-11 23:12:42.785	1h 12m 38s	1h 6m 53s	100.0%	2.4 GB	2.8 GB	8.1 GB	488.7 KB
95	1f/64ad5c	7353846308759132469	MERGED_BAM_REMOVE_ORPHAN (MV411_MYB_DMSO-MYB_R1)	COMPLETED	0	2022-05-11 23:56:53.158	31m 58s	23m 51s	175.2%	5 GB	6.1 GB	40.5 GB	20.9 GB
87	93/ae2a92	16756632346960838555	MERGED_BAM_FILTER (INPUT_R1)	COMPLETED	0	2022-05-11 23:36:21.620	52m 50s	45m 53s	200.4%	10.6 GB	12.9 GB	40.5 GB	23.7 GB
97	b4/f8bbaa	1004513440959892899	PHANTOMPEAKQUALTOOLS (MV411_MYB_DMSO-MYC_R1)	COMPLETED	0	2022-05-12 00:06:34.433	25m 17s	21m	77.2%	2.6 GB	3 GB	38.2 GB	33.9 GB
102	fa/0d4257	16953792786571511659	BIGWIG (MV411_MYB_DMSO-MED1_R1)	COMPLETED	0	2022-05-12 00:17:03.618	16m 48s	11m 57s	124.1%	1.9 GB	1.9 GB	20.3 GB	10.9 GB
99	72/f0fd3d	16702131469859077678	MERGED_BAM_REMOVE_ORPHAN (MV411_MYB_VHL-MED1_R1)	COMPLETED	0	2022-05-12 00:06:52.964	27m 28s	20m 30s	175.2%	5 GB	6.1 GB	34.8 GB	18 GB
104	ce/d5bd03	16871615235279134689	PLOTPROFILE (MV411_MYB_DMSO-MYC_R1)	COMPLETED	0	2022-05-12 00:20:33.788	14m 8s	11m 29s	846.9%	3.5 GB	4.5 GB	3.7 GB	1.3 GB
100	ca/6f25dc	623505830989360899	PICARD_METRICS (MV411_MYB_DMSO-MED1_R1)	COMPLETED	0	2022-05-12 00:17:04.710	20m 7s	15m 3s	101.5%	1 GB	39.3 GB	8.3 GB	792.7 KB
108	e5/6fec7d	12257894554529564591	BIGWIG (MV411_MYB_VHL-MYB_R1)	COMPLETED	0	2022-05-12 00:24:03.188	16m 39s	11m 27s	121.3%	1.9 GB	1.9 GB	19.8 GB	10.6 GB
106	f9/73b385	10083465007709229172	PICARD_METRICS (MV411_MYB_VHL-MYB_R1)	COMPLETED	0	2022-05-12 00:24:04.147	17m 17s	12m 35s	101.7%	1.2 GB	39.3 GB	8.1 GB	795.6 KB
101	4b/1cc6fa	18144549396335177163	PHANTOMPEAKQUALTOOLS (MV411_MYB_DMSO-MED1_R1)	COMPLETED	0	2022-05-12 00:17:04.168	29m 57s	25m 34s	74.4%	3.5 GB	3.9 GB	46.5 GB	41.1 GB
111	01/73b10c	567073522333614067	BIGWIG (MV411_MYB_DMSO-MYB_R1)	COMPLETED	0	2022-05-12 00:28:52.915	18m 49s	12m 53s	124.8%	1.9 GB	1.9 GB	21.5 GB	11.5 GB
109	c0/386d81	2868479417120408143	PICARD_METRICS (MV411_MYB_DMSO-MYB_R1)	COMPLETED	0	2022-05-12 00:28:53.819	19m 18s	14m 34s	101.5%	1.2 GB	39.3 GB	8.7 GB	794.2 KB
113	07/45158c	10652251829040079541	PLOTPROFILE (MV411_MYB_DMSO-MED1_R1)	COMPLETED	0	2022-05-12 00:33:53.696	14m 28s	11m 38s	843.3%	3.6 GB	4.5 GB	3.8 GB	1.4 GB
103	ba/d5c2d9	3601425268314174358	MERGED_BAM_REMOVE_ORPHAN (MV411_MYB_VHL-POLII_total_R1)	COMPLETED	0	2022-05-12 00:17:12.720	32m 49s	24m 34s	175.0%	5 GB	6.1 GB	40.5 GB	20.8 GB
116	95/9aa258	7874474336443905432	BIGWIG (MV411_MYB_VHL-MED1_R1)	COMPLETED	0	2022-05-12 00:34:22.727	15m 59s	10m 59s	123.5%	1.9 GB	1.9 GB	19 GB	10.3 GB
114	d6/94ae8a	14474968049125511806	PICARD_METRICS (MV411_MYB_VHL-MED1_R1)	COMPLETED	0	2022-05-12 00:34:23.679	17m 8s	12m 14s	102.0%	1.4 GB	39.3 GB	8 GB	790.2 KB
105	6e/3fda93	15134882857091630151	MERGED_BAM_REMOVE_ORPHAN (MV411_MYB_DMSO-POLII_total_R1)	COMPLETED	0	2022-05-12 00:22:43.036	29m 8s	21m 42s	174.3%	5 GB	6.1 GB	36 GB	18.4 GB
107	a6/46a35e	7088906381932300904	PHANTOMPEAKQUALTOOLS (MV411_MYB_VHL-MYB_R1)	COMPLETED	0	2022-05-12 00:24:03.775	30m 17s	25m 59s	74.9%	3.2 GB	3.6 GB	45.6 GB	40.4 GB
112	cf/f96cac	9338338161221414204	MERGED_BAM_REMOVE_ORPHAN (INPUT_R1)	COMPLETED	0	2022-05-12 00:29:14.648	29m 57s	22m 30s	173.4%	5.3 GB	6.6 GB	36.9 GB	18.9 GB
117	56/7d0754	50505756873915504	PLOTPROFILE (MV411_MYB_VHL-MYB_R1)	COMPLETED	0	2022-05-12 00:40:44.242	18m 48s	14m 40s	786.5%	3.5 GB	4.5 GB	3.8 GB	1.4 GB
118	b1/14c7b6	5257322042714780131	PLOTPROFILE (MV411_MYB_DMSO-MYB_R1)	COMPLETED	0	2022-05-12 00:47:43.802	14m 28s	11m 42s	828.0%	3.7 GB	4.6 GB	3.9 GB	1.4 GB
110	11/17a2d8	14781419111166603148	PHANTOMPEAKQUALTOOLS (MV411_MYB_DMSO-MYB_R1)	COMPLETED	0	2022-05-12 00:28:53.400	34m 18s	29m 29s	76.3%	3.3 GB	3.7 GB	50.8 GB	45.1 GB
122	e4/c80201	6263559108312852279	PLOTPROFILE (MV411_MYB_VHL-MED1_R1)	COMPLETED	0	2022-05-12 00:50:24.021	14m 18s	11m 36s	839.7%	3.6 GB	4.5 GB	3.7 GB	1.4 GB
121	db/bc72b1	16267619726422445686	BIGWIG (MV411_MYB_VHL-POLII_total_R1)	COMPLETED	0	2022-05-12 00:50:02.789	17m 39s	12m 30s	123.2%	1.9 GB	1.9 GB	21.2 GB	11.5 GB
135	e3/54ae0a	5424135100576705021	PLOTFINGERPRINT (MV411_MYB_VHL-POLII_total_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 00:59:17.063	8m 46s	4m 6s	827.5%	1.2 GB	3 GB	111.3 GB	12.8 MB
129	99/18349c	9055799442848794053	PLOTFINGERPRINT (MV411_MYB_VHL-MYC_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 00:59:15.547	9m 7s	4m 13s	834.2%	1.2 GB	3 GB	110.6 GB	12.8 MB
132	4c/7c058b	12037800483353298009	PLOTFINGERPRINT (MV411_MYB_VHL-MYB_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 00:59:16.039	9m 7s	4m 11s	872.6%	1.2 GB	3 GB	124.8 GB	12.9 MB
134	84/42c262	332161812720149116	PLOTFINGERPRINT (MV411_MYB_VHL-MED1_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 00:59:16.562	9m 7s	4m 16s	884.9%	1.2 GB	3 GB	124.2 GB	12.9 MB
133	61/4fdef6	15808686175233338501	PLOTFINGERPRINT (MV411_MYB_DMSO-MYB_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 00:59:13.584	9m 29s	4m 35s	817.6%	1.2 GB	3 GB	126.2 GB	12.9 MB
130	a7/263d20	8941036657234082795	PLOTFINGERPRINT (MV411_MYB_DMSO-MYC_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 00:59:14.085	9m 29s	4m 32s	750.4%	1.2 GB	3 GB	113.3 GB	12.8 MB
131	19/9e2204	3062591687795740790	PLOTFINGERPRINT (MV411_MYB_DMSO-MED1_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 00:59:15.129	9m 47s	4m 43s	885.6%	1.2 GB	3 GB	127.4 GB	12.9 MB
115	8b/f6c819	2993219878177509907	PHANTOMPEAKQUALTOOLS (MV411_MYB_VHL-MED1_R1)	COMPLETED	0	2022-05-12 00:34:23.230	34m 48s	30m 6s	78.5%	3.2 GB	3.7 GB	43.3 GB	38.3 GB
136	dc/d2403d	3343853952714450676	PLOTFINGERPRINT (MV411_MYB_DMSO-POLII_total_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 00:59:14.434	10m 18s	4m 36s	829.3%	1.2 GB	3 GB	109 GB	12.8 MB
119	c5/5f14dc	14216741212860299965	PICARD_METRICS (MV411_MYB_VHL-POLII_total_R1)	COMPLETED	0	2022-05-12 00:50:03.756	19m 38s	14m 29s	101.7%	1 GB	39.3 GB	8.6 GB	792.2 KB
125	3b/0d3cf8	5230137305090507518	BIGWIG (MV411_MYB_DMSO-POLII_total_R1)	COMPLETED	0	2022-05-12 00:51:52.811	17m 50s	11m 49s	121.3%	1.9 GB	1.9 GB	18.6 GB	9.9 GB
123	04/0cfa40	8827889957145438132	PICARD_METRICS (MV411_MYB_DMSO-POLII_total_R1)	COMPLETED	0	2022-05-12 00:51:53.701	18m 8s	12m 49s	101.9%	1.2 GB	39.3 GB	8 GB	795.3 KB
